candidate,party,constituency,runner_up_vote_percentage
TRINANKUR BHATTACHARJEE,All India Trinamool Congress,NOAPARA,39.330
BISWAJIT PAUL,Bharatiya Janata Party,BARUIPUR PASCHIM,39.320
RAJIB LOCHAN SAREN,All India Trinamool Congress,BANDWAN,39.260
SUBRATA DUTTA (GOPI),All India Trinamool Congress,ONDA,39.210
SHASHI PANJA,All India Trinamool Congress,SHYAMPUKUR,39.060
Indranil Sen,All India Trinamool Congress,CHANDANNAGAR,38.970
ABANI NASKAR,Bharatiya Janata Party,KULPI,38.940
PALASH KUMAR ROY,All India Trinamool Congress,KHANAKUL,38.900
KALLOL SAHA,All India Trinamool Congress,SONAMUKHI,38.830
TANMAY GHOSH (BUMBA),All India Trinamool Congress,BISHNUPUR,38.790
SHYAMALI SARDAR,All India Trinamool Congress,GHATAL,38.790
RAMENDU SINHARAY,All India Trinamool Congress,TARAKESWAR,38.770
KAILASH KUMAR MISHRA,All India Trinamool Congress,BALLY,38.730
NIRMAL CHANDRA ROY,All India Trinamool Congress,DHUPGURI,38.730
BARNALI DHALI NASKAR,Bharatiya Janata Party,SANKRAIL,38.690
SUJOY HAZRA,All India Trinamool Congress,MEDINIPUR,38.630
DEBO PRASAD BAG (POLTU),All India Trinamool Congress,KALNA,38.530
SUBHASISH CHAKRABORTY,All India Trinamool Congress,BEHALA PURBA,38.500
DEBASISH MUKHERJEE,Bharatiya Janata Party,CHANDITALA,38.460
RITUPARNA ADDHYA,All India Trinamool Congress,BANGAON DAKSHIN,38.450
DEBASISH KUMAR (DEBA),All India Trinamool Congress,RASHBEHARI,38.370
PRASENJIT DAS,All India Trinamool Congress,GAZOLE,38.280
SAYANTIKA BANERJEE,All India Trinamool Congress,BARANAGAR,38.250
HARAKALI PROTIHER,All India Trinamool Congress,KATULPUR,38.240
ABHIJIT SARDAR,Bharatiya Janata Party,BISHNUPUR,38.200
UJJAL BISWAS,All India Trinamool Congress,KRISHNANAGAR DAKSHIN,38.090
SEKH SAHONAWEZ,All India Trinamool Congress,KETUGRAM,38.090
SANJAY KUJUR,All India Trinamool Congress,NAGRAKATA,38.060
UTTAM BAURI,All India Trinamool Congress,SALTORA,38.010
BIRENDRA BARA (ORAON),All India Trinamool Congress,KALCHINI,37.960
JAKIR HOSSAIN,All India Trinamool Congress,JANGIPUR,37.940
DIPAK KUMAR HALDER,Bharatiya Janata Party,DIAMOND HARBOUR,37.920
SHANTIRAM MAHATO,All India Trinamool Congress,BALARAMPUR,37.900
ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,SONARPUR DAKSHIN,37.820
KHOKAN DAS,All India Trinamool Congress,BARDHAMAN DAKSHIN,37.730
TUMPA SARDAR,Bharatiya Janata Party,BARUIPUR PURBA,37.570
ADITI MUNSHI,All India Trinamool Congress,RAJARHAT  GOPALPUR,37.560
ASISH BANERJEE,All India Trinamool Congress,RAMPURHAT,37.520
SUBHASH CHANDRA ROY,All India Trinamool Congress,FALAKATA,37.450
MONGAL SAREN,All India Trinamool Congress,JHARGRAM,37.440
PARTHA CHAUDHURY,Bharatiya Janata Party,BELEGHATA,37.440
ALOKE HALDER,Bharatiya Janata Party,JAYNAGAR,37.350
BRATYABRATA BASU,All India Trinamool Congress,DUM DUM,37.310
DEVADEEP PUROHIT,All India Trinamool Congress,KHARDAHA,37.280
SUBHANKAR SINGHA (JISHU),All India Trinamool Congress,CHAKDAHA,37.250
HARERAM SINGH,All India Trinamool Congress,JAMURIA,37.250
BISWAJIT DAS,All India Trinamool Congress,BANGAON UTTAR,37.210
SANTOSH KUMAR PATHAK,Bharatiya Janata Party,CHOWRANGEE,37.170
RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,KALIMPONG,37.070
RATNA CHATTERJEE,All India Trinamool Congress,BEHALA PASCHIM,37.050
RANJAN DHARA,All India Trinamool Congress,BALAGARH,37.030
SABYASACHI DUTTA,All India Trinamool Congress,BARASAT,37.030
DR. ATINDRA NATH MONDAL,All India Trinamool Congress,KALYANI,36.970
DEBANGSHU BHATTACHARYA,All India Trinamool Congress,CHUNCHURA,36.940
MANIK CHANDRA BAURI,All India Trinamool Congress,PARA,36.940
CHINTAMANI BIHA,All India Trinamool Congress,TAPAN,36.850
ARINDAM DEY,Bharatiya Janata Party,AMDANGA,36.850
JYOTI PRIYA MALLICK,All India Trinamool Congress,HABRA,36.820
DR TARUN KUMAR ADAK,Bharatiya Janata Party,BUDGE BUDGE,36.790
PRADIP SARKAR,All India Trinamool Congress,KHARAGPUR SADAR,36.730
PROTIMA RAJAK,All India Trinamool Congress,BURWAN,36.720
SUVENDU SAMANTA,Bharatiya Janata Party,KESHPUR,36.630
CHITRAJIT ROY,Bharatiya Janata Party,ISLAMPUR,36.600
AMIT GUPTA,All India Trinamool Congress,BHATPARA,36.570
DR. PRIYANKA TIBREWAL,Bharatiya Janata Party,ENTALLY,36.570
RAJEEV TIRKEY,All India Trinamool Congress,KUMARGRAM,36.530
TAMANATH BHOWMICK,Bharatiya Janata Party,MAHESHTALA,36.510
TAPAS BANERJEE,All India Trinamool Congress,ASANSOL DAKSHIN,36.490
RANJAN PAUL,Bharatiya Janata Party,PANCHLA,36.420
RABINDRANATH CHATTERJEE,All India Trinamool Congress,KATWA,36.300
PRADIP MAZUMDAR,All India Trinamool Congress,DURGAPUR PURBA,36.290
DR. NIRMAL MAJI,All India Trinamool Congress,GOGHAT,36.240
ANIMA DUTTA,Bharatiya Janata Party,PALASHIPARA,36.240
RAMMOHAN RAY,All India Trinamool Congress,MAYNAGURI,36.150
GOBINDA HAZRA,Bharatiya Janata Party,DOMJUR,36.140
TARAK SAHA,Bharatiya Janata Party,SWARUPNAGAR,36.130
BAPAN GHOSH,Bharatiya Janata Party,KALIGANJ,36.120
VASUNDHARA GOSWAMI,All India Trinamool Congress,PURBASTHALI UTTAR,36.090
DILIP KUMAR PODDAR,All India Trinamool Congress,TEHATTA,35.910
GOUTAM MISHRA (SHYAM),All India Trinamool Congress,BARJORA,35.740
MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,DEGANGA,35.680
DR. SABLU BARMAN,All India Trinamool Congress,MATHABHANGA,35.660
HAZARI BOURI,All India Trinamool Congress,RAGHUNATHPUR,35.650
KABI DUTTA,All India Trinamool Congress,DURGAPUR PASCHIM,35.580
HUMAYUN KABIR,All India Trinamool Congress,DOMKAL,35.530
SWAPAN KUMAR MONDAL,All India Trinamool Congress,CHHATNA,35.500
PARTHA HAZARI,All India Trinamool Congress,PURSURAH,35.430
ARJUN MAHATO,All India Trinamool Congress,JOYPUR,35.360
SAOKAT MOLLA,All India Trinamool Congress,BHANGAR,35.330
BARNALI DEY ROY,All India Trinamool Congress,RANAGHAT UTTAR PURBA,35.240
NAROTTAM BISWAS,All India Trinamool Congress,GAIGHATA,35.200
REENA TOPNO EKKA,All India Trinamool Congress,PHANSIDEWA,35.130
MD NAJME ALAM,Indian National Congress,SAMSERGANJ,34.960
SHAONI SINGHA ROY,All India Trinamool Congress,MURSHIDABAD,34.910
JAYPRAKASH TOPPO,All India Trinamool Congress,MADARIHAT,34.840
GOUTAM PAUL,All India Trinamool Congress,KARANDIGHI,34.730
TAPASI MONDAL,All India Trinamool Congress,HALDIA,34.710
Prasanta Bayen,Bharatiya Janata Party,CANNING PASCHIM,34.630
DR. ANUP MANDAL,All India Trinamool Congress,BANKURA,34.600
UTTAM KUMAR BANIK,Bharatiya Janata Party,MAGRAHAT PURBA,34.570
SABITA BARMAN,Bharatiya Janata Party,ITAHAR,34.430
CHANDRIMA BHATTACHARYA,All India Trinamool Congress,DUM DUM UTTAR,34.420
MADHABI MAHALDER,Bharatiya Janata Party,KULTALI,34.380
SUJOY BANERJEE,All India Trinamool Congress,PURULIA,34.340
SIRSANYA BANDOPADHYAY,All India Trinamool Congress,UTTARPARA,34.170
SUJIT BOSE,All India Trinamool Congress,BIDHANNAGAR,34.170
NIBARAN GHOSH,Bharatiya Janata Party,MOTHABARI,34.040
SAMIR KUMAR PODDAR,All India Trinamool Congress,KRISHNAGANJ,33.960
DEBABRATA MAJUMDAR (MALAY),All India Trinamool Congress,JADAVPUR,33.960
FALGUNI SINGHABABU,All India Trinamool Congress,TALDANGRA,33.860
TIRTHANKAR GHOSH,All India Trinamool Congress,PANIHATI,33.800
BRAJAKISHORE GOSWAMI,All India Trinamool Congress,SANTIPUR,33.760
ASHIS MARJIT,All India Trinamool Congress,KHARGRAM,33.460
PARTHA PRATIM RAY,All India Trinamool Congress,COOCHBEHAR UTTAR,33.420
ANIL KUMAR SINGH,Bharatiya Janata Party,NALHATI,33.390
TANUSHREE HANSDA,All India Trinamool Congress,RANIBANDH,33.310
LIPIKA BARMAN GHOSH,All India Trinamool Congress,MALDAHA,33.300
NIKHIL BANERJEE,Bharatiya Janata Party,HANSAN,33.070
TAPAS KUMAR GHOSH,All India Trinamool Congress,RANAGHAT UTTAR PASCHIM,32.930
PRONAB CHANDRA DAS,All India Trinamool Congress,NABAGRAM,32.860
ADHIR RANJAN CHOWDHURY,Indian National Congress,BAHARAMPUR,32.790
SOUGATA KUMAR BURMAN,All India Trinamool Congress,RANAGHAT DAKSHIN,32.470
ABDUL SOUMIK HOSSAIN,All India Trinamool Congress,RANINAGAR,32.340
BIJOY KUMAR RAI,Bharatiya Gorkha Prajatantrik Morcha,DARJEELING,32.230
ABISHEK SINGHANIA,Bharatiya Janata Party,RATUA,31.860
AMAR LAMA,Bharatiya Gorkha Prajatantrik Morcha,KURSEONG,31.830
NITAI BAISHYA,All India Trinamool Congress,KALIAGANJ,31.730
APURBA SARKAR (DAVID),All India Trinamool Congress,KANDI,31.600
SAIKAT SARKAR,Bharatiya Janata Party,CHAPRA,31.460
SUNIL CHOWDHURI,Bharatiya Janata Party,FARAKKA,31.380
SUMAN KANJILAL,All India Trinamool Congress,ALIPURDUARS,31.330
MANOJ KUMAR JAIN,Bharatiya Janata Party,CHAKULIA,31.270
MAHABIR GHOSH,Bharatiya Janata Party,SUTI,31.230
SUSHANTA MAHATO,All India Trinamool Congress,BAGHMUNDI,31.220
KRISHNA DAS,All India Trinamool Congress,JALPAIGURI,31.190
BIKASH SARDAR,Bharatiya Janata Party,BASANTI,30.760
ARPITA GHOSH,All India Trinamool Congress,BALURGHAT,30.400
RAKESH SINGH,Bharatiya Janata Party,KOLKATA PORT,29.180
BIJOY SEKH,Aam Janata Unnayan party,HARIHARPARA,28.760
PIYARUL ISLAM,All India Secular Front,HAROA,28.740
RATAN DAS,Bharatiya Janata Party,HARISCHANDRAPUR,28.550
KRISHNA KALYANI,All India Trinamool Congress,RAIGANJ,28.470
SHATORUPA,Bharatiya Janata Party,BALLYGUNGE,28.080
AMAL KISKU,All India Trinamool Congress,HABIBPUR,28.060
ANAMIKA GHOSH,Bharatiya Janata Party,BHARATPUR,28.040
SUKRITI KUMAR SARKAR,Bharatiya Janata Party,BADURIA,27.830
RUDRENDRA PATRA,Bharatiya Janata Party,MINAKHAN,27.700
CHANDANA SARKAR,All India Trinamool Congress,BAISNABNAGAR,27.490
RATAN DAS,Bharatiya Janata Party,CHANCHAL,27.360
RANJAN SIL SHARMA,All India Trinamool Congress,DABGRAM-FULBARI,27.230
TAPAS KUMAR CHAKRABORTY,Bharatiya Janata Party,SAGARDIGHI,27.220
TOUHIDUR RAHAMAN SUMAN,Indian National Congress,LALGOLA,27.190
SOMNATH DUTTA,All India Trinamool Congress,KRISHNANAGAR UTTAR,27.150
BAPAN GHOSH,Bharatiya Janata Party,REJINAGAR,27.020
GOURSUNDAR GHOSH,Bharatiya Janata Party,MAGRAHAT PASCHIM,26.940
IANUS ALI SARKAR,Communist Party of India (Marxist),JALANGI,26.520
RANA MANDAL,Bharatiya Janata Party,NOWDA,26.410
RABIUL ALAM CHOWDHURY,All India Trinamool Congress,BELDANGA,26.100
GOUTAM DEB,All India Trinamool Congress,SILIGURI,25.910
ASIS KUNDU (PATA),All India Trinamool Congress,ENGLISH BAZAR,25.710
SHANKAR MALAKAR,All India Trinamool Congress,MATIGARA-NAXALBARI,24.960
NASIR SAIKH,Indian National Congress,RAGHUNATHGANJ,24.830
SANKAR ADHIKARI,Bharatiya Janata Party,CHOPRA,24.560
MD. MUSA KAREMULLA,All India Secular Front,BASIRHAT UTTAR,24.410
SANJIBUR RAHAMAN (BAPPA),Indian National Congress,MURARAI,24.370
ARABUL ISLAM,All India Secular Front,CANNING PURBA,23.480
ABDUL HANNAN,Indian National Congress,SUJAPUR,23.120
MAHAMUDAL HASAN,Communist Party of India (Marxist),BHAGAWANGOLA,22.730
MAUSAM B NOOR,Indian National Congress,MALATIPUR,21.960
SARAJIT BISWAS,Bharatiya Janata Party,GOALPOKHAR,20.920
BIR BAHADUR SINGH,Bharatiya Janata Party,METIABURUZ,20.190
