candidate,constituency_count
ARINDAM BHATTACHARYA,1
ARINDAM BISWAS,1
ARINDAM DEY,1
ARINDAM GUIN (BUBAI),1
ARJIT KALAM AZAD SK,1
ARJUN INDWAR,1
ARJUN KUMAR MAHATA,1
ARJUN MAHATO,1
ARJUN MANDAL,1
ARJUN MARDI,1
ARJUN SINGH,1
ARKAPRABHA CHOUDHURY,1
ARNAB CHOWDHURY,1
AROOP BISWAS,1
ARPITA GHOSH,1
ARUNAVA SEN,1
ARUN CHAND,1
ARUN DAS,1
ARUNDHUTI MAITRA(LOVELY),1
ARUN HALDER,1
ARUN JANA,1
ARUN KARAN,1
ARUN KUMAR BARMA,1
ARUP BANERJEE,1
ARUP CHOUDHURY (PULAK),1
ARUP DAS,1
ARUP MANDAL,1
ARUP MUKHERJEE,1
ARUP ROY,1
ASADUL,1
ASADUL SK,1
ASAMAY MANDAL,1
ASGAR ALI,1
ASGAR ALI,1
ASHADUL RAHAMAN SK,1
ASHIK MAHAMMAD KHAN,1
ASHIKUL ISLAM,1
ASHIM BISWAS,1
ASHIM CHAKRABORTY,1
ASHIM KUMAR BISWAS,1
ASHIM KUMAR MAJI,1
ASHIM SANPUI,1
ASHIM SEKH,1
ASHIS DAS,1
ASHIS DAS,1
ASHISH CHANDRA GARAI,1
Ashish Chandra Gupta,1
ASHISH DOLUI,1
ASHIS HUDAIT,1
ASHIS HUTAIT,1
ASHIS MARJIT,1
ASHIT DHALI,1
ASH NARAYAN SINGH,1
ASHOK BISWAS,1
ASHOK DALUI,1
ASHOK DAS,1
ASHOKE DINDA,1
ASHOKE KUMAR GAYEN,1
ASHOKE MAHATA,1
ASHOK KIRTANIA,1
ASHOK KUMAR DEB,1
ASHOK KUMAR MONDAL,1
ASHOK KUMAR MURMU,1
ASHOK KUMAR ROY,1
ASHOK RUHIDAS,1
ASHOK SEN,1
ASHUTOSH BARMA,1
ASHUTOSH CHATTERJEE,1
ASHUTOSH PAUL,1
ASIF ALI,1
ASIF HUSSAIN,1
ASIF KHAN,1
ASIF MEHBUB,1
ASIK RAJ MONDAL,1
ASIMA MONDAL,1
ASIMANANDA MAJUMDER,1
ASIMA PATRA,1
ASIM BISWAS,1
ASIM KUMAR SARKAR,1
ASIM SARDAR,1
ASISH BANERJEE,1
ASISH KUMAR BHUNIA,1
ASISH KUMAR MANDAL,1
ASISH KUMAR SARKAR,1
ASISH SAMANTA,1
ASIS KUNDU (PATA),1
ASIT BAKULY,1
ASIT BARAN BISWAS,1
ASIT BARAN SARMA,1
ASIT BARAN SAU,1
ASIT KUMAR HALDAR,1
ASIT LAL NAG,1
ASIT PRAMANIK,1
ASIT ROY,1
ASOKE BHATTACHARYA,1
ASOKE KUMAR MAITI,1
