candidate,party,constituency,vote_share
SANGITA ROY,All India Trinamool Congress,SITAI,48.31467026485099069400
RAJU KARMAKAR,Bharatiya Janata Party,BAISNABNAGAR,48.34214704744283687400
ARJUN SINGH,Bharatiya Janata Party,NOAPARA,48.37403997397234305300
REKHA PATRA,Bharatiya Janata Party,HINGALGANJ,48.39258032269125082700
MD. TAUSEFFUR RAHMAN,All India Trinamool Congress,BASIRHAT UTTAR,48.41614164811810716700
PULAK ROY,All India Trinamool Congress,ULUBERIA DAKSHIN,48.45914854311864976100
SUKHEN KUMAR BAGDI,Bharatiya Janata Party,BURWAN,48.51919096746190125800
AMIYA KISKU,Bharatiya Janata Party,NAYAGRAM,48.55594016744257701700
REYAT HOSSAIN SARKAR,All India Trinamool Congress,BHAGAWANGOLA,48.57434835209150566400
SARMISTHA PURKAIT,All India Trinamool Congress,MAGRAHAT PURBA,48.79511022693516009700
TAPAS CHANDRA ROY,Bharatiya Janata Party,KUSHMANDI,48.83423714202660304900
SANTANU DEY,Bharatiya Janata Party,NAKASHIPARA,48.85392385392385392400
GOUR CHANDRA MANDAL,Bharatiya Janata Party,MANIKCHAK,48.86250183038031975100
AHMED JAVED KHAN,All India Trinamool Congress,KASBA,48.87647902622654494500
SANJAY KUMAR SINGH,Bharatiya Janata Party,BALLY,48.91376296271151920400
RAHIDAS MAHATO,Bharatiya Janata Party,BAGHMUNDI,48.95475303840755723800
SUMITRO CHATTERJEE,Bharatiya Janata Party,NAIHATI,49.14501725187741018900
SANKAR SIKDER,Bharatiya Janata Party,BEHALA PURBA,49.21533787555339665200
BISWANATH DAS,All India Trinamool Congress,JAYNAGAR,49.37952689781704829100
RUDRANIL GHOSH,Bharatiya Janata Party,SHIBPUR,49.42285314052822863100
VIJAY OJHA,Bharatiya Janata Party,JORASANKO,49.48009770980935356200
SUBRATA MAITY(RANA),Bharatiya Janata Party,PANSKURA PURBA,49.49963078233372746800
SUMANTA MANDAL,Bharatiya Janata Party,SAGAR,49.51512357278183079100
ABDUL MATIN MUHAMMAD,All India Trinamool Congress,HAROA,49.51846346259932875400
GOPAL CHATTOPADHYAY,Bharatiya Janata Party,PURBASTHALI UTTAR,49.52819281394521522600
SAMIR KUMAR PANJA,All India Trinamool Congress,UDAYNARAYANPUR,49.53207586035776651100
ARIJIT ROY,Bharatiya Janata Party,BARABANI,49.53582261947170137200
SUDIPTA DAS,Bharatiya Janata Party,BIJPUR,49.55551260991400135300
PARTHA GHOSH,Bharatiya Janata Party,RANIGANJ,49.57960953563648948500
SANAT SARDAR,Bharatiya Janata Party,SANDESHKHALI,49.58321768896290128600
ARUP ROY,All India Trinamool Congress,HOWRAH MADHYA,49.59603843708486035800
KRISHNENDU MUKHERJEE,Bharatiya Janata Party,ASANSOL UTTAR,49.62608080453166324000
DR. BIJAN MUKHERJEE,Bharatiya Janata Party,JAMURIA,49.64371069528728922800
AMAL KUMAR PANDA,Bharatiya Janata Party,SABANG,49.65531981036760705700
SABINA YEASMIN,All India Trinamool Congress,SUJAPUR,49.66208035222894881700
BHARAT KUMAR CHETRI,Bharatiya Janata Party,KALIMPONG,49.73536232055087121000
KALYAN CHAKRABORTI,Bharatiya Janata Party,KHARDAHA,49.74529910180402534300
SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,NABADWIP,49.78939504356474670100
MD. MATIBUR RAHAMAN,All India Trinamool Congress,HARISCHANDRAPUR,49.80383004768845305400
ASIMA PATRA,All India Trinamool Congress,DHANEKHALI,49.84516999002789766300
BIMAN MAHATA,Bharatiya Janata Party,SALBONI,49.85683459986865559600
SUKRA MUNDA,Bharatiya Janata Party,MAL,49.94141312435120047400
ARIJIT BAKSHI,Bharatiya Janata Party,DUM DUM,50.06663368635725751900
DUDH KUMAR MONDAL,Bharatiya Janata Party,MAYURESWAR,50.14966763946728626100
TAPAN MAITY,Bharatiya Janata Party,PATASHPUR,50.24348410673653726800
KAMALA KANTA HANSDA,Bharatiya Janata Party,KASHIPUR,50.27550548652193193500
RATNA DEBNATH,Bharatiya Janata Party,PANIHATI,50.27716819823526722400
ADHIKARI SUVENDU,Bharatiya Janata Party,NANDIGRAM,50.37195020615538022000
LABSEN BASKEY,Bharatiya Janata Party,BANDWAN,50.37230725304119799500
PRAN KRISHNA TAPADAR,Bharatiya Janata Party,PURBASTHALI DAKSHIN,50.44352346675391718500
AJIT KUMAR JANA,Bharatiya Janata Party,DANTAN,50.49090093142956579100
KAUSTUV BAGCHI,Bharatiya Janata Party,BARRACKPUR,50.65002130159180986100
TAPAS ROY,Bharatiya Janata Party,MANIKTALA,50.66944440758482504200
ANADI GHOSH,Bharatiya Janata Party,KETUGRAM,50.69006264171947641900
CHANDRA SEKHAR BANERJEE,Bharatiya Janata Party,DURGAPUR PURBA,50.69226543514492416300
ASIM KUMAR SARKAR,Bharatiya Janata Party,HARINGHATA,50.71537347947883961000
PUNA BHENGRA,Bharatiya Janata Party,NAGRAKATA,50.73371150649872771000
UMESH RAI,Bharatiya Janata Party,HOWRAH UTTAR,50.75716014218828675100
ARUP KUMAR DAS,Bharatiya Janata Party,SINGUR,50.77345410269888980200
BHADRA HEMRAM,Bharatiya Janata Party,KESHIARY,50.80056468401819140300
SUBHASIS DAS,All India Trinamool Congress,MAHESHTALA,50.83358356071386607800
KRISHNA GHOSH,Bharatiya Janata Party,KATWA,50.94015095851980495600
MAYNA MURMU,Bharatiya Janata Party,MANBAZAR,50.95298709756541081800
BIVAS SARDAR,All India Trinamool Congress,BARUIPUR PURBA,50.98074743278035049900
SUBHAS CHANDRA PANJA,Bharatiya Janata Party,MAHISADAL,51.04539271499823668700
DINESH SARKAR,Bharatiya Janata Party,RAJGANJ,51.09970184375543165800
SWAGATA MANNA,Bharatiya Janata Party,PINGLA,51.15837432132941166800
PRADIP LODHA,Bharatiya Janata Party,GARBETA,51.22833248517219172300
BIKARNA NASKAR,Bharatiya Janata Party,GOSABA,51.33820411871592974000
DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),Bharatiya Janata Party,SHYAMPUR,51.35550478401432138900
PANNA LAL HALDER,All India Trinamool Congress,DIAMOND HARBOUR,51.37832740550642013800
GIRI RAMAPRASAD,Bharatiya Janata Party,NARAYANGARH,51.45360308233906616500
DR. RAJESH KUMAR,Bharatiya Janata Party,JAGATDAL,51.50360548710922360600
ABDUR RAHIM BOXI,All India Trinamool Congress,MALATIPUR,51.53710990669933427400
DR. PRANAT TUDU,Bharatiya Janata Party,BINPUR,51.53715656072933837600
SABITRI BARMAN,Bharatiya Janata Party,SITALKUCHI,51.59244090886349179100
PURNIMA CHAKRABORTY,Bharatiya Janata Party,SHYAMPUKUR,51.59632776103041929300
AJAY RAY,Bharatiya Janata Party,DINHATA,51.60212746104320238900
ASHOKE DINDA,Bharatiya Janata Party,MOYNA,51.62361518757129576600
HUMAYUN KABIR,Aam Janata Unnayan party,REJINAGAR,51.62498171712739505600
SANKAR CHATTERJEE,Bharatiya Janata Party,BARASAT,51.63543995638263251100
TARUNJYOTI TEWARI,Bharatiya Janata Party,RAJARHAT  GOPALPUR,51.74321769784907781100
SIDDHARTHA MAJUMDAR,Bharatiya Janata Party,KALNA,51.95724864350264733900
DIBAKAR GHARAMI,Bharatiya Janata Party,SONAMUKHI,52.08382164686367488200
AMARNATH SHAKHA,Bharatiya Janata Party,ONDA,52.09101391843827651700
JAGANNATH CHATTOPADHYAY,Bharatiya Janata Party,SURI,52.09262737731861939400
PIJUSH KANTI DAS,Bharatiya Janata Party,CHANDIPUR,52.09479370301334534600
SWARAJ GHOSH,Bharatiya Janata Party,SAPTAGRAM,52.09681357587596142100
BAG HEMANTA,Bharatiya Janata Party,ARAMBAG,52.14626391096979332300
SUMITA SINHA,Bharatiya Janata Party,KANTHI UTTAR,52.15599328043749323400
SADHAN GHOSH,Bharatiya Janata Party,KRISHNANAGAR DAKSHIN,52.19195875870187331300
PARESH RAM DAS,All India Trinamool Congress,CANNING PASCHIM,52.25631377716896560700
RUPA GANGULY,Bharatiya Janata Party,SONARPUR DAKSHIN,52.34320780216970449600
LAKSHMI KANTA MAJUMDAR,Bharatiya Janata Party,KATULPUR,52.54502545233566282200
NADIAR CHAND BOURI,Bharatiya Janata Party,PARA,52.55387921054337658500
MOUMITA BISWAS MISRA,Bharatiya Janata Party,BARDHAMAN DAKSHIN,52.60834964823286447300
DEBDAS MONDAL,Bharatiya Janata Party,HABRA,52.65501642874754072000
SUBHASHIS OM,Bharatiya Janata Party,DEBRA,52.66952876593825780100
GULSAN MULLICK,All India Trinamool Congress,PANCHLA,52.71535062913808719900
CHANDANA BAURI,Bharatiya Janata Party,SALTORA,52.71613018385196644300
SANTANU PRAMANIK,Bharatiya Janata Party,BHAGABANPUR,52.72942383092472128300
TAPAS MAITY,All India Trinamool Congress,DOMJUR,52.73125690928332290800
KHANRA NIRMAL,Bharatiya Janata Party,NANDAKUMAR,52.73468209019878387300
SANTU PAN,Bharatiya Janata Party,TARAKESWAR,52.75839659171939452500
TAPAN KUMAR DUTTA,Bharatiya Janata Party,DASPUR,52.79610548826210984500
RATHINDRA BOSE,Bharatiya Janata Party,COOCHBEHAR DAKSHIN,52.81165262179122061400
LAKSHMAN CHANDRA GHORUI,Bharatiya Janata Party,DURGAPUR PASCHIM,52.92562761216751086400
DILIP MONDAL,All India Trinamool Congress,BISHNUPUR,52.93345358191801813300
ADHIKARI DIBYENDU,Bharatiya Janata Party,EGRA,52.96373430150757499800
KSHETRAMOHAN HANSDA,Bharatiya Janata Party,RAIPUR,53.01381918511999619400
ADHIKARI SUVENDU,Bharatiya Janata Party,BHABANIPUR,53.02016311247875018800
MALATI RAVA ROY,Bharatiya Janata Party,TUFANGANJ,53.08041883818757608400
SUKANTA DOLUI,Bharatiya Janata Party,CHANDRAKONA,53.08738524311458687500
ANUPAM BISWAS,Bharatiya Janata Party,KALYANI,53.11638655072248568500
HARE KRISHNA BERA,Bharatiya Janata Party,TAMLUK,53.15299887128789942800
BILLESWAR SINHA,Bharatiya Janata Party,BARJORA,53.28770149811779301700
ANUP KUMAR SAHA,Bharatiya Janata Party,DUBRAJPUR,53.33366637449873520000
SINTU SENAPATI,Bharatiya Janata Party,PANSKURA PASCHIM,53.36761701337295690900
DASGUPTA SWAPAN,Bharatiya Janata Party,RASHBEHARI,53.39735185211866238300
SUSANTA GHOSH,Bharatiya Janata Party,KHANAKUL,53.44171041811626288800
SHUKLA CHATTERJEE,Bharatiya Janata Party,BISHNUPUR,53.53917041806842171200
RAJESH MAHATA,Bharatiya Janata Party,GOPIBALLAVPUR,53.74514370873031122400
DR. CHANDRA SEKHAR MONDAL,Bharatiya Janata Party,RAMNAGAR,53.83390104638909990900
JALADHAR MAHATO,Bharatiya Janata Party,BALARAMPUR,53.84094277686341192800
KUNAL KUMAR GHOSH,All India Trinamool Congress,BELEGHATA,53.84990925172881200200
CHINMOY DEB BARMAN,Bharatiya Janata Party,GAZOLE,53.93566640014761055400
SUBIR NAG,Bharatiya Janata Party,CHUNCHURA,53.95840190592623940100
NARESH ROY,Bharatiya Janata Party,DHUPGURI,54.24554117571308994900
SITAL KAPAT,Bharatiya Janata Party,GHATAL,54.35388906104741245700
DADHIRAM RAY,Bharatiya Janata Party,MEKLIGANJ,54.42271051224761147600
MAMONI BAURI,Bharatiya Janata Party,RAGHUNATHPUR,54.44160541907853483500
AJAY KUMAR PODDAR,Bharatiya Janata Party,KULTI,54.44204395523525670300
SATYENDRA NATH ROY,Bharatiya Janata Party,GANGARAMPUR,54.49712949181373591300
SANKAR KUMAR GUCHHAIT,Bharatiya Janata Party,MEDINIPUR,54.50578894324131658500
GIRIJA SHANKAR RAY,Bharatiya Janata Party,NATABARI,54.53471183760463397400
PRASUN BANERJEE,All India Trinamool Congress,CHANCHAL,54.61138437517330819200
LAKSHMI KANTA SAU,Bharatiya Janata Party,JHARGRAM,54.71032859599891373200
BANKIM CHANDRA GHOSH,Bharatiya Janata Party,CHAKDAHA,54.78027714502657555000
SWAPAN KUMAR DAS,Bharatiya Janata Party,SANTIPUR,54.86316886306652463300
SUBRATA PAIK,Bharatiya Janata Party,KHEJURI,54.95540096814596662300
NILIMA MISTRY BISHAL,All India Trinamool Congress,BASANTI,54.98792374708876045900
PRADIP KUMAR BIJALI,Bharatiya Janata Party,HALDIA,55.20367849118381597500
SHARADWAT MUKHERJEE,Bharatiya Janata Party,BIDHANNAGAR,55.20441279213900971400
KSHUDIRAM TUDU,Bharatiya Janata Party,RANIBANDH,55.37563125981725133900
AGNIMITRA PAUL,Bharatiya Janata Party,ASANSOL DAKSHIN,55.41540001482909468400
MD. SAMIM AHAMED MOLLA,All India Trinamool Congress,MAGRAHAT PASCHIM,55.43089763442116847300
ARUP KUMAR DAS,Bharatiya Janata Party,KANTHI DAKSHIN,55.54490567810745413100
SUMANA SARKAR,Bharatiya Janata Party,BALAGARH,55.57821714720547181600
DILIP GHOSH,Bharatiya Janata Party,KHARAGPUR SADAR,55.60091797032060917600
SUDIP KUMAR MUKHERJEE,Bharatiya Janata Party,PURULIA,55.69144992694653874000
SOMA THAKUR,Bharatiya Janata Party,BAGDA,55.84445477688826689600
GOPAL CHANDRA SAHA,Bharatiya Janata Party,MALDAHA,56.00438411753782886500
SWAPAN MAJUMDER,Bharatiya Janata Party,BANGAON DAKSHIN,56.26958730577639956500
SEULI SAHA,All India Trinamool Congress,KESHPUR,56.35584711158712095900
ASHOK KIRTANIA,Bharatiya Janata Party,BANGAON UTTAR,56.45629873571050041600
SOUVIK PATRA,Bharatiya Janata Party,TALDANGRA,56.62419976720500509200
BISHAL LAMA,Bharatiya Janata Party,KALCHINI,56.64118219015137680300
BUDHRAI TUDU,Bharatiya Janata Party,TAPAN,56.65713275701385095000
SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,CHHATNA,56.75513725631541244500
DURGA MURMU,Bharatiya Janata Party,PHANSIDEWA,56.91997381241214641900
DIPAK BARMAN,Bharatiya Janata Party,FALAKATA,56.94778197352862646400
BANDYOPADHYAY NAYNA,All India Trinamool Congress,CHOWRANGEE,57.15297579048691451300
SANDIPAN SAHA,All India Trinamool Congress,ENTALLY,57.15677907110473527200
NILADRI SEKHAR DANA,Bharatiya Janata Party,BANKURA,57.23955526028805294800
HAMIDUL RAHAMAN,All India Trinamool Congress,CHOPRA,57.29507536831736620500
PRASANTA DIGAR,Bharatiya Janata Party,GOGHAT,57.39903807170505417800
BIMAN GHOSH,Bharatiya Janata Party,PURSURAH,57.62024538858727233500
GANESH CHANDRA MONDAL,All India Trinamool Congress,KULTALI,57.75366691513738853300
MANOJ KUMAR ORAON,Bharatiya Janata Party,KUMARGRAM,57.95314126898596993000
LAXUMAN LIMBU,Bharatiya Janata Party,MADARIHAT,57.98374002138577563000
SUBRATA THAKUR,Bharatiya Janata Party,GAIGHATA,57.99303062604863265500
PAWAN KUMAR SINGH,Bharatiya Janata Party,BHATPARA,58.01963993453355155500
AGARWAL KANAIA LAL,All India Trinamool Congress,ISLAMPUR,58.13960991820865665400
ASHOK KUMAR DEB,All India Trinamool Congress,BUDGE BUDGE,58.27376394473917090400
DALIM CHANDRA ROY,Bharatiya Janata Party,MAYNAGURI,58.62189646327058982600
NISHITH PRAMANIK,Bharatiya Janata Party,MATHABHANGA,59.26936674316194256700
PARTHA SARATHI CHATTERJEE(BABU),Bharatiya Janata Party,RANAGHAT UTTAR PASCHIM,59.43122941948557349100
ASHIM BISWAS,Bharatiya Janata Party,RANAGHAT UTTAR PURBA,59.71494257223410092900
ANANTA DEB ADHIKARY,Bharatiya Janata Party,JALPAIGURI,60.11494349522400107600
SUKANTA BISWAS,Bharatiya Janata Party,KRISHNAGANJ,60.15391431902162457500
ASHIM KUMAR BISWAS,Bharatiya Janata Party,RANAGHAT DAKSHIN,60.17147645959129295000
BIDYUT KUMAR ROY,Bharatiya Janata Party,BALURGHAT,60.45446505281245262000
SUKUMAR RAY,Bharatiya Janata Party,COOCHBEHAR UTTAR,61.11025868004327727000
UTPAL BRAHMACHARO,Bharatiya Janata Party,KALIAGANJ,61.32210281731048504200
MD BAHARUL ISLAM,All India Trinamool Congress,CANNING PURBA,61.52633408368644067800
PARITOSH DAS,Bharatiya Janata Party,ALIPURDUARS,61.61847323909733036200
JOYEL MURMU,Bharatiya Janata Party,HABIBPUR,62.41383400772363617200
KOUSHIK CHOWDHURY,Bharatiya Janata Party,RAIGANJ,64.05245018324797941800
SOBHANDEB CHATTOPADHYAY,All India Trinamool Congress,BALLYGUNGE,64.80965922668833341300
FIRHAD HAKIM,All India Trinamool Congress,KOLKATA PORT,65.43289679512869904700
AMLAN BHADURI (BURO),Bharatiya Janata Party,ENGLISH BAZAR,65.69577080491132332900
SHANKAR GHOSH,Bharatiya Janata Party,SILIGURI,65.78309446378280030300
TARAK NATH CHATTERJEE,Bharatiya Janata Party,KRISHNANAGAR UTTAR,65.92743631747477197000
SIKHA CHATTERJEE,Bharatiya Janata Party,DABGRAM-FULBARI,66.02114423416663689200
ANANDAMAY BARMAN,Bharatiya Janata Party,MATIGARA-NAXALBARI,66.49999003924537322900
MD GHULAM RABBANI,All India Trinamool Congress,GOALPOKHAR,66.65993361575752282000
ABDUL KHALEQUE MOLLA,All India Trinamool Congress,METIABURUZ,68.99060354977008685600
