constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
BEHALA PASCHIM,S25154,88472,Bharatiya Janata Party,113171,24699
BEHALA PURBA,S25153,90365,Bharatiya Janata Party,115502,25137
DUM DUM,S25114,73908,Bharatiya Janata Party,99181,25273
SITALKUCHI,S255,119089,Bharatiya Janata Party,144367,25278
EGRA,S25218,116978,Bharatiya Janata Party,142670,25692
NAGRAKATA,S2521,77620,Bharatiya Janata Party,103478,25858
GARBETA,S25233,87527,Bharatiya Janata Party,113752,26225
MAHISADAL,S25208,95346,Bharatiya Janata Party,121584,26238
DUM DUM UTTAR,S25110,76880,Bharatiya Janata Party,103284,26404
TUFANGANJ,S259,96068,Bharatiya Janata Party,122525,26457
KULTI,S25282,77072,Bharatiya Janata Party,103570,26498
GOPIBALLAVPUR,S25221,88008,Bharatiya Janata Party,114683,26675
RAMNAGAR,S25217,104869,Bharatiya Janata Party,131808,26939
MANBAZAR,S25243,93204,Bharatiya Janata Party,120487,27283
KETUGRAM,S25271,83494,Bharatiya Janata Party,111104,27610
DUBRAJPUR,S25284,89790,Bharatiya Janata Party,117437,27647
JADAVPUR,S25150,78483,Bharatiya Janata Party,106199,27716
RAJARHAT  GOPALPUR,S25117,73520,Bharatiya Janata Party,101277,27757
KRISHNANAGAR DAKSHIN,S2585,75061,Bharatiya Janata Party,102862,27801
TEHATTA,S2578,83885,Bharatiya Janata Party,112138,28253
GANGARAMPUR,S2541,76744,Bharatiya Janata Party,105083,28339
KALNA,S25264,82160,Bharatiya Janata Party,110790,28630
SURI,S25285,95557,Bharatiya Janata Party,124243,28686
RAIPUR,S25250,82701,Bharatiya Janata Party,111443,28742
DEBRA,S25229,85662,Bharatiya Janata Party,114463,28801
PANIHATI,S25111,59141,Bharatiya Janata Party,87977,28836
ARAMBAG,S25200,94041,Bharatiya Janata Party,123000,28959
SONAMUKHI,S25258,86139,Bharatiya Janata Party,115549,29410
BANDWAN,S25238,104503,Bharatiya Janata Party,134080,29577
MEKLIGANJ,S251,89525,Bharatiya Janata Party,119109,29584
PURBASTHALI UTTAR,S25269,81153,Bharatiya Janata Party,111379,30226
BARDHAMAN DAKSHIN,S25260,77284,Bharatiya Janata Party,107754,30470
KHARAGPUR SADAR,S25224,59379,Bharatiya Janata Party,89885,30506
NANDAKUMAR,S25207,100873,Bharatiya Janata Party,131476,30603
BISHNUPUR,S25255,80477,Bharatiya Janata Party,111082,30605
DURGAPUR PURBA,S25276,77954,Bharatiya Janata Party,108888,30934
TARAKESWAR,S25198,85902,Bharatiya Janata Party,116901,30999
HABRA,S25100,73183,Bharatiya Janata Party,104645,31462
KANTHI DAKSHIN,S25216,86747,Bharatiya Janata Party,118219,31472
MURSHIDABAD,S2564,82922,Bharatiya Janata Party,114443,31521
ONDA,S25254,96573,Bharatiya Janata Party,128296,31723
BHANGAR,S25148,94467,All India Secular Front,126555,32088
DASPUR,S25230,100937,Bharatiya Janata Party,133071,32134
SALTORA,S25247,83045,Bharatiya Janata Party,115180,32135
PANSKURA PASCHIM,S25205,105352,Bharatiya Janata Party,137919,32567
KHEJURI,S25215,97185,Bharatiya Janata Party,129875,32690
CHANDRAKONA,S25232,107036,Bharatiya Janata Party,140517,33481
PARA,S25245,79767,Bharatiya Janata Party,113488,33721
KATULPUR,S25256,91874,Bharatiya Janata Party,126241,34367
KHANAKUL,S25202,92246,Bharatiya Janata Party,126729,34483
BARASAT,S25119,87613,Bharatiya Janata Party,122171,34558
NATABARI,S258,92298,Bharatiya Janata Party,126911,34613
BAGDA,S2594,86691,Bharatiya Janata Party,121307,34616
TAMLUK,S25203,101837,Bharatiya Janata Party,136566,34729
KALYANI,S2592,79677,Bharatiya Janata Party,114469,34792
BALARAMPUR,S25239,83370,Bharatiya Janata Party,118421,35051
KATWA,S25270,86954,Bharatiya Janata Party,122020,35066
SONARPUR DAKSHIN,S25147,93188,Bharatiya Janata Party,128970,35782
CHAKDAHA,S2591,78488,Bharatiya Janata Party,115433,36945
TAPAN,S2540,68793,Bharatiya Janata Party,105780,36987
BIDHANNAGAR,S25116,60649,Bharatiya Janata Party,97979,37330
DURGAPUR PASCHIM,S25277,77131,Bharatiya Janata Party,114729,37598
GHATAL,S25231,93893,Bharatiya Janata Party,131550,37657
BANGAON DAKSHIN,S2596,81585,Bharatiya Janata Party,119399,37814
KALCHINI,S2511,76916,Bharatiya Janata Party,114759,37843
JHARGRAM,S25222,82730,Bharatiya Janata Party,120877,38147
GAZOLE,S2544,93349,Bharatiya Janata Party,131541,38192
DHUPGURI,S2515,96248,Bharatiya Janata Party,134798,38550
MEDINIPUR,S25236,94294,Bharatiya Janata Party,133041,38747
BANGAON UTTAR,S2595,78647,Bharatiya Janata Party,119317,40670
