constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S25228,WEST BENGAL,KHARAGPUR,DINEN ROY,All India Trinamool Congress,98320,TAPAN BHUYA,Bharatiya Janata Party,95448,2872
S25102,WEST BENGAL,AMDANGA,MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress,81670,ARINDAM DEY,Bharatiya Janata Party,78675,2995
S25187,WEST BENGAL,CHAMPDANI,DILIP SINGH,Bharatiya Janata Party,93704,ARINDAM GUIN (BUBAI),All India Trinamool Congress,90678,3026
S25196,WEST BENGAL,HARIPAL,MADHUMITA GHOSH,Bharatiya Janata Party,113332,KARABI MANNA,All India Trinamool Congress,109844,3488
S25288,WEST BENGAL,LABPUR,DEBASIS OJHA (HAKU DA),Bharatiya Janata Party,106402,ABHIJIT SINHA (RANA),All India Trinamool Congress,102852,3550
S25177,WEST BENGAL,ULUBERIA UTTAR,CHIRAN BERA,Bharatiya Janata Party,93320,BIMAL KUMAR DAS,All India Trinamool Congress,89143,4177
S25181,WEST BENGAL,AMTA,AMIT SAMANTA,Bharatiya Janata Party,104649,SUKANTA KUMAR PAUL,All India Trinamool Congress,100195,4454
S25131,WEST BENGAL,KAKDWIP,DIPANKAR JANA,Bharatiya Janata Party,109373,MANTURAM PAKHIRA,All India Trinamool Congress,104613,4760
S25130,WEST BENGAL,PATHARPRATIMA,SAMIR KUMAR JANA,All India Trinamool Congress,117164,ASIT KUMAR HALDAR,Bharatiya Janata Party,112291,4873
S25192,WEST BENGAL,PANDUA,TUSAR KUMAR MAJUMDAR,Bharatiya Janata Party,101349,SAMIR CHAKRABORTY,All India Trinamool Congress,96121,5228
S25126,WEST BENGAL,HINGALGANJ,REKHA PATRA,Bharatiya Janata Party,100207,ANANDA SARKAR,All India Trinamool Congress,94786,5421
S25112,WEST BENGAL,KAMARHATI,MADAN MITRA,All India Trinamool Congress,64817,ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,59171,5646
S25165,WEST BENGAL,JORASANKO,VIJAY OJHA,Bharatiya Janata Party,52868,VIJAY UPADHYAY,All India Trinamool Congress,47071,5797
S2565,WEST BENGAL,NABAGRAM,DILIP SAHA,Bharatiya Janata Party,78739,PRONAB CHANDRA DAS,All India Trinamool Congress,72820,5919
S25134,WEST BENGAL,RAIDIGHI,TAPAS MONDAL S/O-SHIBPRASAD MONDAL,All India Trinamool Congress,118991,PALASH RANA,Bharatiya Janata Party,113034,5957
S25152,WEST BENGAL,TOLLYGANJ,PAPIA ADHIKARY,Bharatiya Janata Party,88407,AROOP BISWAS,All India Trinamool Congress,82394,6013
S2523,WEST BENGAL,DARJEELING,NOMAN RAI,Bharatiya Janata Party,62076,BIJOY KUMAR RAI,Bharatiya Gorkha Prajatantrik Morcha,56019,6057
S25220,WEST BENGAL,NAYAGRAM,AMIYA KISKU,Bharatiya Janata Party,100857,DULAL MURMU,All India Trinamool Congress,94433,6424
S25266,WEST BENGAL,BARDHAMAN UTTAR,NISITH KUMAR MALIK,All India Trinamool Congress,112688,SANJOY DAS,Bharatiya Janata Party,106228,6460
S25267,WEST BENGAL,BHATAR,KARFA SOUMEN,Bharatiya Janata Party,98820,KONER SHANTANU,All India Trinamool Congress,92292,6528
S25183,WEST BENGAL,JAGATBALLAVPUR,ANUPAM GHOSH,Bharatiya Janata Party,115608,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,108937,6671
S2538,WEST BENGAL,KUMARGANJ,TORAF HOSSAIN MANDAL,All India Trinamool Congress,82791,SUBHENDU SARKAR,Bharatiya Janata Party,76106,6685
S25265,WEST BENGAL,MEMARI,MANAB GUHA,Bharatiya Janata Party,106428,RASH BIHARI  HALDER,All India Trinamool Congress,99322,7106
S2556,WEST BENGAL,SAMSERGANJ,MOHAMMED NOOR ALAM,All India Trinamool Congress,61918,MD NAJME ALAM,Indian National Congress,54331,7587
S25173,WEST BENGAL,HOWRAH DAKSHIN,NANDITA CHOWDHURY,All India Trinamool Congress,100540,SHYAMAL KUMAR HATI,Bharatiya Janata Party,92712,7828
S25132,WEST BENGAL,SAGAR,SUMANTA MANDAL,Bharatiya Janata Party,127802,BANKIM CHANDRA HAZRA,All India Trinamool Congress,119921,7881
S25287,WEST BENGAL,NANOOR,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,119910,KHOKAN DAS,Bharatiya Janata Party,111788,8122
S2555,WEST BENGAL,FARAKKA,MOTAB SHAIKH,Indian National Congress,63050,SUNIL CHOWDHURI,Bharatiya Janata Party,54857,8193
S25259,WEST BENGAL,KHANDAGHOSH,NABIN CHANDRA BAG,All India Trinamool Congress,104183,GOUTAM DHARA,Bharatiya Janata Party,95899,8284
S25186,WEST BENGAL,SREERAMPUR,BHASKAR BHATTACHARYA,Bharatiya Janata Party,85644,TANMOY GHOSH,All India Trinamool Congress,76959,8685
S25212,WEST BENGAL,PATASHPUR,TAPAN MAITY,Bharatiya Janata Party,116589,PIJUS KANTI PANDA,All India Trinamool Congress,107538,9051
S2537,WEST BENGAL,KUSHMANDI,TAPAS CHANDRA ROY,Bharatiya Janata Party,97437,REKHA ROY,All India Trinamool Congress,88374,9063
S2566,WEST BENGAL,KHARGRAM,MITALI MAL,Bharatiya Janata Party,77748,ASHIS MARJIT,All India Trinamool Congress,68415,9333
S25101,WEST BENGAL,ASHOKNAGAR,DR. SUMAY HIRA,Bharatiya Janata Party,96807,NARAYAN GOSWAMI,All India Trinamool Congress,87399,9408
S25124,WEST BENGAL,BASIRHAT DAKSHIN,SURAJIT MITRA (BADAL),All India Trinamool Congress,112965,DR. SOURYA BANERJEE,Bharatiya Janata Party,103421,9544
S25210,WEST BENGAL,NANDIGRAM,ADHIKARI SUVENDU,Bharatiya Janata Party,127301,PABITRA KAR,All India Trinamool Congress,117636,9665
S25151,WEST BENGAL,SONARPUR UTTAR,DEBASISH DHAR,Bharatiya Janata Party,119824,FIRDOUSI BEGAM,All India Trinamool Congress,110017,9807
S2580,WEST BENGAL,KALIGANJ,ALIFA AHMED,All India Trinamool Congress,89292,BAPAN GHOSH,Bharatiya Janata Party,79120,10172
S2577,WEST BENGAL,KARIMPUR,SAMARENDRANATH GHOSH,Bharatiya Janata Party,105234,SOHAM CHAKRABORTY,All India Trinamool Congress,95049,10185
S25289,WEST BENGAL,SAINTHIA,KRISHNA KANTA SAHA,Bharatiya Janata Party,115054,NILABATI SAHA,All India Trinamool Congress,104748,10306
S2568,WEST BENGAL,KANDI,GARGI DAS GHOSH,Bharatiya Janata Party,73355,APURBA SARKAR (DAVID),All India Trinamool Congress,63020,10335
S25219,WEST BENGAL,DANTAN,AJIT KUMAR JANA,Bharatiya Janata Party,110259,MANIK MAITI,All India Trinamool Congress,99883,10376
S25133,WEST BENGAL,KULPI,BARNALI DHARA,All India Trinamool Congress,91266,ABANI NASKAR,Bharatiya Janata Party,80883,10383
S25185,WEST BENGAL,UTTARPARA,DIPANJAN CHAKRABORTY,Bharatiya Janata Party,80612,SIRSANYA BANDOPADHYAY,All India Trinamool Congress,70197,10415
S25104,WEST BENGAL,NAIHATI,SUMITRO CHATTERJEE,Bharatiya Janata Party,77484,SANAT DEY,All India Trinamool Congress,67054,10430
S25274,WEST BENGAL,GALSI,RAJU PATRA,Bharatiya Janata Party,110640,ALOK KUMAR MAJHI,All India Trinamool Congress,100146,10494
S2552,WEST BENGAL,MOTHABARI,ISLAM MD NAJRUL,All India Trinamool Congress,65705,NIBARAN GHOSH,Bharatiya Janata Party,55209,10496
S2558,WEST BENGAL,JANGIPUR,CHITTA MUKHERJEE,Bharatiya Janata Party,91201,JAKIR HOSSAIN,All India Trinamool Congress,80659,10542
S25226,WEST BENGAL,SABANG,AMAL KUMAR PANDA,Bharatiya Janata Party,127783,MANAS RANJAN BHUNIA,All India Trinamool Congress,116647,11136
S25262,WEST BENGAL,JAMALPUR,ARUN HALDER,Bharatiya Janata Party,99936,BHUTNATH MALIK,All India Trinamool Congress,88758,11178
S25170,WEST BENGAL,HOWRAH UTTAR,UMESH RAI,Bharatiya Janata Party,67539,GAUTAM CHOWDHURY,All India Trinamool Congress,56289,11250
S25180,WEST BENGAL,BAGNAN,ARUNAVA SEN,All India Trinamool Congress,105060,PRAMANSHU RANA,Bharatiya Janata Party,93744,11316
S2579,WEST BENGAL,PALASHIPARA,RUKBANUR RAHMAN,All India Trinamool Congress,89241,ANIMA DUTTA,Bharatiya Janata Party,77787,11454
S25281,WEST BENGAL,ASANSOL UTTAR,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,104516,MOLOY GHATAK,All India Trinamool Congress,92901,11615
S25283,WEST BENGAL,BARABANI,ARIJIT ROY,Bharatiya Janata Party,91777,BIDHAN UPADHYAY,All India Trinamool Congress,80055,11722
S25176,WEST BENGAL,ULUBERIA PURBA,RITABRATA BANERJEE,All India Trinamool Congress,95633,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,83795,11838
S25169,WEST BENGAL,BALLY,SANJAY KUMAR SINGH,Bharatiya Janata Party,57639,KAILASH KUMAR MISHRA,All India Trinamool Congress,45642,11997
S25182,WEST BENGAL,UDAYNARAYANPUR,SAMIR KUMAR PANJA,All India Trinamool Congress,105802,PROBHAKAR PANDIT,Bharatiya Janata Party,93575,12227
S2557,WEST BENGAL,SUTI,EMANI BISWAS,All India Trinamool Congress,81330,MAHABIR GHOSH,Bharatiya Janata Party,68973,12357
S2533,WEST BENGAL,HEMTABAD,HARIPADA BARMAN,Bharatiya Janata Party,115529,SATYAJIT BARMAN,All India Trinamool Congress,103168,12361
S25273,WEST BENGAL,AUSGRAM,KALITA MAJI,Bharatiya Janata Party,107692,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,95157,12535
S2573,WEST BENGAL,HARIHARPARA,NIAMOT SHEIKH,All India Trinamool Congress,80338,BIJOY SEKH,Aam Janata Unnayan party,67673,12665
S25272,WEST BENGAL,MANGALKOT,SHISHIR GHOSH,Bharatiya Janata Party,104020,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,91297,12723
S25197,WEST BENGAL,DHANEKHALI,ASIMA PATRA,All India Trinamool Congress,123462,BARNALI DAS,Bharatiya Janata Party,110405,13057
S25286,WEST BENGAL,BOLPUR,CHANDRANATH SINHA,All India Trinamool Congress,114915,DILIP GHOSH,Bharatiya Janata Party,101727,13188
S2571,WEST BENGAL,BELDANGA,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,72872,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,59664,13208
S25103,WEST BENGAL,BIJPUR,SUDIPTA DAS,Bharatiya Janata Party,71799,SUBODH ADHIKARY,All India Trinamool Congress,58456,13343
S25189,WEST BENGAL,CHANDANNAGAR,Deepanjan Kumar Guha,Bharatiya Janata Party,86273,Indranil Sen,All India Trinamool Congress,72832,13441
S25293,WEST BENGAL,NALHATI,RAJENDRA PRASAD SINGH(RAJU SINGH),All India Trinamool Congress,87744,ANIL KUMAR SINGH,Bharatiya Janata Party,74298,13446
S2549,WEST BENGAL,MANIKCHAK,GOUR CHANDRA MANDAL,Bharatiya Janata Party,110118,KABITA MANDAL,All India Trinamool Congress,96180,13938
S25166,WEST BENGAL,SHYAMPUKUR,PURNIMA CHAKRABORTY,Bharatiya Janata Party,60248,SHASHI PANJA,All India Trinamool Congress,45615,14633
S25263,WEST BENGAL,MONTESWAR,SAIKAT PANJA,Bharatiya Janata Party,96559,CHOWDHURI SIDDIQULLAH,All India Trinamool Congress,81761,14798
S25159,WEST BENGAL,BHABANIPUR,ADHIKARI SUVENDU,Bharatiya Janata Party,73917,MAMATA BANERJEE,All India Trinamool Congress,58812,15105
S25234,WEST BENGAL,SALBONI,BIMAN MAHATA,Bharatiya Janata Party,132856,SRIKANTA MAHATA,All India Trinamool Congress,117613,15243
S2520,WEST BENGAL,MAL,SUKRA MUNDA,Bharatiya Janata Party,112095,BULU CHIK BARAIK,All India Trinamool Congress,96603,15492
S25167,WEST BENGAL,MANIKTALA,TAPAS ROY,Bharatiya Janata Party,76370,SHRREYA PANDE,All India Trinamool Congress,60726,15644
S25108,WEST BENGAL,BARRACKPUR,KAUSTUV BAGCHI,Bharatiya Janata Party,78466,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,62644,15822
S25223,WEST BENGAL,KESHIARY,BHADRA HEMRAM,Bharatiya Janata Party,113713,RAMJIBAN MANDI,All India Trinamool Congress,97826,15887
S2598,WEST BENGAL,SWARUPNAGAR,BINA MONDAL,All India Trinamool Congress,94813,TARAK SAHA,Bharatiya Janata Party,78796,16017
S25172,WEST BENGAL,SHIBPUR,RUDRANIL GHOSH,Bharatiya Janata Party,89615,DR. RANA CHATTERJEE,All India Trinamool Congress,73557,16058
S25171,WEST BENGAL,HOWRAH MADHYA,ARUP ROY,All India Trinamool Congress,95948,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,79865,16083
S25127,WEST BENGAL,GOSABA,BIKARNA NASKAR,Bharatiya Janata Party,108492,SUBRATA MONDAL,All India Trinamool Congress,92392,16100
S25206,WEST BENGAL,MOYNA,ASHOKE DINDA,Bharatiya Janata Party,127166,CHANDAN MONDAL,All India Trinamool Congress,110925,16241
S2575,WEST BENGAL,DOMKAL,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),107882,HUMAYUN KABIR,All India Trinamool Congress,91586,16296
S25268,WEST BENGAL,PURBASTHALI DAKSHIN,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,111004,SWAPAN DEBNATH,All India Trinamool Congress,94342,16662
S25174,WEST BENGAL,SANKRAIL,PRIYA PAUL,All India Trinamool Congress,105412,BARNALI DHALI NASKAR,Bharatiya Janata Party,88672,16740
S25113,WEST BENGAL,BARANAGAR,SAJAL GHOSH,Bharatiya Janata Party,81730,SAYANTIKA BANERJEE,All India Trinamool Congress,64774,16956
S2524,WEST BENGAL,KURSEONG,SONAM LAMA,Bharatiya Janata Party,74878,AMAR LAMA,Bharatiya Gorkha Prajatantrik Morcha,57871,17007
S25178,WEST BENGAL,ULUBERIA DAKSHIN,PULAK ROY,All India Trinamool Congress,109649,SWAMI MANGALANANDA PURI,Bharatiya Janata Party,92462,17187
S2581,WEST BENGAL,NAKASHIPARA,SANTANU DEY,Bharatiya Janata Party,100600,KALLOL KHAN,All India Trinamool Congress,83273,17327
S257,WEST BENGAL,DINHATA,AJAY RAY,Bharatiya Janata Party,138255,UDAYAN GUHA,All India Trinamool Congress,120808,17447
S25123,WEST BENGAL,SANDESHKHALI,SANAT SARDAR,Bharatiya Janata Party,107189,JHARNA SARDAR,All India Trinamool Congress,89679,17510
S2572,WEST BENGAL,BAHARAMPUR,SUBRATA MAITRA (KANCHAN),Bharatiya Janata Party,91088,ADHIR RANJAN CHOWDHURY,Indian National Congress,73540,17548
S25107,WEST BENGAL,NOAPARA,ARJUN SINGH,Bharatiya Janata Party,94415,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,76759,17656
S25278,WEST BENGAL,RANIGANJ,PARTHA GHOSH,Bharatiya Janata Party,97416,KALOBARAN MONDAL,All India Trinamool Congress,79630,17786
S25120,WEST BENGAL,DEGANGA,ANISUR RAHAMAN BIDESH,All India Trinamool Congress,101114,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,83296,17818
S25140,WEST BENGAL,BARUIPUR PASCHIM,BIMAN BANERJEE,All India Trinamool Congress,104781,BISWAJIT PAUL,Bharatiya Janata Party,86919,17862
S25204,WEST BENGAL,PANSKURA PURBA,SUBRATA MAITY(RANA),Bharatiya Janata Party,109264,ASHIM KUMAR MAJI,All India Trinamool Congress,91361,17903
S25227,WEST BENGAL,PINGLA,SWAGATA MANNA,Bharatiya Janata Party,124189,AJIT MAITY,All India Trinamool Congress,105709,18480
S2561,WEST BENGAL,LALGOLA,ABDUL AZIZ DOCTOR,All India Trinamool Congress,67954,TOUHIDUR RAHAMAN SUMAN,Indian National Congress,48994,18960
S25194,WEST BENGAL,CHANDITALA,SWATI KHANDOKER,All India Trinamool Congress,107143,DEBASISH MUKHERJEE,Bharatiya Janata Party,87480,19663
S2532,WEST BENGAL,KARANDIGHI,BIRAJ BISWAS,Bharatiya Janata Party,96260,GOUTAM PAUL,All India Trinamool Congress,76391,19869
S25213,WEST BENGAL,KANTHI UTTAR,SUMITA SINHA,Bharatiya Janata Party,130088,DEBASIS BHUNYA,All India Trinamool Congress,110033,20055
S25211,WEST BENGAL,CHANDIPUR,PIJUSH KANTI DAS,Bharatiya Janata Party,126047,UTTAM BARIK,All India Trinamool Congress,105777,20270
S25225,WEST BENGAL,NARAYANGARH,GIRI RAMAPRASAD,Bharatiya Janata Party,116050,PRATIBHA MAITI,All India Trinamool Congress,95683,20367
S25160,WEST BENGAL,RASHBEHARI,DASGUPTA SWAPAN,Bharatiya Janata Party,74123,DEBASISH KUMAR (DEBA),All India Trinamool Congress,53258,20865
S25214,WEST BENGAL,BHAGABANPUR,SANTANU PRAMANIK,Bharatiya Janata Party,130586,MANAB KUMAR PARUA,All India Trinamool Congress,109708,20878
S25106,WEST BENGAL,JAGATDAL,DR. RAJESH KUMAR,Bharatiya Janata Party,94351,SOMENATH SHYAM ICHINI,All India Trinamool Congress,73442,20909
S25149,WEST BENGAL,KASBA,AHMED JAVED KHAN,All India Trinamool Congress,117893,BANERJEE SANDIP,Bharatiya Janata Party,96919,20974
S25290,WEST BENGAL,MAYURESWAR,DUDH KUMAR MONDAL,Bharatiya Janata Party,107056,ABHIJIT ROY,All India Trinamool Congress,86054,21002
S25244,WEST BENGAL,KASHIPUR,KAMALA KANTA HANSDA,Bharatiya Janata Party,106571,SOUMEN BELTHARIA,All India Trinamool Congress,85295,21276
S25188,WEST BENGAL,SINGUR,ARUP KUMAR DAS,Bharatiya Janata Party,113008,BECHARAM MANNA,All India Trinamool Congress,91570,21438
S2584,WEST BENGAL,NABADWIP,SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,108631,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,87187,21444
S2522,WEST BENGAL,KALIMPONG,BHARAT KUMAR CHETRI,Bharatiya Janata Party,84290,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,62826,21464
S2518,WEST BENGAL,RAJGANJ,DINESH SARKAR,Bharatiya Janata Party,114657,SWAPNA BARMAN,All India Trinamool Congress,93180,21477
S2576,WEST BENGAL,JALANGI,BABAR ALI,All India Trinamool Congress,88684,IANUS ALI SARKAR,Communist Party of India (Marxist),67168,21516
S25162,WEST BENGAL,CHOWRANGEE,BANDYOPADHYAY NAYNA,All India Trinamool Congress,62938,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,40936,22002
S2593,WEST BENGAL,HARINGHATA,ASIM KUMAR SARKAR,Bharatiya Janata Party,107900,DR. RAJIB BISWAS.,All India Trinamool Congress,85845,22055
S25241,WEST BENGAL,JOYPUR,BISWAJIT MAHATO,Bharatiya Janata Party,104668,ARJUN MAHATO,All India Trinamool Congress,82450,22218
S25179,WEST BENGAL,SHYAMPUR,DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),Bharatiya Janata Party,125651,NADEBASI JANA,All India Trinamool Congress,103391,22260
S2567,WEST BENGAL,BURWAN,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,91661,PROTIMA RAJAK,All India Trinamool Congress,69361,22300
S25279,WEST BENGAL,JAMURIA,DR. BIJAN MUKHERJEE,Bharatiya Janata Party,90150,HARERAM SINGH,All India Trinamool Congress,67636,22514
S25105,WEST BENGAL,BHATPARA,PAWAN KUMAR SINGH,Bharatiya Janata Party,61683,AMIT GUPTA,All India Trinamool Congress,38876,22807
S25237,WEST BENGAL,BINPUR,DR. PRANAT TUDU,Bharatiya Janata Party,107238,BIRBAHA HANSDA,All India Trinamool Congress,84261,22977
S254,WEST BENGAL,COOCHBEHAR DAKSHIN,RATHINDRA BOSE,Bharatiya Janata Party,108482,AVIJIT DE BHOWMIK,All India Trinamool Congress,85198,23284
S25193,WEST BENGAL,SAPTAGRAM,SWARAJ GHOSH,Bharatiya Janata Party,102414,BIDESH RANJAN BOSE,All India Trinamool Congress,79125,23289
S25291,WEST BENGAL,RAMPURHAT,DHRUBA SAHA,Bharatiya Janata Party,111920,ASISH BANERJEE,All India Trinamool Congress,87687,24233
S25109,WEST BENGAL,KHARDAHA,KALYAN CHAKRABORTI,Bharatiya Janata Party,97752,DEVADEEP PUROHIT,All India Trinamool Congress,73266,24486
S25154,WEST BENGAL,BEHALA PASCHIM,DR. INDRANIL KHAN,Bharatiya Janata Party,113171,RATNA CHATTERJEE,All India Trinamool Congress,88472,24699
S25153,WEST BENGAL,BEHALA PURBA,SANKAR SIKDER,Bharatiya Janata Party,115502,SUBHASISH CHAKRABORTY,All India Trinamool Congress,90365,25137
S25114,WEST BENGAL,DUM DUM,ARIJIT BAKSHI,Bharatiya Janata Party,99181,BRATYABRATA BASU,All India Trinamool Congress,73908,25273
S255,WEST BENGAL,SITALKUCHI,SABITRI BARMAN,Bharatiya Janata Party,144367,HARIHAR DAS,All India Trinamool Congress,119089,25278
S25218,WEST BENGAL,EGRA,ADHIKARI DIBYENDU,Bharatiya Janata Party,142670,TARUN KUMAR MAITY,All India Trinamool Congress,116978,25692
S2521,WEST BENGAL,NAGRAKATA,PUNA BHENGRA,Bharatiya Janata Party,103478,SANJAY KUJUR,All India Trinamool Congress,77620,25858
S25233,WEST BENGAL,GARBETA,PRADIP LODHA,Bharatiya Janata Party,113752,UTTARA SINGHA (HAZRA),All India Trinamool Congress,87527,26225
S25208,WEST BENGAL,MAHISADAL,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,121584,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,95346,26238
S25136,WEST BENGAL,JAYNAGAR,BISWANATH DAS,All India Trinamool Congress,108194,ALOKE HALDER,Bharatiya Janata Party,81844,26350
S25110,WEST BENGAL,DUM DUM UTTAR,SOURAV SIKDAR,Bharatiya Janata Party,103284,CHANDRIMA BHATTACHARYA,All India Trinamool Congress,76880,26404
S259,WEST BENGAL,TUFANGANJ,MALATI RAVA ROY,Bharatiya Janata Party,122525,SHIBSANKAR PAUL,All India Trinamool Congress,96068,26457
S25282,WEST BENGAL,KULTI,AJAY KUMAR PODDAR,Bharatiya Janata Party,103570,ABHIJIT GHATAK,All India Trinamool Congress,77072,26498
S25221,WEST BENGAL,GOPIBALLAVPUR,RAJESH MAHATA,Bharatiya Janata Party,114683,AJIT MAHATA,All India Trinamool Congress,88008,26675
S25217,WEST BENGAL,RAMNAGAR,DR. CHANDRA SEKHAR MONDAL,Bharatiya Janata Party,131808,AKHIL GIRI,All India Trinamool Congress,104869,26939
S25243,WEST BENGAL,MANBAZAR,MAYNA MURMU,Bharatiya Janata Party,120487,SANDHYA RANI TUDU,All India Trinamool Congress,93204,27283
S25271,WEST BENGAL,KETUGRAM,ANADI GHOSH,Bharatiya Janata Party,111104,SEKH SAHONAWEZ,All India Trinamool Congress,83494,27610
S25284,WEST BENGAL,DUBRAJPUR,ANUP KUMAR SAHA,Bharatiya Janata Party,117437,NARESH CHANDRA BAURI,All India Trinamool Congress,89790,27647
S25150,WEST BENGAL,JADAVPUR,SARBORI MUKHERJEE,Bharatiya Janata Party,106199,DEBABRATA MAJUMDAR (MALAY),All India Trinamool Congress,78483,27716
S25117,WEST BENGAL,RAJARHAT  GOPALPUR,TARUNJYOTI TEWARI,Bharatiya Janata Party,101277,ADITI MUNSHI,All India Trinamool Congress,73520,27757
S2585,WEST BENGAL,KRISHNANAGAR DAKSHIN,SADHAN GHOSH,Bharatiya Janata Party,102862,UJJAL BISWAS,All India Trinamool Congress,75061,27801
S2536,WEST BENGAL,ITAHAR,MOSARAF HUSSEN,All India Trinamool Congress,98172,SABITA BARMAN,Bharatiya Janata Party,70294,27878
S2574,WEST BENGAL,NOWDA,HUMAYUN KABIR,Aam Janata Unnayan party,86463,RANA MANDAL,Bharatiya Janata Party,58520,27943
S2531,WEST BENGAL,CHAKULIA,AZAD MINHAJUL ARFIN,All India Trinamool Congress,90277,MANOJ KUMAR JAIN,Bharatiya Janata Party,62266,28011
S2578,WEST BENGAL,TEHATTA,SUBRATA KABIRAJ,Bharatiya Janata Party,112138,DILIP KUMAR PODDAR,All India Trinamool Congress,83885,28253
S25292,WEST BENGAL,HANSAN,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,103223,NIKHIL BANERJEE,Bharatiya Janata Party,74925,28298
S2541,WEST BENGAL,GANGARAMPUR,SATYENDRA NATH ROY,Bharatiya Janata Party,105083,Goutam Das,All India Trinamool Congress,76744,28339
S25164,WEST BENGAL,BELEGHATA,KUNAL KUMAR GHOSH,All India Trinamool Congress,93757,PARTHA CHAUDHURY,Bharatiya Janata Party,65181,28576
S25264,WEST BENGAL,KALNA,SIDDHARTHA MAJUMDAR,Bharatiya Janata Party,110790,DEBO PRASAD BAG (POLTU),All India Trinamool Congress,82160,28630
S25285,WEST BENGAL,SURI,JAGANNATH CHATTOPADHYAY,Bharatiya Janata Party,124243,UJJAL CHATTERJEE,All India Trinamool Congress,95557,28686
S25250,WEST BENGAL,RAIPUR,KSHETRAMOHAN HANSDA,Bharatiya Janata Party,111443,THAKURMANI SAREN,All India Trinamool Congress,82701,28742
S25229,WEST BENGAL,DEBRA,SUBHASHIS OM,Bharatiya Janata Party,114463,RAJIB BANERJEE,All India Trinamool Congress,85662,28801
S25111,WEST BENGAL,PANIHATI,RATNA DEBNATH,Bharatiya Janata Party,87977,TIRTHANKAR GHOSH,All India Trinamool Congress,59141,28836
S25200,WEST BENGAL,ARAMBAG,BAG HEMANTA,Bharatiya Janata Party,123000,BAG MITA,All India Trinamool Congress,94041,28959
