constituency_code,constituency,state,no_of_candidates
S25270,KATWA,WEST BENGAL,11
S25239,BALARAMPUR,WEST BENGAL,11
S25271,KETUGRAM,WEST BENGAL,11
S2556,SAMSERGANJ,WEST BENGAL,11
S2592,KALYANI,WEST BENGAL,11
S25174,SANKRAIL,WEST BENGAL,11
S2569,BHARATPUR,WEST BENGAL,11
S2578,TEHATTA,WEST BENGAL,11
S2577,KARIMPUR,WEST BENGAL,10
S25220,NAYAGRAM,WEST BENGAL,10
S2582,CHAPRA,WEST BENGAL,10
S2525,MATIGARA-NAXALBARI,WEST BENGAL,10
S25288,LABPUR,WEST BENGAL,10
S2567,BURWAN,WEST BENGAL,10
S25213,KANTHI UTTAR,WEST BENGAL,10
S25110,DUM DUM UTTAR,WEST BENGAL,10
S2514,MADARIHAT,WEST BENGAL,10
S25129,KULTALI,WEST BENGAL,10
S2579,PALASHIPARA,WEST BENGAL,10
S25228,KHARAGPUR,WEST BENGAL,10
S25279,JAMURIA,WEST BENGAL,10
S2561,LALGOLA,WEST BENGAL,10
S25204,PANSKURA PURBA,WEST BENGAL,10
S25133,KULPI,WEST BENGAL,10
S25101,ASHOKNAGAR,WEST BENGAL,10
S25258,SONAMUKHI,WEST BENGAL,10
S2581,NAKASHIPARA,WEST BENGAL,10
S25272,MANGALKOT,WEST BENGAL,10
S2562,BHAGAWANGOLA,WEST BENGAL,10
S25276,DURGAPUR PURBA,WEST BENGAL,10
S25260,BARDHAMAN DAKSHIN,WEST BENGAL,10
S25177,ULUBERIA UTTAR,WEST BENGAL,10
S25160,RASHBEHARI,WEST BENGAL,10
S25182,UDAYNARAYANPUR,WEST BENGAL,10
S2564,MURSHIDABAD,WEST BENGAL,10
S2566,KHARGRAM,WEST BENGAL,10
S25253,BARJORA,WEST BENGAL,10
S25105,BHATPARA,WEST BENGAL,10
S25187,CHAMPDANI,WEST BENGAL,10
S25202,KHANAKUL,WEST BENGAL,10
S25293,NALHATI,WEST BENGAL,10
S25266,BARDHAMAN UTTAR,WEST BENGAL,10
S25114,DUM DUM,WEST BENGAL,10
S25108,BARRACKPUR,WEST BENGAL,10
S25290,MAYURESWAR,WEST BENGAL,10
S25237,BINPUR,WEST BENGAL,10
S25127,GOSABA,WEST BENGAL,10
S25193,SAPTAGRAM,WEST BENGAL,10
S25104,NAIHATI,WEST BENGAL,10
S25289,SAINTHIA,WEST BENGAL,10
S25126,HINGALGANJ,WEST BENGAL,10
S25224,KHARAGPUR SADAR,WEST BENGAL,10
S2576,JALANGI,WEST BENGAL,10
S25192,PANDUA,WEST BENGAL,10
S25188,SINGUR,WEST BENGAL,10
S25250,RAIPUR,WEST BENGAL,10
S25208,MAHISADAL,WEST BENGAL,10
S25231,GHATAL,WEST BENGAL,10
S258,NATABARI,WEST BENGAL,10
S25221,GOPIBALLAVPUR,WEST BENGAL,10
S2558,JANGIPUR,WEST BENGAL,10
S2538,KUMARGANJ,WEST BENGAL,9
S25261,RAINA,WEST BENGAL,9
S2541,GANGARAMPUR,WEST BENGAL,9
S2570,REJINAGAR,WEST BENGAL,9
S25141,MAGRAHAT PURBA,WEST BENGAL,9
S2571,BELDANGA,WEST BENGAL,9
S2590,RANAGHAT DAKSHIN,WEST BENGAL,9
S2559,RAGHUNATHGANJ,WEST BENGAL,9
S25244,KASHIPUR,WEST BENGAL,9
S25278,RANIGANJ,WEST BENGAL,9
S2552,MOTHABARI,WEST BENGAL,9
S25280,ASANSOL DAKSHIN,WEST BENGAL,9
S25138,CANNING PASCHIM,WEST BENGAL,9
S25248,CHHATNA,WEST BENGAL,9
S25123,SANDESHKHALI,WEST BENGAL,9
S256,SITAI,WEST BENGAL,9
S25252,BANKURA,WEST BENGAL,9
S25139,CANNING PURBA,WEST BENGAL,9
S2598,SWARUPNAGAR,WEST BENGAL,9
S25274,GALSI,WEST BENGAL,9
S2521,NAGRAKATA,WEST BENGAL,9
S25122,MINAKHAN,WEST BENGAL,9
S257,DINHATA,WEST BENGAL,9
S25207,NANDAKUMAR,WEST BENGAL,9
S25262,JAMALPUR,WEST BENGAL,9
S25183,JAGATBALLAVPUR,WEST BENGAL,9
S2513,FALAKATA,WEST BENGAL,9
S25251,TALDANGRA,WEST BENGAL,9
S25145,SATGACHHIA,WEST BENGAL,9
S25269,PURBASTHALI UTTAR,WEST BENGAL,9
S25230,DASPUR,WEST BENGAL,9
S2528,CHOPRA,WEST BENGAL,9
S25246,RAGHUNATHPUR,WEST BENGAL,9
S2527,PHANSIDEWA,WEST BENGAL,9
S25257,INDUS,WEST BENGAL,9
S25206,MOYNA,WEST BENGAL,9
S25243,MANBAZAR,WEST BENGAL,9
S25226,SABANG,WEST BENGAL,9
S2537,KUSHMANDI,WEST BENGAL,9
S25194,CHANDITALA,WEST BENGAL,9
S25229,DEBRA,WEST BENGAL,9
S25146,BISHNUPUR,WEST BENGAL,9
S2520,MAL,WEST BENGAL,9
S25263,MONTESWAR,WEST BENGAL,9
S25223,KESHIARY,WEST BENGAL,9
S25128,BASANTI,WEST BENGAL,9
S25238,BANDWAN,WEST BENGAL,9
S25199,PURSURAH,WEST BENGAL,9
S2549,MANIKCHAK,WEST BENGAL,8
S25217,RAMNAGAR,WEST BENGAL,8
S25233,GARBETA,WEST BENGAL,8
S25185,UTTARPARA,WEST BENGAL,8
S25130,PATHARPRATIMA,WEST BENGAL,8
S2583,KRISHNANAGAR UTTAR,WEST BENGAL,8
S25191,BALAGARH,WEST BENGAL,8
S25264,KALNA,WEST BENGAL,8
S25211,CHANDIPUR,WEST BENGAL,8
S25235,KESHPUR,WEST BENGAL,8
S25214,BHAGABANPUR,WEST BENGAL,8
S25212,PATASHPUR,WEST BENGAL,8
S25284,DUBRAJPUR,WEST BENGAL,8
S25265,MEMARI,WEST BENGAL,8
S25205,PANSKURA PASCHIM,WEST BENGAL,8
S25256,KATULPUR,WEST BENGAL,8
S25259,KHANDAGHOSH,WEST BENGAL,8
S25268,PURBASTHALI DAKSHIN,WEST BENGAL,8
S25132,SAGAR,WEST BENGAL,8
S25283,BARABANI,WEST BENGAL,8
S2565,NABAGRAM,WEST BENGAL,8
S25209,HALDIA,WEST BENGAL,8
S25156,BUDGE BUDGE,WEST BENGAL,8
S2511,KALCHINI,WEST BENGAL,8
S2524,KURSEONG,WEST BENGAL,8
S25254,ONDA,WEST BENGAL,8
S25175,PANCHLA,WEST BENGAL,8
S25197,DHANEKHALI,WEST BENGAL,8
S25255,BISHNUPUR,WEST BENGAL,8
S25287,NANOOR,WEST BENGAL,8
S25219,DANTAN,WEST BENGAL,8
S2522,KALIMPONG,WEST BENGAL,8
S25273,AUSGRAM,WEST BENGAL,7
S25144,FALTA,WEST BENGAL,7
S2523,DARJEELING,WEST BENGAL,7
S25282,KULTI,WEST BENGAL,7
S25218,EGRA,WEST BENGAL,7
S25234,SALBONI,WEST BENGAL,7
S25247,SALTORA,WEST BENGAL,7
S25200,ARAMBAG,WEST BENGAL,7
S25232,CHANDRAKONA,WEST BENGAL,6
S25201,GOGHAT,WEST BENGAL,6
