state,candidate,party,constituency,runner_up_vote_percentage
BIHAR,CHANDAN KUMAR,Rashtriya Janata Dal,RUNNISAIDPUR,38.280
BIHAR,HARI NARAYAN SINGH,Indian National Congress,KUCHAIKOTE,38.080
BIHAR,RENU KUMARI,Rashtriya Janata Dal,BIHARIGANJ,37.990
BIHAR,SHAKEEL AHMAD KHAN,Indian National Congress,KADWA,37.960
BIHAR,SHIV PRAKASH GARIB DAS,Indian National Congress,BACHHWARA,37.920
BIHAR,ANITA DEVI,Rashtriya Janata Dal,NOKHA,37.920
BIHAR,NIRANJAN ROY,Rashtriya Janata Dal,GAIGHAT,37.840
BIHAR,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,UJIARPUR,37.580
BIHAR,MITHILESH KUMAR CHOUDHARY,Indian National Congress,BENIPUR,37.480
BIHAR,MINNATULLAH RAHMANI,Indian National Congress,SUPAUL,37.430
BIHAR,DEEPAK YADAV,Rashtriya Janata Dal,NARKATIAGANJ,37.410
BIHAR,BHARAT BHUSHAN MANDAL,Rashtriya Janata Dal,LAUKAHA,37.370
BIHAR,SUBODH KUMAR,Rashtriya Janata Dal,RAMNAGAR,37.360
BIHAR,ASHOK KUMAR SINGH,Bharatiya Janata Party,RAMGARH,37.290
BIHAR,OMAIR KHAN,Indian National Congress,BIHARSHARIF,37.270
BIHAR,SANJAY KUMAR,Communist Party of India,BANKA,37.250
BIHAR,VINAY KUMAR,Rashtriya Janata Dal,GURUA,37.130
BIHAR,UMESH SAHANI,Vikassheel Insaan Party,DARBHANGA,37.130
BIHAR,AMARNATH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),DARAUNDA,37.100
BIHAR,SUSHIL KUMAR,Rashtriya Janata Dal,CHERIA,37.090
BIHAR,CHANDAN KUMAR ALIAS CHANDAN KUMAR SINHA,Rashtriya Janata Dal,SULTANGANJ,36.970
BIHAR,VIJAY KUMAR S/O GANGA KUMAR YADAV,Rashtriya Janata Dal,SHEIKHPURA,36.960
BIHAR,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal,MADHUBANI,36.650
BIHAR,BAIDYANATH MEHTA,Rashtriya Janata Dal,NIRMALI,36.560
BIHAR,GOPAL RAVI DAS,Communist Party of India (Marxist-Leninist) (Liberation),PHULWARI,36.480
BIHAR,JITENDRA SINGH,Indian National Congress,AMARPUR,36.410
BIHAR,RAM RATAN SINGH,Communist Party of India,TEGHRA,36.400
BIHAR,RAJESH KUMAR,Indian National Congress,KUTUMBA,36.400
BIHAR,RAKESH KUMAR RAUSHAN,Rashtriya Janata Dal,ISLAMPUR,36.370
BIHAR,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,LAURIYA,36.290
BIHAR,KAUSHALENDRA KUMAR,Indian National Congress,NALANDA,36.250
BIHAR,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,Rashtriya Janata Dal,DINARA,36.090
BIHAR,DEO NARAYAN RAJAK,Indian National Congress,BANMANKHI,36.090
BIHAR,NALINI RANJAN JHA ALIAS RUPAN JHA,Indian National Congress,BENIPATTI,36.080
BIHAR,MAHABALI SINGH,Janata Dal (United),KARAKAT,36.070
BIHAR,BIJENDRA CHAUDHARY,Indian National Congress,MUZAFFARPUR,36.060
BIHAR,RAJEEV KUMAR URF MUNNA YADAV,Rashtriya Janata Dal,MINAPUR,36.010
BIHAR,SATENDRA SAH,Rashtriya Janata Dal,SASARAM,35.990
BIHAR,SRIKANT YADAV,Rashtriya Janata Dal,EKMA,35.880
BIHAR,ASHOK KUMAR SINGH,Rashtriya Janata Dal,BARHARA,35.800
BIHAR,MANGAL RAM,Indian National Congress,CHENARI,35.760
BIHAR,GUDDU KUMAR CHANDRAWANSI,Rashtriya Janata Dal,DEHRI,35.520
BIHAR,ARUN KUMAR,Rashtriya Janata Dal,TARAPUR,35.520
BIHAR,WASHI AHMAD,Indian National Congress,BETTIAH,35.390
BIHAR,RAM VILASH PASAVAN,Rashtriya Janata Dal,PIRPAINTI,35.360
BIHAR,ARPANA KUMARI,Vikassheel Insaan Party,BIHPUR,35.190
BIHAR,RAVINA KUSHWAHA,Janata Dal (United),BIBHUTIPUR,35.130
BIHAR,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),MORWA,35.130
BIHAR,VARUN VIJAY,Vikassheel Insaan Party,KESARIA,35.010
BIHAR,VISHAL KUMAR JAISWAL,Rashtriya Janata Dal,MAHARAJGANJ,34.990
BIHAR,CHHOTE LAL RAI,Janata Dal (United),PARSA,34.940
BIHAR,UDAY NARAIN CHOUDHARY,Rashtriya Janata Dal,SIKANDRA,34.850
BIHAR,BISHNU DEO MOCHI,Rashtriya Janata Dal,RAJNAGAR,34.680
BIHAR,SHASHI BHUSHAN RAI ALIAS GAPPU RAI,Indian National Congress,GOVINDGANJ,34.670
BIHAR,SANTOSH KUMAR,Rashtriya Janata Dal,DHAMDAHA,34.530
BIHAR,CHANAKYA PRAKASH RANJAN,Rashtriya Janata Dal,BELHAR,34.330
BIHAR,VEENA DEVI,Rashtriya Janata Dal,MOKAMA,34.180
BIHAR,OM PRAKASH GARG,Indian National Congress,GOPALGANJ,34.150
BIHAR,LALIT KUMAR YADAV,Rashtriya Janata Dal,DARBHANGA RURAL,34.000
BIHAR,VISHWANATH RAM,Indian National Congress,RAJPUR,33.860
BIHAR,SWEETY SINGH,Bharatiya Janata Party,KISHANGANJ,33.860
BIHAR,NAVIN KUMAR,Indian National Congress,BATHNAHA,33.420
BIHAR,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),KALYANPUR,33.200
BIHAR,DR. SATYENDRA YADAV,Communist Party of India (Marxist),MANJHI,33.020
BIHAR,RAKESH KUMAR,Vikassheel Insaan Party,BARURAJ,33.000
BIHAR,PREMSAGAR CHOUDHARY,Rashtriya Janata Dal,SURYAGARHA,32.750
BIHAR,MITHILESH KUMAR NISHAD,Indian National Congress,BELDAUR,32.700
BIHAR,SHAGUFTA AZIM,Janata Dal (United),ARARIA,32.550
BIHAR,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,BELSAND,32.440
BIHAR,NAVEEN KUMAR SINGH URAF ABHAY SINGH,Jan Suraaj Party,MARHAURA,32.420
BIHAR,BRAJ KISHORE RAVI,Indian National Congress,ROSERA,32.370
BIHAR,NABIN KUMAR,Vikassheel Insaan Party,ALAMNAGAR,32.350
BIHAR,SURENDRA KUMAR ALIAS SURENDRA VIVEK,Lok Janshakti Party (Ram Vilas),SAHEBPUR KAMAL,32.200
BIHAR,RAMBRIKSH SADA,Rashtriya Janata Dal,ALAULI,32.030
BIHAR,RAJNISH BHARTI,Rashtriya Janata Dal,KAHALGAON,32.010
BIHAR,MOHAMMAD SHAMSAD ALAM,Rashtriya Janata Dal,JAMUI,31.930
BIHAR,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,VAISHALI,31.890
BIHAR,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),WARISNAGAR,31.750
BIHAR,NITU KUMARI,Indian National Congress,HISUA,31.510
BIHAR,PRAMOD KUMAR VERMA,Rashtriya Janata Dal,SHERGHATI,31.460
BIHAR,MD. IRFAN ALAM,Indian National Congress,KASBA,31.360
BIHAR,NAVNEET KUMAR,Rashtriya Janata Dal,SHEOHAR,31.350
BIHAR,RITU JAISWAL,Independent,PARIHAR,31.170
BIHAR,GHULAM HASNAIN,All India Majlis-E-Ittehadul Muslimeen,THAKURGANJ,31.120
BIHAR,ANIL KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),PIPRA,31.060
BIHAR,INDRADEEP KUMAR CHANDRAVANSHI,Indian National Congress,KUMHRAR,30.520
BIHAR,ARUN KUMAR,Indian National Congress,HARNAUT,30.500
BIHAR,MUJAHID ALAM,Rashtriya Janata Dal,KOCHADHAMAN,30.440
BIHAR,RAVI SHANKAR PASWAN,Independent,MOHANIA,30.150
BIHAR,GANESH BHARTI,Independent,KUSHESHWAR ASTHAN,30.030
BIHAR,NARENDRA KUMAR,Indian Inclusive Party,JAMALPUR,30.010
BIHAR,SANJAY KUMAR TIWARI URF MUNNA TIWARI,Indian National Congress,BUXAR,29.980
BIHAR,KAUSHAL YADAV,Rashtriya Janata Dal,NAWADA,29.690
BIHAR,REKHA KUMARI,Rashtriya Janata Dal,BANKIPUR,29.550
BIHAR,RAVINDRA KUMAR SINGH,Rashtriya Janata Dal,MAHNAR,29.480
BIHAR,VINOD KUMAR,Bharatiya Janata Party,BAISI,29.220
BIHAR,MADAN CHAUDHARY,Rashtriya Lok Morcha,PAROO,29.120
BIHAR,SUMIT KUMAR SINGH,Janata Dal (United),CHAKAI,28.940
BIHAR,MOHAMMAD ADIL HASAN,All India Majlis-E-Ittehadul Muslimeen,BALRAMPUR,28.900
BIHAR,BIRENDRA KUMAR SINGH,Rashtriya Janata Dal,BHABUA,28.830
BIHAR,RAVI RANJAN KUMAR,Rashtriya Janata Dal,ASTHAWAN,28.690
BIHAR,BISHWANATH CHAUDHARY,Communist Party of India (Marxist-Leninist) (Liberation),RAJGIR,28.120
BIHAR,RAM NARAYAN YADAV,Communist Party of India,JHANJHARPUR,27.500
BIHAR,PURNIMA YADAV,Rashtriya Janata Dal,GOBINDPUR,27.460
BIHAR,BRIJ KISHOR BIND,Rashtriya Janata Dal,CHAINPUR,27.290
BIHAR,MOHAMMED MASAWAR ALAM,Indian National Congress,BAHADURGANJ,26.980
BIHAR,RAKESH KUMAR PANDEY,Communist Party of India,HARLAKHI,26.850
BIHAR,SABA ZAFAR,Janata Dal (United),AMOUR,26.710
BIHAR,DIVYA GAUTAM,Communist Party of India (Marxist-Leninist) (Liberation),DIGHA,26.470
BIHAR,PREM SAGAR ALIAS DABLU YADAV,Vikassheel Insaan Party,GOPALPUR,26.380
BIHAR,PRATIMA KUMARI,Indian National Congress,RAJA PAKAR,26.120
BIHAR,UDAY PRATAP SINGH,Bahujan Samaj Party,KARGAHAR,25.870
BIHAR,LAKSHMI NARAYAN PRASAD YADAV,Rashtriya Janata Dal,CHIRAIA,25.810
BIHAR,MANZAR ALAM,Janata Dal (United),JOKIHAT,25.270
BIHAR,TRISHULDHARI SINGH,Indian National Congress,BARBIGHA,25.200
BIHAR,KHURSHID FIROZ AHMAD,Independent,SIKTA,23.740
BIHAR,BIMA BHARTI,Rashtriya Janata Dal,RUPAULI,22.770
BIHAR,BHOGENDRA SAHNI,Vikassheel Insaan Party,AURAI,22.550
BIHAR,SHYAM KISHOR CHAUDHARY,Janshakti Janta Dal,SUGAULI,20.470
BIHAR,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,MAHUA,20.180
