constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S04117,BIHAR,MARHAURA,JITENDRA KUMAR RAI,Rashtriya Janata Dal,86118,NAVEEN KUMAR SINGH URAF ABHAY SINGH,Jan Suraaj Party,58190,27928
S04178,BIHAR,MOKAMA,ANANT KUMAR SINGH,Janata Dal (United),91416,VEENA DEVI,Rashtriya Janata Dal,63210,28206
S04200,BIHAR,BUXAR,ANAND MISHRA,Bharatiya Janata Party,84901,SANJAY KUMAR TIWARI URF MUNNA TIWARI,Indian National Congress,56548,28353
S0452,BIHAR,BAHADURGANJ,MD TAUSEEF ALAM,All India Majlis-E-Ittehadul Muslimeen,87315,MOHAMMED MASAWAR ALAM,Indian National Congress,58589,28726
S0450,BIHAR,JOKIHAT,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,83737,MANZAR ALAM,Janata Dal (United),54934,28803
S0497,BIHAR,PAROO,SHANKAR PRASAD,Rashtriya Janata Dal,95272,MADAN CHAUDHARY,Rashtriya Lok Morcha,66445,28827
S04101,BIHAR,GOPALGANJ,SUBHASH SINGH,Bharatiya Janata Party,96892,OM PRAKASH GARG,Indian National Congress,67920,28972
S0496,BIHAR,BARURAJ,ARUN KUMAR SINGH,Bharatiya Janata Party,96879,RAKESH KUMAR,Vikassheel Insaan Party,67827,29052
S04186,BIHAR,DANAPUR,RAM KRIPAL YADAV,Bharatiya Janata Party,119877,RIT LAL ROY,Rashtriya Janata Dal,90744,29133
S04172,BIHAR,BIHARSHARIF,DR. SUNIL KUMAR,Bharatiya Janata Party,109304,OMAIR KHAN,Indian National Congress,80136,29168
S04152,BIHAR,BIHPUR,KUMAR SHAILENDRA,Bharatiya Janata Party,91458,ARPANA KUMARI,Vikassheel Insaan Party,61433,30025
S04146,BIHAR,BEGUSARAI,KUNDAN KUMAR,Bharatiya Janata Party,119506,AMITA BHUSHAN,Indian National Congress,88874,30632
S0443,BIHAR,SUPAUL,BIJENDRA PRASAD YADAV,Janata Dal (United),109085,MINNATULLAH RAHMANI,Indian National Congress,78282,30803
S04157,BIHAR,SULTANGANJ,LALIT NARAYAN MANDAL,Janata Dal (United),108712,CHANDAN KUMAR ALIAS CHANDAN KUMAR SINHA,Rashtriya Janata Dal,77576,31136
S0422,BIHAR,SHEOHAR,SHWETA GUPTA,Janata Dal (United),97269,NAVNEET KUMAR,Rashtriya Janata Dal,65871,31398
S0471,BIHAR,BIHARIGANJ,NIRANJAN KUMAR MEHTA,Janata Dal (United),116622,RENU KUMARI,Rashtriya Janata Dal,85000,31622
S04124,BIHAR,LALGANJ,SANJAY KUMAR SINGH,Bharatiya Janata Party,127650,SHIVANI SHUKLA,Rashtriya Janata Dal,95483,32167
S04174,BIHAR,ISLAMPUR,RUHAIL RANJAN,Janata Dal (United),100487,RAKESH KUMAR RAUSHAN,Rashtriya Janata Dal,68248,32239
S04125,BIHAR,VAISHALI,SIDDHARTH PATEL,Janata Dal (United),108377,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,75787,32590
S0494,BIHAR,MUZAFFARPUR,RANJAN KUMAR,Bharatiya Janata Party,100477,BIJENDRA CHAUDHARY,Indian National Congress,67820,32657
S04188,BIHAR,PHULWARI,SHYAM RAJAK,Janata Dal (United),126470,GOPAL RAVI DAS,Communist Party of India (Marxist-Leninist) (Liberation),93813,32657
S0414,BIHAR,GOVINDGANJ,RAJU TIWARI,Lok Janshakti Party (Ram Vilas),96034,SHASHI BHUSHAN RAI ALIAS GAPPU RAI,Indian National Congress,63351,32683
S04176,BIHAR,NALANDA,SHRAWON KUMAR,Janata Dal (United),105432,KAUSHALENDRA KUMAR,Indian National Congress,72424,33008
S0423,BIHAR,RIGA,BAIDYANATH PRASAD,Bharatiya Janata Party,117393,AMIT KUMAR,Indian National Congress,84268,33125
S04159,BIHAR,AMARPUR,JAYANT RAJ,Janata Dal (United),103944,JITENDRA SINGH,Indian National Congress,70723,33221
S0462,BIHAR,PURNIA,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,127614,JITENDRA KUMAR,Indian National Congress,94392,33222
S04151,BIHAR,PARBATTA,BABULAL SHORYA,Lok Janshakti Party (Ram Vilas),118677,DOCTOR SANJEEV KUMAR,Rashtriya Janata Dal,84638,34039
S0490,BIHAR,MINAPUR,AJAY KUMAR,Janata Dal (United),113411,RAJEEV KUMAR URF MUNNA YADAV,Rashtriya Janata Dal,79173,34238
S04132,BIHAR,WARISNAGAR,MANJARIK MRINAL,Janata Dal (United),108968,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),74532,34436
S04150,BIHAR,BELDAUR,PANNA LAL SINGH PATEL,Janata Dal (United),106262,MITHILESH KUMAR NISHAD,Indian National Congress,71087,35175
S04143,BIHAR,TEGHRA,RAJNISH KUMAR,Bharatiya Janata Party,112770,RAM RATAN SINGH,Communist Party of India,77406,35364
S04209,BIHAR,KARGAHAR,BASHISTH SINGH,Janata Dal (United),92485,UDAY PRATAP SINGH,Bahujan Samaj Party,56809,35676
S042,BIHAR,RAMNAGAR,NAND KISHOR RAM,Bharatiya Janata Party,115214,SUBODH KUMAR,Rashtriya Janata Dal,79534,35680
S04148,BIHAR,ALAULI,RAM CHANDRA SADA,Janata Dal (United),93208,RAMBRIKSH SADA,Rashtriya Janata Dal,57476,35732
S04212,BIHAR,DEHRI,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),104022,GUDDU KUMAR CHANDRAWANSI,Rashtriya Janata Dal,68054,35968
S04166,BIHAR,JAMALPUR,NACHIKETA,Janata Dal (United),96683,NARENDRA KUMAR,Indian Inclusive Party,60455,36228
S0431,BIHAR,HARLAKHI,SUDHANSHU SHEKHAR,Janata Dal (United),85486,RAKESH KUMAR PANDEY,Communist Party of India,49250,36236
S0478,BIHAR,KUSHESHWAR ASTHAN,ATIREK KUMAR,Janata Dal (United),85685,GANESH BHARTI,Independent,49244,36441
S04163,BIHAR,BELHAR,MANOJ YADAV,Janata Dal (United),115393,CHANAKYA PRAKASH RANJAN,Rashtriya Janata Dal,78187,37206
S0441,BIHAR,NIRMALI,ANIRUDDHA PRASAD YADAV,Janata Dal (United),118904,BAIDYANATH MEHTA,Rashtriya Janata Dal,81594,37310
S0442,BIHAR,PIPRA,RAMBILASH KAMAT,Janata Dal (United),107041,ANIL KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),69265,37776
S04129,BIHAR,MAHNAR,UMESH SINGH KUSHWAHA,Janata Dal (United),98050,RAVINDRA KUMAR SINGH,Rashtriya Janata Dal,59492,38558
S04131,BIHAR,KALYANPUR,MAHESHWAR HAZARI,Janata Dal (United),118162,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),79576,38586
S04184,BIHAR,PATNA SAHIB,RATNESH KUMAR,Bharatiya Janata Party,130366,SHASHANT SHEKHAR,Indian National Congress,91466,38900
S0456,BIHAR,AMOUR,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,100836,SABA ZAFAR,Janata Dal (United),61908,38928
S0420,BIHAR,CHIRAIA,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,90572,LAKSHMI NARAYAN PRASAD YADAV,Rashtriya Janata Dal,51212,39360
S04171,BIHAR,ASTHAWAN,JITENDRA KUMAR,Janata Dal (United),90542,RAVI RANJAN KUMAR,Rashtriya Janata Dal,49834,40708
S0437,BIHAR,RAJNAGAR,SUJEET KUMAR,Bharatiya Janata Party,108362,BISHNU DEO MOCHI,Rashtriya Janata Dal,66177,42185
S04126,BIHAR,MAHUA,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),87641,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,42644,44997
S0459,BIHAR,BANMANKHI,KRISHNA KUMAR RISHI,Bharatiya Janata Party,122494,DEO NARAYAN RAJAK,Indian National Congress,77198,45296
S04164,BIHAR,TARAPUR,SAMRAT CHOUDHARY,Bharatiya Janata Party,122480,ARUN KUMAR,Rashtriya Janata Dal,76637,45843
S049,BIHAR,SIKTA,SAMMRIDH VARMA,Janata Dal (United),97173,KHURSHID FIROZ AHMAD,Independent,50029,47144
S04183,BIHAR,KUMHRAR,SANJAY KUMAR,Bharatiya Janata Party,100485,INDRADEEP KUMAR CHANDRAVANSHI,Indian National Congress,52961,47524
S04127,BIHAR,RAJA PAKAR,MAHENDRA RAM,Janata Dal (United),96258,PRATIMA KUMARI,Indian National Congress,48069,48189
S04177,BIHAR,HARNAUT,HARI NARAYAN SINGH,Janata Dal (United),106954,ARUN KUMAR,Indian National Congress,58619,48335
S04155,BIHAR,KAHALGAON,SHUBHANAND MUKESH,Janata Dal (United),130767,RAJNISH BHARTI,Rashtriya Janata Dal,80655,50112
S04139,BIHAR,ROSERA,BIRENDRA KUMAR,Bharatiya Janata Party,122773,BRAJ KISHORE RAVI,Indian National Congress,72240,50533
S0424,BIHAR,BATHNAHA,ANIL KUMAR,Bharatiya Janata Party,123698,NAVIN KUMAR,Indian National Congress,71929,51769
S04182,BIHAR,BANKIPUR,NITIN NABIN,Bharatiya Janata Party,98299,REKHA KUMARI,Rashtriya Janata Dal,46363,51936
S04154,BIHAR,PIRPAINTI,MURARI PASAVAN,Bharatiya Janata Party,140608,RAM VILASH PASAVAN,Rashtriya Janata Dal,87501,53107
S04241,BIHAR,JAMUI,SHREYASI SINGH,Bharatiya Janata Party,123868,MOHAMMAD SHAMSAD ALAM,Rashtriya Janata Dal,69370,54498
S0438,BIHAR,JHANJHARPUR,NITISH MISHRA,Bharatiya Janata Party,107958,RAM NARAYAN YADAV,Communist Party of India,53109,54849
S0461,BIHAR,DHAMDAHA,LESHI SINGH,Janata Dal (United),138750,SANTOSH KUMAR,Rashtriya Janata Dal,83591,55159
S04173,BIHAR,RAJGIR,KAUSHAL KISHORE,Janata Dal (United),107811,BISHWANATH CHAUDHARY,Communist Party of India (Marxist-Leninist) (Liberation),52383,55428
S0470,BIHAR,ALAMNAGAR,NARENDRA NARAYAN YADAV,Janata Dal (United),138401,NABIN KUMAR,Vikassheel Insaan Party,82936,55465
S0489,BIHAR,AURAI,RAMA NISHAD,Bharatiya Janata Party,104085,BHOGENDRA SAHNI,Vikassheel Insaan Party,46879,57206
S04153,BIHAR,GOPALPUR,SHAILESH KUMAR ALIAS BULO MANDAL,Janata Dal (United),108630,PREM SAGAR ALIAS DABLU YADAV,Vikassheel Insaan Party,50495,58135
S0411,BIHAR,SUGAULI,RAJESH KUMAR ALIAS BABLU GUPTA,Lok Janshakti Party (Ram Vilas),98875,SHYAM KISHOR CHAUDHARY,Janshakti Janta Dal,40684,58191
S04181,BIHAR,DIGHA,SANJIV CHAURASIA,Bharatiya Janata Party,111001,DIVYA GAUTAM,Communist Party of India (Marxist-Leninist) (Liberation),51922,59079
S0460,BIHAR,RUPAULI,KALADHAR PRASAD MANDAL,Janata Dal (United),124826,BIMA BHARTI,Rashtriya Janata Dal,51254,73572
