constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S0466,BIHAR,PRANPUR,NISHA SINGH,Bharatiya Janata Party,108565,ISHRAT PARWEEN,Rashtriya Janata Dal,100813,7752
S0473,BIHAR,MADHEPURA,CHANDRA SHEKHAR,Rashtriya Janata Dal,108464,KAVITA KUMARI SAHA,Janata Dal (United),100655,7809
S04140,BIHAR,HASANPUR,RAJ KUMAR RAY,Janata Dal (United),90961,MALA PUSHPAM,Rashtriya Janata Dal,83047,7914
S0476,BIHAR,SIMRI BAKHTIARPUR,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),109699,YUSUF SALAHUDDIN,Rashtriya Janata Dal,101769,7930
S04185,BIHAR,FATUHA,DR. RAMANAND YADAV,Rashtriya Janata Dal,90558,RUPA KUMARI,Lok Janshakti Party (Ram Vilas),82566,7992
S0435,BIHAR,BISFI,ASIF AHMAD,Rashtriya Janata Dal,100771,HARIBHUSHAN THAKUR,Bharatiya Janata Party,92664,8107
S04206,BIHAR,CHAINPUR,MD. ZAMA KHAN,Janata Dal (United),70876,BRIJ KISHOR BIND,Rashtriya Janata Dal,62514,8362
S0447,BIHAR,RANIGANJ,AVINASH MANGLAM,Rashtriya Janata Dal,111590,ACHMIT RISHIDEV,Janata Dal (United),103060,8530
S04135,BIHAR,MORWA,RANVIJAY SAHU,Rashtriya Janata Dal,77770,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),69099,8671
S0453,BIHAR,THAKURGANJ,GOPAL KUMAR AGARWAL,Janata Dal (United),85243,GHULAM HASNAIN,All India Majlis-E-Ittehadul Muslimeen,76421,8822
S04228,BIHAR,BARACHATTI,JYOTI DEVI,Hindustani Awam Morcha (Secular),108271,TANUSHREE KUMARI,Rashtriya Janata Dal,99378,8893
S04202,BIHAR,RAJPUR,SANTOSH KUMAR NIRALA,Janata Dal (United),80701,VISHWANATH RAM,Indian National Congress,71565,9136
S04108,BIHAR,RAGHUNATHPUR,OSAMA SHAHAB,Rashtriya Janata Dal,88278,VIKASH KUMAR SINGH,Janata Dal (United),79030,9248
S04105,BIHAR,SIWAN,MANGAL PANDEY,Bharatiya Janata Party,92379,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,83009,9370
S04107,BIHAR,DARAULI,VISHNU DEO PASWAN,Lok Janshakti Party (Ram Vilas),83014,SATYADEO RAM,Communist Party of India (Marxist-Leninist) (Liberation),73442,9572
S0493,BIHAR,KURHANI,KEDAR PD GUPTA,Bharatiya Janata Party,107811,SUNIL KUMAR SUMAN,Rashtriya Janata Dal,98093,9718
S04114,BIHAR,MANJHI,RANDHIR KUMAR SINGH,Janata Dal (United),68455,DR. SATYENDRA YADAV,Communist Party of India (Marxist),58668,9787
S04138,BIHAR,BIBHUTIPUR,AJAY KUMAR,Communist Party of India (Marxist),79246,RAVINA KUSHWAHA,Janata Dal (United),68965,10281
S0417,BIHAR,PIPRA,SHYAM BABU PRASAD YADAV,Bharatiya Janata Party,110422,RAJMANGAL PRASAD,Communist Party of India (Marxist),99677,10745
S04210,BIHAR,DINARA,ALOK KUMAR SINGH,Rashtriya Lok Morcha,78338,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,Rashtriya Janata Dal,67504,10834
S0468,BIHAR,BARARI,BIJAY SINGH,Janata Dal (United),107842,TAUQUIR ALAM,Indian National Congress,96858,10984
S04162,BIHAR,KATORIA,PURAN LAL TUDU,Bharatiya Janata Party,94260,SWEETY SIMA HEMBROM,Rashtriya Janata Dal,83274,10986
S04196,BIHAR,TARARI,VISHAL PRASHANT,Bharatiya Janata Party,96887,MADAN SINGH  S/O-KUMI SINGH,Communist Party of India (Marxist-Leninist) (Liberation),85423,11464
S04137,BIHAR,MOHIUDDINNAGAR,RAJESH KUMAR SINGH,Bharatiya Janata Party,89208,EJYA YADAV,Rashtriya Janata Dal,77526,11682
S0481,BIHAR,ALINAGAR,MAITHILI THAKUR,Bharatiya Janata Party,84915,BINOD MISHRA,Rashtriya Janata Dal,73185,11730
S0484,BIHAR,HAYAGHAT,RAM CHANDRA PRASAD,Bharatiya Janata Party,77222,SHYAM BHARTI,Communist Party of India (Marxist),65383,11839
S04217,BIHAR,GHOSI,RITURAJ KUMAR,Janata Dal (United),80740,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),68811,11929
S04224,BIHAR,RAFIGANJ,PRAMOD KUMAR SINGH,Janata Dal (United),107515,GHULAM SHAHID,Rashtriya Janata Dal,95559,11956
S0485,BIHAR,BAHADURPUR,MADAN SAHNI,Janata Dal (United),96300,BHOLA YADAV,Rashtriya Janata Dal,84289,12011
S04220,BIHAR,OBRA,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),91638,RISHI KUMAR,Rashtriya Janata Dal,79625,12013
S04110,BIHAR,BARHARIA,INDRADEV SINGH,Janata Dal (United),93600,ARUN KUMAR GUPTA,Rashtriya Janata Dal,81464,12136
