state,party,total_cost,party_votes,cost_per_vote
BIHAR,Open peoples Party,4000000,863,4634.9942062572421784
BIHAR,Asankhya Samaj Party,4000000,843,4744.9584816132858837
BIHAR,Rashtriya Samaj Paksha,12000000,2510,4780.8764940239043825
BIHAR,Wazib Adhikar Party,8000000,1668,4796.1630695443645084
BIHAR,Bharatiya Sampuran Krantikari Party,8000000,1651,4845.5481526347668080
BIHAR,Minorities Democratic Party,4000000,822,4866.1800486618004866
BIHAR,GaribJanta Party Loktantrik,8000000,1641,4875.0761730652041438
BIHAR,Swatantra Samaj Party,4000000,807,4956.6294919454770756
BIHAR,Right to Recall Party,32000000,6378,5017.2467858262778300
BIHAR,Akhand Bharat Vikas Party,4000000,794,5037.7833753148614610
BIHAR,Samaj Shakti Party,4000000,776,5154.6391752577319588
BIHAR,Social Democratic Party Of India,8000000,1541,5191.4341336794289422
BIHAR,Bhartiya Party (Loktantrik),12000000,2298,5221.9321148825065274
BIHAR,Panchpauniya Samaj Party,8000000,1506,5312.0849933598937583
BIHAR,Republican Party of India (Bhimrao Ambedkar),4000000,737,5427.4084124830393487
BIHAR,Ambedkar National Congress,12000000,2173,5522.3193741371375978
BIHAR,Akhil Bharatiya Jan Sangh,12000000,2162,5550.4162812210915819
BIHAR,New India United Party,8000000,1426,5610.0981767180925666
BIHAR,Parivartan Party of India,4000000,677,5908.4194977843426883
BIHAR,Sarvlokhit Samaj Party,4000000,666,6006.0060060060060060
BIHAR,Socialist Party (India),32000000,5278,6062.9026146267525578
BIHAR,Indian National Socialistic Action Forces,28000000,4573,6122.8952547561775640
BIHAR,Sathi Aur Aapka Faisala Party,12000000,1902,6309.1482649842271293
BIHAR,Uday Bharatam Party,4000000,627,6379.5853269537480064
BIHAR,Aam Janta Party Rashtriya,8000000,1209,6617.0388751033912324
BIHAR,Jai Hind Force,4000000,600,6666.6666666666666667
BIHAR,Rashtriya Jantantrik Morcha,4000000,600,6666.6666666666666667
BIHAR,Sampoorna Bharat Kranti Party,8000000,1190,6722.6890756302521008
BIHAR,All India Forward Bloc,16000000,2345,6823.0277185501066098
BIHAR,Voters Party International,12000000,1755,6837.6068376068376068
BIHAR,Rashtriya Samajwadi Lok Adhikar Party,12000000,1613,7439.5536267823930564
BIHAR,Gantantrik Samaj Party,16000000,2065,7748.1840193704600484
BIHAR,Bhartiya Dalit Party,4000000,514,7782.1011673151750973
BIHAR,Janta Dal Rashtravadi,12000000,1493,8037.5083724045545881
BIHAR,Akhil Hind Forward Bloc (Krantikari),20000000,2476,8077.5444264943457189
BIHAR,Kisan Samaj Party (S),4000000,486,8230.4526748971193416
BIHAR,Vocal India Party,8000000,966,8281.5734989648033126
BIHAR,Apna Adhikar Party,12000000,1448,8287.2928176795580110
BIHAR,Samajwadi Lok Parishad,16000000,1916,8350.7306889352818372
BIHAR,Aadarsh Mithila Party,12000000,1411,8504.6066619418851878
BIHAR,Jantantra Awaj Party,24000000,2813,8531.8165659438322076
BIHAR,Bharatiya Ekta Dal,8000000,928,8620.6896551724137931
BIHAR,Bharat Jago Janta Party,8000000,928,8620.6896551724137931
BIHAR,Rashtriya Samanta Dal,4000000,433,9237.8752886836027714
BIHAR,Bharateeya Manavadhikar party,4000000,430,9302.3255813953488372
BIHAR,Vikas Insaf Party,8000000,860,9302.3255813953488372
BIHAR,Yuva Devlop Party,4000000,424,9433.9622641509433962
BIHAR,Lok Dal,8000000,831,9626.9554753309265945
BIHAR,Jan Mithila Vikas Party,4000000,393,10178.117048346056
BIHAR,Country Citizen Party,4000000,381,10498.687664041995
BIHAR,Sarv Jan Party (Bharat),4000000,377,10610.079575596817
BIHAR,Awami Samta Party,4000000,374,10695.187165775401
BIHAR,Bhojpuria Jan Morcha,8000000,650,12307.692307692308
BIHAR,Garib Janshakti Party,4000000,301,13289.036544850498
BIHAR,Mithilanchal Mukti Morcha,4000000,279,14336.917562724014
BIHAR,Samaj Satta Dal,8000000,524,15267.175572519084
BIHAR,Akhand Bharat Janpriya Party,4000000,215,18604.651162790698
BIHAR,Nayak Yuva Kranti Party,4000000,215,18604.651162790698
BIHAR,Bihar Justice Party,4000000,199,20100.502512562814
BIHAR,Rashtriya Janwadi Party (Socialist),4000000,183,21857.923497267760
