constituency_code,constituency,state,no_of_candidates
S04133,SAMASTIPUR,BIHAR,13
S04120,AMNOUR,BIHAR,13
S04237,NAWADA,BIHAR,13
S04241,JAMUI,BIHAR,13
S04157,SULTANGANJ,BIHAR,13
S04224,RAFIGANJ,BIHAR,13
S04179,BARH,BIHAR,13
S04204,MOHANIA,BIHAR,13
S04234,WAZIRGANJ,BIHAR,13
S0479,GAURA BAURAM,BIHAR,13
S04231,TIKARI,BIHAR,13
S04232,BELAGANJ,BIHAR,13
S04233,ATRI,BIHAR,13
S04156,BHAGALPUR,BIHAR,13
S04188,PHULWARI,BIHAR,13
S04123,HAJIPUR,BIHAR,13
S04185,FATUHA,BIHAR,13
S04137,MOHIUDDINNAGAR,BIHAR,13
S0481,ALINAGAR,BIHAR,13
S0473,MADHEPURA,BIHAR,13
S04209,KARGAHAR,BIHAR,13
S043,NARKATIAGANJ,BIHAR,13
S04219,GOH,BIHAR,12
S0426,SURSAND,BIHAR,12
S0432,BENIPATTI,BIHAR,12
S04140,HASANPUR,BIHAR,12
S049,SIKTA,BIHAR,12
S04159,AMARPUR,BIHAR,12
S0417,PIPRA,BIHAR,12
S0416,KALYANPUR,BIHAR,12
S04181,DIGHA,BIHAR,12
S04198,SHAHPUR,BIHAR,12
S0463,KATIHAR,BIHAR,12
S04211,NOKHA,BIHAR,12
S04192,SANDESH,BIHAR,12
S04235,RAJAULI,BIHAR,12
S04228,BARACHATTI,BIHAR,12
S0424,BATHNAHA,BIHAR,12
S0434,BABUBARHI,BIHAR,12
S0490,MINAPUR,BIHAR,12
S04217,GHOSI,BIHAR,12
S046,NAUTAN,BIHAR,12
S04216,JEHANABAD,BIHAR,12
S04110,BARHARIA,BIHAR,12
S04165,MUNGER,BIHAR,12
S04177,HARNAUT,BIHAR,12
S04222,KUTUMBA,BIHAR,12
S0461,DHAMDAHA,BIHAR,12
S0422,SHEOHAR,BIHAR,12
S04118,CHAPRA,BIHAR,11
S04113,EKMA,BIHAR,11
S0449,ARARIA,BIHAR,11
S04104,HATHUA,BIHAR,11
S0423,RIGA,BIHAR,11
S04184,PATNA SAHIB,BIHAR,11
S0475,SAHARSA,BIHAR,11
S0431,HARLAKHI,BIHAR,11
S04175,HILSA,BIHAR,11
S0453,THAKURGANJ,BIHAR,11
S04197,JAGDISHPUR,BIHAR,11
S04212,DEHRI,BIHAR,11
S0486,KEOTI,BIHAR,11
S0421,DHAKA,BIHAR,11
S04191,BIKRAM,BIHAR,11
S04172,BIHARSHARIF,BIHAR,11
S04176,NALANDA,BIHAR,11
S04153,GOPALPUR,BIHAR,11
S04154,PIRPAINTI,BIHAR,11
S04229,BODH GAYA,BIHAR,11
S04124,LALGANJ,BIHAR,11
S0497,PAROO,BIHAR,11
S0478,KUSHESHWAR ASTHAN,BIHAR,11
S04243,CHAKAI,BIHAR,11
S04152,BIHPUR,BIHAR,11
S04149,KHAGARIA,BIHAR,11
S04111,GORIAKOTHI,BIHAR,11
S04130,PATEPUR,BIHAR,11
S04106,ZIRADEI,BIHAR,11
S0415,KESARIA,BIHAR,11
S04240,SIKANDRA,BIHAR,11
S0470,ALAMNAGAR,BIHAR,11
S04162,KATORIA,BIHAR,11
S0439,PHULPARAS,BIHAR,11
S0454,KISHANGANJ,BIHAR,11
S0419,MOTIHARI,BIHAR,10
S04195,AGIAON,BIHAR,10
S04180,BAKHTIARPUR,BIHAR,10
S0456,AMOUR,BIHAR,10
S04135,MORWA,BIHAR,10
S04189,MASAURHI,BIHAR,10
S0443,SUPAUL,BIHAR,10
S04218,MAKHDUMPUR,BIHAR,10
S04239,WARSALIGANJ,BIHAR,10
S04221,NABINAGAR,BIHAR,10
S04117,MARHAURA,BIHAR,10
S0429,RUNNISAIDPUR,BIHAR,10
S04100,BARAULI,BIHAR,10
S0425,PARIHAR,BIHAR,10
S0487,JALE,BIHAR,10
S04182,BANKIPUR,BIHAR,10
S04141,CHERIA,BIHAR,10
S0462,PURNIA,BIHAR,10
S04242,JHAJHA,BIHAR,10
S04147,BAKHRI,BIHAR,10
S0452,BAHADURGANJ,BIHAR,10
S04238,GOBINDPUR,BIHAR,10
S0430,BELSAND,BIHAR,10
S04169,SHEIKHPURA,BIHAR,10
S04170,BARBIGHA,BIHAR,10
S0436,MADHUBANI,BIHAR,10
S04199,BRAHAMPUR,BIHAR,9
S0491,BOCHAHAN,BIHAR,9
S04131,KALYANPUR,BIHAR,9
S04167,SURYAGARHA,BIHAR,9
S0492,SAKRA,BIHAR,9
S04205,BHABUA,BIHAR,9
S0418,MADHUBAN,BIHAR,9
S04101,GOPALGANJ,BIHAR,9
S0472,SINGHESHWAR,BIHAR,9
S042,RAMNAGAR,BIHAR,9
S04115,BANIAPUR,BIHAR,9
S04178,MOKAMA,BIHAR,9
S04160,DHORAIYA,BIHAR,9
S0450,JOKIHAT,BIHAR,9
S04122,SONEPUR,BIHAR,9
S0433,KHAJAULI,BIHAR,9
S0469,KORHA,BIHAR,9
S0488,GAIGHAT,BIHAR,9
S04142,BACHHWARA,BIHAR,9
S0414,GOVINDGANJ,BIHAR,9
S0435,BISFI,BIHAR,9
S0441,NIRMALI,BIHAR,9
S0451,SIKTI,BIHAR,9
S04136,SARAIRANJAN,BIHAR,9
S04108,RAGHUNATHPUR,BIHAR,8
S04186,DANAPUR,BIHAR,8
S0467,MANIHARI,BIHAR,8
S0471,BIHARIGANJ,BIHAR,8
S0447,RANIGANJ,BIHAR,8
S04227,IMAMGANJ,BIHAR,8
S0457,BAISI,BIHAR,8
S04173,RAJGIR,BIHAR,8
S0437,RAJNAGAR,BIHAR,8
S04109,DARAUNDA,BIHAR,8
S0489,AURAI,BIHAR,8
S041,VALMIKI NAGAR,BIHAR,8
S04171,ASTHAWAN,BIHAR,8
S04102,KUCHAIKOTE,BIHAR,8
S0499,BAIKUNTHPUR,BIHAR,8
S044,BAGAHA,BIHAR,8
S0455,KOCHADHAMAN,BIHAR,7
S04203,RAMGARH,BIHAR,7
S0412,NARKATIA,BIHAR,7
S04107,DARAULI,BIHAR,7
S048,BETTIAH,BIHAR,7
S0413,HARSIDHI,BIHAR,7
S04144,MATIHANI,BIHAR,7
S04139,ROSERA,BIHAR,7
S0420,CHIRAIA,BIHAR,7
S0474,SONBARSHA,BIHAR,7
S04148,ALAULI,BIHAR,6
S0411,SUGAULI,BIHAR,6
S0444,TRIVENIGANJ,BIHAR,6
S045,LAURIYA,BIHAR,6
S04151,PARBATTA,BIHAR,6
S04103,BHOREY,BIHAR,6
S0410,RAXAUL,BIHAR,6
S0459,BANMANKHI,BIHAR,6
S047,CHANPATIA,BIHAR,6
