state,party,party_votes,vote_share
BIHAR,Sathi Aur Aapka Faisala Party,1902,0.003788261063290788293500
BIHAR,Proutist Sarva Samaj,1864,0.003712575511027355088900
BIHAR,Bhartiya Chetna Party,1838,0.003660790659478690264700
BIHAR,Rashtra Sewa Dal,1762,0.003509419554951823855500
BIHAR,Voters Party International,1755,0.003495477479534875633600
BIHAR,Wazib Adhikar Party,1668,0.003322197399352804875700
BIHAR,Bharat Ka Kisan Majdoor Party,1659,0.003304271873816728590400
BIHAR,Bharatiya Sampuran Krantikari Party,1651,0.003288338073340216336800
BIHAR,GaribJanta Party Loktantrik,1641,0.003268420822744576019800
BIHAR,Rashtriya Samajwadi Lok Adhikar Party,1613,0.003212652521076783132200
BIHAR,Jai Hind Party,1589,0.003164851119647246371400
BIHAR,Social Democratic Party Of India,1541,0.003069248316788172849800
BIHAR,Moulik Adhikar Party,1535,0.003057297966430788659600
BIHAR,Panchpauniya Samaj Party,1506,0.002999537939703431740300
BIHAR,Janta Dal Rashtravadi,1493,0.002973645513929099328200
BIHAR,Rashtriya Secular Majlis Party,1462,0.002911902037082614345500
BIHAR,Apna Adhikar Party,1448,0.002884017886248717901700
BIHAR,Vishvas Yogya Party,1435,0.002858125460474385489600
BIHAR,Rashtriya Lok Samta Party,1428,0.002844183385057437267700
BIHAR,Rashtriya Jan Vikas Party,1427,0.002842191659997873236000
BIHAR,New India United Party,1426,0.002840199934938309204300
BIHAR,Gana Suraksha Party,1412,0.002812315784104412760500
BIHAR,Aadarsh Mithila Party,1411,0.002810324059044848728800
BIHAR,Adarsh Jankalyan Dal,1358,0.002704762630887955048700
BIHAR,Sudharwadi Party,1300,0.002589242577433241210100
BIHAR,Janta Kranti Party (Rashtravadi),1288,0.002565341876718472829700
BIHAR,Fauji Janta Party,1238,0.002465755623740271244700
BIHAR,Aam Janta Party Rashtriya,1209,0.002407995597012914325400
BIHAR,All India Majlis-E-Inquilab-E-Millat,1205,0.002400028696774658198600
BIHAR,Sampoorna Bharat Kranti Party,1190,0.002370152820881197723100
BIHAR,Yuva Samriddhi Dal,1171,0.002332310044749481120800
BIHAR,Jansatta Party of India,1155,0.002300442443796456613600
BIHAR,Prabal Bharat Party,1155,0.002300442443796456613600
BIHAR,Lokhit Adhikar Party,1132,0.002254632767426483884500
BIHAR,Bhartiya Rashtriya Dal,1044,0.002079360962184849094900
BIHAR,Bhartiya Insan Party,1024,0.002039526460993568460900
BIHAR,Aapki Apni Adhikar Party,1005,0.002001683684861851858600
BIHAR,Sarvjan Sanatan Party,971,0.001933965032836674780800
BIHAR,Vocal India Party,966,0.001924006407538854622300
BIHAR,Bharatiya Ekta Dal,928,0.001848320855275421417700
BIHAR,Bharat Jago Janta Party,928,0.001848320855275421417700
BIHAR,Hindustan Vikas Dal,913,0.001818444979381960942200
BIHAR,Rashtriya Republican Party,908,0.001808486354084140783700
BIHAR,Jantantrik Lokhit Party,889,0.001770643577952424181400
BIHAR,Open peoples Party,863,0.001718858726403759357100
BIHAR,Vikas Insaf Party,860,0.001712883551225067262000
BIHAR,Asankhya Samaj Party,843,0.001679024225212478723100
BIHAR,Lok Dal,831,0.001655123524497710342700
BIHAR,Minorities Democratic Party,822,0.001637197998961634057400
BIHAR,Swatantra Samaj Party,807,0.001607322123068173581900
BIHAR,Akhand Bharat Vikas Party,794,0.001581429697293841169800
BIHAR,Samaj Shakti Party,776,0.001545578646221688599200
BIHAR,Republican Party of India (Bhimrao Ambedkar),737,0.001467901368898691362900
BIHAR,Parivartan Party of India,677,0.001348397865324849460900
BIHAR,Sarvlokhit Samaj Party,666,0.001326488889669645112200
BIHAR,Bhojpuria Jan Morcha,650,0.001294621288716620605000
BIHAR,Uday Bharatam Party,627,0.001248811612346647875900
BIHAR,Jai Hind Force,600,0.001195035035738419020000
BIHAR,Rashtriya Jantantrik Morcha,600,0.001195035035738419020000
BIHAR,Samaj Satta Dal,524,0.001043663931211552610800
BIHAR,Bhartiya Dalit Party,514,0.001023746680615912293800
BIHAR,Kisan Samaj Party (S),486,0.000967978378948119406200
BIHAR,Rashtriya Samanta Dal,433,0.000862416950791225726100
BIHAR,Bharateeya Manavadhikar party,430,0.000856441775612533631000
BIHAR,Yuva Devlop Party,424,0.000844491425255149440800
BIHAR,Jan Mithila Vikas Party,393,0.000782747948408664458100
BIHAR,Country Citizen Party,381,0.000758847247693896077700
BIHAR,Sarv Jan Party (Bharat),377,0.000750880347455639950900
BIHAR,Awami Samta Party,374,0.000744905172276947855800
BIHAR,Garib Janshakti Party,301,0.000599509242928773541700
BIHAR,Mithilanchal Mukti Morcha,279,0.000555691291618364844300
BIHAR,Nayak Yuva Kranti Party,215,0.000428220887806266815500
BIHAR,Akhand Bharat Janpriya Party,215,0.000428220887806266815500
BIHAR,Bihar Justice Party,199,0.000396353286853242308300
BIHAR,Rashtriya Janwadi Party (Socialist),183,0.000364485685900217801100
