constituency_code,constituency,state,total_votes
S0459,BANMANKHI,BIHAR,213932
S04111,GORIAKOTHI,BIHAR,213345
S0464,KADWA,BIHAR,213155
S04103,BHOREY,BIHAR,213121
S04231,TIKARI,BIHAR,213025
S0485,BAHADURPUR,BIHAR,212863
S042,RAMNAGAR,BIHAR,212859
S04143,TEGHRA,BIHAR,212629
S0499,BAIKUNTHPUR,BIHAR,212287
S04219,GOH,BIHAR,211669
S04126,MAHUA,BIHAR,211328
S04202,RAJPUR,BIHAR,211325
S04165,MUNGER,BIHAR,211307
S0436,MADHUBANI,BIHAR,211208
S049,SIKTA,BIHAR,210762
S04234,WAZIRGANJ,BIHAR,210212
S0422,SHEOHAR,BIHAR,210111
S0425,PARIHAR,BIHAR,209977
S04157,SULTANGANJ,BIHAR,209814
S04130,PATEPUR,BIHAR,209540
S0443,SUPAUL,BIHAR,209147
S04136,SARAIRANJAN,BIHAR,208189
S0426,SURSAND,BIHAR,208144
S0489,AURAI,BIHAR,207920
S046,NAUTAN,BIHAR,207833
S0435,BISFI,BIHAR,207250
S04147,BAKHRI,BIHAR,206637
S0474,SONBARSHA,BIHAR,206444
S04199,BRAHAMPUR,BIHAR,206393
S0434,BABUBARHI,BIHAR,206322
S04227,IMAMGANJ,BIHAR,206281
S0492,SAKRA,BIHAR,206108
S04207,CHENARI,BIHAR,205793
S0496,BARURAJ,BIHAR,205509
S0439,PHULPARAS,BIHAR,205223
S04232,BELAGANJ,BIHAR,205019
S0433,KHAJAULI,BIHAR,204944
S04140,HASANPUR,BIHAR,204712
S04220,OBRA,BIHAR,204422
S04225,GURUA,BIHAR,203508
S04119,GARKHA,BIHAR,203497
S0477,MAHISHI,BIHAR,202966
S0413,HARSIDHI,BIHAR,202899
S04226,SHERGHATI,BIHAR,202640
S04102,KUCHAIKOTE,BIHAR,202020
S04129,MAHNAR,BIHAR,201787
S04237,NAWADA,BIHAR,201494
S04166,JAMALPUR,BIHAR,201422
S04223,AURANGABAD,BIHAR,200994
S04239,WARSALIGANJ,BIHAR,200814
S04235,RAJAULI,BIHAR,200701
S04115,BANIAPUR,BIHAR,200418
S0487,JALE,BIHAR,200365
S04176,NALANDA,BIHAR,199789
S04122,SONEPUR,BIHAR,199240
S04101,GOPALGANJ,BIHAR,198872
S04133,SAMASTIPUR,BIHAR,198865
S0411,SUGAULI,BIHAR,198790
S0463,KATIHAR,BIHAR,198448
S0420,CHIRAIA,BIHAR,198418
S04185,FATUHA,BIHAR,198180
S04213,KARAKAT,BIHAR,197715
S04233,ATRI,BIHAR,197645
S04156,BHAGALPUR,BIHAR,197146
S04110,BARHARIA,BIHAR,196995
S04135,MORWA,BIHAR,196721
S04201,DUMRAON,BIHAR,196707
S043,NARKATIAGANJ,BIHAR,196691
S048,BETTIAH,BIHAR,196464
S04138,BIBHUTIPUR,BIHAR,196318
S0483,DARBHANGA,BIHAR,196236
S04181,DIGHA,BIHAR,196142
S04162,KATORIA,BIHAR,196105
S04180,BAKHTIARPUR,BIHAR,196100
S04104,HATHUA,BIHAR,196058
S04196,TARARI,BIHAR,195382
S04203,RAMGARH,BIHAR,194844
S04159,AMARPUR,BIHAR,194247
S04240,SIKANDRA,BIHAR,194223
S04100,BARAULI,BIHAR,194177
S04216,JEHANABAD,BIHAR,193541
S04116,TARAIYA,BIHAR,193538
S0455,KOCHADHAMAN,BIHAR,193325
S0438,JHANJHARPUR,BIHAR,193156
S0429,RUNNISAIDPUR,BIHAR,193144
S04175,HILSA,BIHAR,193058
S04205,BHABUA,BIHAR,192958
S04161,BANKA,BIHAR,192811
S0486,KEOTI,BIHAR,192588
S04177,HARNAUT,BIHAR,192162
S045,LAURIYA,BIHAR,191647
S04212,DEHRI,BIHAR,191592
S04153,GOPALPUR,BIHAR,191402
S04141,CHERIA,BIHAR,191316
S04204,MOHANIA,BIHAR,190815
S0437,RAJNAGAR,BIHAR,190800
S04105,SIWAN,BIHAR,190582
S04221,NABINAGAR,BIHAR,190066
S04145,SAHEBPUR KAMAL,BIHAR,189684
S04179,BARH,BIHAR,189390
S04118,CHAPRA,BIHAR,189389
S04200,BUXAR,BIHAR,188618
S0480,BENIPUR,BIHAR,188366
S04197,JAGDISHPUR,BIHAR,188244
S0494,MUZAFFARPUR,BIHAR,188071
S04112,MAHARAJGANJ,BIHAR,187810
S04174,ISLAMPUR,BIHAR,187664
S04210,DINARA,BIHAR,187064
S04173,RAJGIR,BIHAR,186290
S0416,KALYANPUR,BIHAR,186215
S04109,DARAUNDA,BIHAR,185136
S04178,MOKAMA,BIHAR,184921
S04194,ARRAH,BIHAR,184778
S04127,RAJA PAKAR,BIHAR,184018
S0418,MADHUBAN,BIHAR,183824
S0431,HARLAKHI,BIHAR,183437
S04137,MOHIUDDINNAGAR,BIHAR,183240
S04149,KHAGARIA,BIHAR,183237
S04192,SANDESH,BIHAR,183230
S0430,BELSAND,BIHAR,183072
S0482,DARBHANGA RURAL,BIHAR,183048
S0414,GOVINDGANJ,BIHAR,182741
S04190,PALIGANJ,BIHAR,182320
S04211,NOKHA,BIHAR,182315
S04193,BARHARA,BIHAR,182096
S04121,PARSA,BIHAR,181235
S04238,GOBINDPUR,BIHAR,180900
S04108,RAGHUNATHPUR,BIHAR,180874
S04117,MARHAURA,BIHAR,179508
S04148,ALAULI,BIHAR,179447
S04198,SHAHPUR,BIHAR,178400
S04114,MANJHI,BIHAR,177676
S0415,KESARIA,BIHAR,176683
S0432,BENIPATTI,BIHAR,175220
S04107,DARAULI,BIHAR,175213
S04152,BIHPUR,BIHAR,174555
S04171,ASTHAWAN,BIHAR,173699
S04222,KUTUMBA,BIHAR,173644
S04183,KUMHRAR,BIHAR,173506
S0481,ALINAGAR,BIHAR,173117
S04217,GHOSI,BIHAR,171592
S04214,ARWAL,BIHAR,171135
S04113,EKMA,BIHAR,171043
S04120,AMNOUR,BIHAR,169661
S0484,HAYAGHAT,BIHAR,169035
S0479,GAURA BAURAM,BIHAR,168223
S04230,GAYA TOWN,BIHAR,166958
S04218,MAKHDUMPUR,BIHAR,166399
S04215,KURTHA,BIHAR,165867
S0478,KUSHESHWAR ASTHAN,BIHAR,163976
S04169,SHEIKHPURA,BIHAR,163341
S04106,ZIRADEI,BIHAR,157926
S04182,BANKIPUR,BIHAR,156885
S04195,AGIAON,BIHAR,153554
S04170,BARBIGHA,BIHAR,144414
