state,candidate,party,constituency,vote_share
BIHAR,BIJAY SINGH,Janata Dal (United),BARARI,47.17621634863557223700
BIHAR,VISHNU DEO PASWAN,Lok Janshakti Party (Ram Vilas),DARAULI,47.37890453333942116200
BIHAR,RAM SINGH,Bharatiya Janata Party,BAGAHA,47.38795381586648457900
BIHAR,RATNESH SADA,Janata Dal (United),SONBARSHA,47.38960686675321152500
BIHAR,JYOTI DEVI,Hindustani Awam Morcha (Secular),BARACHATTI,47.43838587420860078400
BIHAR,SONAM RANI,Janata Dal (United),TRIVENIGANJ,47.48054759917905230200
BIHAR,SNEHLATA,Rashtriya Lok Morcha,SASARAM,47.49447060260254827200
BIHAR,INDRADEV SINGH,Janata Dal (United),BARHARIA,47.51389629178405543300
BIHAR,MINA KUMARI,Janata Dal (United),BABUBARHI,47.60568431868632525900
BIHAR,SUNIL KUMAR,Janata Dal (United),BHOREY,47.61098155507903960700
BIHAR,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Rashtriya Janata Dal,MATIHANI,47.65852592736453680300
BIHAR,SANJAY KUMAR,Lok Janshakti Party (Ram Vilas),BAKHRI,47.67345635099231986500
BIHAR,KEDAR NATH SINGH,Bharatiya Janata Party,BANIAPUR,47.70330010278517897600
BIHAR,KRISHNANANDAN PASWAN,Bharatiya Janata Party,HARSIDHI,47.74000857569529667500
BIHAR,MANOJ BISHWAS,Indian National Congress,FORBESGANJ,47.77063224082182954900
BIHAR,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,KALYANPUR,47.82482614182530945400
BIHAR,ADITYA KUMAR,Janata Dal (United),SAKRA,47.89867448133988006300
BIHAR,PRAMOD KUMAR SINGH,Janata Dal (United),RAFIGANJ,47.94661053607980770500
BIHAR,JITENDRA KUMAR RAI,Rashtriya Janata Dal,MARHAURA,47.97446353365866702300
BIHAR,RAMBILASH KAMAT,Janata Dal (United),PIPRA,47.99635905460969693200
BIHAR,NACHIKETA,Janata Dal (United),JAMALPUR,48.00021844684294664900
BIHAR,PURAN LAL TUDU,Bharatiya Janata Party,KATORIA,48.06608704520537467200
BIHAR,SUNIL KUMAR PINTU,Bharatiya Janata Party,SITAMARHI,48.10734215542826547500
BIHAR,ASHWAMEDH DEVI,Janata Dal (United),SAMASTIPUR,48.13717848791893998400
BIHAR,MANOHAR PRASAD SINGH,Indian National Congress,MANIHARI,48.16355310817219916100
BIHAR,KOMAL SINGH,Janata Dal (United),GAIGHAT,48.30837567421429177900
BIHAR,SATISH KUMAR SAH,Janata Dal (United),LAUKAHA,48.42687719632728580500
BIHAR,RAJU KUMAR SINGH,Bharatiya Janata Party,SAHEBGANJ,48.42723753131405146900
BIHAR,AVINASH MANGLAM,Rashtriya Janata Dal,RANIGANJ,48.44409328494278222500
BIHAR,MANGAL PANDEY,Bharatiya Janata Party,SIWAN,48.47204877690442958900
BIHAR,PANKAJ KUMAR,Janata Dal (United),RUNNISAIDPUR,48.49852959449944083200
BIHAR,UMESH SINGH KUSHWAHA,Janata Dal (United),MAHNAR,48.59084083712032985300
BIHAR,ASIF AHMAD,Rashtriya Janata Dal,BISFI,48.62291917973462002400
BIHAR,RAJESH KUMAR SINGH,Bharatiya Janata Party,MOHIUDDINNAGAR,48.68369351669941060900
BIHAR,ANITA,Rashtriya Janata Dal,WARSALIGANJ,48.71821685739042098700
BIHAR,SUBHASH SINGH,Bharatiya Janata Party,GOPALGANJ,48.72078522868981053100
BIHAR,LALAN RAM,Hindustani Awam Morcha (Secular),KUTUMBA,48.79350855773882195800
BIHAR,OSAMA SHAHAB,Rashtriya Janata Dal,RAGHUNATHPUR,48.80635138273051958800
BIHAR,PANNA LAL SINGH PATEL,Janata Dal (United),BELDAUR,48.87496780365750450700
BIHAR,MITHUN KUMAR,Lok Janshakti Party (Ram Vilas),NATHNAGAR,48.92049689440993788800
BIHAR,BHAI BIRENDRA,Rashtriya Janata Dal,MANER,48.99466266919603967400
BIHAR,UPENDRA PRASAD,Bharatiya Janata Party,GURUA,49.01920317628791005800
BIHAR,MAITHILI THAKUR,Bharatiya Janata Party,ALINAGAR,49.05064205132944771500
BIHAR,MITHILESH TIWARI,Bharatiya Janata Party,BAIKUNTHPUR,49.05293305760597681400
BIHAR,NARAYAN PRASAD,Bharatiya Janata Party,NAUTAN,49.05476993547704166300
BIHAR,MANORANJAN SINGH,Janata Dal (United),EKMA,49.15547552369871903600
BIHAR,KARISHMA,Rashtriya Janata Dal,PARSA,49.15882693740171600400
BIHAR,NIRAJ KUMAR SINGH,Bharatiya Janata Party,CHHATAPUR,49.18151923841338799200
BIHAR,SHYAM RAJAK,Janata Dal (United),PHULWARI,49.18447190958799692000
BIHAR,VIJAY KUMAR SINHA,Bharatiya Janata Party,LAKHISARAI,49.19540229885057471300
BIHAR,MAHESHWAR HAZARI,Janata Dal (United),KALYANPUR,49.30092834046104099300
BIHAR,ARUN SHANKAR PRASAD,Bharatiya Janata Party,KHAJAULI,49.35543367944414083800
BIHAR,VIJAY KUMAR CHOUDHARY,Janata Dal (United),SARAIRANJAN,49.37436656115356719100
BIHAR,SRIBHAGWAN SINGH KUSHWAHA,Janata Dal (United),JAGDISHPUR,49.39015320541424959100
BIHAR,BABY KUMARI,Lok Janshakti Party (Ram Vilas),BOCHAHAN,49.43318117640608079400
BIHAR,ANANT KUMAR SINGH,Janata Dal (United),MOKAMA,49.43516420525521709300
BIHAR,PRAMOD KUMAR,Bharatiya Janata Party,MOTIHARI,49.49815921721236894000
BIHAR,PRAMOD KUMAR SINHA,Bharatiya Janata Party,RAXAUL,49.55488099216516282400
BIHAR,RAM NARAYAN MANDAL,Bharatiya Janata Party,BANKA,49.57600966749822364900
BIHAR,VISHAL PRASHANT,Bharatiya Janata Party,TARARI,49.58849842871912458700
BIHAR,DEVESH KANT SINGH,Bharatiya Janata Party,GORIAKOTHI,49.64212894607326161900
BIHAR,SANJAY SARAOGI,Bharatiya Janata Party,DARBHANGA,49.66112232210195886600
BIHAR,RAKESH RANJAN,Bharatiya Janata Party,SHAHPUR,49.69450672645739910300
BIHAR,KRISHNA MURARI SHARAN,Janata Dal (United),HILSA,49.73065089247790819300
BIHAR,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,RAGHOPUR,49.73704958733140978300
BIHAR,RAJESH KUMAR ALIAS BABLU GUPTA,Lok Janshakti Party (Ram Vilas),SUGAULI,49.73841742542381407500
BIHAR,VINOD NARAYAN JHA,Bharatiya Janata Party,BENIPATTI,49.73918502454057756000
BIHAR,DEVANTI YADAV,Bharatiya Janata Party,NARPATGANJ,49.88971516302706013300
BIHAR,PROF. NAGENDRA RAUT,Janata Dal (United),SURSAND,50.04083711276808363400
BIHAR,RAMA NISHAD,Bharatiya Janata Party,AURAI,50.06011927664486340900
BIHAR,JIBESH KUMAR,Bharatiya Janata Party,JALE,50.15646445237441669000
BIHAR,AMRENDRA KUMAR PANDEY,Janata Dal (United),KUCHAIKOTE,50.20542520542520542500
BIHAR,AWADHESH SINGH,Bharatiya Janata Party,HAJIPUR,50.26638016000568277700
BIHAR,VINAY BIHARI,Bharatiya Janata Party,LAURIYA,50.35821066857294922400
BIHAR,AJIT KUMAR,Janata Dal (United),KANTI,50.42949269131556319900
BIHAR,TARKISHORE PRASAD,Bharatiya Janata Party,KATIHAR,50.51953156494396517000
BIHAR,VIJAY KUMAR MANDAL,Bharatiya Janata Party,SIKTI,50.55737436940639062100
BIHAR,MANOJ YADAV,Janata Dal (United),BELHAR,50.66162653881952127600
BIHAR,RANDHIR KUMAR SONI,Janata Dal (United),SHEIKHPURA,50.76618852584470524900
BIHAR,DEEPA KUMARI,Hindustani Awam Morcha (Secular),IMAMGANJ,50.83405645696889194800
BIHAR,DR. SUNIL KUMAR,Bharatiya Janata Party,BIHARSHARIF,50.83457740943823569100
BIHAR,SANJAY KUMAR PANDEY,Bharatiya Janata Party,NARKATIAGANJ,50.86353722336049946400
BIHAR,SANJAY SINGH (TIGER),Bharatiya Janata Party,ARRAH,50.98063622292697182600
BIHAR,ROHIT PANDEY,Bharatiya Janata Party,BHAGALPUR,51.11440252401773305100
BIHAR,NAGENDRA CHANDRAVANSHI,Janata Dal (United),NOKHA,51.11647423415517099500
BIHAR,KUMAR PRANAY,Bharatiya Janata Party,MUNGER,51.12372046359088908600
BIHAR,MANISH KUMAR,Janata Dal (United),DHORAIYA,51.20733326385521969400
BIHAR,BABLU KUMAR,Janata Dal (United),KHAGARIA,51.29313402860775935000
BIHAR,AJAY KUMAR,Janata Dal (United),MINAPUR,51.58726909658256119100
BIHAR,ROMIT KUMAR,Hindustani Awam Morcha (Secular),ATRI,51.65928811758455817200
BIHAR,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,PATEPUR,51.71136775794597690200
BIHAR,LALIT NARAYAN MANDAL,Janata Dal (United),SULTANGANJ,51.81351101451762036900
BIHAR,KAVITA DEVI,Bharatiya Janata Party,KORHA,51.82224460250519292500
BIHAR,SHUBHANAND MUKESH,Janata Dal (United),KAHALGAON,51.89516753114297393100
BIHAR,RAM CHANDRA SADA,Janata Dal (United),ALAULI,51.94179897128400029000
BIHAR,NIRANJAN KUMAR MEHTA,Janata Dal (United),BIHARIGANJ,52.12249604462202676200
BIHAR,JITENDRA KUMAR,Janata Dal (United),ASTHAWAN,52.12580383306754788500
BIHAR,BIJENDRA PRASAD YADAV,Janata Dal (United),SUPAUL,52.15709524879630116600
BIHAR,ATIREK KUMAR,Janata Dal (United),KUSHESHWAR ASTHAN,52.25459823388788603200
BIHAR,MAHENDRA RAM,Janata Dal (United),RAJA PAKAR,52.30901324870393113700
BIHAR,KUNDAN KUMAR,Bharatiya Janata Party,BEGUSARAI,52.31235253691228162300
BIHAR,KUMAR SHAILENDRA,Bharatiya Janata Party,BIHPUR,52.39494715132766176800
BIHAR,SIYARAM SINGH,Bharatiya Janata Party,BARH,52.50858017846771212800
BIHAR,RAJU TIWARI,Lok Janshakti Party (Ram Vilas),GOVINDGANJ,52.55197246376018518000
BIHAR,SHRAWON KUMAR,Janata Dal (United),NALANDA,52.77167411619258317500
BIHAR,RAJNISH KUMAR,Bharatiya Janata Party,TEGHRA,53.03603929849644216000
BIHAR,SANJAY KUMAR SINGH,Bharatiya Janata Party,LALGANJ,53.14210778293540933800
BIHAR,ANIRUDDHA PRASAD YADAV,Janata Dal (United),NIRMALI,53.27980140610927144900
BIHAR,RANJAN KUMAR,Bharatiya Janata Party,MUZAFFARPUR,53.42503628948641736400
BIHAR,JAYANT RAJ,Janata Dal (United),AMARPUR,53.51125113901372994200
BIHAR,RUHAIL RANJAN,Janata Dal (United),ISLAMPUR,53.54623156279307698900
BIHAR,NARENDRA NARAYAN YADAV,Janata Dal (United),ALAMNAGAR,53.98254940888755407000
BIHAR,BAIDYANATH PRASAD,Bharatiya Janata Party,RIGA,54.11261996293940315800
BIHAR,NAND KISHOR RAM,Bharatiya Janata Party,RAMNAGAR,54.12691030212488079000
BIHAR,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),DEHRI,54.29349868470499812100
BIHAR,RAM KRIPAL YADAV,Bharatiya Janata Party,DANAPUR,54.41361372993141389100
BIHAR,PREM KUMAR,Bharatiya Janata Party,GAYA TOWN,54.43165346973490338900
BIHAR,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,PURNIA,54.78900390264426689100
BIHAR,BIRENDRA KUMAR,Bharatiya Janata Party,ROSERA,55.01839578039785076300
BIHAR,BABULAL SHORYA,Lok Janshakti Party (Ram Vilas),PARBATTA,55.18448768919578712400
BIHAR,RATNESH KUMAR,Bharatiya Janata Party,PATNA SAHIB,55.43903517724705722300
BIHAR,KALADHAR PRASAD MANDAL,Janata Dal (United),RUPAULI,55.45480796996823563400
BIHAR,HARI NARAYAN SINGH,Janata Dal (United),HARNAUT,55.65824668769059439400
BIHAR,NITISH MISHRA,Bharatiya Janata Party,JHANJHARPUR,55.89161092588374163900
BIHAR,SANJIV CHAURASIA,Bharatiya Janata Party,DIGHA,56.59216282081349226600
BIHAR,SHAILESH KUMAR ALIAS BULO MANDAL,Janata Dal (United),GOPALPUR,56.75489284333497037600
BIHAR,SAMRAT CHOUDHARY,Bharatiya Janata Party,TARAPUR,56.76730410923349308000
BIHAR,SUJEET KUMAR,Bharatiya Janata Party,RAJNAGAR,56.79350104821802935000
BIHAR,MURARI PASAVAN,Bharatiya Janata Party,PIRPAINTI,56.81383819078827745900
BIHAR,SHREYASI SINGH,Bharatiya Janata Party,JAMUI,57.01712796954618475700
BIHAR,KRISHNA KUMAR RISHI,Bharatiya Janata Party,BANMANKHI,57.25838116784772731500
BIHAR,LESHI SINGH,Janata Dal (United),DHAMDAHA,57.31931506000454423400
BIHAR,ANIL KUMAR,Bharatiya Janata Party,BATHNAHA,57.46552941613706470400
BIHAR,KAUSHAL KISHORE,Janata Dal (United),RAJGIR,57.87267164098985452800
BIHAR,SANJAY KUMAR,Bharatiya Janata Party,KUMHRAR,57.91442370869018938800
BIHAR,NITIN NABIN,Bharatiya Janata Party,BANKIPUR,62.65672307741339197500
