state,candidate,constituency,constituency_code,party,result
BIHAR,RAJNISH KUMAR,TARARI,S04196,Independent,LOST
BIHAR,RAKESH KUMAR,TARAPUR,S04164,Independent,LOST
BIHAR,RAKESH KUMAR,MATIHANI,S04144,Independent,LOST
BIHAR,RAKESH KUMAR,WARSALIGANJ,S04239,Independent,LOST
BIHAR,RAKESH KUMAR,MUNGER,S04165,Independent,LOST
BIHAR,RAMESH KUMAR,SONEPUR,S04122,Independent,LOST
BIHAR,RAMESH KUMAR,MINAPUR,S0490,Independent,LOST
BIHAR,RAMPRAVESH SINGH,BUXAR,S04200,Independent,LOST
BIHAR,RAMPRAVESH SINGH,RAMGARH,S04203,Independent,LOST
BIHAR,RANJEET KUMAR,SAHEBGANJ,S0498,Independent,LOST
BIHAR,RANJEET KUMAR,ISLAMPUR,S04174,Independent,LOST
BIHAR,RAVI KUMAR,JAMALPUR,S04166,Independent,LOST
BIHAR,RAVI KUMAR,BANKIPUR,S04182,Independent,LOST
BIHAR,RAVI PRAKASH,MASAURHI,S04189,Independent,LOST
BIHAR,RAVI PRAKASH,BANIAPUR,S04115,Independent,LOST
BIHAR,RITESH KUMAR,RAFIGANJ,S04224,Independent,LOST
BIHAR,RITESH KUMAR,JEHANABAD,S04216,Independent,LOST
BIHAR,RUBI KUMARI,VAISHALI,S04125,Independent,LOST
BIHAR,RUBI KUMARI,ALAMNAGAR,S0470,Independent,LOST
BIHAR,RUPAM DEVI,KAHALGAON,S04155,Independent,LOST
BIHAR,RUPAM DEVI,BIHPUR,S04152,Independent,LOST
BIHAR,SAJAN KUMAR,BANKA,S04161,Independent,LOST
BIHAR,SAJAN KUMAR,KADWA,S0464,Independent,LOST
BIHAR,SANJAY KUMAR,RUNNISAIDPUR,S0429,Independent,LOST
BIHAR,SANJAY KUMAR,MADHEPURA,S0473,Independent,LOST
BIHAR,SANJAY KUMAR,PRANPUR,S0466,Independent,LOST
BIHAR,SANJAY KUMAR,WAZIRGANJ,S04234,Independent,LOST
BIHAR,SANJEET KUMAR,FATUHA,S04185,Independent,LOST
BIHAR,SANJEET KUMAR,GAYA TOWN,S04230,Independent,LOST
BIHAR,SANTOSH KUMAR,BARURAJ,S0496,Independent,LOST
BIHAR,SANTOSH KUMAR,MINAPUR,S0490,Independent,LOST
BIHAR,SHIVDEEP W LANDE,ARARIA,S0449,Independent,LOST
BIHAR,SHIVDEEP W LANDE,JAMALPUR,S04166,Independent,LOST
BIHAR,SUBODH KUMAR,DHAKA,S0421,Independent,LOST
BIHAR,SUBODH KUMAR,KALYANPUR,S0416,Independent,LOST
BIHAR,SUBODH KUMAR SINGH,TIKARI,S04231,Independent,LOST
BIHAR,SUBODH KUMAR SINGH,GAIGHAT,S0488,Independent,LOST
BIHAR,SUDHIR KUMAR,NATHNAGAR,S04158,Independent,LOST
BIHAR,SUDHIR KUMAR,ATRI,S04233,Independent,LOST
BIHAR,SUNIL KUMAR,KESARIA,S0415,Independent,LOST
BIHAR,SUNIL KUMAR,SHEIKHPURA,S04169,Independent,LOST
BIHAR,SURESH KUMAR GUPTA,KURHANI,S0493,Independent,LOST
BIHAR,SURESH KUMAR GUPTA,KANTI,S0495,Independent,LOST
BIHAR,UPENDRA KUMAR,UJIARPUR,S04134,Independent,LOST
BIHAR,UPENDRA KUMAR,RAFIGANJ,S04224,Independent,LOST
BIHAR,VIJAY KUMAR,BEGUSARAI,S04146,Independent,LOST
BIHAR,VIJAY KUMAR,LAKHISARAI,S04168,Independent,LOST
BIHAR,VIKASH KUMAR,KURTHA,S04215,Independent,LOST
BIHAR,VIKASH KUMAR,MATIHANI,S04144,Independent,LOST
BIHAR,VIKASH KUMAR,MOKAMA,S04178,Independent,LOST
BIHAR,VIPIN KUMAR,SURYAGARHA,S04167,Independent,LOST
BIHAR,VIPIN KUMAR,MAHNAR,S04129,Independent,LOST
BIHAR,AMIT KUMAR,NAUTAN,S046,Indian National Congress,LOST
BIHAR,AMIT KUMAR,RIGA,S0423,Indian National Congress,LOST
BIHAR,PREM KUMAR,WAZIRGANJ,S04234,Janshakti Janta Dal,LOST
BIHAR,PREM KUMAR,RAGHOPUR,S04128,Janshakti Janta Dal,LOST
BIHAR,ANIL KUMAR SINGH,SUPAUL,S0443,Jan Suraaj Party,LOST
BIHAR,ANIL KUMAR SINGH,BETTIAH,S048,Jan Suraaj Party,LOST
BIHAR,RAKESH KUMAR,DHAMDAHA,S0461,Jan Suraaj Party,LOST
BIHAR,RAKESH KUMAR,SULTANGANJ,S04157,Jan Suraaj Party,LOST
BIHAR,SANJAY KUMAR,DINARA,S04210,Jan Suraaj Party,LOST
BIHAR,SANJAY KUMAR,CHIRAIA,S0420,Jan Suraaj Party,LOST
BIHAR,SANJAY KUMAR,BAKHRI,S04147,Jan Suraaj Party,LOST
BIHAR,SANTOSH KUMAR SINGH,PURNIA,S0462,Jan Suraaj Party,LOST
BIHAR,SANTOSH KUMAR SINGH,TARAPUR,S04164,Jan Suraaj Party,LOST
BIHAR,SATYENDRA KUMAR,SONBARSHA,S0474,Jan Suraaj Party,LOST
BIHAR,SATYENDRA KUMAR,RAJGIR,S04173,Jan Suraaj Party,LOST
BIHAR,SHASHI KUMAR,MADHEPURA,S0473,Jan Suraaj Party,LOST
BIHAR,SHASHI KUMAR,TIKARI,S04231,Jan Suraaj Party,LOST
BIHAR,SUNIL KUMAR,VAISHALI,S04125,Jan Suraaj Party,LOST
BIHAR,SUNIL KUMAR,LAURIYA,S045,Jan Suraaj Party,LOST
BIHAR,SANTOSH KUMAR,DHAMDAHA,S0461,Rashtriya Janata Dal,LOST
BIHAR,SANTOSH KUMAR,TRIVENIGANJ,S0444,Rashtriya Janata Dal,LOST
BIHAR,SUNIL KUMAR,AMNOUR,S04120,Rashtriya Janata Dal,LOST
BIHAR,SUNIL KUMAR,SITAMARHI,S0428,Rashtriya Janata Dal,LOST
BIHAR,UPENDRA SAHANI,RIGA,S0423,Rashtriya Jansambhavna Party,LOST
BIHAR,UPENDRA SAHANI,SITAMARHI,S0428,Rashtriya Jansambhavna Party,LOST
BIHAR,PRATIMA KUMARI,RAJAULI,S04235,Rashtriya Lok Janshakti Party,LOST
BIHAR,PRATIMA KUMARI,OBRA,S04220,Rashtriya Lok Janshakti Party,LOST
