constituency_code,candidate,party,constituency,state,votes
S04197,SRIBHAGWAN SINGH KUSHWAHA,Janata Dal (United),JAGDISHPUR,BIHAR,92974
S04232,VISHVANATH KUMAR SINGH,Rashtriya Janata Dal,BELAGANJ,BIHAR,92803
S0498,PRITHWINATH RAY,Rashtriya Janata Dal,SAHEBGANJ,BIHAR,92800
S0457,GHULAM SARWAR,All India Majlis-E-Ittehadul Muslimeen,BAISI,BIHAR,92766
S04158,SHEIKH ZEYAUL HASSAN,Rashtriya Janata Dal,NATHNAGAR,BIHAR,92719
S0435,HARIBHUSHAN THAKUR,Bharatiya Janata Party,BISFI,BIHAR,92664
S04199,HULAS PANDE,Lok Janshakti Party (Ram Vilas),BRAHAMPUR,BIHAR,92608
S0419,DEWA GUPTA,Rashtriya Janata Dal,MOTIHARI,BIHAR,92517
S04209,BASHISTH SINGH,Janata Dal (United),KARGAHAR,BIHAR,92485
S04105,MANGAL PANDEY,Bharatiya Janata Party,SIWAN,BIHAR,92379
S04104,RAMSEWAK SINGH,Janata Dal (United),HATHUA,BIHAR,92121
S0451,HARI NARAYAN PRAMANIK,Vikassheel Insaan Party,SIKTI,BIHAR,92020
S048,RENU DEVI,Bharatiya Janata Party,BETTIAH,BIHAR,91907
S04220,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),OBRA,BIHAR,91638
S04240,PRAPHULL KUMAR MANJHI,Hindustani Awam Morcha (Secular),SIKANDRA,BIHAR,91603
S0449,ABIDUR RAHMAN,Indian National Congress,ARARIA,BIHAR,91529
S0495,MOHAMMAD ISRAIL MANSURI,Rashtriya Janata Dal,KANTI,BIHAR,91504
S04184,SHASHANT SHEKHAR,Indian National Congress,PATNA SAHIB,BIHAR,91466
S04152,KUMAR SHAILENDRA,Bharatiya Janata Party,BIHPUR,BIHAR,91458
S04178,ANANT KUMAR SINGH,Janata Dal (United),MOKAMA,BIHAR,91416
S04119,SURENDRA RAM,Rashtriya Janata Dal,GARKHA,BIHAR,91134
S04140,RAJ KUMAR RAY,Janata Dal (United),HASANPUR,BIHAR,90961
S04230,PREM KUMAR,Bharatiya Janata Party,GAYA TOWN,BIHAR,90878
S04122,VINAY KUMAR SINGH,Bharatiya Janata Party,SONEPUR,BIHAR,90842
S04187,JITENDRA YADAV,Lok Janshakti Party (Ram Vilas),MANER,BIHAR,90764
S04186,RIT LAL ROY,Rashtriya Janata Dal,DANAPUR,BIHAR,90744
S04160,TRIBHUWAN PRASAD,Rashtriya Janata Dal,DHORAIYA,BIHAR,90585
S0420,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,CHIRAIA,BIHAR,90572
S04185,DR. RAMANAND YADAV,Rashtriya Janata Dal,FATUHA,BIHAR,90558
S04171,JITENDRA KUMAR,Janata Dal (United),ASTHAWAN,BIHAR,90542
S04239,ARUNA  DEVI,Bharatiya Janata Party,WARSALIGANJ,BIHAR,90290
S04235,VIMAL RAJBANSHI,Lok Janshakti Party (Ram Vilas),RAJAULI,BIHAR,90272
S0477,GUNJESHWAR SAH,Janata Dal (United),MAHISHI,BIHAR,90012
S0413,RAJENDRA KUMAR,Rashtriya Janata Dal,HARSIDHI,BIHAR,89769
S0454,MD. QAMRUL HODA,Indian National Congress,KISHANGANJ,BIHAR,89669
S04219,DR. RANVIJAY KUMAR,Bharatiya Janata Party,GOH,BIHAR,89583
S04165,AVINASH KUMAR VIDYARTHI,Rashtriya Janata Dal,MUNGER,BIHAR,89278
S04137,RAJESH KUMAR SINGH,Bharatiya Janata Party,MOHIUDDINNAGAR,BIHAR,89208
S0486,MURARI MOHAN JHA,Bharatiya Janata Party,KEOTI,BIHAR,89123
S04121,KARISHMA,Rashtriya Janata Dal,PARSA,BIHAR,89093
S0416,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,KALYANPUR,BIHAR,89057
S0410,SHYAM BIHARI PRASAD,Indian National Congress,RAXAUL,BIHAR,88887
S04146,AMITA BHUSHAN,Indian National Congress,BEGUSARAI,BIHAR,88874
S04100,MANJEET KUMAR SINGH,Janata Dal (United),BARAULI,BIHAR,88657
S04198,RAKESH RANJAN,Bharatiya Janata Party,SHAHPUR,BIHAR,88655
S04180,ARUN KUMAR S/O SATRUGHAN SAO,Lok Janshakti Party (Ram Vilas),BAKHTIARPUR,BIHAR,88520
S04108,OSAMA SHAHAB,Rashtriya Janata Dal,RAGHUNATHPUR,BIHAR,88278
S0433,BRAJ KISHOR YADAV,Rashtriya Janata Dal,KHAJAULI,BIHAR,88025
S0491,AMAR KUMAR PASWAN,Rashtriya Janata Dal,BOCHAHAN,BIHAR,87870
S04126,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),MAHUA,BIHAR,87641
S04180,ANIRUDDH KUMAR,Rashtriya Janata Dal,BAKHTIARPUR,BIHAR,87539
S047,ABHISHEK RANJAN,Indian National Congress,CHANPATIA,BIHAR,87538
S04154,RAM VILASH PASAVAN,Rashtriya Janata Dal,PIRPAINTI,BIHAR,87501
S04237,VIBHA DEVI,Janata Dal (United),NAWADA,BIHAR,87423
S0452,MD TAUSEEF ALAM,All India Majlis-E-Ittehadul Muslimeen,BAHADURGANJ,BIHAR,87315
S04156,AJEET SHARMA,Indian National Congress,BHAGALPUR,BIHAR,87296
S04223,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,AURANGABAD,BIHAR,87200
S0499,PREM SHANKAR PRASAD,Rashtriya Janata Dal,BAIKUNTHPUR,BIHAR,87180
S0432,VINOD NARAYAN JHA,Bharatiya Janata Party,BENIPATTI,BIHAR,87153
S04109,KARNJEET SINGH ALIAS VYAS SINGH,Bharatiya Janata Party,DARAUNDA,BIHAR,87047
S047,UMAKANT SINGH,Bharatiya Janata Party,CHANPATIA,BIHAR,86936
S0458,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),KASBA,BIHAR,86877
S04118,CHHOTI KUMARI,Bharatiya Janata Party,CHAPRA,BIHAR,86845
S04112,HEM NARAYAN SAH,Janata Dal (United),MAHARAJGANJ,BIHAR,86813
S04134,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,UJIARPUR,BIHAR,86424
S04216,RAHUL KUMAR,Rashtriya Janata Dal,JEHANABAD,BIHAR,86402
S04235,PINKI BHARTI,Rashtriya Janata Dal,RAJAULI,BIHAR,86319
S0440,BHARAT BHUSHAN MANDAL,Rashtriya Janata Dal,LAUKAHA,BIHAR,86250
S04117,JITENDRA KUMAR RAI,Rashtriya Janata Dal,MARHAURA,BIHAR,86118
S04122,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,SONEPUR,BIHAR,86075
S0418,RANA RANDHIR,Bharatiya Janata Party,MADHUBAN,BIHAR,86002
S04130,PREMA CHAUDHARY,Rashtriya Janata Dal,PATEPUR,BIHAR,85976
S0478,ATIREK KUMAR,Janata Dal (United),KUSHESHWAR ASTHAN,BIHAR,85685
S04216,CHANDESHWAR PRASAD,Janata Dal (United),JEHANABAD,BIHAR,85609
S04116,JANAK SINGH,Bharatiya Janata Party,TARAIYA,BIHAR,85564
S0431,SUDHANSHU SHEKHAR,Janata Dal (United),HARLAKHI,BIHAR,85486
S04196,MADAN SINGH  S/O-KUMI SINGH,Communist Party of India (Marxist-Leninist) (Liberation),TARARI,BIHAR,85423
S04103,DHANANJAY,Communist Party of India (Marxist-Leninist) (Liberation),BHOREY,BIHAR,85306
S0453,GOPAL KUMAR AGARWAL,Janata Dal (United),THAKURGANJ,BIHAR,85243
S0471,RENU KUMARI,Rashtriya Janata Dal,BIHARIGANJ,BIHAR,85000
S0481,MAITHILI THAKUR,Bharatiya Janata Party,ALINAGAR,BIHAR,84915
S04200,ANAND MISHRA,Bharatiya Janata Party,BUXAR,BIHAR,84901
S04222,LALAN RAM,Hindustani Awam Morcha (Secular),KUTUMBA,BIHAR,84727
S0488,NIRANJAN ROY,Rashtriya Janata Dal,GAIGHAT,BIHAR,84687
S04151,DOCTOR SANJEEV KUMAR,Rashtriya Janata Dal,PARBATTA,BIHAR,84638
S04142,SHIV PRAKASH GARIB DAS,Indian National Congress,BACHHWARA,BIHAR,84502
S0474,SARITA DEVI,Indian National Congress,SONBARSHA,BIHAR,84379
S0485,BHOLA YADAV,Rashtriya Janata Dal,BAHADURPUR,BIHAR,84289
S0423,AMIT KUMAR,Indian National Congress,RIGA,BIHAR,84268
S04116,SHAILENDRA PRATAP,Rashtriya Janata Dal,TARAIYA,BIHAR,84235
S0480,BINAY KUMAR CHOUDHARY,Janata Dal (United),BENIPUR,BIHAR,84207
S04113,MANORANJAN SINGH,Janata Dal (United),EKMA,BIHAR,84077
S0450,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,JOKIHAT,BIHAR,83737
S0492,UMESH KUMAR RAM,Indian National Congress,SAKRA,BIHAR,83673
S0461,SANTOSH KUMAR,Rashtriya Janata Dal,DHAMDAHA,BIHAR,83591
S04162,SWEETY SIMA HEMBROM,Rashtriya Janata Dal,KATORIA,BIHAR,83274
S04140,MALA PUSHPAM,Rashtriya Janata Dal,HASANPUR,BIHAR,83047
