state,constituency,constituency_code,runner_up_party,runner_up_votes,winning_party,winning_votes,vote_difference
BIHAR,BABUBARHI,S0434,Rashtriya Janata Dal,80653,Janata Dal (United),98221,17568
BIHAR,JAGDISHPUR,S04197,Rashtriya Janata Dal,74781,Janata Dal (United),92974,18193
BIHAR,DARBHANGA RURAL,S0482,Rashtriya Janata Dal,62232,Janata Dal (United),80624,18392
BIHAR,HAJIPUR,S04123,Rashtriya Janata Dal,94712,Bharatiya Janata Party,113221,18509
BIHAR,MUNGER,S04165,Rashtriya Janata Dal,89278,Bharatiya Janata Party,108028,18750
BIHAR,RUNNISAIDPUR,S0429,Rashtriya Janata Dal,73935,Janata Dal (United),93672,19737
BIHAR,BOCHAHAN,S0491,Rashtriya Janata Dal,87870,Lok Janshakti Party (Ram Vilas),108186,20316
BIHAR,MADHUBANI,S0436,Rashtriya Janata Dal,77404,Rashtriya Lok Morcha,97956,20552
BIHAR,SARAIRANJAN,S04136,Rashtriya Janata Dal,81994,Janata Dal (United),102792,20798
BIHAR,MAHARAJGANJ,S04112,Rashtriya Janata Dal,65714,Janata Dal (United),86813,21099
BIHAR,PATEPUR,S04130,Rashtriya Janata Dal,85976,Bharatiya Janata Party,108356,22380
BIHAR,DHORAIYA,S04160,Rashtriya Janata Dal,90585,Janata Dal (United),113011,22426
BIHAR,SHEIKHPURA,S04169,Rashtriya Janata Dal,60375,Janata Dal (United),82922,22547
BIHAR,BELSAND,S0430,Rashtriya Janata Dal,59391,Lok Janshakti Party (Ram Vilas),82076,22685
BIHAR,EKMA,S04113,Rashtriya Janata Dal,61369,Janata Dal (United),84077,22708
BIHAR,GOBINDPUR,S04238,Rashtriya Janata Dal,49675,Lok Janshakti Party (Ram Vilas),72581,22906
BIHAR,KOCHADHAMAN,S0455,Rashtriya Janata Dal,58839,All India Majlis-E-Ittehadul Muslimeen,81860,23021
BIHAR,GAIGHAT,S0488,Rashtriya Janata Dal,84687,Janata Dal (United),108104,23417
BIHAR,SURSAND,S0426,Rashtriya Janata Dal,80490,Janata Dal (United),104157,23667
BIHAR,SURYAGARHA,S04167,Rashtriya Janata Dal,78107,Janata Dal (United),101968,23861
BIHAR,SIKANDRA,S04240,Rashtriya Janata Dal,67696,Hindustani Awam Morcha (Secular),91603,23907
BIHAR,NOKHA,S04211,Rashtriya Janata Dal,69139,Janata Dal (United),93193,24054
BIHAR,GURUA,S04225,Rashtriya Janata Dal,75564,Bharatiya Janata Party,99758,24194
BIHAR,BHABUA,S04205,Rashtriya Janata Dal,55624,Bharatiya Janata Party,80039,24415
BIHAR,BARH,S04179,Rashtriya Janata Dal,74633,Bharatiya Janata Party,99446,24813
BIHAR,NARPATGANJ,S0446,Rashtriya Janata Dal,95204,Bharatiya Janata Party,120557,25353
BIHAR,NATHNAGAR,S04158,Rashtriya Janata Dal,92719,Lok Janshakti Party (Ram Vilas),118143,25424
BIHAR,SASARAM,S04208,Rashtriya Janata Dal,79563,Rashtriya Lok Morcha,105006,25443
BIHAR,LAUKAHA,S0440,Rashtriya Janata Dal,86250,Janata Dal (United),111761,25511
BIHAR,ATRI,S04233,Rashtriya Janata Dal,76325,Hindustani Awam Morcha (Secular),102102,25777
BIHAR,KANTI,S0495,Rashtriya Janata Dal,91504,Janata Dal (United),117299,25795
BIHAR,IMAMGANJ,S04227,Rashtriya Janata Dal,79005,Hindustani Awam Morcha (Secular),104861,25856
BIHAR,NARKATIAGANJ,S043,Rashtriya Janata Dal,73586,Bharatiya Janata Party,100044,26458
BIHAR,NAWADA,S04237,Rashtriya Janata Dal,59829,Janata Dal (United),87423,27594
BIHAR,MOKAMA,S04178,Rashtriya Janata Dal,63210,Janata Dal (United),91416,28206
BIHAR,DANAPUR,S04186,Rashtriya Janata Dal,90744,Bharatiya Janata Party,119877,29133
BIHAR,SULTANGANJ,S04157,Rashtriya Janata Dal,77576,Janata Dal (United),108712,31136
BIHAR,SHEOHAR,S0422,Rashtriya Janata Dal,65871,Janata Dal (United),97269,31398
BIHAR,BIHARIGANJ,S0471,Rashtriya Janata Dal,85000,Janata Dal (United),116622,31622
BIHAR,LALGANJ,S04124,Rashtriya Janata Dal,95483,Bharatiya Janata Party,127650,32167
BIHAR,ISLAMPUR,S04174,Rashtriya Janata Dal,68248,Janata Dal (United),100487,32239
BIHAR,VAISHALI,S04125,Rashtriya Janata Dal,75787,Janata Dal (United),108377,32590
BIHAR,PARBATTA,S04151,Rashtriya Janata Dal,84638,Lok Janshakti Party (Ram Vilas),118677,34039
BIHAR,MINAPUR,S0490,Rashtriya Janata Dal,79173,Janata Dal (United),113411,34238
BIHAR,RAMNAGAR,S042,Rashtriya Janata Dal,79534,Bharatiya Janata Party,115214,35680
BIHAR,ALAULI,S04148,Rashtriya Janata Dal,57476,Janata Dal (United),93208,35732
BIHAR,DEHRI,S04212,Rashtriya Janata Dal,68054,Lok Janshakti Party (Ram Vilas),104022,35968
BIHAR,BELHAR,S04163,Rashtriya Janata Dal,78187,Janata Dal (United),115393,37206
BIHAR,NIRMALI,S0441,Rashtriya Janata Dal,81594,Janata Dal (United),118904,37310
BIHAR,MAHNAR,S04129,Rashtriya Janata Dal,59492,Janata Dal (United),98050,38558
BIHAR,CHIRAIA,S0420,Rashtriya Janata Dal,51212,Bharatiya Janata Party,90572,39360
BIHAR,ASTHAWAN,S04171,Rashtriya Janata Dal,49834,Janata Dal (United),90542,40708
BIHAR,RAJNAGAR,S0437,Rashtriya Janata Dal,66177,Bharatiya Janata Party,108362,42185
BIHAR,MAHUA,S04126,Rashtriya Janata Dal,42644,Lok Janshakti Party (Ram Vilas),87641,44997
BIHAR,TARAPUR,S04164,Rashtriya Janata Dal,76637,Bharatiya Janata Party,122480,45843
