constituency_code,candidate,party,constituency,state,votes
S03105,ATUL BORA,Asom Gana Parishad,BOKAKHAT,ASSAM,80987
S0330,NANDITA DAS,Indian National Congress,HAJO-SUALKUCHI,ASSAM,80975
S0326,DHARMESWAR ROY,Asom Gana Parishad,BAJALI,ASSAM,80130
S036,KARTIK CHANDRA RAY,Indian National Congress,GOLAKGANJ,ASSAM,79751
S03101,RUPJYOTI KURMI,Bharatiya Janata Party,MARIANI,ASSAM,79632
S0367,PRITHIRAJ RAVA,Asom Gana Parishad,TEZPUR,ASSAM,79140
S03102,DHIRAJ GOWALA,Bharatiya Janata Party,TITABOR,ASSAM,78743
S03113,RUPALI LANGTHASA,Bharatiya Janata Party,HAFLONG,ASSAM,78674
S0398,BHUBAN GAM,Bharatiya Janata Party,MAJULI,ASSAM,78324
S039,ALI AKBAR MIAH,All India United Democratic Front,BIRSING JARUA,ASSAM,78016
S0363,JHILLI CHOWDHURY,Indian National Congress,HOJAI,ASSAM,77660
S035,MD ASHRAFUL ISLAM SHEIKH,Indian National Congress,PARBATJHORA,ASSAM,77128
S0346,RIHON DAIMARI,Bodoland Peoples Front,UDALGURI,ASSAM,76800
S0350,RIJUMONI TALUKDAR,Indian National Congress,MANGALDAI,ASSAM,76142
S0379,JIBAN GOGOI,Bharatiya Janata Party,SISSIBARGAON,ASSAM,75758
S0393,DHORMESWAR KONWAR,Bharatiya Janata Party,SONARI,ASSAM,74833
S033,SEWLI MOHILARY,Bodoland Peoples Front,KOKRAJHAR,ASSAM,74816
S0385,SANJOY KISHAN,Bharatiya Janata Party,MAKUM,ASSAM,74694
S0349,BINANDA KUMAR SAIKIA,Indian National Congress,SIPAJHAR,ASSAM,74475
S0332,DIGANTA KALITA,Bharatiya Janata Party,KAMALPUR,ASSAM,74455
S0340,RATUL PATOWARY,Indian National Congress,TIHU,ASSAM,74359
S0357,KESHAB MAHANTA,Asom Gana Parishad,KALIABOR,ASSAM,74029
S0321,MANORANJAN TALUKDAR,Communist Party of India (Marxist),BHOWANIPUR-SORBHOG,ASSAM,73917
S0331,PRANJIT CHOUDHURY,Indian National Congress,RANGIA,ASSAM,73900
S03116,AMAR CHAND JAIN,Indian National Congress,KATIGORAH,ASSAM,73078
S0373,BHUPEN KUMAR BORAH,Bharatiya Janata Party,BIHPURIA,ASSAM,73050
S0318,DIPTIMAYEE CHOUDHURY,Asom Gana Parishad,BONGAIGAON,ASSAM,72247
S0320,ARUP KUMAR DEY,Bharatiya Janata Party,BIJNI,ASSAM,71708
S0390,RAMESWAR TELI,Bharatiya Janata Party,DULIAJAN,ASSAM,71467
