candidate,constituency_count
MD. NURUL ISLAM,1
MD. NURUL ISLAM,1
MD RIZWAN AHMED,1
MEHBOOB MUKTAR,1
MEHETABUL HAQUE,1
MICHAEL KUJUR,1
MILON DAS,1
MINAKSHI RAHMAN,1
MINAR HUSSAIN MAZARBHUIYA,1
MIRA BORTHAKUR GOSWAMI,1
MIR HUSSAIN SARKAR,1
M M MUZAHIDUL ISLAM MAZUMDER,1
MOHAMMAD SUMAIR LASKAR,1
MOHAMMED ALTAF HUSSAIN,1
MOHAMMED BADRUDDIN AJMAL,1
MOHAMMED KABIR AHMED,1
MOHAR UDDIN MONDAL,1
MOHENDRA DHADUMIA,1
MOHIBUL ISLAM,1
Mohibur Rohman (Bappy),1
MOKBUL ALI,1
MOMINUR ISLAM,1
MRIDUL KUMAR DUTTA,1
MRINAL BISWAS,1
MRINAL SAIKIA,1
MRITUNJAY RABHA,1
M. SANTI KUMAR SINGHA,1
MUKTAR HUSSAIN,1
MUKUT DAS,1
MUKUT KUMAR DEBNATH,1
MUNINDRA DAS (BAPTI),1
MUNINDRA DOLEY,1
MUN KUMAR DEKA,1
MUSTAK HUSSAIN BARBHUIYA,1
MUSUKHA BASUMATARY,1
MUZAKKIR HASAN LASKAR,1
NABAJIT SARANIA,1
NABA KUMAR NATH,1
NAGEN CHANDRA DEKA,1
NANDIGIRI BHUYAN,1
NANDITA DAS,1
NANDITA GORLOSA,1
NARAYAN ADHIKARI,1
NARAYAN BHUYAN,1
NARAYAN DEKA,1
NARAYAN DUTTA BHUYAN,1
NASHIR UDDIN KHAN,1
NASIR UDDIN BARBHUIYA,1
NAYAN MONI CHOUDHURY,1
NAZMUL ALAM LASKAR,1
NAZRUL HOQUE,1
NAZRUL ISLAM,1
NAZRUL ISLAM LASKAR,1
NERSWN BORO,1
NIJAM UDDIN CHOUDHURY,1
NIKHIL DEKARAJA,1
NIKUNJA DAS,1
NILANJANA CHAKRABORTY,1
NILIMA DEVI,1
NISO TERANGPI,1
NITUL DAS,1
NITYANANDA BASUMATARY,1
NIZANUR RAHMAN,1
NURUL ALI,1
NURUL ALOM BARBHUIYA,1
NURUL AMIN KHAN,1
NURUL HASSAN TALUKDAR,1
NURUL HUDA,1
NURUL ISLAM,1
OMAR ALI SK.,1
OMAR FARUQUE,1
PABAN PRAN RABIDAS,1
PABITRA KUMAR BARO,1
PABITRA RABHA,1
PADMA HAZARIKA,1
PADMA KANTA CHUTIA,1
PALLABI SAIKIA,1
PALLABI SAIKIA GOGOI,1
PALLAB LOCHAN DAS,1
PALLAV SAIKIA,1
PANIRAM BRAHMA,1
PANKAJ LOCHAN GOSWAMI,1
PANKAJ MAHANTA,1
PAPLU NATH,1
PARAMANANDA RAJBONGSHI,1
PARIMAL DAS,1
PARIMAL RANJAN ROY,1
PAWAN SAUTAL,1
PETER MINJ,1
PHEDRICSON HANSDAK,1
PHULAN KACHARI,1
PIJUSH HAZARIKA,1
PINTU GHOSH,1
POTON LAL RABIDAS,1
PRABHAT BASUMATARY,1
PRABHAT CHANDRA RAY,1
PRABHAT DAS PANIKA,1
PRABIN JYOTI KALITA,1
PRABIN KR. DEKA,1
PRADIP BARUAH,1
PRADIP KUMAR BARUAH,1
PRADIP SARKAR,1
PRADYUT BORDOLOI,1
PRAFULLA BAGLARI,1
PRAKASH CHANDRA DAS,1
PRAMOD BORO,1
PRANAB BAROI,1
PRANAB DOLEY,1
PRANAB KUMAR NATH,1
PRANAB PRIYANKUSH DUTTA,1
PRANATEE PHUKAN,1
PRANITA BARMAN,1
PRANJAL BORAH,1
PRANJAL GHATOWAR,1
PRANJIT CHOUDHURY,1
PRANJIT KUMAR BISWAS,1
PRAN  KURMI,1
PRASANTA PHUKAN,1
PRATIBHA BRAHMA,1
PRATIMA ENGHEEPI,1
PRITHIRAJ RAVA,1
PRITHVIRAJ NARAYAN DEV MECH,1
PRITI REKHA BARLA,1
PRODIP HAZARIKA,1
PULIN GOGOI,1
PULOK GOHAIN,1
RAAJKAR BECK,1
RABI KUMAR PHANGCHO,1
RABINDRA BASUMATARY,1
RABINDRA BISWAS,1
RABIRAM NARZARY,1
RAFEL DAIMARY,1
RAFIQUL ISLAM,1
RAFIQUL ISLAM,1
RAHUL CHETRY,1
RAHUL ROY,1
RAJAN CHAUHAN,1
RAJAN GUPTA,1
RAJAT CH. SWARGIARY,1
RAJAT KANTI SAHA,1
RAJDEEP GOALA,1
RAJEN GOHAIN,1
RAJEN TIMUNG,1
RAJEN TIMUNG S/O LT. KANGBURA TIMUNG,1
RAJEN TIMUNG S/O LT. SARTHE TIMUNG,1
RAJESH KUMAR BRAHMA,1
RAJIB BRAHMA,1
RAJKUMAR BARO,1
RAJKUMAR DUWARA,1
RAJU DAS,1
RAJU KARUWA,1
RAJU KUMAR MEDOK,1
RAJU KUMAR NARZARY,1
RAJU MESH,1
RAJU PATOWARY,1
RAJU RONGPI,1
RAKESH BRAHMA,1
RAMA KANTA DEWRI,1
RAMCHANDRA DAS,1
RAMEN SINGH RABHA,1
RAMESH CHANDRA DAS,1
RAMESWAR TELI,1
RANANJAY NARZARY,1
RANDEEPSING MARAK,1
RANJAN SARKAR,1
RANJEET KUMAR DASS,1
RANJIT BASUMATARY,1
RANJIT KUMAR ROY,1
RANJIT SARKAR,1
RANJOY BASUMATARY,1
RANJOY KR. BRAHMA,1
RANU DAS,1
RANUMAI TERONPI,1
RATON ENGTI,1
RATUL PATOWARY,1
REJAUL KARIM CHOWDHURY,1
REJAUL KARIM SARKAR,1
REKIBUDDIN AHMED,1
RENUKA TIMUNGPI,1
REZA AMIN,1
REZAUL KARIM,1
RIHON DAIMARI,1
RIJUMONI TALUKDAR,1
RIPUN BORA,1
RISHIRAJ HAZARIKA,1
RITU BARAN SARMAH,1
ROHIT KACHARI,1
ROHIT PARIGA,1
ROJY AHMED,1
ROSELINA TIRKEY,1
RUBUL BORAH,1
RUHAN DUTTA,1
RUPAK BHUYAN,1
RUPAK SARMAH,1
RUPALI LANGTHASA,1
RUPAM CHANDRA ROY,1
RUPESH GOWALA,1
RUPJYOTI KURMI,1
RUPOSRI GOSWAMI,1
SABANA AKTAR,1
SABBIR AHMED CHOUDHURY,1
SABBIR HUSSAIN PORAMANIK,1
SABHARAM BASUMATARY,1
SABINA EACHAMIN,1
SADDAM HUSSAIN,1
SAFAR ALI,1
SAGORIKA BORA,1
SAHAB UDDIN AHMED,1
SAHIDUL ALAM,1
SAHIL MUNDA,1
SAIDUR RAHMAN SARKAR,1
SAIFUL ISLAM,1
SALEH AHMED MAZUMDER,1
SALIM AHMED,1
SALIM KHAN,1
SAMADUL HOQUE CHOUDHURY,1
SAMIN AHMED CHOUDHURY,1
SAMRAJ BANIK,1
SAMUEL RONGPI EJANG,1
SANCHITA SUKLA,1
SANDIP DAS,1
SANJEEB TERON,1
SANJOY BAGH,1
SANJOY KISHAN,1
SANJU MUNDA,1
SANKAR JYOTI KUTUM,1
SANTANU BORA,1
SANTANU MUKHERJEE,1
SAPALI MARAK,1
SARKIRI RONGPHAR,1
SASHANKA SEKHAR DAS,1
SASHI KANTA DAS,1
SATYABRAT KALITA,1
