constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S0329,ASSAM,PALASBARI,HIMANGSHU SHEKHAR BAISHYA,Bharatiya Janata Party,109301,PANKAJ LOCHAN GOSWAMI,Assam Jatiya Parishad,65348,43953
S03120,ASSAM,DHOLAI,AMIYA KANTI DAS,Bharatiya Janata Party,100634,DHRUBAJYOTI PURKAYASTHA,Indian National Congress,56172,44462
S0397,ASSAM,NAZIRA,MAYUR BORGOHAIN,Bharatiya Janata Party,98198,DEBABRATA SAIKIA,Indian National Congress,51497,46701
S03125,ASSAM,PATHARKANDI,KRISHNENDU PAUL,Bharatiya Janata Party,98101,KARTIK SENA SINHA,Indian National Congress,51337,46764
S0324,ASSAM,BARPETA,DIPAK KUMAR DAS,Asom Gana Parishad,94086,GAGAN CHANDRA HALOI,Independent,46684,47402
S0341,ASSAM,MANAS,THANESWAR BASUMATARY,Bodoland Peoples Front,90060,ANJAN TALUKDAR,Raijor Dal,42650,47410
S0315,ASSAM,DUDHNAI,TANKESWAR RABHA,Bharatiya Janata Party,100353,KISHORE KUMAR BRAHMA,Indian National Congress,52716,47637
S0335,ASSAM,NEW GUWAHATI,DIPLU RANJAN SARMAH,Bharatiya Janata Party,89636,SANTANU BORA,Indian National Congress,41968,47668
S0365,ASSAM,DHEKIAJULI,ASHOK SINGHAL,Bharatiya Janata Party,111880,BATASH ORANG,Indian National Congress,63711,48169
S0386,ASSAM,TINSUKIA,PULOK GOHAIN,Bharatiya Janata Party,85184,DEVID PHUKAN,Indian National Congress,36687,48497
S0391,ASSAM,TINGKHONG,BIMAL BORAH,Bharatiya Janata Party,88912,BIPUL GOGOI,Indian National Congress,39886,49026
S0342,ASSAM,BAKSA,MANESWAR BRAHMA,Bodoland Peoples Front,88820,RAKESH BRAHMA,United Peoples Party Liberal,39770,49050
S0333,ASSAM,DISPUR,PRADYUT BORDOLOI,Bharatiya Janata Party,103337,MIRA BORTHAKUR GOSWAMI,Indian National Congress,53670,49667
S03110,ASSAM,DIPHU,NISO TERANGPI,Bharatiya Janata Party,90866,J. I  KATHAR,Independent,41126,49740
S0377,ASSAM,DHAKUAKHANA,SHRI NABA KUMAR DOLEY,Bharatiya Janata Party,92123,ANANDA NARAH,Indian National Congress,42051,50072
S03113,ASSAM,HAFLONG,RUPALI LANGTHASA,Bharatiya Janata Party,78674,DANIEL LANGTHASA,National Peoples Party,28368,50306
S0387,ASSAM,CHABUA-LAHOWAL,BINOD HAZARIKA,Bharatiya Janata Party,89202,PRANJAL GHATOWAR,Indian National Congress,38288,50914
S0314,ASSAM,GOALPARA EAST,ABUL KALAM RASHEED ALAM,Indian National Congress,102205,ABDUR RAHIM ZIBRAN,Asom Gana Parishad,50944,51261
S0372,ASSAM,GOHPUR,UTPAL BORAH,Bharatiya Janata Party,96582,SANKAR JYOTI KUTUM,Indian National Congress,43860,52722
S0369,ASSAM,NADUAR,PADMA HAZARIKA,Bharatiya Janata Party,111125,SUNIL KUMAR CHHETRI,Indian National Congress,58209,52916
S0311,ASSAM,MANKACHAR,Mohibur Rohman (Bappy),Indian National Congress,169036,ZABED ISLAM,Asom Gana Parishad,115890,53146
S03118,ASSAM,SILCHAR,DR. RAJDEEP ROY,Bharatiya Janata Party,110758,ABHIJIT PAUL,Indian National Congress,56761,53997
S0348,ASSAM,TANGLA,BIKAN CHANDRA DEKA,Bharatiya Janata Party,84309,ROHIT PARIGA,Indian National Congress,29708,54601
S0383,ASSAM,MARGHERITA,BHASKAR SHARMA,Bharatiya Janata Party,86349,RAHUL CHETRY,Raijor Dal,31032,55317
S0382,ASSAM,DOOMDOOMA,RUPESH GOWALA,Bharatiya Janata Party,86009,DURGA BHUMIJ,Indian National Congress,30627,55382
S03115,ASSAM,UDHARBOND,RAJDEEP GOALA,Bharatiya Janata Party,103331,AJIT SINGH,Indian National Congress,47867,55464
S0347,ASSAM,MAZBAT,CHARAN BORO,Bodoland Peoples Front,84718,PRITI REKHA BARLA,Jharkhand Mukti Morcha,29172,55546
S03121,ASSAM,HAILAKANDI,MILON DAS,Bharatiya Janata Party,119591,RAHUL ROY,Indian National Congress,63774,55817
S03107,ASSAM,SARUPATHAR,BISWAJIT PHUKAN,Bharatiya Janata Party,96341,JIBAN CHUTIA,Assam Jatiya Parishad,40261,56080
S0359,ASSAM,BARHAMPUR,JITU GOSWAMI,Bharatiya Janata Party,117127,RAJEN GOHAIN,Assam Jatiya Parishad,60986,56141
S03106,ASSAM,KHUMTAI,MRINAL SAIKIA,Bharatiya Janata Party,91127,ROSELINA TIRKEY,Indian National Congress,32715,58412
S0316,ASSAM,ABHAYAPURI,BHUPEN ROY,Bharatiya Janata Party,111154,PRADIP SARKAR,Indian National Congress,52228,58926
S0328,ASSAM,BOKO-CHAYGAON,RAJU MESH,Bharatiya Janata Party,107113,RAMEN SINGH RABHA,Indian National Congress,47559,59554
S0339,ASSAM,NALBARI,JAYANTA MALLABARUAH,Bharatiya Janata Party,118611,ASHOK KUMAR SARMA,Indian National Congress,58510,60101
S03111,ASSAM,RONGKHANG,TULIRAM RONGHANG,Bharatiya Janata Party,83248,AUGUSTINE ENGHEE,Indian National Congress,23005,60243
S03105,ASSAM,BOKAKHAT,ATUL BORA,Asom Gana Parishad,80987,HARI PRASAD SAIKIA,Raijor Dal,20450,60537
S0371,ASSAM,BEHALI,MUNINDRA DAS (BAPTI),Bharatiya Janata Party,87224,GYANENDRA SARKAR,Communist Party of India (Marxist-Leninist) (Liberation),26521,60703
S0336,ASSAM,GUWAHATI CENTRAL,VIJAY KUMAR GUPTA,Bharatiya Janata Party,101297,KUNKI CHOWDHURY,Assam Jatiya Parishad,39376,61921
S0360,ASSAM,NAGAON-BATADRABA,RUPAK SARMAH,Bharatiya Janata Party,113958,DURLAV CHAMUA,Indian National Congress,51974,61984
S0392,ASSAM,NAHARKATIA,TARANGA GOGOI,Bharatiya Janata Party,87768,PRANATEE PHUKAN,Indian National Congress,25486,62282
S0325,ASSAM,PAKABETBARI,JAKIR HUSSAIN SIKDAR,Indian National Congress,157748,MINAKSHI RAHMAN,All India United Democratic Front,92481,65267
S0334,ASSAM,DIMORIA,DR. TAPAN DAS,Asom Gana Parishad,116058,SHRI KISHOR KUMAR BARUAH,Indian National Congress,50673,65385
S0354,ASSAM,MORIGAON,RAMA KANTA DEWRI,Bharatiya Janata Party,117942,BANI KANTA DAS,Assam Jatiya Parishad,52453,65489
S0353,ASSAM,LAHARIGHAT,DR ASIF MOHAMMAD NAZAR,Indian National Congress,169212,SIDDIQUE AHMED,All India United Democratic Front,102917,66295
S0363,ASSAM,HOJAI,SHILADITYA DEV,Bharatiya Janata Party,144361,JHILLI CHOWDHURY,Indian National Congress,77660,66701
S038,ASSAM,DHUBRI,BABY BEGUM,Indian National Congress,118362,NAZRUL HOQUE,All India United Democratic Front,49701,68661
S0344,ASSAM,GORESWAR,VICTOR KUMAR DAS,Bharatiya Janata Party,98108,PABITRA KUMAR BARO,United Peoples Party Liberal,28859,69249
S0356,ASSAM,RUPAHIHAT,NURUL HUDA,Indian National Congress,135682,AMINUL ISLAM,All India United Democratic Front,65916,69766
S0355,ASSAM,DHING,MEHBOOB MUKTAR,Raijor Dal,131182,MATIUR RAHMAN,All India United Democratic Front,59688,71494
S0388,ASSAM,DIBRUGARH,PRASANTA PHUKAN,Bharatiya Janata Party,106803,MAINAK PATRA,Assam Jatiya Parishad,34760,72043
S03109,ASSAM,HOWRAGHAT,LUNSING TERON,Bharatiya Janata Party,106229,SANJEEB TERON,Indian National Congress,28123,78106
S0327,ASSAM,CHAMARIA,REKIBUDDIN AHMED,Indian National Congress,149720,IMDAD HUSSAIN,All India United Democratic Front,71024,78696
S0380,ASSAM,JONAI,BHUBON PEGU,Bharatiya Janata Party,128940,RAJU KUMAR MEDOK,Indian National Congress,48816,80124
S03126,ASSAM,RAM KRISHNA NAGAR,BIJOY MALAKAR,Bharatiya Janata Party,134013,SURUCHI ROY,Indian National Congress,50248,83765
S03124,ASSAM,KARIMGANJ SOUTH,AMINUR RASHID CHOUDHURY,Indian National Congress,137257,EKBAL HUSSAIN,Asom Gana Parishad,50625,86632
S0323,ASSAM,CHENGA,ABDUR RAHIM AHMED,Indian National Congress,139167,ASHRAFUL HUSSAIN,All India United Democratic Front,51818,87349
S0337,ASSAM,JALUKBARI,HIMANTA BISWA SARMA,Bharatiya Janata Party,127151,BIDISHA NEOG,Indian National Congress,37717,89434
S0352,ASSAM,JAGIROAD,PIJUSH HAZARIKA,Bharatiya Janata Party,155129,SRI BUBUL DAS,Indian National Congress,61545,93584
S03114,ASSAM,LAKHIPUR,KAUSHIK RAI,Bharatiya Janata Party,125302,M. SANTI KUMAR SINGHA,Indian National Congress,25901,99401
S03122,ASSAM,ALGAPUR-KATLICHERRA,ZUBAIR ANAM MAZUMDER,Indian National Congress,145661,ZAKIR HUSSAIN LASKAR,Asom Gana Parishad,40213,105448
S0358,ASSAM,SAMAGURI,TANZIL HUSSAIN,Indian National Congress,145212,ANIL SAIKIA,Bharatiya Janata Party,36902,108310
S0312,ASSAM,JALESHWAR,AFTAB UDDIN MOLLAH,Indian National Congress,162174,SHEIKH SHAH ALAM,All India United Democratic Front,52486,109688
S037,ASSAM,GAURIPUR,ABDUS SOBAHAN ALI SARKAR,Indian National Congress,182971,NIZANUR RAHMAN,All India United Democratic Front,63874,119097
