candidate,party,constituency,runner_up_vote_percentage
KISHORE KUMAR BRAHMA,Indian National Congress,DUDHNAI,33.400
BIKRAM HANSE,Independent,AMRI,33.190
RANJIT BASUMATARY,United Peoples Party Liberal,SIDLI CHIRANG,33.160
DEBABRATA SAIKIA,Indian National Congress,NAZIRA,32.850
ABHIJIT PAUL,Indian National Congress,SILCHAR,32.850
ABDUL KHALEQUE,Indian National Congress,MANDIA,32.610
ASHOK KUMAR SARMA,Indian National Congress,NALBARI,32.050
GAGAN CHANDRA HALOI,Independent,BARPETA,31.200
PRADIP SARKAR,Indian National Congress,ABHAYAPURI,31.120
RAJEN GOHAIN,Assam Jatiya Parishad,BARHAMPUR,31.000
ANANDA NARAH,Indian National Congress,DHAKUAKHANA,30.810
DURLAV CHAMUA,Indian National Congress,NAGAON-BATADRABA,30.740
AJIT SINGH,Indian National Congress,UDHARBOND,30.610
IMDAD HUSSAIN,All India United Democratic Front,CHAMARIA,30.280
GIRISH BARUAH,Indian National Congress,BONGAIGAON,30.140
SANTANU BORA,Indian National Congress,NEW GUWAHATI,30.030
AMINUL ISLAM,All India United Democratic Front,RUPAHIHAT,29.860
SANKAR JYOTI KUTUM,Indian National Congress,GOHPUR,29.850
BANI KANTA DAS,Assam Jatiya Parishad,MORIGAON,29.590
MIRA BORTHAKUR GOSWAMI,Indian National Congress,DISPUR,29.030
LAWRENCE ISLARY,United Peoples Party Liberal,KOKRAJHAR,28.610
J. I  KATHAR,Independent,DIPHU,28.490
ALI AKBAR MIAH,All India United Democratic Front,BIRSING JARUA,28.450
RAMEN SINGH RABHA,Indian National Congress,BOKO-CHAYGAON,28.310
SHRI KISHOR KUMAR BARUAH,Indian National Congress,DIMORIA,28.250
SRI BUBUL DAS,Indian National Congress,JAGIROAD,28.030
BIPUL GOGOI,Indian National Congress,TINGKHONG,27.450
MATIUR RAHMAN,All India United Democratic Front,DHING,27.120
RAJU KUMAR MEDOK,Indian National Congress,JONAI,27.100
DEVID PHUKAN,Indian National Congress,TINSUKIA,27.010
KUNKI CHOWDHURY,Assam Jatiya Parishad,GUWAHATI CENTRAL,26.770
JIBAN CHUTIA,Assam Jatiya Parishad,SARUPATHAR,26.690
SURUCHI ROY,Indian National Congress,RAM KRISHNA NAGAR,26.510
KARTIK CHANDRA KURMI,Indian National Congress,RANGAPARA,26.220
PRANJAL GHATOWAR,Indian National Congress,CHABUA-LAHOWAL,26.080
SAPALI MARAK,Indian National Congress,BAOKHUNGRI,26.080
RAJU KUMAR NARZARY,United Peoples Party Liberal,DOTMA,25.980
DURGA BHUMIJ,Indian National Congress,DOOMDOOMA,25.210
RAKESH BRAHMA,United Peoples Party Liberal,BAKSA,24.650
DULAL CHANDRA BORUAH,Raijor Dal,SISSIBARGAON,24.170
ANJAN TALUKDAR,Raijor Dal,MANAS,24.130
ABDUR RAHIM ZIBRAN,Asom Gana Parishad,GOALPARA EAST,23.420
KAMAL SING NARZARY,United Peoples Party Liberal,BIJNI,22.890
NAZRUL HOQUE,All India United Democratic Front,DHUBRI,22.520
ROSELINA TIRKEY,Indian National Congress,KHUMTAI,22.410
SHEIKH SHAH ALAM,All India United Democratic Front,JALESHWAR,22.390
RAHUL CHETRY,Raijor Dal,MARGHERITA,22.180
BIDISHA NEOG,Indian National Congress,JALUKBARI,22.080
MAINAK PATRA,Assam Jatiya Parishad,DIBRUGARH,22.060
NERSWN BORO,United Peoples Party Liberal,BHERGAON,21.940
DANIEL LANGTHASA,National Peoples Party,HAFLONG,21.410
PHEDRICSON HANSDAK,Jharkhand Mukti Morcha,GOSSAIGAON,21.400
NIZANUR RAHMAN,All India United Democratic Front,GAURIPUR,21.340
EKBAL HUSSAIN,Asom Gana Parishad,KARIMGANJ SOUTH,21.310
ASHRAFUL HUSSAIN,All India United Democratic Front,CHENGA,21.170
DULAL MORAN,Raijor Dal,DIGBOI,21.090
AUGUSTINE ENGHEE,Indian National Congress,RONGKHANG,20.930
PRANATEE PHUKAN,Indian National Congress,NAHARKATIA,20.450
GYANENDRA SARKAR,Communist Party of India (Marxist-Leninist) (Liberation),BEHALI,20.030
ROHIT PARIGA,Indian National Congress,TANGLA,19.320
PRITI REKHA BARLA,Jharkhand Mukti Morcha,MAZBAT,18.420
SANJEEB TERON,Indian National Congress,HOWRAGHAT,18.060
ZAKIR HUSSAIN LASKAR,Asom Gana Parishad,ALGAPUR-KATLICHERRA,17.710
ANIL SAIKIA,Bharatiya Janata Party,SAMAGURI,17.300
PABITRA KUMAR BARO,United Peoples Party Liberal,GORESWAR,16.930
M. SANTI KUMAR SINGHA,Indian National Congress,LAKHIPUR,16.840
HARI PRASAD SAIKIA,Raijor Dal,BOKAKHAT,15.060
