CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","Indian National Congress",CHANDRAPUR,MAHARASHTRA,57.8754
"ANNPURNA DEVI","Bharatiya Janata Party",KODARMA,JHARKHAND,57.7867
"SMITA UDAY WAGH","Bharatiya Janata Party",JALGAON,MAHARASHTRA,57.6654
C.M.RAMESH,"Bharatiya Janata Party",ANAKAPALLE,"ANDHRA PRADESH",57.5002
"BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA)","Bharatiya Janata Party",NARSAPURAM,"ANDHRA PRADESH",57.4611
"APPALANAIDU KALISETTI","Telugu Desam",VIZIANAGARAM,"ANDHRA PRADESH",57.1959
"PARBHUBHAI NAGARBHAI VASAVA","Bharatiya Janata Party",BARDOLI,GUJARAT,57.0396
"GYANESHWAR PATIL","Bharatiya Janata Party",KHANDWA,"MADHYA PRADESH",57.0350
"SALENG A SANGMA","Indian National Congress",TURA,MEGHALAYA,56.9565
"BIDYUT BARAN MAHATO","Bharatiya Janata Party",JAMSHEDPUR,JHARKHAND,56.8376
"DIMPLE YADAV","Samajwadi Party",MAINPURI,"UTTAR PRADESH",56.7856
"DR BHOLA SINGH","Bharatiya Janata Party",BULANDSHAHR,"UTTAR PRADESH",56.6493
"DAYANIDHI MARAN","Dravida Munnetra Kazhagam","CHENNAI CENTRAL","TAMIL NADU",56.6489
B.Y.RAGHAVENDRA,"Bharatiya Janata Party",SHIMOGA,KARNATAKA,56.5428
"SHRIPAD YESSO NAIK","Bharatiya Janata Party","NORTH GOA",GOA,56.4289
"DR SHRIKANT EKNATH SHINDE","Shiv Sena",KALYAN,MAHARASHTRA,56.3848
"SHOBHA KARANDLAJE","Bharatiya Janata Party","BANGALORE NORTH",KARNATAKA,56.2651
"DR C N MANJUNATH","Bharatiya Janata Party","BANGALORE RURAL",KARNATAKA,56.2115
"Sasikanth Senthil","Indian National Congress",TIRUVALLUR,"TAMIL NADU",56.2103
"DHAVAL LAXMANBHAI  PATEL","Bharatiya Janata Party",VALSAD,GUJARAT,56.1348
"NARESH GANPAT MHASKE","Shiv Sena",THANE,MAHARASHTRA,56.0881
"ASIT KUMAR MAL","All India Trinamool Congress",BOLPUR,"WEST BENGAL",55.9797
"BIJULI KALITA  MEDHI","Bharatiya Janata Party",GUWAHATI,ASSAM,55.9518
"P. P. CHAUDHARY","Bharatiya Janata Party",PALI,RAJASTHAN,55.9437
"TANUJ PUNIA","Indian National Congress",BARABANKI,"UTTAR PRADESH",55.7809
"SAVITRI THAKUR","Bharatiya Janata Party",DHAR,"MADHYA PRADESH",55.7491
"RAJ BHUSHAN CHOUDHARY","Bharatiya Janata Party",MUZAFFARPUR,BIHAR,55.7098
"PRABHAKAR REDDY VEMIREDDY","Telugu Desam",NELLORE,"ANDHRA PRADESH",55.6975
"RADHESHYAM RATHIYA","Bharatiya Janata Party",RAIGARH,CHHATTISGARH,55.6294
"VISHNU DAYAL RAM","Bharatiya Janata Party",PALAMAU,JHARKHAND,55.3923
"GOPAL JEE THAKUR","Bharatiya Janata Party",DARBHANGA,BIHAR,55.3250
"V. SOMANNA","Bharatiya Janata Party",TUMKUR,KARNATAKA,55.3106
"KAMALJEET SEHRAWAT","Bharatiya Janata Party","WEST DELHI",DELHI,55.2746
"BALRAM NAIK PORIKA","Indian National Congress",MAHABUBABAD,TELANGANA,55.2653
"DULU MAHATO","Bharatiya Janata Party",DHANBAD,JHARKHAND,55.2639
"KANIMOZHI KARUNANIDHI","Dravida Munnetra Kazhagam",THOOTHUKKUDI,"TAMIL NADU",55.2595
"BALASHOWRY VALLABHANENI","Janasena Party",MACHILIPATNAM,"ANDHRA PRADESH",55.2162
"KRISHNA PRASAD TENNETI","Telugu Desam",BAPATLA,"ANDHRA PRADESH",55.1602
"DR.KALANIDHI VEERASWAMY","Dravida Munnetra Kazhagam","CHENNAI NORTH","TAMIL NADU",55.1068
"JAGADISH SHETTAR","Bharatiya Janata Party",BELGAUM,KARNATAKA,55.0643
"KAMAKHYA PRASAD TASA","Bharatiya Janata Party",KAZIRANGA,ASSAM,55.0354
"DR. RICKY ANDREW J. SYNGKON","Voice of the People Party",SHILLONG,MEGHALAYA,55.0219
"KISHORI LAL","Indian National Congress",AMETHI,"UTTAR PRADESH",54.9856
"MANOHAR LAL","Bharatiya Janata Party",KARNAL,HARYANA,54.9290
LUMBARAM,"Bharatiya Janata Party",JALORE,RAJASTHAN,54.9079
"SUNIL BOSE","Indian National Congress",CHAMARAJANAGAR,KARNATAKA,54.8746
"TANGELLA UDAY SRINIVAS  (TEA TIME UDAY)","Janasena Party",KAKINADA,"ANDHRA PRADESH",54.8727
"DAGGUMALLA PRASADA RAO","Telugu Desam",CHITTOOR,"ANDHRA PRADESH",54.8379
"DAGGUBATI PURANDHESHWARI","Bharatiya Janata Party",RAJAHMUNDRY,"ANDHRA PRADESH",54.8190
"VIRENDRA CHAUDHARY","Indian National Congress",MAHARAJGANJ,"UTTAR PRADESH",54.8125
"DR. M.P ABDUSSAMAD SAMADANI","Indian Union Muslim League",PONNANI,KERALA,54.8103
"PRADAN BARUAH","Bharatiya Janata Party",LAKHIMPUR,ASSAM,54.7485
"RAVI SHANKAR PRASAD","Bharatiya Janata Party","PATNA SAHIB",BIHAR,54.6976
"PRADEEP PUROHIT","Bharatiya Janata Party",BARGARH,ODISHA,54.6896
"CHUDASAMA RAJESHBHAI NARANBHAI","Bharatiya Janata Party",JUNAGADH,GUJARAT,54.6733
"KALI CHARAN MUNDA","Indian National Congress",KHUNTI,JHARKHAND,54.6233
"ANURAG SINGH THAKUR","Bharatiya Janata Party",HAMIRPUR,"HIMACHAL PRADESH",54.4310
"SARBANANDA SONOWAL","Bharatiya Janata Party",DIBRUGARH,ASSAM,54.2713
"NARENDRA MODI","Bharatiya Janata Party",VARANASI,"UTTAR PRADESH",54.2383
SELJA,"Indian National Congress",SIRSA,HARYANA,54.1714
"CHHATRAPATI SHAHU SHAHAJI","Indian National Congress",KOLHAPUR,MAHARASHTRA,54.1526
"NITIN JAIRAM GADKARI","Bharatiya Janata Party",NAGPUR,MAHARASHTRA,54.0754
"GAURAV GOGOI","Indian National Congress",JORHAT,ASSAM,54.0391
"PUTTA MAHESH KUMAR","Telugu Desam",ELURU,"ANDHRA PRADESH",54.0032
"CAPTAIN BRIJESH CHOWTA","Bharatiya Janata Party","DAKSHINA KANNADA",KARNATAKA,53.9729
"RAJ NATH SINGH","Bharatiya Janata Party",LUCKNOW,"UTTAR PRADESH",53.8933
"LAVU SRIKRISHNA DEVARAYALU","Telugu Desam",NARSARAOPET,"ANDHRA PRADESH",53.8819
"ASHOK KUMAR YADAV","Bharatiya Janata Party",MADHUBANI,BIHAR,53.8497
"KHADSE RAKSHA NIKHIL","Bharatiya Janata Party",RAVER,MAHARASHTRA,53.8446
"KARAN BHUSHAN SINGH","Bharatiya Janata Party",KAISERGANJ,"UTTAR PRADESH",53.7862
DR.K.SUDHAKAR,"Bharatiya Janata Party",CHIKKBALLAPUR,KARNATAKA,53.7371
"MALA RAJYA LAKSHMI SHAH","Bharatiya Janata Party","TEHRI GARHWAL",UTTARAKHAND,53.6637
"BHAJAN LAL JATAV","Indian National Congress",KARAULI-DHOLPUR,RAJASTHAN,53.6382
"SAGAR ESHWAR KHANDRE","Indian National Congress",BIDAR,KARNATAKA,53.6348
"KRISHAN PAL","Bharatiya Janata Party",FARIDABAD,HARYANA,53.5959
"YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","Bharatiya Janata Party",MYSORE,KARNATAKA,53.5882
"Suresh Kumar Kashyap","Bharatiya Janata Party",SHIMLA,"HIMACHAL PRADESH",53.5842
"ADV GOWAAL KAGADA PADAVI","Indian National Congress",NANDURBAR,MAHARASHTRA,53.5276
"BANSURI SWARAJ","Bharatiya Janata Party","NEW DELHI",DELHI,53.4752
"PRAVEEN KHANDELWAL","Bharatiya Janata Party","CHANDNI CHOWK",DELHI,53.4618
"RAMVIR SINGH BIDHURI","Bharatiya Janata Party","SOUTH DELHI",DELHI,53.4593
"DR.SANJAY JAISWAL","Bharatiya Janata Party","PASCHIM CHAMPARAN",BIHAR,53.4332
"ARUN NEHRU","Dravida Munnetra Kazhagam",PERAMBALUR,"TAMIL NADU",53.4179
"SHOBHANABEN MAHENDRASINH BARAIYA","Bharatiya Janata Party",SABARKANTHA,GUJARAT,53.3591
"PROF S P SINGH BAGHEL","Bharatiya Janata Party",AGRA,"UTTAR PRADESH",53.3376
"AMBICA G LAKSHMINARAYANA VALMIKI","Telugu Desam",ANANTHAPUR,"ANDHRA PRADESH",53.3345
"HEMAMALINI DHARMENDRA DEOL","Bharatiya Janata Party",MATHURA,"UTTAR PRADESH",53.2957
"CHIRAG PASWAN","Lok Janshakti Party(Ram Vilas)",HAJIPUR,BIHAR,53.2940
"TOKHAN SAHU","Bharatiya Janata Party",BILASPUR,CHHATTISGARH,53.2513
"MANOJ TIWARI","Bharatiya Janata Party","NORTH-EAST DELHI",DELHI,53.0968
"RODMAL NAGAR","Bharatiya Janata Party",RAJGARH,"MADHYA PRADESH",53.0962
"VIJAYAKUMAR (Alias) VIJAY VASANTH","Indian National Congress",KANNIYAKUMARI,"TAMIL NADU",53.0825
"ROOP KUMARI CHOUDHARY","Bharatiya Janata Party",MAHASAMUND,CHHATTISGARH,53.0631
"HIBI EDEN","Indian National Congress",ERNAKULAM,KERALA,52.9726
SHAMBHAVI,"Lok Janshakti Party(Ram Vilas)",SAMASTIPUR,BIHAR,52.9682
"DR. KIRSAN  NAMDEO","Indian National Congress",GADCHIROLI,MAHARASHTRA,52.9675
"DINESH CHANDRA YADAV","Janata Dal  (United)",MADHEPURA,BIHAR,52.9595
"MURLIDHAR MOHOL","Bharatiya Janata Party",PUNE,MAHARASHTRA,52.9371
"KALI CHARAN SINGH","Bharatiya Janata Party",CHATRA,JHARKHAND,52.8875
"KANGNA RANAUT","Bharatiya Janata Party",MANDI,"HIMACHAL PRADESH",52.8664
"AGA SYED RUHULLAH MEHDI","Jammu & Kashmir National Conference",SRINAGAR,"JAMMU & KASHMIR",52.8501
"S SUPONGMEREN JAMIR","Indian National Congress",NAGALAND,NAGALAND,52.8330
"JUGAL KISHORE","Bharatiya Janata Party",JAMMU,"JAMMU & KASHMIR",52.8030
"SK NURUL ISLAM","All India Trinamool Congress",BASIRHAT,"WEST BENGAL",52.7610
"GAJENDRA SINGH SHEKHAWAT","Bharatiya Janata Party",JODHPUR,RAJASTHAN,52.7559
"AKHILESH YADAV","Samajwadi Party",KANNAUJ,"UTTAR PRADESH",52.7406
"VE VAITHILINGAM","Indian National Congress",PUDUCHERRY,PUDUCHERRY,52.7273
"T R BAALU","Dravida Munnetra Kazhagam",SRIPERUMBUDUR,"TAMIL NADU",52.6471
"GAJENDRA SINGH PATEL","Bharatiya Janata Party",KHARGONE,"MADHYA PRADESH",52.5965
"HARSH MALHOTRA","Bharatiya Janata Party","EAST DELHI",DELHI,52.5944
"E. TUKARAM","Indian National Congress",BELLARY,KARNATAKA,52.5820
"SAMBIT PATRA","Bharatiya Janata Party",PURI,ODISHA,52.5783
"MITESH PATEL (BAKABHAI)","Bharatiya Janata Party",ANAND,GUJARAT,52.4401
"PRALHAD JOSHI","Bharatiya Janata Party",DHARWAD,KARNATAKA,52.4139
"DR RAJKUMAR SANGWAN","Rashtriya Lok Dal",BAGHPAT,"UTTAR PRADESH",52.3647
"ADHIKARI DEEPAK (DEV)","All India Trinamool Congress",GHATAL,"WEST BENGAL",52.3562
"JITIN PRASADA","Bharatiya Janata Party",PILIBHIT,"UTTAR PRADESH",52.2985
"MUHAMMED HAMDULLAH SAYEED","Indian National Congress",LAKSHADWEEP,LAKSHADWEEP,52.2886
"JANARDAN SINGH SIGRIWAL","Bharatiya Janata Party",MAHARAJGANJ,BIHAR,52.2166
"SAJDA AHMED","All India Trinamool Congress",ULUBERIA,"WEST BENGAL",52.1013
"JANARDAN MISHRA","Bharatiya Janata Party",REWA,"MADHYA PRADESH",52.0035
"ARUN BHARTI","Lok Janshakti Party(Ram Vilas)",JAMUI,BIHAR,51.9842
"ANITA NAGARSINGH CHOUHAN","Bharatiya Janata Party",RATLAM,"MADHYA PRADESH",51.9275
"RAMESH JIGAJINAGI","Bharatiya Janata Party",BIJAPUR,KARNATAKA,51.9075
"SUPRIYA SULE","Nationalist Congress Party – Sharadchandra Pawar",BARAMATI,MAHARASHTRA,51.8506
"MANISH JAISWAL","Bharatiya Janata Party",HAZARIBAGH,JHARKHAND,51.7617
"G. KUMAR NAIK.","Indian National Congress",RAICHUR,KARNATAKA,51.6279
"JOBA MAJHI","Jharkhand Mukti Morcha",SINGHBHUM,JHARKHAND,51.6242
"BHARTI PARDHI","Bharatiya Janata Party",BALAGHAT,"MADHYA PRADESH",51.5568
"PRANITI SUSHILKUMAR SHINDE","Indian National Congress",SOLAPUR,MAHARASHTRA,51.4930
"ADV. DEAN KURIAKOSE","Indian National Congress",IDUKKI,KERALA,51.4326
"K E PRAKASH","Dravida Munnetra Kazhagam",ERODE,"TAMIL NADU",51.4292
"KULDEEP INDORA","Indian National Congress",GANGANAGAR,RAJASTHAN,51.3969
"KIREN RIJIJU","Bharatiya Janata Party","ARUNACHAL WEST","ARUNACHAL PRADESH",51.3794
"JITAN RAM MANJHI","Hindustani Awam Morcha (Secular)",GAYA,BIHAR,51.3617
"DURAI VAIKO","Marumalarchi Dravida Munnetra Kazhagam",TIRUCHIRAPPALLI,"TAMIL NADU",51.3477
"DR JITENDRA SINGH","Bharatiya Janata Party",UDHAMPUR,"JAMMU & KASHMIR",51.2761
"EATALA RAJENDER","Bharatiya Janata Party",MALKAJGIRI,TELANGANA,51.2473
"ANOOP PRADHAN BALMIKI","Bharatiya Janata Party",HATHRAS,"UTTAR PRADESH",51.2363
"B K PARTHASARATHI","Telugu Desam",HINDUPUR,"ANDHRA PRADESH",51.2260
"PRIYANKA SATISH JARKIHOLI","Indian National Congress",CHIKKODI,KARNATAKA,51.2142
"SANDHYA RAY","Bharatiya Janata Party",BHIND,"MADHYA PRADESH",51.1975
CHANDRASHEKHAR,"Aazad Samaj Party (Kanshi Ram)",NAGINA,"UTTAR PRADESH",51.1885
"SANJNA JATAV","Indian National Congress",BHARATPUR,RAJASTHAN,51.1818
"RAJU BISTA","Bharatiya Janata Party",DARJEELING,"WEST BENGAL",51.1771
"ARVIND GANPAT SAWANT","Shiv Sena (Uddhav Balasaheb Thackrey)","MUMBAI SOUTH",MAHARASHTRA,51.1769
"RAHUL KASWAN","Indian National Congress",CHURU,RAJASTHAN,51.1153
"M. MALLESH BABU","Janata Dal  (Secular)",KOLAR,KARNATAKA,51.0232
"PHANI BHUSAN CHOUDHURY","Asom Gana Parishad",BARPETA,ASSAM,51.0167
"GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.","Bharatiya Janata Party",BAGALKOT,KARNATAKA,50.9304
"PRADYUT BORDOLOI","Indian National Congress",NAGAON,ASSAM,50.8936
"DR. RAJESH MISHRA","Bharatiya Janata Party",SIDHI,"MADHYA PRADESH",50.8653
"MIAN ALTAF AHMAD","Jammu & Kashmir National Conference",ANANTNAG-RAJOURI,"JAMMU & KASHMIR",50.8539
"HARISH CHANDRA MEENA","Indian National Congress","TONK-SAWAI MADHOPUR",RAJASTHAN,50.8537
"DR. AMOL RAMSING KOLHE","Nationalist Congress Party – Sharadchandra Pawar",SHIRUR,MAHARASHTRA,50.8338
"JAGANNATH SARKAR","Bharatiya Janata Party",RANAGHAT,"WEST BENGAL",50.7841
"RAVINDRA SHUKLA ALIAS RAVI KISHAN","Bharatiya Janata Party",GORAKHPUR,"UTTAR PRADESH",50.7473
"RAJESH VERMA","Lok Janshakti Party(Ram Vilas)",KHAGARIA,BIHAR,50.7261
"MANSUKHBHAI DHANJIBHAI VASAVA","Bharatiya Janata Party",BHARUCH,GUJARAT,50.7235
AMRARAM,"Communist Party of India  (Marxist)",SIKAR,RAJASTHAN,50.6820
"ARJUN RAM MEGHWAL","Bharatiya Janata Party",BIKANER,RAJASTHAN,50.6793
"CHHATRA PAL SINGH GANGWAR","Bharatiya Janata Party",BAREILLY,"UTTAR PRADESH",50.6563
"BISHNU PADA RAY","Bharatiya Janata Party","ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",50.5822
"BASAVARAJ BOMMAI","Bharatiya Janata Party",HAVERI,KARNATAKA,50.5468
"BAPI HALDAR","All India Trinamool Congress",MATHURAPUR,"WEST BENGAL",50.5160
"PUSHPENDRA SAROJ","Samajwadi Party",KAUSHAMBI,"UTTAR PRADESH",50.5075
"RADHA MOHAN SINGH","Bharatiya Janata Party","PURVI CHAMPARAN",BIHAR,50.4982
"RAO INDERJIT SINGH","Bharatiya Janata Party",GURGAON,HARYANA,50.4821
"BHUPENDER YADAV","Bharatiya Janata Party",ALWAR,RAJASTHAN,50.4207
"AJAY KUMAR MANDAL","Janata Dal  (United)",BHAGALPUR,BIHAR,50.3750
"DM KATHIR ANAND","Dravida Munnetra Kazhagam",VELLORE,"TAMIL NADU",50.3509
"VIJAY KUMAR HANSDAK","Jharkhand Mukti Morcha",RAJMAHAL,JHARKHAND,50.3486
"BHUMARE SANDIPANRAO ASARAM","Shiv Sena",AURANGABAD,MAHARASHTRA,50.3373
"RUDRA NARAYAN PANY","Bharatiya Janata Party",DHENKANAL,ODISHA,50.2421
"TRIVENDRA SINGH RAWAT","Bharatiya Janata Party",HARIDWAR,UTTARAKHAND,50.1917
"TATKARE SUNIL DATTATREY","Nationalist Congress Party",RAIGAD,MAHARASHTRA,50.1694
"GIRIRAJ SINGH","Bharatiya Janata Party",BEGUSARAI,BIHAR,50.1541
"RAJ KUMAR ROAT","Bharat Adivasi Party",BANSWARA,RAJASTHAN,50.1469
"GOVIND MAKTHAPPA KARJOL","Bharatiya Janata Party",CHITRADURGA,KARNATAKA,50.1050
"THANGA TAMILSELVAN","Dravida Munnetra Kazhagam",THENI,"TAMIL NADU",50.0774
"P C MOHAN","Bharatiya Janata Party","BANGALORE CENTRAL",KARNATAKA,50.0501
"OM BIRLA","Bharatiya Janata Party",KOTA,RAJASTHAN,50.0278
"ANURAG SHARMA","Bharatiya Janata Party",JHANSI,"UTTAR PRADESH",50.0046
"BHARAT SINGH KUSHWAH","Bharatiya Janata Party",GWALIOR,"MADHYA PRADESH",49.9941
"GIRIDHARI YADAV","Janata Dal  (United)",BANKA,BIHAR,49.9606
"SUKHDEO BHAGAT","Indian National Congress",LOHARDAGA,JHARKHAND,49.9458
"K. RAJASHEKAR BASAVARAJ HITNAL","Indian National Congress",KOPPAL,KARNATAKA,49.9280
"RAMESH AWASTHI","Bharatiya Janata Party",KANPUR,"UTTAR PRADESH",49.9275
"DR BYREDDY SHABARI","Telugu Desam",NANDYAL,"ANDHRA PRADESH",49.9232
"NABA CHARAN MAJHI","Bharatiya Janata Party",MAYURBHANJ,ODISHA,49.9102
"KALIPADA SAREN (KHERWAL)","All India Trinamool Congress",JHARGRAM,"WEST BENGAL",49.8696
"MISHA BHARTI","Rashtriya Janata Dal",PATLIPUTRA,BIHAR,49.8564
"ADHIKARI SOUMENDU","Bharatiya Janata Party",KANTHI,"WEST BENGAL",49.8495
"RAJABHAU (PARAG) PRAKASH WAJE","Shiv Sena (Uddhav Balasaheb Thackrey)",NASHIK,MAHARASHTRA,49.8486
RADHAKRISHNA,"Indian National Congress",GULBARGA,KARNATAKA,49.7774
"KIRTIVARDHAN SINGH","Bharatiya Janata Party",GONDA,"UTTAR PRADESH",49.7708
