CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"Y. S. AVINASH REDDY","Yuvajana Sramika Rythu Congress Party",KADAPA,"ANDHRA PRADESH",45.7757
"BIBHU PRASAD TARAI","Bharatiya Janata Party",JAGATSINGHPUR,ODISHA,45.7979
"SAYANI GHOSH","All India Trinamool Congress",JADAVPUR,"WEST BENGAL",45.8280
"KADIYAM KAVYA","Indian National Congress",WARANGAL,TELANGANA,45.8453
"SANJAY SETH","Bharatiya Janata Party",RANCHI,JHARKHAND,45.9139
"NAVASKANI K","Indian Union Muslim League",RAMANATHAPURAM,"TAMIL NADU",45.9218
"UTKARSH VERMA  MADHUR","Samajwadi Party",KHERI,"UTTAR PRADESH",45.9357
"ADITYA YADAV","Samajwadi Party",BADAUN,"UTTAR PRADESH",45.9674
"GODAM NAGESH","Bharatiya Janata Party",ADILABAD,TELANGANA,45.9833
"RABINDRA NARAYAN BEHERA","Bharatiya Janata Party",JAJPUR,ODISHA,46.0072
"PATEL UMESHBHAI BABUBHAI",Independent,"DAMAN & DIU","DADRA & NAGAR HAVELI AND DAMAN & DIU",46.0156
CHHOTELAL,"Samajwadi Party",ROBERTSGANJ,"UTTAR PRADESH",46.1444
"RAJIV PRATAP RUDY","Bharatiya Janata Party",SARAN,BIHAR,46.1819
"BABU SINGH KUSHWAHA","Samajwadi Party",JAUNPUR,"UTTAR PRADESH",46.2094
"ARUN GOVIL","Bharatiya Janata Party",MEERUT,"UTTAR PRADESH",46.2138
"NALIN SOREN","Jharkhand Mukti Morcha",DUMKA,JHARKHAND,46.2254
"LALJI VERMA","Samajwadi Party","AMBEDKAR NAGAR","UTTAR PRADESH",46.2982
"RACHNA BANERJEE","All India Trinamool Congress",HOOGHLY,"WEST BENGAL",46.3090
"SANATAN PANDEY","Samajwadi Party",BALLIA,"UTTAR PRADESH",46.3673
"RAJA A","Dravida Munnetra Kazhagam",NILGIRIS,"TAMIL NADU",46.4431
"SUKANTA MAJUMDAR","Bharatiya Janata Party",BALURGHAT,"WEST BENGAL",46.4715
"BHASKAR MURLIDHAR BHAGARE","Nationalist Congress Party – Sharadchandra Pawar",DINDORI,MAHARASHTRA,46.5255
"SELVAM. G","Dravida Munnetra Kazhagam",KANCHEEPURAM,"TAMIL NADU",46.5270
"SHATRUGHAN PRASAD SINHA","All India Trinamool Congress",ASANSOL,"WEST BENGAL",46.5330
"JYOTSNA CHARANDAS MAHANT","Indian National Congress",KORBA,CHHATTISGARH,46.5336
"SHIV PAL SINGH PATEL (DR. S P SINGH)","Samajwadi Party",PRATAPGARH,"UTTAR PRADESH",46.6523
"MANOJ KUMAR","Indian National Congress",SASARAM,BIHAR,46.7611
"AFZAL ANSARI","Samajwadi Party",GHAZIPUR,"UTTAR PRADESH",46.8229
"CHAVAN VASANTRAO BALWANTRAO","Indian National Congress",NANDED,MAHARASHTRA,46.8772
"ANGOMCHA BIMOL AKOIJAM","Indian National Congress","INNER MANIPUR",MANIPUR,46.9342
"NARAYAN DAS AHIRWAR","Samajwadi Party",JALAUN,"UTTAR PRADESH",46.9623
"T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN","Dravida Munnetra Kazhagam","CHENNAI SOUTH","TAMIL NADU",46.9952
"SATABDI ROY","All India Trinamool Congress",BIRBHUM,"WEST BENGAL",47.0044
"ROBERT BRUCE C","Indian National Congress",TIRUNELVELI,"TAMIL NADU",47.0558
"DEVESH SHAKYA","Samajwadi Party",ETAH,"UTTAR PRADESH",47.0919
"NILESH DNYANDEV LANKE","Nationalist Congress Party – Sharadchandra Pawar",AHMEDNAGAR,MAHARASHTRA,47.1375
"DEVESH CHANDRA THAKUR","Janata Dal  (United)",SITAMARHI,BIHAR,47.1410
"MUKESH RAJPUT","Bharatiya Janata Party",FARRUKHABAD,"UTTAR PRADESH",47.2012
"VIVEK THAKUR","Bharatiya Janata Party",NAWADA,BIHAR,47.2034
"BHOJRAJ NAG","Bharatiya Janata Party",KANKER,CHHATTISGARH,47.2270
"JOTHIMANI. S","Indian National Congress",KARUR,"TAMIL NADU",47.2513
"SWAMI SACHCHIDANAND HARI SAKSHI","Bharatiya Janata Party",UNNAO,"UTTAR PRADESH",47.3122
"APARAJITA SARANGI","Bharatiya Janata Party",BHUBANESWAR,ODISHA,47.3583
"ESWARASAMY K","Dravida Munnetra Kazhagam",POLLACHI,"TAMIL NADU",47.3673
"JUNE MALIAH","All India Trinamool Congress",MEDINIPUR,"WEST BENGAL",47.3954
"RAVINDRA DATTARAM WAIKAR","Shiv Sena","MUMBAI NORTH WEST",MAHARASHTRA,47.4003
"BHARTRUHARI MAHTAB","Bharatiya Janata Party",CUTTACK,ODISHA,47.4307
"BANDYOPADHYAY SUDIP","All India Trinamool Congress","KOLKATA UTTAR","WEST BENGAL",47.4416
"RAJESH RANJAN ALIAS PAPPU YADAV",Independent,PURNIA,BIHAR,47.4607
"JITENDRA KUMAR DOHARE","Samajwadi Party",ETAWAH,"UTTAR PRADESH",47.4709
"ARUN KUMAR SAGAR","Bharatiya Janata Party",SHAHJAHANPUR,"UTTAR PRADESH",47.4972
"SUNIL KUMAR","Janata Dal  (United)","VALMIKI NAGAR",BIHAR,47.5048
"KRIPANATH MALLAH","Bharatiya Janata Party",KARIMGANJ,ASSAM,47.5283
"DR. PRASHANT YADAORAO PADOLE","Indian National Congress","BHANDARA GONDIYA",MAHARASHTRA,47.5610
"DEVENDRA SINGH ALIAS BHOLE SINGH","Bharatiya Janata Party",AKBARPUR,"UTTAR PRADESH",47.6031
"SUDHA R","Indian National Congress",MAYILADUTHURAI,"TAMIL NADU",47.6653
"SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","Bharatiya Janata Party",SATARA,MAHARASHTRA,47.6738
"M. K. RAGHAVAN","Indian National Congress",KOZHIKODE,KERALA,47.7429
"ANNADURAI C.N.","Dravida Munnetra Kazhagam",TIRUVANNAMALAI,"TAMIL NADU",47.7529
"VIJAY KUMAR DUBAY","Bharatiya Janata Party","KUSHI NAGAR","UTTAR PRADESH",47.7884
"SELVARAJ V","Communist Party of India",NAGAPATTINAM,"TAMIL NADU",47.7943
"ZIA UR REHMAN","Samajwadi Party",SAMBHAL,"UTTAR PRADESH",47.7966
"SURENDRA PRASAD YADAV","Rashtriya Janata Dal",JAHANABAD,BIHAR,47.8765
"BACHHAV SHOBHA DINESH","Indian National Congress",DHULE,MAHARASHTRA,47.8855
"PRADEEP KUMAR SINGH","Bharatiya Janata Party",ARARIA,BIHAR,47.9136
"DILIP SAIKIA","Bharatiya Janata Party",DARRANG-UDALGURI,ASSAM,47.9454
