CANDIDATE,PARTY,CONSTITUENCY,STATE,WINNER_VOTES
"DAYANIDHI MARAN","Dravida Munnetra Kazhagam","CHENNAI CENTRAL","TAMIL NADU",413848
"SUKANTA KUMAR PANIGRAHI","Bharatiya Janata Party",KANDHAMAL,ODISHA,416415
"V K SREEKANDAN","Indian National Congress",PALAKKAD,KERALA,421169
"DR RANI SRI KUMAR","Dravida Munnetra Kazhagam",TENKASI,"TAMIL NADU",425679
"VE VAITHILINGAM","Indian National Congress",PUDUCHERRY,PUDUCHERRY,426005
"KARTI P CHIDAMBARAM","Indian National Congress",SIVAGANGA,"TAMIL NADU",427677
"KAMLESH PASWAN","Bharatiya Janata Party",BANSGAON,"UTTAR PRADESH",428693
"AJAY TAMTA","Bharatiya Janata Party",ALMORA,UTTARAKHAND,429167
"VENKATESAN S","Communist Party of India  (Marxist)",MADURAI,"TAMIL NADU",430323
"ANIL BALUNI","Bharatiya Janata Party",GARHWAL,UTTARAKHAND,432159
"ADV. DEAN KURIAKOSE","Indian National Congress",IDUKKI,KERALA,432372
"MANI. A.","Dravida Munnetra Kazhagam",DHARMAPURI,"TAMIL NADU",432667
"SUDHAKAR SINGH","Rashtriya Janata Dal",BUXAR,BIHAR,438345
"DAROGA PRASAD SAROJ","Samajwadi Party",LALGANJ,"UTTAR PRADESH",439959
"SHIV PAL SINGH PATEL (DR. S P SINGH)","Samajwadi Party",PRATAPGARH,"UTTAR PRADESH",441932
"SURENDRA PRASAD YADAV","Rashtriya Janata Dal",JAHANABAD,BIHAR,443035
"RAMESH AWASTHI","Bharatiya Janata Party",KANPUR,"UTTAR PRADESH",443055
"N K PREMACHANDRAN","Revolutionary Socialist Party",KOLLAM,KERALA,443628
"ANAND BHADAURIYA","Samajwadi Party",DHAURAHRA,"UTTAR PRADESH",443743
"RAMBHUAL NISHAD","Samajwadi Party",SULTANPUR,"UTTAR PRADESH",444330
"GAIKWAD VARSHA EKNATH","Indian National Congress","MUMBAI NORTH CENTRAL",MAHARASHTRA,445545
"RAJKUMAR CHAHAR","Bharatiya Janata Party","FATEHPUR SIKRI","UTTAR PRADESH",445657
"NARAYAN TATU RANE","Bharatiya Janata Party","RATNAGIRI- SINDHUDURG",MAHARASHTRA,448514
"SANJAY DINA PATIL","Shiv Sena (Uddhav Balasaheb Thackrey)","MUMBAI NORTH EAST",MAHARASHTRA,450937
"CHANDRA PRAKASH CHOUDHARY","AJSU Party",GIRIDIH,JHARKHAND,451139
"PRIYA SAROJ","Samajwadi Party",MACHHLISHAHR,"UTTAR PRADESH",451292
"PRAVEEN PATEL","Bharatiya Janata Party",PHULPUR,"UTTAR PRADESH",452600
"RAVINDRA DATTARAM WAIKAR","Shiv Sena","MUMBAI NORTH WEST",MAHARASHTRA,452644
"BANSURI SWARAJ","Bharatiya Janata Party","NEW DELHI",DELHI,453185
"BANDYOPADHYAY SUDIP","All India Trinamool Congress","KOLKATA UTTAR","WEST BENGAL",454696
"M.K. VISHNUPRASAD","Indian National Congress",CUDDALORE,"TAMIL NADU",455053
"ANUP SANJAY DHOTRE","Bharatiya Janata Party",AKOLA,MAHARASHTRA,457030
"MAHESH KASHYAP","Bharatiya Janata Party",BASTAR,CHHATTISGARH,458398
"GANESH SINGH","Bharatiya Janata Party",SATNA,"MADHYA PRADESH",459728
"DR. VINOD KUMAR BIND","Bharatiya Janata Party",BHADOHI,"UTTAR PRADESH",459982
"MATHESWARAN V S","Dravida Munnetra Kazhagam",NAMAKKAL,"TAMIL NADU",462036
"UJJWAL RAMAN SINGH","Indian National Congress",ALLAHABAD,"UTTAR PRADESH",462145
"MALA RAJYA LAKSHMI SHAH","Bharatiya Janata Party","TEHRI GARHWAL",UTTARAKHAND,462603
"JAGDAMBIKA PAL","Bharatiya Janata Party",DOMARIYAGANJ,"UTTAR PRADESH",463303
"SELVARAJ V","Communist Party of India",NAGAPATTINAM,"TAMIL NADU",465044
"DR.MALLU RAVI","Indian National Congress",NAGARKURNOOL,TELANGANA,465072
"ABHAY KUMAR SINHA","Rashtriya Janata Dal",AURANGABAD,BIHAR,465567
CHHOTELAL,"Samajwadi Party",ROBERTSGANJ,"UTTAR PRADESH",465848
"SANATAN PANDEY","Samajwadi Party",BALLIA,"UTTAR PRADESH",467068
"HARENDRA SINGH MALIK","Samajwadi Party",MUZAFFARNAGAR,"UTTAR PRADESH",470721
"MADHAVANENI RAGHUNANDAN RAO","Bharatiya Janata Party",MEDAK,TELANGANA,471217
"SAPTAGIRI SANKAR ULAKA","Indian National Congress",KORAPUT,ODISHA,471393
"ANUPRIYA PATEL","Apna Dal (Soneylal)",MIRZAPUR,"UTTAR PRADESH",471631
"RAJIV PRATAP RUDY","Bharatiya Janata Party",SARAN,BIHAR,471752
"ABDUL RASHID SHEIKH",Independent,BARAMULLA,"JAMMU & KASHMIR",472481
"SUBBARAYAN K.","Communist Party of India",TIRUPPUR,"TAMIL NADU",472739
"G. KISHAN REDDY","Bharatiya Janata Party",SECUNDERABAD,TELANGANA,473012
"RAJA A","Dravida Munnetra Kazhagam",NILGIRIS,"TAMIL NADU",473212
"KIRTIVARDHAN SINGH","Bharatiya Janata Party",GONDA,"UTTAR PRADESH",474258
"BIRENDRA SINGH","Samajwadi Party",CHANDAULI,"UTTAR PRADESH",474476
"ASHOK KUMAR RAWAT","Bharatiya Janata Party",MISRIKH,"UTTAR PRADESH",475016
"VAMSI KRISHNA GADDAM","Indian National Congress",PEDDAPALLE,TELANGANA,475587
"DEVESH SHAKYA","Samajwadi Party",ETAH,"UTTAR PRADESH",475808
"BHUMARE SANDIPANRAO ASARAM","Shiv Sena",AURANGABAD,MAHARASHTRA,476130
"KANWAR SINGH TANWAR","Bharatiya Janata Party",AMROHA,"UTTAR PRADESH",476506
"LOVELY ANAND","Janata Dal  (United)",SHEOHAR,BIHAR,476612
"BHAUSAHEB RAJARAM WAKCHAURE","Shiv Sena (Uddhav Balasaheb Thackrey)",SHIRDI,MAHARASHTRA,476900
"GUMMA THANUJA RANI","Yuvajana Sramika Rythu Congress Party",ARAKU,"ANDHRA PRADESH",477005
"RAVIKUMAR. D","Viduthalai Chiruthaigal Katchi",VILUPPURAM,"TAMIL NADU",477033
"JANARDAN MISHRA","Bharatiya Janata Party",REWA,"MADHYA PRADESH",477459
"BALABHADRA MAJHI","Bharatiya Janata Party",NABARANGPUR,ODISHA,481396
MOHIBBULLAH,"Samajwadi Party",RAMPUR,"UTTAR PRADESH",481503
"HIBI EDEN","Indian National Congress",ERNAKULAM,KERALA,482317
"SUKHDEO BHAGAT","Indian National Congress",LOHARDAGA,JHARKHAND,483038
"JAI PRAKASH","Bharatiya Janata Party",HARDOI,"UTTAR PRADESH",486798
"MUKESH RAJPUT","Bharatiya Janata Party",FARRUKHABAD,"UTTAR PRADESH",487963
"DR RAJKUMAR SANGWAN","Rashtriya Lok Dal",BAGHPAT,"UTTAR PRADESH",488967
"JOYANTA BASUMATARY","United People’s Party Liberal",KOKRAJHAR,ASSAM,488995
"RAJMOHAN UNNITHAN","Indian National Congress",KASARAGOD,KERALA,490659
"AJENDRA SINGH LODHI","Samajwadi Party",HAMIRPUR,"UTTAR PRADESH",490683
"JITENDRA KUMAR DOHARE","Samajwadi Party",ETAWAH,"UTTAR PRADESH",490747
"NEERAJ MAURYA","Samajwadi Party",AONLA,"UTTAR PRADESH",492515
"AASHTIKAR PATIL NAGESH BAPURAO","Shiv Sena (Uddhav Balasaheb Thackrey)",HINGOLI,MAHARASHTRA,492535
"GOPINATH K","Indian National Congress",KRISHNAGIRI,"TAMIL NADU",492883
"ANITA SUBHADARSHINI","Bharatiya Janata Party",ASKA,ODISHA,494226
"JUAL ORAM","Bharatiya Janata Party",SUNDARGARH,ODISHA,494282
"JITAN RAM MANJHI","Hindustani Awam Morcha (Secular)",GAYA,BIHAR,494960
"DR.KALANIDHI VEERASWAMY","Dravida Munnetra Kazhagam","CHENNAI NORTH","TAMIL NADU",497333
"LAXMIKANT PAPPU NISHAD","Samajwadi Party","SANT KABIR NAGAR","UTTAR PRADESH",498695
"BALYA MAMA - SURESH GOPINATH MHATRE","Nationalist Congress Party – Sharadchandra Pawar",BHIWANDI,MAHARASHTRA,499464
"THARANIVENTHAN M S","Dravida Munnetra Kazhagam",ARANI,"TAMIL NADU",500099
"NARESH CHANDRA UTTAM PATEL","Samajwadi Party",FATEHPUR,"UTTAR PRADESH",500328
"SATISH KUMAR GAUTAM","Bharatiya Janata Party",ALIGARH,"UTTAR PRADESH",501834
"ADITYA YADAV","Samajwadi Party",BADAUN,"UTTAR PRADESH",501855
"MURASOLI S","Dravida Munnetra Kazhagam",THANJAVUR,"TAMIL NADU",502245
"ROBERT BRUCE C","Indian National Congress",TIRUNELVELI,"TAMIL NADU",502296
"RAJEEV RAI","Samajwadi Party",GHOSI,"UTTAR PRADESH",503131
"SHASHANK MANI","Bharatiya Janata Party",DEORIA,"UTTAR PRADESH",504541
"THIRUMAAVALAVAN THOL","Viduthalai Chiruthaigal Katchi",CHIDAMBARAM,"TAMIL NADU",505084
"GIRIDHARI YADAV","Janata Dal  (United)",BANKA,BIHAR,506678
"DHARMENDRA YADAV","Samajwadi Party",AZAMGARH,"UTTAR PRADESH",508239
"TATKARE SUNIL DATTATREY","Nationalist Congress Party",RAIGAD,MAHARASHTRA,508352
"ARUN BHARTI","Lok Janshakti Party(Ram Vilas)",JAMUI,BIHAR,509046
"BABU SINGH KUSHWAHA","Samajwadi Party",JAUNPUR,"UTTAR PRADESH",509130
"NAVASKANI K","Indian Union Muslim League",RAMANATHAPURAM,"TAMIL NADU",509664
"PUSHPENDRA SAROJ","Samajwadi Party",KAUSHAMBI,"UTTAR PRADESH",509787
"HEMAMALINI DHARMENDRA DEOL","Bharatiya Janata Party",MATHURA,"UTTAR PRADESH",510064
"ARUNA. D. K","Bharatiya Janata Party",MAHBUBNAGAR,TELANGANA,510747
"RAM SHIROMANI VERMA","Samajwadi Party",SHRAWASTI,"UTTAR PRADESH",511055
"KALI CHARAN MUNDA","Indian National Congress",KHUNTI,JHARKHAND,511647
"DR. ALOK KUMAR SUMAN","Janata Dal  (United)",GOPALGANJ,BIHAR,511866
"APARAJITA SARANGI","Bharatiya Janata Party",BHUBANESWAR,ODISHA,512519
CHANDRASHEKHAR,"Aazad Samaj Party (Kanshi Ram)",NAGINA,"UTTAR PRADESH",512552
"MANOJ KUMAR","Indian National Congress",SASARAM,BIHAR,513004
"DR. PRADEEP KUMAR PANIGRAHY","Bharatiya Janata Party",BERHAMPUR,ODISHA,513102
"SHIVMANGAL SINGH TOMAR","Bharatiya Janata Party",MORENA,"MADHYA PRADESH",515477
"DEVESH CHANDRA THAKUR","Janata Dal  (United)",SITAMARHI,BIHAR,515719
"NITYANAND RAI","Bharatiya Janata Party",UJIARPUR,BIHAR,515965
"VIJAY KUMAR DUBAY","Bharatiya Janata Party","KUSHI NAGAR","UTTAR PRADESH",516345
"PRAVEEN KHANDELWAL","Bharatiya Janata Party","CHANDNI CHOWK",DELHI,516496
"T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN","Dravida Munnetra Kazhagam","CHENNAI SOUTH","TAMIL NADU",516628
"DEVENDRA SINGH ALIAS BHOLE SINGH","Bharatiya Janata Party",AKBARPUR,"UTTAR PRADESH",517423
"SUDHA R","Indian National Congress",MAYILADUTHURAI,"TAMIL NADU",518459
"K. SUDHAKARAN","Indian National Congress",KANNUR,KERALA,518524
"ANAND KUMAR","Bharatiya Janata Party",BAHARAICH,"UTTAR PRADESH",518802
"Suresh Kumar Kashyap","Bharatiya Janata Party",SHIMLA,"HIMACHAL PRADESH",519748
"JOBA MAJHI","Jharkhand Mukti Morcha",SINGHBHUM,JHARKHAND,520164
"DHAIRYASHEEL SAMBHAJIRAO MANE","Shiv Sena",HATKANANGALE,MAHARASHTRA,520190
"PARTHA BHOWMICK","All India Trinamool Congress",BARRACKPUR,"WEST BENGAL",520231
"M. K. RAGHAVAN","Indian National Congress",KOZHIKODE,KERALA,520421
"MIAN ALTAF AHMAD","Jammu & Kashmir National Conference",ANANTNAG-RAJOURI,"JAMMU & KASHMIR",521836
"SUNIL KUMAR","Janata Dal  (United)","VALMIKI NAGAR",BIHAR,523422
"PATHAN YUSUF","All India Trinamool Congress",BAHARAMPUR,"WEST BENGAL",524516
"BALWANT BASWANT WANKHADE","Indian National Congress",AMRAVATI,MAHARASHTRA,526271
"RAM PRASAD CHAUDHARY","Samajwadi Party",BASTI,"UTTAR PRADESH",527005
"KHAGEN MURMU","Bharatiya Janata Party","MALDAHA UTTAR","WEST BENGAL",527023
"IQRA CHOUDHARY","Samajwadi Party",KAIRANA,"UTTAR PRADESH",528013
"SURESH KUMAR SHETKAR","Indian National Congress",ZAHIRABAD,TELANGANA,528418
"SOUGATA RAY","All India Trinamool Congress","DUM DUM","WEST BENGAL",528579
"CHAVAN VASANTRAO BALWANTRAO","Indian National Congress",NANDED,MAHARASHTRA,528894
"SUDAMA PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",ARRAH,BIHAR,529382
"JANARDAN SINGH SIGRIWAL","Bharatiya Janata Party",MAHARAJGANJ,BIHAR,529533
"BHAJAN LAL JATAV","Indian National Congress",KARAULI-DHOLPUR,RAJASTHAN,530011
"NARAYAN DAS AHIRWAR","Samajwadi Party",JALAUN,"UTTAR PRADESH",530180
"RAKESH RATHOR","Indian National Congress",SITAPUR,"UTTAR PRADESH",531138
"BHARTRUHARI MAHTAB","Bharatiya Janata Party",CUTTACK,ODISHA,531601
"RAMPRIT MANDAL","Janata Dal  (United)",JHANJHARPUR,BIHAR,533032
"AMAR SHARADRAO KALE","Nationalist Congress Party – Sharadchandra Pawar",WARDHA,MAHARASHTRA,533106
"ESWARASAMY K","Dravida Munnetra Kazhagam",POLLACHI,"TAMIL NADU",533377
"RABINDRA NARAYAN BEHERA","Bharatiya Janata Party",JAJPUR,ODISHA,534239
"JOTHIMANI. S","Indian National Congress",KARUR,"TAMIL NADU",534906
"AJAY KUMAR MANDAL","Janata Dal  (United)",BHAGALPUR,BIHAR,536031
"KANGNA RANAUT","Bharatiya Janata Party",MANDI,"HIMACHAL PRADESH",537022
"SANDHYA RAY","Bharatiya Janata Party",BHIND,"MADHYA PRADESH",537065
"RAJESH VERMA","Lok Janshakti Party(Ram Vilas)",KHAGARIA,BIHAR,538657
"KISHORI LAL","Indian National Congress",AMETHI,"UTTAR PRADESH",539228
"AFZAL ANSARI","Samajwadi Party",GHAZIPUR,"UTTAR PRADESH",539912
"KANIMOZHI KARUNANIDHI","Dravida Munnetra Kazhagam",THOOTHUKKUDI,"TAMIL NADU",540729
"NAVEEN JINDAL","Bharatiya Janata Party",KURUKSHETRA,HARYANA,542175
"RADHA MOHAN SINGH","Bharatiya Janata Party","PURVI CHAMPARAN",BIHAR,542193
"DURAI VAIKO","Marumalarchi Dravida Munnetra Kazhagam",TIRUCHIRAPPALLI,"TAMIL NADU",542213
"AKSHAYA YADAV","Samajwadi Party",FIROZABAD,"UTTAR PRADESH",543037
"MALVIKA DEVI","Bharatiya Janata Party",KALAHANDI,ODISHA,544303
"KHALILUR RAHAMAN","All India Trinamool Congress",JANGIPUR,"WEST BENGAL",544427
"LALJI VERMA","Samajwadi Party","AMBEDKAR NAGAR","UTTAR PRADESH",544959
"KRIPANATH MALLAH","Bharatiya Janata Party",KARIMGANJ,ASSAM,545093
"VIJAYAKUMAR (Alias) VIJAY VASANTH","Indian National Congress",KANNIYAKUMARI,"TAMIL NADU",546248
"ARUN GOVIL","Bharatiya Janata Party",MEERUT,"UTTAR PRADESH",546469
"NALIN SOREN","Jharkhand Mukti Morcha",DUMKA,JHARKHAND,547370
"ANNADURAI C.N.","Dravida Munnetra Kazhagam",TIRUVANNAMALAI,"TAMIL NADU",547379
"IMRAN MASOOD","Indian National Congress",SAHARANPUR,"UTTAR PRADESH",547967
"SATPAL BRAHAMCHARI","Indian National Congress",SONIPAT,HARYANA,548682
"RAJIV RANJAN SINGH ALIAS LALAN SINGH","Janata Dal  (United)",MUNGER,BIHAR,550146
"BRIJENDRA SINGH OLA","Indian National Congress",JHUNJHUNU,RAJASTHAN,553168
"ASHOK KUMAR YADAV","Bharatiya Janata Party",MADHUBANI,BIHAR,553428
"AWADHESH PRASAD","Samajwadi Party",FAIZABAD,"UTTAR PRADESH",554289
"ANOOP PRADHAN BALMIKI","Bharatiya Janata Party",HATHRAS,"UTTAR PRADESH",554746
"UTKARSH VERMA  MADHUR","Samajwadi Party",KHERI,"UTTAR PRADESH",557365
"SHAFI PARAMBIL","Indian National Congress",VADAKARA,KERALA,557528
"KAUSHALENDRA KUMAR","Janata Dal  (United)",NALANDA,BIHAR,559422
"KARTICK CHANDRA PAUL","Bharatiya Janata Party",RAIGANJ,"WEST BENGAL",560897
"MALAIYARASAN D","Dravida Munnetra Kazhagam",KALLAKURICHI,"TAMIL NADU",561589
"K E PRAKASH","Dravida Munnetra Kazhagam",ERODE,"TAMIL NADU",562339
"DR. M.P ABDUSSAMAD SAMADANI","Indian Union Muslim League",PONNANI,KERALA,562516
"S JAGATHRATCHAKAN","Dravida Munnetra Kazhagam",ARAKKONAM,"TAMIL NADU",563216
"PRATAP CHANDRA SARANGI","Bharatiya Janata Party",BALASORE,ODISHA,563865
"SELVAGANAPATHI T M","Dravida Munnetra Kazhagam",SALEM,"TAMIL NADU",566085
"GOPAL JEE THAKUR","Bharatiya Janata Party",DARBHANGA,BIHAR,566630
"ARJUN RAM MEGHWAL","Bharatiya Janata Party",BIKANER,RAJASTHAN,566737
"VEENA DEVI","Lok Janshakti Party(Ram Vilas)",VAISHALI,BIHAR,567043
"TARIQ ANWAR","Indian National Congress",KATIHAR,BIHAR,567092
"CHHATRA PAL SINGH GANGWAR","Bharatiya Janata Party",BAREILLY,"UTTAR PRADESH",567127
"RAJESH RANJAN ALIAS PAPPU YADAV",Independent,PURNIA,BIHAR,567556
"GODAM NAGESH","Bharatiya Janata Party",ADILABAD,TELANGANA,568168
"GANAPATHY RAJKUMAR P","Dravida Munnetra Kazhagam",COIMBATORE,"TAMIL NADU",568200
"DM KATHIR ANAND","Dravida Munnetra Kazhagam",VELLORE,"TAMIL NADU",568692
"JYOTSNA CHARANDAS MAHANT","Indian National Congress",KORBA,CHHATTISGARH,570182
"JAI PARKASH (J P) S/O HARIKESH","Indian National Congress",HISAR,HARYANA,570424
"DR JITENDRA SINGH","Bharatiya Janata Party",UDHAMPUR,"JAMMU & KASHMIR",571076
"DR. RICKY ANDREW J. SYNGKON","Voice of the People Party",SHILLONG,MEGHALAYA,571078
"SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","Bharatiya Janata Party",SATARA,MAHARASHTRA,571134
"ZIA UR REHMAN","Samajwadi Party",SAMBHAL,"UTTAR PRADESH",571161
"KARAN BHUSHAN SINGH","Bharatiya Janata Party",KAISERGANJ,"UTTAR PRADESH",571263
"THANGA TAMILSELVAN","Dravida Munnetra Kazhagam",THENI,"TAMIL NADU",571493
"VISHAL (DADA) PRAKASHBAPU PATIL",Independent,SANGLI,MAHARASHTRA,571666
"ISHA KHAN CHOUDHURY","Indian National Congress","MALDAHA DAKSHIN","WEST BENGAL",572395
"AVIMANYU SETHI","Bharatiya Janata Party",BHADRAK,ODISHA,573319
"ANANTA NAYAK","Bharatiya Janata Party",KEONJHAR,ODISHA,573923
"KALI CHARAN SINGH","Bharatiya Janata Party",CHATRA,JHARKHAND,574556
"SUKANTA MAJUMDAR","Bharatiya Janata Party",BALURGHAT,"WEST BENGAL",574996
"BHASKAR MURLIDHAR BHAGARE","Nationalist Congress Party – Sharadchandra Pawar",DINDORI,MAHARASHTRA,577339
"JYOTIRMAY SINGH MAHATO","Bharatiya Janata Party",PURULIA,"WEST BENGAL",578489
SHAMBHAVI,"Lok Janshakti Party(Ram Vilas)",SAMASTIPUR,BIHAR,579786
"SANJNA JATAV","Indian National Congress",BHARATPUR,RAJASTHAN,579890
"DR.SANJAY JAISWAL","Bharatiya Janata Party","PASCHIM CHAMPARAN",BIHAR,580421
"BHARATBHAI MANUBHAI SUTARIYA","Bharatiya Janata Party",AMRELI,GUJARAT,580872
"KADIYAM KAVYA","Indian National Congress",WARANGAL,TELANGANA,581294
"DR. RAJESH MISHRA","Bharatiya Janata Party",SIDHI,"MADHYA PRADESH",583559
"BACHHAV SHOBHA DINESH","Indian National Congress",DHULE,MAHARASHTRA,583866
"CHUDASAMA RAJESHBHAI NARANBHAI","Bharatiya Janata Party",JUNAGADH,GUJARAT,584049
"MURLIDHAR MOHOL","Bharatiya Janata Party",PUNE,MAHARASHTRA,584728
"BANDI SANJAY KUMAR","Bharatiya Janata Party",KARIMNAGAR,TELANGANA,585116
"RAVINDRA SHUKLA ALIAS RAVI KISHAN","Bharatiya Janata Party",GORAKHPUR,"UTTAR PRADESH",585834
"NABA CHARAN MAJHI","Bharatiya Janata Party",MAYURBHANJ,ODISHA,585971
"SELVAM. G","Dravida Munnetra Kazhagam",KANCHEEPURAM,"TAMIL NADU",586044
"DR. PRASHANT YADAORAO PADOLE","Indian National Congress","BHANDARA GONDIYA",MAHARASHTRA,587413
"RAVI SHANKAR PRASAD","Bharatiya Janata Party","PATNA SAHIB",BIHAR,588270
"DHARAMBIR SINGH","Bharatiya Janata Party",BHIWANI-MAHENDRAGARH,HARYANA,588664
"BIBHU PRASAD TARAI","Bharatiya Janata Party",JAGATSINGHPUR,ODISHA,589093
"DR SHRIKANT EKNATH SHINDE","Shiv Sena",KALYAN,MAHARASHTRA,589636
"PANKAJ CHAUDHARY","Bharatiya Janata Party",MAHARAJGANJ,"UTTAR PRADESH",591310
"DABHI  BHARATSINHJI  SHANKARJI","Bharatiya Janata Party",PATAN,GUJARAT,591947
"DHARMENDRA PRADHAN","Bharatiya Janata Party",SAMBALPUR,ODISHA,592162
"ARVIND DHARMAPURI","Bharatiya Janata Party",NIZAMABAD,TELANGANA,592318
"ARUN KUMAR SAGAR","Bharatiya Janata Party",SHAHJAHANPUR,"UTTAR PRADESH",592718
"SANJAY UTTAMRAO DESHMUKH","Shiv Sena (Uddhav Balasaheb Thackrey)","YAVATMAL- WASHIM",MAHARASHTRA,594807
"DILESHWAR KAMAIT","Janata Dal  (United)",SUPAUL,BIHAR,595038
"HANUMAN BENIWAL","Rashtriya Loktantrik Party",NAGAUR,RAJASTHAN,596955
"DR BHOLA SINGH","Bharatiya Janata Party",BULANDSHAHR,"UTTAR PRADESH",597310
"BHOJRAJ NAG","Bharatiya Janata Party",KANKER,CHHATTISGARH,597624
"DIMPLE YADAV","Samajwadi Party",MAINPURI,"UTTAR PRADESH",598526
"RUDRA NARAYAN PANY","Bharatiya Janata Party",DHENKANAL,ODISHA,598721
