PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"Bhartiya Dalit Party",19000000,11139,1705.7186
"Bharatiya Gana Parishad",47500000,27554,1723.8876
"Karpoori Janta Dal",28500000,16512,1726.0174
"Wazib Adhikar Party",28500000,16506,1726.6449
"Hindustan Peoples Party (Democratic)",19000000,10992,1728.5298
"Adarsh Nyay Rakshak Party",9500000,5484,1732.3122
"Samaj Parivartan Party",9500000,5303,1791.4388
"Apna Kisan Party",19000000,10538,1802.9987
"Bharatiya Praja Aikyata Party",47500000,26271,1808.0773
"Lokhit Adhikar Party",114000000,62136,1834.6852
"Apni Ekta Party",9500000,5139,1848.6087
"Hamar Raj Party",76000000,40746,1865.2138
"Sarv Adi Dal",38000000,20348,1867.5054
"National World Leader Party",9500000,5063,1876.3579
"Janhit Kisan Party",9500000,5030,1888.6680
"Political Justice Party",9500000,5023,1891.3000
"Sarvjan Samta Party",9500000,5020,1892.4303
"Hindustan Samaj Party",9500000,4991,1903.4262
"Indian Peoples Green Party",76000000,39778,1910.6039
"Bharat Rakshak Party (Democratic)",9500000,4961,1914.9365
"Akhil Hind Forward Bloc (Krantikari)",19000000,9902,1918.8043
"Amra Bangalee",9500000,4925,1928.9340
"Aam Janta Party Rashtriya",19000000,9760,1946.7213
"Baliraja Party",66500000,33787,1968.2126
"Bhartiya Gandhiwadi Party",9500000,4822,1970.1369
"Sikkim Republican Party",9500000,4799,1979.5791
"Sanatan Sanskriti Raksha Dal",19000000,9347,2032.7378
"Jammu & Kashmir National Panthers Party (Bhim)",47500000,23268,2041.4303
"Telangana Praja Shakthi Party",19000000,9290,2045.2099
"Shoshit Samaj Dal",9500000,4618,2057.1676
"Janta Kranti Party (Rashtravadi)",38000000,18401,2065.1052
"Bharatiya Bahujan Congress",19000000,9165,2073.1042
"Janshakti Samta Party",9500000,4577,2075.5954
Independent,37240000000,17844442,2086.9243
"Bhartiya Samajik Party",9500000,4507,2107.8323
"Jai Samta Party",19000000,8933,2126.9450
"Janata Congress",19000000,8900,2134.8315
"Telangana Rashtra Punahnirmana Samithi",9500000,4433,2143.0183
"Rishivadi Karm Sheel Young Parmarthi Party",9500000,4401,2158.6003
"Bhartiya Panchsheel Party",9500000,4345,2186.4212
"Apna Desh Party",9500000,4297,2210.8448
"The National Road Map Party of India",38000000,17126,2218.8485
"Peace Party",85500000,38506,2220.4332
"Akhil Bhartiya Hamara Samaj Party",9500000,4225,2248.5207
"Viro Ke Vir Indian Party",171000000,75941,2251.7481
"Navataram Party",38000000,16864,2253.3207
"Eklavya Samaj Party",19000000,8352,2274.9042
"National Apni Party",38000000,16699,2275.5854
"Mahanwadi Party",28500000,12364,2305.0793
"Apna Haq Party",9500000,4094,2320.4690
"Aas Punjab Party",19000000,8114,2341.6317
"Dhesiya Makkal Kazhagam",19000000,8089,2348.8688
"Navarang Congress Party",161500000,67432,2395.0053
"Bhartiya Sarthak Party",57000000,23640,2411.1675
"Akhand Bharat Samrajya Party",9500000,3930,2417.3028
"Rashtrawadi Chetna Party",9500000,3915,2426.5645
"Jharkhand Party",47500000,19527,2432.5293
"Akhil Bhartiya Sarvjan Hit Party",9500000,3892,2440.9044
"Akhila Vijaya Party",9500000,3882,2447.1922
"Bajjikanchal Vikas Party",19000000,7747,2452.5623
"Swatantra Kisan Party",9500000,3849,2468.1736
"Jan Janwadi Party",38000000,15240,2493.4383
"Mizoram Peoples Conference",9500000,3793,2504.6138
"Loktantrik Samajwadi Party",19000000,7554,2515.2237
"Bharat Nirman Party",9500000,3772,2518.5578
"National Loktantrik Party",28500000,11286,2525.2525
"Telugu Nava Garjana Party",9500000,3741,2539.4280
"Naba Bharata Nirmana Seva Party",47500000,18579,2556.6500
"National Jan Dal",28500000,11116,2563.8719
"Bharatiya Momin Front",28500000,10972,2597.5210
"Samajhdar Party",47500000,18223,2606.5961
"Mana Telangana Rashtra Samaikya Party",9500000,3634,2614.1992
"Jai Sewalal Bahujan Vikas Party",9500000,3628,2618.5226
"Jai Prakash Janata Dal",38000000,14477,2624.8532
"Jagrook Janta Party",57000000,21566,2643.0492
"Apna Dal (Kamerawadi)",104500000,39128,2670.7217
"Lok Sewa Dal",9500000,3519,2699.6306
"Pragatisheel Samaj Party",28500000,10553,2700.6538
"Shakti Sena (Bharat Desh)",57000000,21036,2709.6406
"Ambedkarite Party of India",361000000,132444,2725.6803
"Bhagidari Party(P)",142500000,51978,2741.5445
"Sarv Samaj Party",19000000,6879,2762.0294
"Bharatiya Kisan Parivartan Party",28500000,10272,2774.5327
"Bharatiya Rashtriya Morcha",9500000,3358,2829.0649
"Rashtra Uday Party",85500000,30073,2843.0818
"Vishwa Kalyan Rashtriya Manav Samaj Party",19000000,6678,2845.1632
"Samata Party",209000000,73318,2850.5960
"Vanchitsamaj Insaaf Party",9500000,3330,2852.8529
"Asom Jana Morcha",28500000,9895,2880.2425
"Bahujan Bharat Party",95000000,32870,2890.1734
"Sarvjan Lok Shakti Party",9500000,3280,2896.3415
"Jatiya Jana Sena Party",66500000,22935,2899.4986
"Janta Samta Party",9500000,3264,2910.5392
"Rashtriya Janshakti Party(Eklavya)",9500000,3263,2911.4312
"Ekam Sanatan Bharat Dal",180500000,61024,2957.8526
"Socialist Unity Centre Of India (COMMUNIST)",1425000000,480997,2962.5964
"Aam Janmat Party",9500000,3205,2964.1186
"Swatantrata Abhivyakti Party",38000000,12741,2982.4974
"Abua Jharkhand Party",9500000,3155,3011.0935
"Peoples Party of India (Democratic)",750500000,247985,3026.3927
"Bharatiya Yuva Jan Ekta Party",85500000,27969,3056.9559
"Bhartiya Jantantra Morcha",9500000,3094,3070.4590
"Uttarakhand Kranti Dal",28500000,9270,3074.4337
"Bharatiya National Janata Dal",28500000,9258,3078.4187
"Bhartiya Lokmat Rashtrwadi Party",47500000,15411,3082.2140
"Parivartan Samaj Party",38000000,12304,3088.4265
"Akhil Bhartiya Parivar Party",342000000,110210,3103.1667
"Sanman Rajkiya Paksha",19000000,6075,3127.5720
"Minorities Democratic Party",28500000,8978,3174.4264
"Jan Shakti Dal",9500000,2955,3214.8900
"Justice Party",9500000,2946,3224.7115
"Ummeed Party of India",9500000,2944,3226.9022
"Sampoorna Bharat Kranti Party",9500000,2944,3226.9022
"Aihra National Party",19000000,5833,3257.3290
"Samst Samaj Party",9500000,2904,3271.3499
"Kisan Mazdoor Sangharsh Party",57000000,17336,3287.9557
"Sarva Janata Party",19000000,5771,3292.3237
"Bhartiya Shakti Chetna Party",380000000,115024,3303.6584
"Rashtravadi Bharat Party",19000000,5702,3332.1642
"New India United Party",28500000,8542,3336.4552
"Mera Adhikaar Rashtriya Dal",28500000,8514,3347.4278
"Jammu and Kashmir Nationalist Peoples Front",28500000,8453,3371.5841
"Yuga Thulasi Party",76000000,22247,3416.1909
"Navyug Pragatisheel Morcha",9500000,2779,3418.4959
"Akhil Bharatiya Congress Dal (Ambedkar)",9500000,2777,3420.9579
"Rashtriya Jansabha Party",66500000,19318,3442.3853
"Garib Democratic Party",9500000,2748,3457.0597
"Karnataka Jantha Paksha",19000000,5491,3460.2076
"Purvanchal Mahapanchayat",28500000,8217,3468.4191
"Prabuddha Republican Party",85500000,24361,3509.7081
"Swarajya Shakti Sena",38000000,10802,3517.8671
"Saath Sahakar Vikas Party",9500000,2673,3554.0591
"Sathi Aur Aapka Faisala Party",9500000,2666,3563.3908
"National Awami United Party",19000000,5319,3572.1000
"Swatantra Jantaraj Party",38000000,10627,3575.7975
"Social Democratic Party Of India",152000000,42465,3579.4183
"Bahujan Mukti Party",266000000,73935,3597.7548
"Bhartiya Jan Samrat Party",9500000,2640,3598.4848
"Krupaa Party",19000000,5246,3621.8071
"Delhi Janta Party",19000000,5235,3629.4174
"Dharmarajya Paksha",19000000,5233,3630.8045
"Jharkhand Mukti Morcha  (Ulgulan)",9500000,2615,3632.8872
"Viduthalai Kalam Katchi",9500000,2599,3655.2520
"Jai Maha Bharath Party",66500000,18133,3667.3468
"Gunj Satya Ni Janata Party",28500000,7761,3672.2072
"Dharma Samaj Party",142500000,38730,3679.3184
"Kisan Kranti Dal",19000000,5153,3687.1725
"Sapaks Party",19000000,5149,3690.0369
"Sabhi Jan Party",19000000,5147,3691.4708
"Bharatiya Nyay-Adhikar Raksha Party",104500000,28192,3706.7253
"Loktantra Congress Party",19000000,5100,3725.4902
"Moulik Adhikar Party",95000000,25490,3726.9517
"Haryana Jansena Party",28500000,7646,3727.4392
"Rashtriya Jankranti Party",28500000,7646,3727.4392
"Smart Indians Party",9500000,2510,3784.8606
"Anna Makkal Katchi",9500000,2505,3792.4152
"Indian National League",38000000,9918,3831.4176
"Pragatisheel Magahi Samaj",9500000,2468,3849.2707
"Rashtriya Kisan Bahujan Party",47500000,12309,3858.9650
"Naki Bharatiya Ekta Party",47500000,12299,3862.1026
"Gujarat Loktantra Party",9500000,2458,3864.9308
"Bharatha Chaitanya Yuvajana Party",66500000,17173,3872.3578
"All India Arya Mahasabha",28500000,7345,3880.1906
"Rashtriya Devbhumi Party",38000000,9781,3885.0833
"Bharatiya Nagrik Party",9500000,2434,3903.0403
"Aapka Gantantra Party",9500000,2432,3906.2500
"Ahimsa Socialist Party",9500000,2421,3923.9983
"Rashtrawadi Janlok Party (Satya)",47500000,12049,3942.2359
"Azad Adhikar Sena",47500000,12021,3951.4184
"Manavtawadi Samaj Party",28500000,7136,3993.8341
"Rashtriya Praja Congress  (Secular)",57000000,14219,4008.7207
"Jantantra Awaj Party",57000000,14218,4009.0027
"Bhartiya Rashtriya Ekta Dal",19000000,4732,4015.2156
"Samruddha Odisha",28500000,7087,4021.4477
"Jan Sangh Party",28500000,7060,4036.8272
"Proutist Bloc India",57000000,14110,4039.6882
"Lok Sena Party",9500000,2350,4042.5532
"Bahujan Samaj Party  (Ambedkar)",38000000,9391,4046.4274
"Rashtriya Jantantrik Bharat Vikas Party",9500000,2347,4047.7205
"National Youth Party",9500000,2343,4054.6308
"Rayalaseema Rashtra Samithi",9500000,2333,4072.0103
"Azad Party",9500000,2311,4110.7746
"Bharat Ki Lok Jimmedar Party",9500000,2310,4112.5541
"Rashtriya Jan Utkarsh Party",9500000,2309,4114.3352
"Bharat Mahaparivar Party",19000000,4582,4146.6608
"Andhra Rastra Praja Samithi",28500000,6846,4163.0149
"Rashtriya Ulama Council",57000000,13657,4173.6838
"New India Party",9500000,2269,4186.8665
"Hindrashtra Sangh",38000000,8970,4236.3434
"Sarvjan Awaz Party",9500000,2239,4242.9656
"Party for Democratic Socialism",28500000,6651,4285.0699
"Azad Janata Party",19000000,4429,4289.9074
"Rashtriya Jansanchar Dal",28500000,6617,4307.0878
"Jebamani Janata",19000000,4356,4361.7998
"Kalinga Sena",19000000,4284,4435.1074
"Akhil Bhartiya Manavadhikar Vichar Manch Party",9500000,2108,4506.6414
"Gujarat Sarva Samaj Party",19000000,4211,4511.9924
"Majdoor Kisan Union Party",9500000,2105,4513.0641
"Aam Janta Party (India)",66500000,14729,4514.9026
"Rashtriya Power Party",9500000,2101,4521.6564
"Jai Hind Congress Party",9500000,2101,4521.6564
"Prabal Bharat Party",9500000,2099,4525.9647
"Sunahara Bharat Party",9500000,2091,4543.2807
"Most Backward Classes Of India",9500000,2090,4545.4545
"Rashtriya Janshakti Party (Secular)",28500000,6251,4559.2705
"Manviya Bharat Party",9500000,2082,4562.9203
"Maharashtra Vikas Aghadi",95000000,20721,4584.7208
"Dalita Bahujana Party",47500000,10311,4606.7307
"National Nava Kranthi Party",47500000,10284,4618.8254
"Vikas Insaf Party",9500000,2033,4672.8972
"Bhartiya Rashtriya Dal",57000000,12178,4680.5715
"Sabse Achchhi Party",9500000,2029,4682.1094
"Uttama Prajaakeeya Party",190000000,40491,4692.4008
"North Bengal People’s Party",28500000,6073,4692.9030
"Indian Peoples Adhikar Party",19000000,4041,4701.8065
"Tamilaga Makkal Thannurimai Katchi",19000000,4033,4711.1332
"Log Party",95000000,20120,4721.6700
"Bhartiya Sarvdharm Party",9500000,2012,4721.6700
"People’s Union Party",9500000,2009,4728.7208
"Republican Party of India (A)",218500000,46160,4733.5355
"Sardar Patel Siddhant Party",218500000,46145,4735.0742
"Sainik Samaj Party",76000000,16040,4738.1546
"Bharathiya YuvaKula Dalam",19000000,4007,4741.7020
"Spashtwadi Jan Aadhar Party",9500000,2003,4742.8857
"Bahujan Awam Party",19000000,3989,4763.0985
"Yuva Bihar Sena",9500000,1990,4773.8693
"Bhartiya Jan Samman Party",28500000,5968,4775.4692
"Lok Jan Sangharsh Party",19000000,3954,4805.2605
"Hindu Samaj Party",66500000,13824,4810.4745
"Telugu Rajadhikara Samiti Party",28500000,5906,4825.6011
"Rashtriya Samta Vikas Party",19000000,3926,4839.5313
"Bhartiya Lokvani Party",9500000,1956,4856.8507
"Rashtriya Manav Party",19000000,3905,4865.5570
"Bhartiya Lok Chetna Party",28500000,5852,4870.1299
"Sankhyanupati Bhagidari Party",9500000,1949,4874.2945
"Janta Shashan Party",9500000,1942,4891.8641
"Bhartiya Jan Adhikar Party",9500000,1940,4896.9072
"Humanity for Peace Party",9500000,1935,4909.5607
"Madhya Pradesh Jan Vikas Party",9500000,1932,4917.1843
"Gondwana Dandkaranya Party",19000000,3857,4926.1084
"Uttarakhand Samanta Party",19000000,3845,4941.4824
"Jai Swaraj Party",38000000,7684,4945.3410
"Bhartiya Krishak Dal",28500000,5723,4979.9056
"Mang Samaj Party",9500000,1905,4986.8766
"Bharatheeya Jawan Kisan Party",389500000,78104,4986.9405
"Samajwadi Lok Parishad",9500000,1880,5053.1915
"Bhartiya Asmita Party",9500000,1874,5069.3703
"Kamatapur People’s Party (United)",57000000,11206,5086.5608
"Kannada Chalavali Vatal Paksha",9500000,1867,5088.3771
"Desh Janhit Party",104500000,20498,5098.0583
"The Agrani Party",9500000,1843,5154.6392
"Karnataka Rashtra Samithi",266000000,51529,5162.1417
"Bhartiya Jan Nayak Party",9500000,1838,5168.6616
"Asankhya Samaj Party",19000000,3672,5174.2919
"Vidarbha Rajya Aghadi",9500000,1828,5196.9365
"Sanyukt Bharat Paksh",19000000,3656,5196.9365
"Rashtra Nirman Party",57000000,10964,5198.8325
"Anti Corruption Dynamic Party",47500000,9128,5203.7686
"Adarsh Jankalyan Dal",9500000,1817,5228.3985
"Rashtriya Hind Ekta Dal",9500000,1806,5260.2436
"Makkal Nalvaazhvuk Katchi",9500000,1792,5301.3393
"Prajavani  Party",9500000,1792,5301.3393
"Mulnibasi Party of India",76000000,14168,5364.2010
"National Party",9500000,1767,5376.3441
"All India Youth Development Party",19000000,3528,5385.4875
"Right to Recall Party",313500000,58024,5402.9367
"Naari Nar Rakshak Party",19000000,3501,5427.0209
"Samyak Party",28500000,5250,5428.5714
"People Protection Party",9500000,1737,5469.1998
"Kosal Janata Dal",9500000,1735,5475.5043
"Bhartiya Navjawan Sena (Paksha)",28500000,5183,5498.7459
"Telangana Rajya Samithi",9500000,1727,5500.8686
"Akhand Bharat Janpriya Party",9500000,1716,5536.1305
"Aim Political Party",9500000,1715,5539.3586
"Bharatiya Bikash Parishad",19000000,3430,5539.3586
"Prabuddhwadi Bahujan Morcha",19000000,3417,5560.4331
"Sunder Samaj Party",19000000,3409,5573.4820
"Bharatiya Ekta Dal",9500000,1704,5575.1174
"Kamgaar Kisan Party",9500000,1701,5584.9500
"Ahinsa Samaj Party",9500000,1698,5594.8174
"Peoples Party of India(secular)",19000000,3392,5601.4151
"Democratic Bharatiya Samaj Party",47500000,8472,5606.7044
"India Praja Bandhu Party",95000000,16942,5607.3663
"Bhim Sena",142500000,25346,5622.1889
"Jan Raajya Party",19000000,3376,5627.9621
"Bhartiya Janta Secular Party",9500000,1685,5637.9822
"Rashtra Dharak Dal",9500000,1683,5644.6821
"Paschimanchal Vikas Party",9500000,1682,5648.0380
"Yuva Vikas Party",9500000,1679,5658.1298
"Bharat Jan Aadhar Party",9500000,1675,5671.6418
"Aravor Munnetra Kazhagam",47500000,8345,5692.0312
Nyaydharmsabha,38000000,6607,5751.4757
"Bahujan Republican  Socialist Party",171000000,29619,5773.3212
"Punjab National Party",28500000,4934,5776.2465
"Rashtriya Janmorcha",9500000,1639,5796.2172
"Anna YSR Congress Party",66500000,11459,5803.2987
"Samajwadi Jan Parishad",9500000,1637,5803.2987
"Majloom Samaj Party",19000000,3237,5869.6324
"Atulya Bharat Party",9500000,1617,5875.0773
"Hamara Sahara Party",9500000,1614,5885.9975
"Prajarajya Samithi",9500000,1614,5885.9975
"Jai Bharat National Party",133000000,22466,5920.0570
"Abhinav Bharat Janseva Paksh",9500000,1602,5930.0874
"Puthiya Makkal Tamil Desam Katchi",28500000,4768,5977.3490
"Rashtriya Mahaswaraj Bhumi Party",28500000,4764,5982.3678
"Adim Bhartiya Dal",9500000,1584,5997.4747
"Republican Bahujan Sena",19000000,3161,6010.7561
"Janta Samajwadi Party (Vivek Raj)",9500000,1574,6035.5781
"Hindvi Swarajyay Dal",9500000,1573,6039.4151
"Indian Unity Centre",9500000,1572,6043.2570
"United Republican Party of India",66500000,10997,6047.1038
"Chhattisgarh Vikas Ganga Rashtriya Party",38000000,6227,6102.4570
"Bhartiya Party",9500000,1549,6132.9890
"Global Republican Party",47500000,7734,6141.7119
"Janseva Gondwana Party",28500000,4617,6172.8395
"Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam",19000000,3078,6172.8395
"Bharatiya Lokshakti Party",9500000,1537,6180.8718
"Socialist Party (India)",123500000,19940,6193.5807
"Bahujan Dravida Party",133000000,21388,6218.4402
"Rashtriya Narayanwadi Vikas Party",9500000,1527,6221.3491
"Jan Sewa Driver Party",57000000,9135,6239.7373
"Bharat Jodo Party",38000000,6045,6286.1869
"Bhumiputra United Party",19000000,3018,6295.5600
"Bhartiya Azad Sena",19000000,3018,6295.5600
"Aapki Apni Party (Peoples)",38000000,6033,6298.6905
"Lok Swarajya Party",19000000,2992,6350.2674
"Rashtriya Janshakti Samaj Party",19000000,2988,6358.7684
"Rashtriya Sanskriti Party",9500000,1494,6358.7684
"Public Adhikar Socialist Indian Party",9500000,1493,6363.0275
"Mahathma Makkal Munnetra Kazhakam",19000000,2981,6373.7001
"Bhartiya Uday Nirman Party",9500000,1483,6405.9339
"Aam Janshakti Party",9500000,1478,6427.6049
"Janlok Vikas Party",9500000,1473,6449.4229
"Bharatiya Bahujan Samta Party",9500000,1459,6511.3091
"Indian National Socialistic Action Forces",38000000,5781,6573.2572
"AARAKSHAN VIRODHI PARTY",9500000,1444,6578.9474
"Supreme Zero Party of Bharat",9500000,1441,6592.6440
"Vishal Janta Party",9500000,1421,6685.4328
"Social Justice Party of India",57000000,8519,6690.9262
"Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",85500000,12735,6713.7809
"Republican Party of India (Social)",19000000,2818,6742.3705
"Swayam Shashan Party",9500000,1408,6747.1591
"Azad Samaj Party",19000000,2791,6807.5958
"Karunada Sevakara Party",28500000,4175,6826.3473
"Adarsh Janta Party",9500000,1376,6904.0698
"All India Mazdoor Party (Rangreta)",9500000,1374,6914.1194
"Bharatiya Praja Surajya Paksha",19000000,2737,6941.9072
"Hindustan Janta Party Secular",9500000,1366,6954.6120
"Prithviraj Janshakti Party",9500000,1364,6964.8094
"Jai Hind National Party",38000000,5451,6971.1979
"Swaraj Bhartiya Nyay Party",28500000,4088,6971.6243
"Bhartiya Garib Vikas Kalyan Party",9500000,1347,7052.7097
"Bhartiya Jan Parishad",28500000,4020,7089.5522
"Subhashwadi Bhartiya Samajwadi Party (Subhas Party)",47500000,6699,7090.6105
"Rashtriya Janmanch (Secular)",9500000,1333,7126.7817
"Gorkha Rashtriya Congress",9500000,1331,7137.4906
"Garib Kalyan Party",28500000,3979,7162.6037
"Hindustan Janta Party",57000000,7914,7202.4261
"Rashtriya Janta Party",9500000,1319,7202.4261
"Janshakti Janta Dal",9500000,1318,7207.8907
"Lok Samaj Party",9500000,1294,7341.5765
"Sardar Vallabhbhai Patel Party",38000000,5152,7375.7764
