constituency_code,candidate,party,constituency,state,runner_votes
S22107,A.BANNARI,All India Anna Dravida Munnetra Kazhagam,BHAVANISAGAR,TAMIL NADU,67822
S22154,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,PANRUTI,TAMIL NADU,67735
S2266,SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,POLUR,TAMIL NADU,67734
S22137,G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,KULITHALAI,TAMIL NADU,67559
S224,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,THIRUVALLUR,TAMIL NADU,67430
S2285,MIDHUN CHAKRAVARTHY. M,Dravida Munnetra Kazhagam,METTUR,TAMIL NADU,67393
S22210,RM. KARUMANICKAM,Indian National Congress,TIRUVADANAI,TAMIL NADU,67038
S2252,E. MURALIDHARAN,Tamilaga Vettri Kazhagam,BARGUR,TAMIL NADU,66999
S2248,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,AMBUR,TAMIL NADU,66971
S22152,VIJAY.S,Tamilaga Vettri Kazhagam,VRIDDHACHALAM,TAMIL NADU,66964
S22215,J. MURUGAN,Tamilaga Vettri Kazhagam,TIRUCHENDUR,TAMIL NADU,66851
S22167,RAJAA.T.R.B,Dravida Munnetra Kazhagam,MANNARGUDI,TAMIL NADU,66850
S2212,R.D. SHEKAR,Dravida Munnetra Kazhagam,PERAMBUR,TAMIL NADU,66650
S221,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,GUMMIDIPOONDI,TAMIL NADU,66375
S22199,SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,PERIYAKULAM,TAMIL NADU,66335
S22127,DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,PALANI,TAMIL NADU,66293
S2243,P.KARTHIKEYAN,Dravida Munnetra Kazhagam,VELLORE,TAMIL NADU,66255
S2293,C CHANDRASEKARAN,All India Anna Dravida Munnetra Kazhagam,SENTHAMANGALAM,TAMIL NADU,66160
