constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
RISHIVANDIYAM,S2278,84849,Dravida Munnetra Kazhagam,89711,4862
ARUPPUKKOTTAI,S22207,60161,Dravida Munnetra Kazhagam,65104,4943
CHEYYUR,S2234,58141,All India Anna Dravida Munnetra Kazhagam,63809,5668
TIRUTTANI,S223,83376,All India Anna Dravida Munnetra Kazhagam,89169,5793
TIRUCHENDUR,S22215,66851,Dravida Munnetra Kazhagam,72723,5872
SANKARANKOVIL,S22219,58376,All India Anna Dravida Munnetra Kazhagam,64865,6489
BODINAYAKANUR,S22200,78401,Dravida Munnetra Kazhagam,85206,6805
VANUR,S2273,61839,Dravida Munnetra Kazhagam,68873,7034
AMBUR,S2248,66971,Dravida Munnetra Kazhagam,74102,7131
CHEPAUK-THIRUVALLIKENI,S2219,55852,Dravida Munnetra Kazhagam,62992,7140
MADURANTAKAM,S2235,62090,All India Anna Dravida Munnetra Kazhagam,69284,7194
BHAVANI,S22104,68181,All India Anna Dravida Munnetra Kazhagam,75577,7396
NAGERCOIL,S22230,62310,Dravida Munnetra Kazhagam,69880,7570
KANGAYAM,S22102,62989,All India Anna Dravida Munnetra Kazhagam,71122,8133
VILATHIKULAM,S22213,50167,Dravida Munnetra Kazhagam,58395,8228
THIRUVAIYARU,S22173,71870,Dravida Munnetra Kazhagam,80425,8555
VALPARAI,S22124,45300,Dravida Munnetra Kazhagam,54671,9371
SANKARI,S2287,77825,All India Anna Dravida Munnetra Kazhagam,87342,9517
ANDIPATTI,S22198,64770,Dravida Munnetra Kazhagam,74324,9554
NAGAPATTINAM,S22163,46524,Dravida Munnetra Kazhagam,56305,9781
HARBOUR,S2218,33504,Dravida Munnetra Kazhagam,45254,11750
MANACHANALLUR,S22144,69083,Dravida Munnetra Kazhagam,81447,12364
RAMANATHAPURAM,S22211,76678,Dravida Munnetra Kazhagam,89137,12459
THIRUTHURAIPOONDI,S22166,61140,Communist Party of India,74062,12922
ALANGUDI,S22182,51952,Dravida Munnetra Kazhagam,64929,12977
CHENGAM,S2262,74524,All India Anna Dravida Munnetra Kazhagam,87802,13278
TIRUCHULI,S22208,61600,Dravida Munnetra Kazhagam,75085,13485
PATTUKKOTTAI,S22176,52209,Dravida Munnetra Kazhagam,65963,13754
PALAYAMKOTTAI,S22226,65939,Dravida Munnetra Kazhagam,79744,13805
THIRUVIDAIMARUDUR,S22170,65835,Dravida Munnetra Kazhagam,79951,14116
OMALUR,S2284,97707,All India Anna Dravida Munnetra Kazhagam,112246,14539
THONDAMUTHUR,S22119,78591,All India Anna Dravida Munnetra Kazhagam,93316,14725
ATTUR,S2282,65525,All India Anna Dravida Munnetra Kazhagam,80843,15318
PADMANABHAPURAM,S22232,53369,Communist Party of India (Marxist),68938,15569
JOLARPET,S2249,62550,All India Anna Dravida Munnetra Kazhagam,78633,16083
MUDHUKULATHUR,S22212,51405,Dravida Munnetra Kazhagam,68003,16598
THIRUVARUR,S22168,75260,Dravida Munnetra Kazhagam,93408,18148
ARAVAKURICHI,S22134,51445,Dravida Munnetra Kazhagam,70827,19382
DHARMAPURI,S2259,72817,Pattali Makkal Katchi,93713,20896
VILAVANCODE,S22233,49785,Indian National Congress,70755,20970
CHEYYAR,S2268,65599,All India Anna Dravida Munnetra Kazhagam,86680,21081
ATHOOR,S22129,83872,Dravida Munnetra Kazhagam,106240,22368
HOSUR,S2255,82064,All India Anna Dravida Munnetra Kazhagam,109867,27803
MAILAM,S2271,52312,All India Anna Dravida Munnetra Kazhagam,82353,30041
ORATHANADU,S22175,51731,Dravida Munnetra Kazhagam,86759,35028
PALACODU,S2257,63765,All India Anna Dravida Munnetra Kazhagam,102807,39042
ARCOT,S2242,62888,All India Anna Dravida Munnetra Kazhagam,105608,42720
