constituency_code,candidate,party,constituency,state,winner_votes
S2261,SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,HARUR,TAMIL NADU,75523
S22104,KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,BHAVANI,TAMIL NADU,75577
S22111,SUNILANAND,Tamilaga Vettri Kazhagam,METTUPPALAYAM,TAMIL NADU,75664
S22157,ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,BHUVANAGIRI,TAMIL NADU,75707
S22224,MURUGHAN.R.S.,Tamilaga Vettri Kazhagam,TIRUNELVELI,TAMIL NADU,75840
S2222,SABARINATHAN.R,Tamilaga Vettri Kazhagam,VIRUGAMPAKKAM,TAMIL NADU,76092
S2244,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,ANAIKATTU,TAMIL NADU,76302
S22156,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,KURINJIPADI,TAMIL NADU,76695
S2267,JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,ARANI,TAMIL NADU,76735
S2270,GANESHKUMAR A,Pattali Makkal Katchi,GINGEE,TAMIL NADU,78201
S2256,RAMACHANDRAN. T,Communist Party of India,THALLI,TAMIL NADU,78283
S22154,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,PANRUTI,TAMIL NADU,78398
S2249,VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,JOLARPET,TAMIL NADU,78633
S22171,VINOTH,Tamilaga Vettri Kazhagam,KUMBAKONAM,TAMIL NADU,78650
S2296,ARUNRAJ K G,Tamilaga Vettri Kazhagam,TIRUCHENGODU,TAMIL NADU,79500
S22222,DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,TENKASI,TAMIL NADU,79699
S2294,DILIP C S,Tamilaga Vettri Kazhagam,NAMAKKAL,TAMIL NADU,79744
S22226,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,PALAYAMKOTTAI,TAMIL NADU,79744
S22221,RAJENDRAN. T. M,Dravida Munnetra Kazhagam,KADAYANALLUR,TAMIL NADU,79832
S2291,PALANIVEL. M.S,Tamilaga Vettri Kazhagam,VEERAPANDI,TAMIL NADU,79907
S22170,GOVI.CHEZHIAAN,Dravida Munnetra Kazhagam,THIRUVIDAIMARUDUR,TAMIL NADU,79951
S2279,RAKESH R,All India Anna Dravida Munnetra Kazhagam,SANKARAPURAM,TAMIL NADU,80250
S22173,DURAI. CHANDRASEKARAN,Dravida Munnetra Kazhagam,THIRUVAIYARU,TAMIL NADU,80425
S2226,KUMAR. R,Tamilaga Vettri Kazhagam,VELACHERY,TAMIL NADU,80430
S2282,JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,ATTUR,TAMIL NADU,80843
S22162,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,POOMPUHAR,TAMIL NADU,81096
S22101,SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,DHARAPURAM,TAMIL NADU,81100
S2280,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,KALLAKURICHI,TAMIL NADU,81132
S2297,C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,KUMARAPALAYAM,TAMIL NADU,81179
S2223,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,SAIDAPET,TAMIL NADU,81205
S2258,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,PENNAGARAM,TAMIL NADU,81240
S22144,KATHIRAVAN. S,Dravida Munnetra Kazhagam,MANACHANALLUR,TAMIL NADU,81447
S22217,P .MATHANRAJA,Tamilaga Vettri Kazhagam,OTTAPIDARAM,TAMIL NADU,81625
S2271,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,MAILAM,TAMIL NADU,82353
S22106,SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,GOBICHETTIPALAYAM,TAMIL NADU,82612
S2246,K.SINDU,Tamilaga Vettri Kazhagam,GUDIYATTAM,TAMIL NADU,82858
S2213,V. S. BABU,Tamilaga Vettri Kazhagam,KOLATHUR,TAMIL NADU,82997
S22138,R. KATHIRAVAN,Tamilaga Vettri Kazhagam,MANAPPARAI,TAMIL NADU,83041
S22185,SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,TIRUPPATTUR,TAMIL NADU,83375
S22121,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,SINGANALLUR,TAMIL NADU,84163
S22112,KAMALI.S,Tamilaga Vettri Kazhagam,AVANASHI,TAMIL NADU,84209
S2239,G.KAPIL,Tamilaga Vettri Kazhagam,SHOLINGUR,TAMIL NADU,84506
S2236,MUNIRATHINAM.J,Tamilaga Vettri Kazhagam,UTHIRAMERUR,TAMIL NADU,84917
S22133,SAMINATHAN. T,Dravida Munnetra Kazhagam,VEDASANDUR,TAMIL NADU,84948
S22159,L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,KATTUMANNARKOIL,TAMIL NADU,85179
S22200,PANNEERSELVAM.O,Dravida Munnetra Kazhagam,BODINAYAKANUR,TAMIL NADU,85206
S22201,JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,CUMBUM,TAMIL NADU,85394
S22199,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,PERIYAKULAM,TAMIL NADU,85656
S22131,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,NATHAM,TAMIL NADU,85708
S2289,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,SALEM,TAMIL NADU,85710
