constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S22207,ARUPPUKKOTTAI,RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam,65104,KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam,60161,4943
S2251,UTHANGARAI,N ELAIYARAJA,Tamilaga Vettri Kazhagam,70201,T M  TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,65003,5198
S2256,THALLI,RAMACHANDRAN. T,Communist Party of India,78283,DR.NAGESH KUMAR. C,Bharatiya Janata Party,73043,5240
S2267,ARANI,JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,76735,MAHALAKSHMI GOVARTHANAN,Dravida Munnetra Kazhagam,71104,5631
S2234,CHEYYUR,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,63809,MOHAN RAJA.M.G.K,Tamilaga Vettri Kazhagam,58141,5668
S2239,SHOLINGUR,G.KAPIL,Tamilaga Vettri Kazhagam,84506,K.SARAVANAN,Pattali Makkal Katchi,78820,5686
S22158,CHIDAMBARAM,THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,69739,PANDIAN. K.A,All India Anna Dravida Munnetra Kazhagam,63992,5747
S2241,RANIPET,THAHIRA,Tamilaga Vettri Kazhagam,91149,R. GANDHI,Dravida Munnetra Kazhagam,85362,5787
S223,TIRUTTANI,G.HARI,All India Anna Dravida Munnetra Kazhagam,89169,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,83376,5793
S2240,KATPADI,DR M SUDHAKAR,Tamilaga Vettri Kazhagam,69868,V. RAMU,All India Anna Dravida Munnetra Kazhagam,63998,5870
S22215,TIRUCHENDUR,ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam,72723,J. MURUGAN,Tamilaga Vettri Kazhagam,66851,5872
S22204,SATTUR,KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,62060,NAINAR NAGENTHRAN,Bharatiya Janata Party,56071,5989
S22221,KADAYANALLUR,RAJENDRAN. T. M,Dravida Munnetra Kazhagam,79832,C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,73579,6253
