party,party_votes,vote_share
Viduthalai Kalam Katchi,211,0.000427782585319665402700
Namathu Kongu Munnetra Kalagam,200,0.000405481123525749196800
Thamizhaga Munnetra Congress,186,0.000377097444878946753100
Bharatha Makkal Katchi,183,0.000371015228026060515100
All India Majlis-E-Inquilab-E-Millat,168,0.000340604143761629325300
Makkal Sananayaga Kudiyarasu Katchi,149,0.000302083437026683151600
MGR Makkal Katchi,131,0.000265590135909365723900
Proutist Sarva Samaj,130,0.000263562730291736977900
Thamizhaga Dravidar Katchi,120,0.000243288674115449518100
Makkal Murasu Katchi,94,0.000190576128057102122500
Indian Christian Front,85,0.000172329477498443408700
Indhia Kudiarasu Katchi,82,0.000166247260645557170700
Tamilnadu Mahatma Gandhi Makkal Katchi,71,0.000143945798851640964900
ALL PENSIONERS PARTY,55,0.000111507308969581029100
Makkalatchi Katchi,46,0.000093260658410922315300
