constituency_code,constituency,state,no_of_candidates
S22150,JAYANKONDAM,TAMIL NADU,20
S2225,MYLAPORE,TAMIL NADU,20
S2270,GINGEE,TAMIL NADU,20
S2259,DHARMAPURI,TAMIL NADU,20
S22201,CUMBUM,TAMIL NADU,20
S22138,MANAPPARAI,TAMIL NADU,19
S22198,ANDIPATTI,TAMIL NADU,19
S22152,VRIDDHACHALAM,TAMIL NADU,19
S22220,VASUDEVANALLUR,TAMIL NADU,19
S2285,METTUR,TAMIL NADU,19
S2216,EGMORE,TAMIL NADU,19
S22106,GOBICHETTIPALAYAM,TAMIL NADU,19
S2292,RASIPURAM,TAMIL NADU,19
S2220,THOUSAND LIGHTS,TAMIL NADU,19
S22186,SIVAGANGA,TAMIL NADU,18
S22226,PALAYAMKOTTAI,TAMIL NADU,18
S2248,AMBUR,TAMIL NADU,17
S22102,KANGAYAM,TAMIL NADU,16
S22214,THOOTHUKKUDI,TAMIL NADU,16
S2266,POLUR,TAMIL NADU,16
S2243,VELLORE,TAMIL NADU,16
S22200,BODINAYAKANUR,TAMIL NADU,16
S22133,VEDASANDUR,TAMIL NADU,16
S22116,SULUR,TAMIL NADU,16
S22185,TIRUPPATTUR,TAMIL NADU,16
S22195,THIRUPARANKUNDRAM,TAMIL NADU,16
S229,MADAVARAM,TAMIL NADU,16
S2232,CHENGALPATTU,TAMIL NADU,16
S22130,NILAKKOTTAI,TAMIL NADU,16
S2210,THIRUVOTTIYUR,TAMIL NADU,16
S2282,ATTUR,TAMIL NADU,16
S22189,MADURAI EAST,TAMIL NADU,16
S22146,THURAIYUR,TAMIL NADU,16
S22213,VILATHIKULAM,TAMIL NADU,16
S2273,VANUR,TAMIL NADU,16
S22129,ATHOOR,TAMIL NADU,16
S2241,RANIPET,TAMIL NADU,16
S22167,MANNARGUDI,TAMIL NADU,16
S2262,CHENGAM,TAMIL NADU,16
S2231,TAMBARAM,TAMIL NADU,16
S2253,KRISHNAGIRI,TAMIL NADU,16
S2276,TIRUKKOYILUR,TAMIL NADU,16
S2252,BARGUR,TAMIL NADU,16
S2284,OMALUR,TAMIL NADU,16
S22216,SRIVAIKUNTAM,TAMIL NADU,16
S22115,PALLADAM,TAMIL NADU,16
S22155,CUDDALORE,TAMIL NADU,16
S2247,VANIYAMBADI,TAMIL NADU,16
S2240,KATPADI,TAMIL NADU,16
S2269,VANDAVASI,TAMIL NADU,16
S22113,TIRUPPUR,TAMIL NADU,16
S2237,KANCHEEPURAM,TAMIL NADU,16
S22127,PALANI,TAMIL NADU,16
S22149,ARIYALUR,TAMIL NADU,16
S22183,ARANTHANGI,TAMIL NADU,16
S2286,EDAPPADI,TAMIL NADU,16
S22196,THIRUMANGALAM,TAMIL NADU,16
S2223,SAIDAPET,TAMIL NADU,16
S221,GUMMIDIPOONDI,TAMIL NADU,16
S22206,VIRUDHUNAGAR,TAMIL NADU,16
S22112,AVANASHI,TAMIL NADU,15
S22117,KAVUNDAMPALAYAM,TAMIL NADU,15
S2257,PALACODU,TAMIL NADU,15
S22205,SIVAKASI,TAMIL NADU,15
S22100,MODAKKURICHI,TAMIL NADU,15
S22104,BHAVANI,TAMIL NADU,15
S2242,ARCOT,TAMIL NADU,15
S2261,HARUR,TAMIL NADU,15
S2236,UTHIRAMERUR,TAMIL NADU,15
S22190,SHOLAVANDAN,TAMIL NADU,15
S22169,NANNILAM,TAMIL NADU,15
S22187,MANAMADURAI,TAMIL NADU,15
S2277,ULUNDURPETTAI,TAMIL NADU,15
S224,THIRUVALLUR,TAMIL NADU,15
S22170,THIRUVIDAIMARUDUR,TAMIL NADU,15
S2272,TINDIVANAM,TAMIL NADU,15
S2289,SALEM,TAMIL NADU,15
S22194,MADURAI WEST,TAMIL NADU,15
S22151,TITTAKUDI,TAMIL NADU,15
S22229,KANNIYAKUMARI,TAMIL NADU,15
S22181,THIRUMAYAM,TAMIL NADU,15
S22128,ODDANCHATRAM,TAMIL NADU,15
S22233,VILAVANCODE,TAMIL NADU,15
S2260,PAPPIREDDIPATTI,TAMIL NADU,15
S22182,ALANGUDI,TAMIL NADU,15
S22105,ANTHIYUR,TAMIL NADU,15
S22140,TIRUCHIRAPPALLI,TAMIL NADU,15
S22203,SRIVILLIPUTHUR,TAMIL NADU,15
S223,TIRUTTANI,TAMIL NADU,14
S22171,KUMBAKONAM,TAMIL NADU,14
S22234,KILLIYOOR,TAMIL NADU,14
S2283,YERCAUD,TAMIL NADU,14
S2234,CHEYYUR,TAMIL NADU,14
S22172,PAPANASAM,TAMIL NADU,14
S2254,VEPPANAHALLI,TAMIL NADU,14
S2244,ANAIKATTU,TAMIL NADU,14
S22231,COLACHAL,TAMIL NADU,14
S22123,POLLACHI,TAMIL NADU,14
