candidate,party,constituency,runner_up_vote_percentage
THANGAPANDIAN. S,Dravida Munnetra Kazhagam,RAJAPALAYAM,30.020
LATHA BALU,Dravida Munnetra Kazhagam,ARIYALUR,29.980
A. RAMU,All India Anna Dravida Munnetra Kazhagam,COONOOR,29.970
SAKTHI.M,All India Anna Dravida Munnetra Kazhagam,SIRKAZHI,29.950
R.S.KIRUTHIKA DEVI,Dravida Munnetra Kazhagam,TAMBARAM,29.890
CHINNADURAI. K,Dravida Munnetra Kazhagam,GANGAVALLI,29.880
PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,MADURAI CENTRAL,29.800
PANDI.V,Tamilaga Vettri Kazhagam,ANDIPATTI,29.800
V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,THIRUVALLUR,29.780
ANANTHAN AYYASAMY,Bharatiya Janata Party,VASUDEVANALLUR,29.750
DR. L. MURUGAN,Bharatiya Janata Party,AVANASHI,29.720
C. RAMARAJAN,Tamilaga Vettri Kazhagam,SANKARANKOVIL,29.710
KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,PADMANABHAPURAM,29.560
VENDARKARASAN.S,Tamilaga Vettri Kazhagam,HOSUR,29.540
S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra Kazhagam,TENKASI,29.530
SUBRAMANIAN.S,Dravida Munnetra Kazhagam,TIRUNELVELI,29.500
MAHALINGAM.P,Communist Party of India,SRIVILLIPUTHUR,29.500
ASHOKAN G,Indian National Congress,SIVAKASI,29.470
DUSI K MOHAN,Tamilaga Vettri Kazhagam,CHEYYAR,29.470
PREMKUMAR S D,Bharatiya Janata Party,RASIPURAM,29.460
V.SRINIDHI,Indian National Congress,SINGANALLUR,29.420
SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,KALASAPAKKAM,29.370
MUNISAMY C,Tamilaga Vettri Kazhagam,JOLARPET,29.360
GOPIRAJAN. G,Tamilaga Vettri Kazhagam,PARAMAKUDI,29.310
MIDHUN CHAKRAVARTHY. M,Dravida Munnetra Kazhagam,METTUR,29.160
A.S.CHANDARASEKARAN,Indian National Congress,CUDDALORE,29.070
PALANIAPPAN. P,Dravida Munnetra Kazhagam,PAPPIREDDIPATTI,29.040
C SHANMUGAVELU,Amma Makkal Munnettra Kazagam,MADATHUKULAM,28.950
V.P.DURAI,Indian National Congress,AMBASAMUDRAM,28.950
M.BOOMINATHAN,Dravida Munnetra Kazhagam,MADURAI SOUTH,28.890
APPAVU.M,Dravida Munnetra Kazhagam,RADHAPURAM,28.830
SATHIYANARAYANAN B,All India Anna Dravida Munnetra Kazhagam,THIYAGARAYANAGAR,28.830
KANDASAMY,Tamilaga Vettri Kazhagam,ALANGUDI,28.780
P. KASIRAM,Tamilaga Vettri Kazhagam,VILATHIKULAM,28.700
DR A.P. POORNIMA,Dravida Munnetra Kazhagam,AMBATTUR,28.680
KRISHNASWAMY.A,Dravida Munnetra Kazhagam,POONAMALLEE,28.670
ARUNKUMAR PRG,All India Anna Dravida Munnetra Kazhagam,KAVUNDAMPALAYAM,28.660
SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,GUMMIDIPOONDI,28.550
MAHENDRAN. I,All India Anna Dravida Munnetra Kazhagam,USILAMPATTI,28.540
C. UTHAYAKUMAR,Bharatiya Janata Party,GANDHARVAKOTTAI,28.490
KIRUTHIGA THANGAPANDI,Dravida Munnetra Kazhagam,THIRUPARANKUNDRAM,28.480
N.S.KARUNAIRAAJA,Dravida Munnetra Kazhagam,MUSIRI,28.470
MICHAEL KUMAR K,Tamilaga Vettri Kazhagam,VILAVANCODE,28.460
JEGAN MOORTHY. M,All India Anna Dravida Munnetra Kazhagam,KILVAITHINANKUPPAM,28.460
KARTHIKEYAN. P,Tamilaga Vettri Kazhagam,ARAVAKURICHI,28.410
MATHAN C,Tamilaga Vettri Kazhagam,PATTUKKOTTAI,28.410
PRABHAKARA RAJA.A.M.V,Dravida Munnetra Kazhagam,VIRUGAMPAKKAM,28.350
