candidate,party,constituency_count
A. AMALAN SAVARIMUTHU,Independent,1
A.AMRISH,Independent,1
A.ANANDAN,Independent,1
A. ANIS FATHIMA ABDUL RAHIM,Independent,1
A.ANNADURAI,Independent,1
AASEE.M. THIAGARAJAN,Dravida Munnetra Kazhagam,1
A.ASHOK KUMAR,Naam Tamilar Katchi,1
AASSAN MAULAANA J.M.H,Indian National Congress,1
AATHITHYA,Samata Party,1
A. BABU MAILAN,Naam Tamilar Katchi,1
A BALAMUGAN,Independent,1
A.BALAMURUGAN,Independent,1
A.BANNARI,All India Anna Dravida Munnetra Kazhagam,1
ABDUL HAKEEM  K,Naam Tamilar Katchi,1
ABDUL JAFFAR. S,Independent,1
ABDUL JALEEL. R. K,Tamilaga Vettri Kazhagam,1
ABDUL KOYA,Independent,1
ABDUL SHABEEK  A,Tamizhaga Vaazhvurimai Katchi,1
ABDUL WAHID.A,Independent,1
ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,1
A.BHARATHI,Independent,1
A  BHUVANENTHIRAN,All India Anna Dravida Munnetra Kazhagam,1
ABIMAN,Independent,1
ABINAYA PONNIVALAVAN,Naam Tamilar Katchi,1
ABINESHKUMAR T,Independent,1
ABIRAMI. A,Naam Tamilar Katchi,1
ABIRAMI. D,Naam Tamilar Katchi,1
ABISHEK. R,All India Anna Dravida Munnetra Kazhagam,1
ABISHEK. R,Tamilaga Vettri Kazhagam,1
ABITHA M.,Independent,1
ABUBACKER SIDDHEEQ,Naam Tamilar Katchi,1
ABUKITHER M,Independent,1
A.CHIDAMBARAM,Independent,1
A. CHINNA RAJA,Independent,1
ADAIKALARAJ. S,Independent,1
ADHITHYA PALANISAMY. A,Independent,1
ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,1
A DINESH KUMAR,Independent,1
A.DURAISAMY,Independent,1
ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,1
ADVOCATE KRISHNAN E,Naam Tamilar Katchi,1
ADVOCATE.MUTHAIAH.S.,Thakkam Katchi,1
ADVOCATE SADHURAGIRI. M,Independent,1
ADVOCATE THANGAPANDIAN,Independent,1
A.ESAKKIAPPAN,Independent,1
AFSHIA NASRIN. S,Naam Tamilar Katchi,1
A.GNANASEKARAN,Tamizhaga Vaazhvurimai Katchi,1
AGNI SELVARAJU. J,Naadaalum Makkal Katchi,1
AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,1
A. GURUANANDHAN,Anaithinthiya Anna Dravida Makkal Seyal katchi,1
AHAMMED NAZEER KHAN,Independent,1
A.H. SIVA GANESH,Independent,1
AIYAPPAN,Independent,1
AJAI (ALIAS) NAGARAJAN,Independent,1
A. JAYAKUMAR,Independent,1
AJAY I,Independent,1
AJAY KANNAN A,Independent,1
AJAY SUBASH.B,Independent,1
A. JEGAN SALAMONDOSS,Independent,1
AJITH. G,Tamizhaga Vaazhvurimai Katchi,1
AJITH KUMAR A,Independent,1
AJITHKUMAR A,Thakkam Katchi,1
AJITH KUMAR. S.,Bahujan Samaj Party,1
AJITHKUMAR. S,Independent,1
AJITH. M,Tamilaga Vettri Kazhagam,1
A.KALLANAI,Tamilaga Vettri Kazhagam,1
A.KALYANASUNDARAM,Nationalist Janshakti Party,1
A.KATHIRVEL,Independent,1
AKBAR ALI,Independent,1
AKBAR ALI P,Independent,1
A.K. SENTHAMIZH SELVAN,Independent,1
AK SENTHILKUMAR,Puthiya Tamilagam,1
ALAGAAPURAM. R. MOHANRAJ,Desiya Murpokku Dravida Kazhagam,1
ALAGAMMAL A,Naam Tamilar Katchi,1
ALAGAR.A,Ezhuchi Tamilargal Munnetra Kazhagam,1
ALAGAR. P ADVOCATE,Independent,1
ALAGARSAMY PANDIAN,Independent,1
ALAGIYANNAN. A,Independent,1
ALAGUMURUGAN. S,Independent,1
ALAGUPANDIAN. A,Independent,1
ALAGURAJA T,Independent,1
ALAPPAN.A,Independent,1
ALAVANTHAR .M,Tamizhaga Vaazhvurimai Katchi,1
ALEX PANDIAN.K,Independent,1
ALEX S,Tamizhaga Vaazhvurimai Katchi,1
ALLA PICHAI,Independent,1
ALLIMUTHU.M,Bahujan Samaj Party,1
A. L. NARESH KUMAR,Independent,1
A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,1
AMALA.R,Independent,1
A MANI,Independent,1
A.MANIKANDAN,Tamizhaga Vaazhvurimai Katchi,1
A.MARIAPPAN,Independent,1
A. MARIMUTHU,Independent,1
AMBEDKAR. C,Independent,1
AMBEDKAR. T,Independent,1
AMBETHKAR. S,Independent,1
AMBETHKUMAR. S,Dravida Munnetra Kazhagam,1
AMBETH RAJAN,Naam Tamilar Katchi,1
AMIRTHALINGAM,Independent,1
AMIRTHALINGAM.N,Independent,1
AMIRTHA. M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
AMIRTHA PANDI M.V,Independent,1
AMMAN K.ARJUNAN,All India Anna Dravida Munnetra Kazhagam,1
A.M.MUNIRATHINAM,Indian National Congress,1
AMMU. V,Independent,1
A.MOHAMMED GANI,Independent,1
A.MOHANRAJ,Socialist Unity Centre Of India (COMMUNIST),1
A.MOUNAKUMAR,Independent,1
AMPULIMADHAN M,Independent,1
A.M. SHAHJAHAN,Indian Union Muslim League,1
AMUDHA.N,Independent,1
A.MURUGANANDHAN,Independent,1
AMUTHA.N,Naam Tamilar Katchi,1
AMUTHAVEL. P,Independent,1
A MUTHUSAMY,Bahujan Samaj Party,1
A.NAGARAJAN,Independent,1
ANAND,Independent,1
ANANDAJOTHI PARAMASIVAM,Independent,1
ANANDAKUMAR P M,Thakkam Katchi,1
ANANDALAI THANGARAJ. M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
ANANDARAJ. D,Independent,1
ANANDHABABU M,Tamizhaga Vaazhvurimai Katchi,1
ANANDHAKUMAR.M,Independent,1
ANANDHAKUMAR R.,Independent,1
ANANDHAN. A,Independent,1
ANANDHARAJA. D.,Naam Tamilar Katchi,1
ANANDHI.S,Independent,1
ANANDH K,Independent,1
ANANDH M,Naam Tamilar Katchi,1
ANAND.K,Tamilaga Vettri Kazhagam,1
ANAND N,Tamilaga Vettri Kazhagam,1
ANAND PRASAD,Independent,1
ANAND. S,Independent,1
ANAND SELVARAJ,National Maha Sabha Party,1
ANANTHAKUMAR. R,Independent,1
ANANTH. A. M,Independent,1
ANANTHAN AYYASAMY,Bharatiya Janata Party,1
ANANTHI DHANDAPANI,Naam Tamilar Katchi,1
ANANTHI.R,Independent,1
ANANTHI.S,Independent,1
ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,1
ANANTHRAJ. T,Independent,1
A. NARESHKUMAR,Independent,1
ANBALAGAN G,Dravida Munnetra Kazhagam,1
ANBALAGAN.G,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,1
ANBALAGAN. M,Independent,1
ANBARASAN.M,Independent,1
ANBARASAN. N,Independent,1
ANBARASU.P,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
ANBARASU. R,Independent,1
ANBAZHAGAN G,Independent,1
ANBAZHAGAN. P,Communist Party of India (Marxist-Leninist) (Liberation),1
ANBAZHAGAN S,Independent,1
ANBAZHAGAN. S,Anna Makkal Katchi,1
ANBAZHAGAN. T,Independent,1
ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,1
ANBU D,Independent,1
ANBUMURUGAN S,Independent,1
ANBUSELVI A,Naam Tamilar Katchi,1
ANBUTHAMIZHAN. T,Thamizh Perarasu Katchi,1
ANBU.V,Independent,1
ANCY SHOBA RANI. L,Naam Tamilar Katchi,1
A NEPOLIAN,Independent,1
ANIS BABU. M,Independent,1
ANIS FATHIMA,Naam Tamilar Katchi,1
ANITHA. A,Naam Tamilar Katchi,1
ANITHA MAYAPERUMAL,Independent,1
ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam,1
A. NIZAR AHAMED,Independent,1
ANJALI. M,Independent,1
ANNADURAI C N,Independent,1
ANNADURAI K,Dravida Munnetra Kazhagam,1
ANNADURAI.R,Independent,1
ANNAMALAI. M.,Independent,1
ANNIYUR SIVA @ SIVASHANMUGAM A,Dravida Munnetra Kazhagam,1
ANTHONY MUTHU. S.M,Communist Party of India (Marxist-Leninist) (Liberation),1
ANTONY ALANKARAM. K,Independent,1
ANTONY MICHAEL J,Viro Ke Vir Indian Party,1
ANUSHA V,Naam Tamilar Katchi,1
A.PALANI,Independent,1
A. PALANIKUMAR,Independent,1
A. PATTURAJ,Independent,1
A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,1
A.PONNALAGAN,Independent,1
A. PONNUTHAI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
A POONGODI,Independent,1
APPAVU.M,Dravida Munnetra Kazhagam,1
A. PRABAHAR,Independent,1
A. RADHAKRISHNAN,Independent,1
A.RAJANGAM,Independent,1
A. RAJAPRAKASH,Tamilaga Vettri Kazhagam,1
A. RAJARAM,Republican Party of India (Athawale),1
A. RAJASEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
A.RAJESH,Independent,1
A. RAJI,Independent,1
A. RAMAN,Independent,1
A. RAMU,Independent,1
A. RAMU,All India Anna Dravida Munnetra Kazhagam,1
A.RANI NADAR ALIAS PUSHPARANI,Independent,1
ARASAN K,Independent,1
ARASUMANI. G,Independent,1
ARASU S,Independent,1
ARAVAAZHI. K,All India Jananayaka Makkal Kazhagam,1
ARAVINDAN,Independent,1
ARAVINDARAJ. R,Independent,1
ARAVIND CHANDRASEKAR,Indhu Dravida Makkal Katchi,1
ARAVIND GOSH Y T,Independent,1
ARAVIND M,Naam Tamilar Katchi,1
ARAVIND. R,Independent,1
ARAVINTHASAMY.J,Independent,1
ARAVINTH S,Independent,1
ARCHANA NARASIMMAN,Naam Tamilar Katchi,1
ARCHANA TAMILARUVI,Naam Tamilar Katchi,1
ARIVALAGAN. M,Independent,1
ARIVAZHAGAN. D,Bahujan Samaj Party,1
ARIVAZHAGAN.E.N,Tamizhaga Vaazhvurimai Katchi,1
ARIVAZHAGAN K,Independent,1
ARIVUDAINAMBI.S,Anti Corruption Dynamic Party,1
ARJUNAN L K,Independent,1
ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,1
AROCKIA DASS. J,Independent,1
AROCKIARAJ .A,Samaniya Makkal Nala Katchi,1
AROKIYARAJ V,Tamizhaga Vaazhvurimai Katchi,1
ARTHANARI. S.K.,Indian National Congress,1
ARUL ANAND. V,Independent,1
ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,1
ARUL.D,Independent,1
ARUL DOSS. A.,Independent,1
ARUL. K,Independent,1
ARULKUMAR P,Ganasangam Party of India,1
ARULKUMAR.P,Independent,1
ARULMANIARASU. P,Independent,1
ARUL MANI. H,Independent,1
ARUL.P,Independent,1
ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,1
ARULPRAKASAM S,Independent,1
ARULPRAKASH. P,Independent,1
ARUL PRAKASH. T,Independent,1
ARULRAJU G,Anaithinthiya Anna Dravida Makkal Seyal katchi,1
ARUL RAMADAS,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
ARUL .S,Independent,1
ARUL. T,Independent,1
ARUL VIGNESH C,Tamilaga Vettri Kazhagam,1
ARUMUGAM. C,Independent,1
ARUMUGAM G,Parivartan Rajniti Party,1
ARUMUGAM. G.,Independent,1
ARUMUGAM M,Independent,1
ARUMUGAM. M,Independent,1
ARUMUGAM. MUNI.,Independent,1
ARUMUGAM.N,Tamizhaga Vaazhvurimai Katchi,1
ARUMUGAM. P,Independent,1
ARUMUGAM. P.V,Independent,1
ARUMUGAM  R,Independent,1
ARUMUGAM.R,Ganasangam Party of India,1
ARUMUGAM. V,Independent,1
ARUMUGAM. V,Naam Tamilar Katchi,1
ARUMUGAM.V,Republican Party of India,1
ARUMUGARAJ. S.,Tamizhaga Vaazhvurimai Katchi,1
ARUMUGAVEL.T,Naam Indiar Party,1
ARUNACHALAM. C,Independent,1
ARUNACHALAM. V. P,Tamilaga Vettri Kazhagam,1
ARUNAGIRI . M,Independent,1
ARUN. C,Independent,1
ARUNKUMAR A,Independent,1
ARUNKUMAR. G.,Independent,1
ARUNKUMAR PRG,All India Anna Dravida Munnetra Kazhagam,1
ARUNKUMAR . S,Independent,1
ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,1
ARUNMOZHI . V,Independent,1
ARUNPANDIAN.A,Tamizhaga Vaazhvurimai Katchi,1
ARUN PANDIAN A J,Independent,1
ARUNRAJ,Independent,1
ARUNRAJ K G,Tamilaga Vettri Kazhagam,1
ARUN RAO. N.A,Naam Indiar Party,1
ARUN. R.L,Naam Tamilar Katchi,1
ASADULLAH. B,Indian National League,1
A SAMRAJ,Independent,1
ASANRAJA. K,Independent,1
A. SARAVANAKUMAR,Naam Indiar Party,1
ASARUDHEEN. A,Independent,1
A. SASIKUMAR,Independent,1
A. SATHIK KUMAR,Democratic National Allegiance,1
A.SATHIYALEELA,Independent,1
A.S.CHANDARASEKARAN,Indian National Congress,1
A SEGU ALI UDUMAN,Independent,1
A. SELVA KUMAR,Thakkam Katchi,1
A.SELVARAJ,Mannin Maithargal Kazhagam,1
A. SENTHIL KUMAR,Independent,1
A SHANMUGAVEL,Independent,1
ASHLIN BELMEN .A.S,Tamilnadu Mahatma Gandhi Makkal Katchi,1
ASHOKAN G,Indian National Congress,1
ASHOK KUMAR,Independent,1
ASHOK KUMAR A,Independent,1
ASHOK KUMAR C.A,Independent,1
ASHOK KUMAR G,Tamilaga Vettri Kazhagam,1
ASHOKKUMAR. G,Independent,1
ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,1
ASHOKKUMAR. N,Dravida Munnetra Kazhagam,1
ASHOKKUMAR R,Bharatiya Janata Party,1
ASHOK. M,Independent,1
ASHOK. M.K,All India Anna Dravida Munnetra Kazhagam,1
ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,1
ASIYA BEGUM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
A.SONIYA,Naam Tamilar Katchi,1
A. SOZHAN,Pattali Makkal Katchi,1
A S THANGARASU,Independent,1
A. SUBARESH RAJA,Independent,1
A SUBASH  CHANDRA BOSE,Thakkam Katchi,1
A. SUDHAHAR,Independent,1
A. SUDHAKAR,Republican Party of India (Athawale),1
ASWINI B,Naam Tamilar Katchi,1
A.THANGARAJ,Puthiya Tamilagam,1
ATHIKUMAR KUDUMBAR.B,Independent,1
ATHIMULAM,Independent,1
ATHISAYA PNDIYAN. V.,Independent,1
ATHIYAMAAN.M,Independent,1
A UDHAYAKUMAR,Puthiya Tamilagam,1
A. USHA,Independent,1
AUSTIN,Dravida Munnetra Kazhagam,1
AVADAINATHAN  V,Independent,1
AVARANGADU KARTHIK RAJA,Naam Tamilar Katchi,1
A.VASUDEVAN,Independent,1
A.VEERAMANI,Samaniya Makkal Nala Katchi,1
A.VELUSAMY,Puthiya Tamilagam,1
A. VISWANATHAN,All India Anna Dravida Munnetra Kazhagam,1
A.VISWANATHAN,Tamizhaga Vaazhvurimai Katchi,1
AYISHA,Independent,1
AYOOB RIYAS,Independent,1
AYSHA,Naam Tamilar Katchi,1
AYYANAN.P,Independent,1
AYYANAR E,Independent,1
AYYANAR N,Anti Corruption Dynamic Party,1
AYYANAR.R,Tamilaga Vettri Kazhagam,1
AYYAPPAN. P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,1
AZARUTHEEN. M,Independent,1
AZARUTHEEN.M,Independent,1
AZHAGESAN V.R.,Desiya Makkal Sakthi Katchi,1
AZIZ ABDUL RAHMAN. J,Samaniya Makkal Nala Katchi,1
BABU .B,Rashtriya Samaj Dal (R),1
BABU. G,Independent,1
BABU P.,Independent,1
BABU. S,Independent,1
BABUSANKAR.R,Our Mahathma National Party,1
BABU SINGH,Independent,1
BABY. P,Independent,1
BABY RAJ. P,Independent,1
BACKIYALAKSHMI C,Thakkam Katchi,1
BADRI S,Independent,1
BAIJU T,Viro Ke Vir Indian Party,1
BAKIYALAKSHMI. M,Independent,1
BAKKIAM P,Anaithinthiya Anna Dravida Makkal Seyal katchi,1
BAKKIYARAJ R,Independent,1
BALABHARATHI. S.V,Independent,1
BALACHANDRAN. M,Independent,1
BALAGANAPATHY.V,Bharatiya Janata Party,1
BALAJI.A,Thakkam Katchi,1
BALAJI CHEZHIAN P,Independent,1
BALAJI. P,Independent,1
BALAJI R,Dravida Munnetra Kazhagam,1
BALAJI R,Independent,1
BALAJI RAMACHANDRAN,Naam Tamilar Katchi,1
BALAJI S,Independent,1
BALAJI. V,Bahujan Samaj Party,1
BALAKRISHNAN,Independent,1
BALAKRISHNAN,Tamilaga Vettri Kazhagam,1
BALAKRISHNAN A,Bahujan Samaj Party,1
BALAKRISHNAN (A) AMOOR BALU,Bahujan Samaj Party,1
BALAKRISHNAN K,Anna Makkal Katchi,1
BALAKRISHNAN. P,Bahujan Samaj Party,1
BALAKRISHNAN.S.P,Bharatiya Janata Party,1
BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,1
BALAMANI.V,Independent,1
BALAMURALI G,Independent,1
BALAMURUGAN.C,Independent,1
BALAMURUGAN.G,Tamilaga Vettri Kazhagam,1
BALAMURUGAN . G. C,Independent,1
BALAMURUGAN.K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
BALAMURUGAN . M. R,Independent,1
BALAMURUGAN N,Independent,1
BALAMURUGAN.P,Naam Indiar Party,1
BALAMURUGAN.R,Independent,1
BALAMURUGAN. S,Tamilaga Vettri Kazhagam,1
BALAMURUGAN. V,Independent,1
BALAN R,Independent,1
BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,1
BALARUBAN,Independent,1
BALASUBRAMANIAM M,Puthiya Tamilagam,1
BALASUBRAMANIAN. K.K,Independent,1
BALASUBRAMANIAN. M,Independent,1
BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam,1
BALASUBRAMANI.R,Independent,1
BALATHANDAYUTHAM.U,All India Anna Dravida Munnetra Kazhagam,1
BALAVEL MURUGESAN. T,Independent,1
BALSAMY. B,Naadaalum Makkal Katchi,1
BALU. M,Puthiya Tamilagam,1
BALU.P,Independent,1
BALU. P.M.,Independent,1
B.ANAND,Thakkam Katchi,1
BANUKUMAR R,Independent,1
BANUPRIYA. D,Republican Party of India (Athawale),1
BANUPRIYA M,Naam Tamilar Katchi,1
BANUPRIYA. M,Naam Tamilar Katchi,1
BARATHIRAJA.K,Independent,1
BARISHA BANU. M,Independent,1
BASKARAN. C,Independent,1
BASKARAN. C. R,Pattali Makkal Katchi,1
BASKARAN. R,Independent,1
BASKARAN. S,Independent,1
BASKAR. P,Independent,1
BAS MADHESWARAN,Tamizhaga Vaazhvurimai Katchi,1
B. BALAJI,Independent,1
B.CHITRA,Bahujan Samaj Party,1
B. DHAMODHARAN,Tamizhaga Vaazhvurimai Katchi,1
B. DHANDAPANI,New Generation Peoples Party,1
BENNY RAJAN. C.J,Republican Party of India (Athawale),1
BERRILA. L,Independent,1
BERVIN KINGS G,Tamilaga Vettri Kazhagam,1
BE  VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,1
BHARANITHARAN.D.K,Independent,1
BHARATHI.B,Puthiya Tamilagam,1
BHARATHIDASAN.S,Independent,1
BHARATHIMOHAN.  K.S,Independent,1
BHARATHI. P,Independent,1
BHARATHIRAJA A,Puthiya Tamilagam,1
BHARATHIRAJA. B,Independent,1
BHARATHISELVAN.R,Naam Tamilar Katchi,1
BHARATHKUMAR. G,Independent,1
BHARATH. M,Naam Indiar Party,1
BHARATH.M,Independent,1
BHARATH  MATHIRUBAN,Independent,1
BHARATH.S,Independent,1
BHASKAR. G,Independent,1
BHOJARAJAN.M,Bharatiya Janata Party,1
BHUVANA MANIYARASAN,Naam Tamilar Katchi,1
BHUVANESHWARI.A,Independent,1
BISHOP DR GODFREY NOBLE,Independent,1
B.KAJAHMOHIDEEN,Independent,1
B. KALYANARAMKUMAR,Naam Indiar Party,1
B.M.SUMATHY,Naam Tamilar Katchi,1
B.NAVIN,Tamizhaga Vaazhvurimai Katchi,1
BOOMIRAJAN K,Tamizhaga Vaazhvurimai Katchi,1
BOOMIRAJ. K,Samaniya Makkal Nala Katchi,1
BOOPATHI. R.,Naam Tamilar Katchi,1
BOOPATHI RAJARAJA CHOZHAN. M,Independent,1
BOOPATHY. S,Independent,1
BOWDHARAJ,Independent,1
B.PALANISWAMY,Bahujan Samaj Party,1
B.RAJENDRAN,Independent,1
B. RAJESH KUMAR,Bahujan Samaj Party,1
B.RAJESWARI,Naadaalum Makkal Katchi,1
B.RAJKUMAR,Tamilaga Vettri Kazhagam,1
BRAMAMOORTHI. M,Tamizhaga Vaazhvurimai Katchi,1
B.SAMPATHKUMAR,Independent,1
B. SATHISH KUMAR,Independent,1
B.SELVAM,Independent,1
B SIKKANDAR,Independent,1
B. VEERALAKSHMI,Tamilaga Makkal Nala Katchi,1
B. VENKATESAN,Independent,1
B.VIJAYARAJ,Tamilaga Vettri Kazhagam,1
B. YUVARAJ,Independent,1
C. ARUNA DEVI,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,1
C CHANDRASEKARAN,All India Anna Dravida Munnetra Kazhagam,1
C. CHANDRASEKARAN,Thamizh Desiya Munnetra Kazhagam,1
C. CHRISTY,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
C. DILLIBABU,Independent,1
C. DINESH KUMAR,Independent,1
C. GOVINDASAMY,Independent,1
C. GUNASEKARAN,Thamizh Desiya Munnetra Kazhagam,1
CHANDARAN. A,Independent,1
CHANDRAJOTHI. M,Independent,1
CHANDRAKUMAR. P,Independent,1
CHANDRA.M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
CHANDRAMOHAN.K.M.,Independent,1
CHANDRA MOULISWARAN A,Independent,1
CHANDRAN .S.S,Naam Tamilar Katchi,1
CHANDRA P,Independent,1
CHANDRA PRABHA JEYAPAL,Naam Tamilar Katchi,1
CHANDRAPRABHA.M,All India Anna Dravida Munnetra Kazhagam,1
CHANDRASEKAR,Tamizhaga Murpokku Makkal Katchi,1
CHANDRASEKARAN,Independent,1
CHANDRASEKARAN B,Tamilaga Vettri Kazhagam,1
CHANDRASEKARAN.G,Independent,1
CHANDRASEKARAN  GOVI,Bharatiya Janata Party,1
CHANDRASEKARAN. M,All India Jananayaka Makkal Kazhagam,1
CHANDRASEKARAN.S,Independent,1
CHANDRA SEKAR.K,Independent,1
CHANDRASEKAR. K.A,Dravida Munnetra Kazhagam,1
CHANDRASEKAR. P,Independent,1
CHANDRASEKAR.P,Independent,1
CHANTHIRASEKAR S.,Independent,1
CHARAVANAN M.P,Independent,1
CHARLES. S,Independent,1
CHELLADURAI. M,Independent,1
CHELLADURAI. R,Naam Indiar Party,1
CHELLAKUMAR.A,Indian National Congress,1
CHELLAM.K,Independent,1
CHELLAMUTHU. K,Independent,1
CHELLAPANDIAN S.T.,All India Anna Dravida Munnetra Kazhagam,1
CHELLAPANDIYAN. K.K,Dravida Munnetra Kazhagam,1
CHELLAPANDIYAN.S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
CHELLASWAMY. R,Communist Party of India (Marxist),1
CHENDUR MAHARAJAN,Puthiya Makkal Tamil Desam Katchi,1
CHENNA KESAVAN C,Independent,1
CHENNA KESAVAN.P,Independent,1
CHENNAKRISHNAN. V,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
CHENRAYAN A,Independent,1
CHEZHIYAN.G,Independent,1
CHEZHIYAN P,Pattali Makkal Katchi,1
CHIDAMBARAM. A,Independent,1
CHINNADURAI ALIAS DIMITRO S,Communist Party of India (Marxist-Leninist) (Liberation),1
CHINNADURAI. K,Dravida Munnetra Kazhagam,1
CHINNADURAI S.,Bahujan Samaj Party,1
CHINNAIYAN POOSARI,Bahujan Samaj Party,1
CHINNA MAHARAJA.K,Independent,1
CHINNASAMY. G,Independent,1
CHINNASAMY. N.,Independent,1
CHINNASAMY. P,Independent,1
CHINNASAMY.V,Tamizhaga Vaazhvurimai Katchi,1
CHINNATHAMBI K,Republican Party of India (Athawale),1
CHINNATHAMBI.P,Independent,1
CHINTHAMANI.C,Tamilaga Vettri Kazhagam,1
CHITHIRAI SELVAN,Tamizhaga Vaazhvurimai Katchi,1
CHRIST MILLER. S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
CITTIBABU.R,Independent,1
C JAGANATHAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
C. JAGAN MOHAN,Independent,1
C.JANARTHANAN,Independent,1
C. KARUPPAIAH,Independent,1
C.KENGUSAMY,Independent,1
C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,1
C.MAHENDRAN,Independent,1
C.MALAISELVAM,Puthiya Tamilagam,1
C.MALATHI,Tamizhaga Vaazhvurimai Katchi,1
