constituency_code,constituency,state,total_votes
S2291,VEERAPANDI,TAMIL NADU,235875
S22149,ARIYALUR,TAMIL NADU,235858
S2279,SANKARAPURAM,TAMIL NADU,235528
S22222,TENKASI,TAMIL NADU,234987
S2288,SALEM,TAMIL NADU,234407
S2239,SHOLINGUR,TAMIL NADU,233684
S221,GUMMIDIPOONDI,TAMIL NADU,232522
S22112,AVANASHI,TAMIL NADU,231600
S22169,NANNILAM,TAMIL NADU,231444
S22212,MUDHUKULATHUR,TAMIL NADU,231373
S2285,METTUR,TAMIL NADU,231105
S22196,THIRUMANGALAM,TAMIL NADU,230980
S22148,KUNNAM,TAMIL NADU,230570
S2253,KRISHNAGIRI,TAMIL NADU,230181
S2267,ARANI,TAMIL NADU,230162
S22184,KARAIKUDI,TAMIL NADU,229267
S2246,GUDIYATTAM,TAMIL NADU,229076
S2258,PENNAGARAM,TAMIL NADU,228666
S22150,JAYANKONDAM,TAMIL NADU,228548
S2236,UTHIRAMERUR,TAMIL NADU,227765
S222,PONNERI,TAMIL NADU,226819
S22133,VEDASANDUR,TAMIL NADU,226554
S224,THIRUVALLUR,TAMIL NADU,226428
S22118,COIMBATORE,TAMIL NADU,226109
S2242,ARCOT,TAMIL NADU,225786
S2257,PALACODU,TAMIL NADU,225257
S22197,USILAMPATTI,TAMIL NADU,224048
S2254,VEPPANAHALLI,TAMIL NADU,222608
S2268,CHEYYAR,TAMIL NADU,222570
S22173,THIRUVAIYARU,TAMIL NADU,222111
S22221,KADAYANALLUR,TAMIL NADU,221951
S2299,ERODE,TAMIL NADU,221400
S2241,RANIPET,TAMIL NADU,221038
S22121,SINGANALLUR,TAMIL NADU,221033
S22223,ALANGULAM,TAMIL NADU,220857
S22200,BODINAYAKANUR,TAMIL NADU,220628
S22210,TIRUVADANAI,TAMIL NADU,220278
S2263,TIRUVANNAMALAI,TAMIL NADU,220066
S2261,HARUR,TAMIL NADU,220042
S2264,KILPENNATHUR,TAMIL NADU,219790
S22106,GOBICHETTIPALAYAM,TAMIL NADU,219727
S22162,POOMPUHAR,TAMIL NADU,219324
S22224,TIRUNELVELI,TAMIL NADU,218425
S22168,THIRUVARUR,TAMIL NADU,217875
S22198,ANDIPATTI,TAMIL NADU,217329
S2276,TIRUKKOYILUR,TAMIL NADU,217318
S22135,KARUR,TAMIL NADU,216829
S2270,GINGEE,TAMIL NADU,216652
S22194,MADURAI WEST,TAMIL NADU,216403
S2244,ANAIKATTU,TAMIL NADU,216318
S22185,TIRUPPATTUR,TAMIL NADU,215710
S2274,VILUPPURAM,TAMIL NADU,215422
S22107,BHAVANISAGAR,TAMIL NADU,214595
S2265,KALASAPAKKAM,TAMIL NADU,214127
S22186,SIVAGANGA,TAMIL NADU,214067
S22156,KURINJIPADI,TAMIL NADU,213965
S2252,BARGUR,TAMIL NADU,213960
S22142,THIRUVERUMBUR,TAMIL NADU,213583
S2249,JOLARPET,TAMIL NADU,213042
S2247,VANIYAMBADI,TAMIL NADU,212534
S2294,NAMAKKAL,TAMIL NADU,212283
S22132,DINDIGUL,TAMIL NADU,212024
S2266,POLUR,TAMIL NADU,211743
S22199,PERIYAKULAM,TAMIL NADU,211209
S22154,PANRUTI,TAMIL NADU,210767
S2289,SALEM,TAMIL NADU,210712
S22201,CUMBUM,TAMIL NADU,210574
S22144,MANACHANALLUR,TAMIL NADU,209780
S2293,SENTHAMANGALAM,TAMIL NADU,209687
S22227,NANGUNERI,TAMIL NADU,209419
S2275,VIKRAVANDI,TAMIL NADU,209231
S22152,VRIDDHACHALAM,TAMIL NADU,209186
S22137,KULITHALAI,TAMIL NADU,209091
S22170,THIRUVIDAIMARUDUR,TAMIL NADU,208944
S22187,MANAMADURAI,TAMIL NADU,208643
S22127,PALANI,TAMIL NADU,208619
S22104,BHAVANI,TAMIL NADU,208323
S2282,ATTUR,TAMIL NADU,208296
S22171,KUMBAKONAM,TAMIL NADU,208288
S2290,SALEM,TAMIL NADU,207902
S22172,PAPANASAM,TAMIL NADU,207723
S22157,BHUVANAGIRI,TAMIL NADU,207310
S2210,THIRUVOTTIYUR,TAMIL NADU,207088
S2256,THALLI,TAMIL NADU,205878
S2251,UTHANGARAI,TAMIL NADU,205530
S2297,KUMARAPALAYAM,TAMIL NADU,205324
S22214,THOOTHUKKUDI,TAMIL NADU,204712
S2292,RASIPURAM,TAMIL NADU,204680
S2212,PERAMBUR,TAMIL NADU,204384
S22179,VIRALIMALAI,TAMIL NADU,203921
S22125,UDUMALAIPETTAI,TAMIL NADU,203575
S22102,KANGAYAM,TAMIL NADU,203534
S2240,KATPADI,TAMIL NADU,203497
S2250,TIRUPPATTUR,TAMIL NADU,202925
S22128,ODDANCHATRAM,TAMIL NADU,201624
S22103,PERUNDURAI,TAMIL NADU,200686
S22160,SIRKAZHI,TAMIL NADU,200448
S22101,DHARAPURAM,TAMIL NADU,199944
S22228,RADHAPURAM,TAMIL NADU,199931
S22231,COLACHAL,TAMIL NADU,199013
S22174,THANJAVUR,TAMIL NADU,198798
S22204,SATTUR,TAMIL NADU,198734
S2235,MADURANTAKAM,TAMIL NADU,198251
S22130,NILAKKOTTAI,TAMIL NADU,197593
S2281,GANGAVALLI,TAMIL NADU,196679
S22158,CHIDAMBARAM,TAMIL NADU,196586
S22219,SANKARANKOVIL,TAMIL NADU,196480
S22140,TIRUCHIRAPPALLI,TAMIL NADU,196347
S22230,NAGERCOIL,TAMIL NADU,196280
S22217,OTTAPIDARAM,TAMIL NADU,196117
S2272,TINDIVANAM,TAMIL NADU,196026
S2248,AMBUR,TAMIL NADU,195584
S22175,ORATHANADU,TAMIL NADU,195304
S22218,KOVILPATTI,TAMIL NADU,194232
S22167,MANNARGUDI,TAMIL NADU,194100
S22205,SIVAKASI,TAMIL NADU,193517
S22203,SRIVILLIPUTHUR,TAMIL NADU,193471
S2273,VANUR,TAMIL NADU,192119
S2269,VANDAVASI,TAMIL NADU,191204
S22225,AMBASAMUDRAM,TAMIL NADU,191195
S2296,TIRUCHENGODU,TAMIL NADU,191122
S22166,THIRUTHURAIPOONDI,TAMIL NADU,191030
S22100,MODAKKURICHI,TAMIL NADU,190759
S22188,MELUR,TAMIL NADU,190726
S2243,VELLORE,TAMIL NADU,190527
S22180,PUDUKKOTTAI,TAMIL NADU,190378
S22155,CUDDALORE,TAMIL NADU,190378
S2245,KILVAITHINANKUPPAM,TAMIL NADU,189892
S22220,VASUDEVANALLUR,TAMIL NADU,189795
S22209,PARAMAKUDI,TAMIL NADU,189753
S22136,KRISHNARAYAPURAM,TAMIL NADU,189357
S2271,MAILAM,TAMIL NADU,189221
S22145,MUSIRI,TAMIL NADU,189141
S22190,SHOLAVANDAN,TAMIL NADU,189080
S2295,PARAMATHI-VELUR,TAMIL NADU,188845
S22161,MAYILADUTHURAI,TAMIL NADU,188461
S22126,MADATHUKULAM,TAMIL NADU,188249
S22159,KATTUMANNARKOIL,TAMIL NADU,187905
S2234,CHEYYUR,TAMIL NADU,187584
S22215,TIRUCHENDUR,TAMIL NADU,186050
S22105,ANTHIYUR,TAMIL NADU,185775
S22143,LALGUDI,TAMIL NADU,185213
S2226,VELACHERY,TAMIL NADU,184815
S22146,THURAIYUR,TAMIL NADU,184426
S2213,KOLATHUR,TAMIL NADU,184051
S22176,PATTUKKOTTAI,TAMIL NADU,183745
S22202,RAJAPALAYAM,TAMIL NADU,183020
S22183,ARANTHANGI,TAMIL NADU,182730
S22181,THIRUMAYAM,TAMIL NADU,182612
S22141,TIRUCHIRAPPALLI,TAMIL NADU,182493
S2238,ARAKKONAM,TAMIL NADU,182340
S22208,TIRUCHULI,TAMIL NADU,181250
S2211,DR.RADHAKRISHNAN NAGAR,TAMIL NADU,181206
S22123,POLLACHI,TAMIL NADU,181196
S22134,ARAVAKURICHI,TAMIL NADU,181078
S22226,PALAYAMKOTTAI,TAMIL NADU,180620
S22232,PADMANABHAPURAM,TAMIL NADU,180555
S22182,ALANGUDI,TAMIL NADU,180483
S22114,TIRUPPUR,TAMIL NADU,179814
S22207,ARUPPUKKOTTAI,TAMIL NADU,178413
S22234,KILLIYOOR,TAMIL NADU,177534
S22216,SRIVAIKUNTAM,TAMIL NADU,176421
S22177,PERAVURANI,TAMIL NADU,176274
S22151,TITTAKUDI,TAMIL NADU,175754
S22233,VILAVANCODE,TAMIL NADU,174927
S22213,VILATHIKULAM,TAMIL NADU,174814
S2222,VIRUGAMPAKKAM,TAMIL NADU,172831
S22153,NEYVELI,TAMIL NADU,168780
S22206,VIRUDHUNAGAR,TAMIL NADU,167832
S22178,GANDHARVAKOTTAI,TAMIL NADU,167618
S2221,ANNA NAGAR,TAMIL NADU,163339
S2298,ERODE,TAMIL NADU,162453
S22165,VEDARANYAM,TAMIL NADU,162216
S22191,MADURAI NORTH,TAMIL NADU,161801
S2223,SAIDAPET,TAMIL NADU,160401
S22120,COIMBATORE,TAMIL NADU,156499
S22164,KILVELUR,TAMIL NADU,151637
S22163,NAGAPATTINAM,TAMIL NADU,151326
S22109,GUDALUR,TAMIL NADU,151241
S2225,MYLAPORE,TAMIL NADU,150594
S22124,VALPARAI,TAMIL NADU,150431
S22108,UDHAGAMANDALAM,TAMIL NADU,148704
S22193,MADURAI CENTRAL,TAMIL NADU,148586
S2215,THIRU-VI-KA-NAGAR,TAMIL NADU,143903
S22192,MADURAI SOUTH,TAMIL NADU,141503
S2214,VILLIVAKKAM,TAMIL NADU,141452
S22110,COONOOR,TAMIL NADU,141394
S2219,CHEPAUK-THIRUVALLIKENI,TAMIL NADU,140741
S2224,THIYAGARAYANAGAR,TAMIL NADU,133928
S2220,THOUSAND LIGHTS,TAMIL NADU,131824
S2217,ROYAPURAM,TAMIL NADU,127356
S2216,EGMORE,TAMIL NADU,119738
S2218,HARBOUR,TAMIL NADU,99622
