candidate,party,constituency_count
MURUGANANDAM,Independent,1
MUTH. AM. SIVAKUMAR,Naam Tamilar Katchi,1
M. VAITHIANATHAN,Indian National Congress,1
M. VASANTHKUMAR,Independent,1
M. VELAVAN,Naam Tamilar Katchi,1
M. VENGATESAN,Independent,1
N. ANNATHURAI,Independent,1
NARA. KALAINATHAN,Communist Party of India,1
N ARIKRISHNAN,Independent,1
NATI BURIYYA,Independent,1
N. DELHIBABU,Independent,1
N. DHANAVELOU,Tamilaga Vettri Kazhagam,1
N.D. PERUNTHAGAI,Independent,1
N. MANIBALAN,Tamilaga Vettri Kazhagam,1
N. RAJAKUMAR,Indian National Congress,1
N. RANJITHKUMAR,Independent,1
N. SARAVANAN,Independent,1
N. SIVAKUMARAN,Tamilaga Makkal Thannurimai Katchi,1
N.V.R. ARIVOLI,Independent,1
OMSAKTHISEKAR,Independent,1
OUTTRADAME,Pattali Makkal Katchi,1
P AMUDHAVAN,Independent,1
P. ANGALANE,Dravida Munnetra Kazhagam,1
P. ARIAPOUTRY,Viduthalai Chiruthaigal Katchi,1
PAVITHRA VEERAMANY,Independent,1
P. ELUMALAI,Pattali Makkal Katchi,1
P. KARTHIKEYAN,Indian National Congress,1
P.K. DEVADOSS,Indian National Congress,1
P. KODESWARAN,Tamilaga Makkal Thannurimai Katchi,1
P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,1
PRAGASH. K,Tamilaga Makkal Thannurimai Katchi,1
P. RAJAVELU,All India N.R. Congress,1
PRIJESH. M,Tamilaga Vettri Kazhagam,1
P.R.N. THIRUMURUGAN,All India N.R. Congress,1
PUSHPALATHA,Viduthalai Chiruthaigal Katchi,1
P.V. AROUMOUGAME @ AKD,All India N.R. Congress,1
P. VENKATESAN,Independent,1
P. VIJAYABHAASGAR,Independent,1
RAJARAM,Pattali Makkal Katchi,1
RAJASEKARAN .H,Independent,1
RAJESWARI,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
RAMALINGAM,Independent,1
RAMESH PARAMBATH,Indian National Congress,1
R. ARULSEZHIAN,Independent,1
RATHINAM,Naadaalum Makkal Katchi,1
R. AYANAR,Independent,1
R. BALAGURU,Desa Makkal Munnetrak Kazhagam,1
R. CHANDRUJI,Independent,1
R. ELUMALAI ADVOCATE,Rashtriya Samaj Dal (R),1
R. GOPAL,Independent,1
R. KAMALAKANNAN,Indian National Congress,1
R. KANNAN,Independent,1
R K R. ANANTHARAMAN,Indian National Congress,1
R KUMARAN,Indian National Congress,1
R. MUTHUMANIKANDAN,Independent,1
R. PERUMAL,Independent,1
R. RAJANGAM,Communist Party of India (Marxist),1
R.RAMESH,Tamilaga Vettri Kazhagam,1
R. RAVITCHANDIRANE,Independent,1
R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,1
R. SHANMUGAM,Independent,1
R.SIVA,Dravida Munnetra Kazhagam,1
R. SOUPRAMANIANE,Pattali Makkal Katchi,1
R. SUNDARRAJ,Independent,1
R. VIJAYAKUMAR,Independent,1
S. AMUTHA,Independent,1
S. ANUSUYA,Naam Tamilar Katchi,1
SARASWATHI. P. P.,Independent,1
SASIBALAN,Tamilaga Vettri Kazhagam,1
SATHIYAMOORTHY .G,Tamilaga Makkal Thannurimai Katchi,1
SATHIYAMOORTHY. G,Tamilaga Makkal Thannurimai Katchi,1
S. CHITRA,Naam Tamilar Katchi,1
SELVAKUMARAN,Loktantrik Janta Dal,1
SELVAKUMAR .V,Independent,1
SELVANATHAN,Pattali Makkal Katchi,1
SENTHAMIZH SELVAN,Independent,1
SENTHILKUMAR,Independent,1
SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,1
S. GNANAPRAGASH,Naam Tamilar Katchi,1
S. GOMATHI ROJA,Anna Makkal Katchi,1
S. GOPAL,Dravida Munnetra Kazhagam,1
SHAJAHAN,Independent,1
SHAKUL HAMED,Independent,1
S.HARI SURESH BABU,Independent,1
SHEIK AHAMEDSHA KHADER,Independent,1
S. JAYACHITRA,Naam Tamilar Katchi,1
S.JAYAPAL,Independent,1
S. KAMATCHI,Independent,1
S. KARPAGAVALLI,Naam Tamilar Katchi,1
S. KARTHI KUMARI,Naam Tamilar Katchi,1
S. LENIN DURAI,Socialist Unity Centre Of India (COMMUNIST),1
S. MANOJ CHANDAR,Naam Tamilar Katchi,1
S. MARIE ANTHUVAN,Naam Tamilar Katchi,1
S. MOUROUGANE,Tamilaga Vettri Kazhagam,1
S. MURUGAN,Independent,1
S MUTHUKUMARASAMY,Independent,1
S. NAVEENA,Naam Tamilar Katchi,1
S. PANDURANGAN,Independent,1
S. SARAGANABAVA,Tamilaga Vettri Kazhagam,1
S. SENTHILKUMAR,Parivartan Rajniti Party,1
S SIVA,Tamilaga Vettri Kazhagam,1
S.S. RANGAN,Dravida Munnetra Kazhagam,1
S. T. CALE,Independent,1
S. THIRUNAVUKKARASU,Independent,1
SUBRAMANIYAN,Tamilaga Makkal Thannurimai Katchi,1
SUGANTH. T,Desa Makkal Munnetrak Kazhagam,1
SUMAN,Tamilaga Vettri Kazhagam,1
SURIMILLI SUBBA RAO,Independent,1
SUTHAM SUNDARRAJAN @ RAVINDRAN,Independent,1
S. VIGNESHWARAN,Tamilaga Vettri Kazhagam,1
S. VINOTH,Naam Tamilar Katchi,1
T. DEVIKA,Naam Tamilar Katchi,1
THOTA RAJU,Tamilaga Vettri Kazhagam,1
TIRUKOTI ADIMURTHY,Independent,1
TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,1
T.P.R. SELVAME,Indian National Congress,1
T. SUBASRI TAMILSELVAN,Naam Tamilar Katchi,1
T. THIAGARAJAN,All India N.R. Congress,1
U. KAMARAJ,Tamilaga Vettri Kazhagam,1
VAIDEGI,Independent,1
VAIYAPURI MANIKANDAN,All India N.R. Congress,1
V. CARTIGUEYANE,Dravida Munnetra Kazhagam,1
V DEVIPRIYA,Naam Tamilar Katchi,1
VENKATESH BABU,Independent,1
VE. VAITHILINGAM,Indian National Congress,1
V. HARIHARANE,Independent,1
VIGNESH KANNAN,Dravida Munnetra Kazhagam,1
VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,1
V.J. CHANDRAN,Tamilaga Vettri Kazhagam,1
V.KRISHNAMOORTHY,Pattali Makkal Katchi,1
V.M.C.S. MANOHAREN,Independent,1
V. MURALI,Independent,1
V. PRABADEVI,Independent,1
V. P. RAMALINGAME,Bharatiya Janata Party,1
VPR. SELVAM,Independent,1
V.P. SIVAKOLUNDHU,All India N.R. Congress,1
V. PUNITHA,Independent,1
V. RADJARAM,Independent,1
V. SAMINATHAN,Tamilaga Vettri Kazhagam,1
V. TAMILSELVAN,Tamilaga Vettri Kazhagam,1
