STATE,CANDIDATE,PARTY,CONSTITUENCY,RUNNER_UP_VOTE_PERCENTAGE
"JAMMU & KASHMIR","MOHAMMAD ASHRAF MALIK","Jammu & Kashmir Peoples Democratic Party",DOORU,20.09
"JAMMU & KASHMIR","DAWOOD BASHIR BHAT",Independent,LOLAB,19.77
"JAMMU & KASHMIR","NASEER AHMAD AWAN","Jammu & Kashmir People Conference",KARNAH,19.44
"JAMMU & KASHMIR","RAVINDER SINGH",Independent,SAMBA,18.41
"JAMMU & KASHMIR","MEHBOOB BEG","Jammu & Kashmir Peoples Democratic Party",ANANTNAG,17.77
"JAMMU & KASHMIR","ABID HUSSAIN ANSARI","Jammu & Kashmir People Conference",ZADIBAL,17.24
"JAMMU & KASHMIR","SHOAIB NABI LONE",Independent,BARAMULLA,15.63
"JAMMU & KASHMIR","ASHOK KUMAR BHAT","Bharatiya Janata Party",HABBAKADAL,15.08
"JAMMU & KASHMIR","MOHAMMAD ASHRAF MIR","Jammu and Kashmir Apni Party","LAL CHOWK",14.64
"JAMMU & KASHMIR","MUHAMMAD IRFAN SHAH",Independent,"CENTRAL SHALTENG",13.39
"JAMMU & KASHMIR","MURSALEEN AAJIR",Independent,SOPORE,12.84
