CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
NOTA,"None of the Above",KISHTWAR,"JAMMU & KASHMIR",615
"SYEED ABRAR AHMAD SHAH",Independent,PATTAN,"JAMMU & KASHMIR",613
"MANZOOR AHMAD DAR","Samajwadi Party",BARAMULLA,"JAMMU & KASHMIR",604
"TANVEER HUSSAIN PATHAN","Jammu and Kashmir Apni Party",ZADIBAL,"JAMMU & KASHMIR",604
"ARIF IRSHAD LAIGROO","Jammu & Kashmir Peoples Democratic Party",HABBAKADAL,"JAMMU & KASHMIR",602
"MOHD MAQBOOL KHAN",Independent,PAHALGAM,"JAMMU & KASHMIR",602
"BADRI NATH","Bahujan Samaj Party","JAMMU NORTH","JAMMU & KASHMIR",598
"JIBRAN DAR",Independent,CHANNAPORA,"JAMMU & KASHMIR",598
"ABDUL MAJEED BANIYEA","Republican Party of India (A)",KANGAN,"JAMMU & KASHMIR",595
"SANJAY KUMAR","Bahujan Samaj Party",BILLAWAR,"JAMMU & KASHMIR",595
"ACHHAV SINGH","Bahujan Samaj Party","UDHAMPUR EAST","JAMMU & KASHMIR",591
NOTA,"None of the Above","UDHAMPUR EAST","JAMMU & KASHMIR",591
"SABIHA BEGUM","Samajwadi Party",KUPWARA,"JAMMU & KASHMIR",591
NOTA,"None of the Above","LAL CHOWK","JAMMU & KASHMIR",585
"RIYAZ AHMAD GORSI",Independent,SHOPIAN,"JAMMU & KASHMIR",584
"VIKRAM RATHORE","Jammu and Kashmir Apni Party",BHADARWAH,"JAMMU & KASHMIR",580
"ABDUL REHMAN BHAT","Liberal Democratic Party",ZAINAPORA,"JAMMU & KASHMIR",578
"IRSHAD AHMAD MALIK","National Loktantrik Party",SHANGUS,"JAMMU & KASHMIR",578
NOTA,"None of the Above",KALAKOTE,"JAMMU & KASHMIR",577
"GH NABI KHAN PATHAN",Independent,KUPWARA,"JAMMU & KASHMIR",575
"ROOP LAL",Independent,KISHTWAR,"JAMMU & KASHMIR",571
"TILAK RAJ","Shiv Sena (Uddhav Balasaheb Thackeray)",RAMBAN,"JAMMU & KASHMIR",567
NOTA,"None of the Above","JAMMU EAST","JAMMU & KASHMIR",565
NOTA,"None of the Above",BARAMULLA,"JAMMU & KASHMIR",561
"TAWSEEF NISAR",Independent,ANANTNAG,"JAMMU & KASHMIR",560
"AMIT KAPOOR",Independent,"JAMMU NORTH","JAMMU & KASHMIR",560
"REYAZ AHMAD SHEIKH","Jammu and Kashmir Apni Party",PATTAN,"JAMMU & KASHMIR",558
"MOHMAD SAYEED PEER",Independent,RAFIABAD,"JAMMU & KASHMIR",557
"MOHD AKBAR BHAT","Rashtriya Lok Dal",RAFIABAD,"JAMMU & KASHMIR",549
"SALMAN NISAR","Bahujan Samaj Party",INDERWAL,"JAMMU & KASHMIR",549
"SHABIR AHMAD SHAH",Independent,LANGATE,"JAMMU & KASHMIR",547
"UMAR FAROOQ PARRY",Independent,GULMARG,"JAMMU & KASHMIR",545
"NISAR HUSSAIN DAR","Bhim Sena",PATTAN,"JAMMU & KASHMIR",544
"REENA CHOUDHARY",Independent,SAMBA,"JAMMU & KASHMIR",544
"RAJ KUMAR CHALOTRA","Bahujan Samaj Party",VIJAYPUR,"JAMMU & KASHMIR",544
"RAQIA AKHTER",Independent,BARAMULLA,"JAMMU & KASHMIR",540
"MOHAMMAD YOUSUF MIR",Independent,ZAINAPORA,"JAMMU & KASHMIR",538
NOTA,"None of the Above",RAJOURI,"JAMMU & KASHMIR",538
"MOHAMMAD AKBAR LONE",Independent,PAMPORE,"JAMMU & KASHMIR",530
NOTA,"None of the Above","JAMMU WEST","JAMMU & KASHMIR",530
"BILAL AHMAD WANI",Independent,PATTAN,"JAMMU & KASHMIR",529
"ALI MOHAMMAD DAR","Jammu & Kashmir National Panthers Party (Bhim)",BEERWAH,"JAMMU & KASHMIR",528
NOTA,"None of the Above",BILLAWAR,"JAMMU & KASHMIR",525
"SHEIKH FIDA HUSSAIN","Aam Aadmi Party",DEVSAR,"JAMMU & KASHMIR",524
"AGA SYED AHMAD MOOSVI","Jammu & Kashmir Awami National Conference",BUDGAM,"JAMMU & KASHMIR",524
"NARINDER SHARMA","Jammu & Kashmir Peoples Democratic Party","R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",520
"NAZIR AHMED NAJAR","Jammu and Kashmir Nationalist Peoples Front",ZAINAPORA,"JAMMU & KASHMIR",513
"MAJID HUSSAIN SHAH","Jammu & Kashmir Peoples Democratic Party",KALAKOTE,"JAMMU & KASHMIR",507
"NAZIR AHMAD LAWAY","Jammu & Kashmir People Conference",KULGAM,"JAMMU & KASHMIR",506
"GAURAV KUMAR","Aazad Samaj Party (Kanshi Ram)",HIRANAGAR,"JAMMU & KASHMIR",506
"SYED AMEER SUHAIL",Independent,GULMARG,"JAMMU & KASHMIR",506
"NIGHAT PARVEEN",Independent,BARAMULLA,"JAMMU & KASHMIR",504
"OWAIS ABASS","Jammu & Kashmir Awami National Conference",WAGOORA,"JAMMU & KASHMIR",503
NOTA,"None of the Above",BANDIPORA,"JAMMU & KASHMIR",501
"ARJUN SINGH",Independent,REASI,"JAMMU & KASHMIR",501
"KHURSHEEDA BAGAM",Independent,LANGATE,"JAMMU & KASHMIR",499
"ABDUL RASHID","Bahujan Samaj Party",BUDHAL,"JAMMU & KASHMIR",497
"JAGDISH CHANDER","Bahujan Samaj Party",MARH,"JAMMU & KASHMIR",496
"ANIL KHAJURIA",Independent,"UDHAMPUR WEST","JAMMU & KASHMIR",495
"SURJEET SINGH",Independent,CHENANI,"JAMMU & KASHMIR",495
"KARAN SINGH","Jammu & Kashmir Peoples Democratic Party",SUCHETGARH,"JAMMU & KASHMIR",495
NOTA,"None of the Above",MENDHAR,"JAMMU & KASHMIR",490
"TARIQ AHMAD SHEIKH","National Youth Party",BANDIPORA,"JAMMU & KASHMIR",489
"RAJ KUMAR","Aazad Samaj Party (Kanshi Ram)",SAMBA,"JAMMU & KASHMIR",488
"GHULAM QADIR SHAH",Independent,LANGATE,"JAMMU & KASHMIR",487
"SANJU KUMAR","Jammu & Kashmir National Panthers Party (Bhim)",RAMNAGAR,"JAMMU & KASHMIR",486
"REYAZ AHMAD BATANA","Jammu and Kashmir Apni Party",KHANSAHIB,"JAMMU & KASHMIR",485
"MOHD AKRAM",Independent,SURANKOTE,"JAMMU & KASHMIR",480
"SAHIL SHARMA",Independent,"JAMMU WEST","JAMMU & KASHMIR",479
"ARIF MAJEED PAMPORE","Bharatiya Janata Party",EIDGAH,"JAMMU & KASHMIR",479
SOMA,Independent,"UDHAMPUR WEST","JAMMU & KASHMIR",477
"MASHOOQ AHMAD MIR","Jammu and Kashmir Nationalist Peoples Front",PAMPORE,"JAMMU & KASHMIR",476
"JAI BHARAT","Shiv Sena (Uddhav Balasaheb Thackeray)",BISHNAH,"JAMMU & KASHMIR",475
"DR HANS RAJ BHARADWAJ",Independent,SUCHETGARH,"JAMMU & KASHMIR",475
"MOHSIN IMTIYAZ",Independent,BHADARWAH,"JAMMU & KASHMIR",472
"GULAM NABI DIGOO","Liberal Democratic Party",RAJPORA,"JAMMU & KASHMIR",471
"ARTI NEHRU",Independent,SOPORE,"JAMMU & KASHMIR",471
"MOHAMMAD FAHEEM RESHI",Independent,EIDGAH,"JAMMU & KASHMIR",470
"SHUIAB MOHD SHIEKH",Independent,SOPORE,"JAMMU & KASHMIR",469
"AAFAQ SADIQ",Independent,SONAWARI,"JAMMU & KASHMIR",469
NOTA,"None of the Above",KARNAH,"JAMMU & KASHMIR",464
"SANDEEP KUMAR SARMAL","Democratic Progressive Azad Party",RAMNAGAR,"JAMMU & KASHMIR",463
"SURINDER KUMAR ATTRI","Azad Samaj Party",RAMGARH,"JAMMU & KASHMIR",463
"SAJAD KHAN","Samajwadi Party",TREHGAM,"JAMMU & KASHMIR",462
"GHULAM NABI PARRAY",Independent,RAFIABAD,"JAMMU & KASHMIR",461
"YOUNIS QAWAM",Independent,SONAWARI,"JAMMU & KASHMIR",461
"GAZANFAR ALI",Independent,"LAL CHOWK","JAMMU & KASHMIR",461
"ABDUL RASHID GOJJER",Independent,TRAL,"JAMMU & KASHMIR",461
"SUDESH KUMAR","Jammu & Kashmir Peoples Democratic Party",KATHUA,"JAMMU & KASHMIR",460
NOTA,"None of the Above",BAHU,"JAMMU & KASHMIR",460
"SAYED NISAR GEELANI",Independent,BARAMULLA,"JAMMU & KASHMIR",460
"TARIQ AHMAD ZARGAR","Rashtriya Lok Janshakti Party",GANDERBAL,"JAMMU & KASHMIR",460
"ZAHOOR AHMAD MALIK","Republican Party of India (A)",GANDERBAL,"JAMMU & KASHMIR",459
"SHAM LAL DOGRA","Bahujan Samaj Party",CHENANI,"JAMMU & KASHMIR",457
"PARSHOTAM SINGH","Bahujan Samaj Party",RAMGARH,"JAMMU & KASHMIR",457
NOTA,"None of the Above",JASROTA,"JAMMU & KASHMIR",456
"NILOFAR SAJJAD GANDRU",Independent,CHADOORA,"JAMMU & KASHMIR",452
"ADITYA GUPTA","Jammu & Kashmir Peoples Democratic Party","JAMMU EAST","JAMMU & KASHMIR",448
"TAJAMUL HAMID",Independent,WAGOORA,"JAMMU & KASHMIR",447
"WASEEM HABIB GANAIE","Republican Party of India (A)",BARAMULLA,"JAMMU & KASHMIR",445
"ZAHID IQBAL",Independent,TRAL,"JAMMU & KASHMIR",444
"MOHAMMAD ASHRAF BHAT PALPORI","Jammu and Kashmir Apni Party",EIDGAH,"JAMMU & KASHMIR",442
"GHULAM MOHAMMAD BHAT","Bhim Sena",BANDIPORA,"JAMMU & KASHMIR",441
"SUMIT KUMAR","Bahujan Samaj Party",KISHTWAR,"JAMMU & KASHMIR",441
"SARJAN AHMAD WAGAY",Independent,GANDERBAL,"JAMMU & KASHMIR",438
"YASIR SHAFI MATTO","Aam Aadmi Party","DODA WEST","JAMMU & KASHMIR",437
"ABDUL GHANI","Democratic Progressive Azad Party","DODA WEST","JAMMU & KASHMIR",436
"RAJ KUMAR",Independent,"SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",434
"TANVEER HUSSAIN","Jammu & Kashmir Peoples Democratic Party","DODA WEST","JAMMU & KASHMIR",433
NOTA,"None of the Above","R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",432
"NAZIR AHMAD KHAN","Nationalist Congress Party",BEERWAH,"JAMMU & KASHMIR",431
"MOHAMMAD RAFIQ WANI","Jammu & Kashmir National Panthers Party (Bhim)","ANANTNAG WEST","JAMMU & KASHMIR",428
"SUTEESH KUMAR",Independent,RAMBAN,"JAMMU & KASHMIR",428
NOTA,"None of the Above",BANI,"JAMMU & KASHMIR",427
"JAWAZ AHMED",Independent,DODA,"JAMMU & KASHMIR",426
"SHADAB SHAHEEN","Samajwadi Party",LOLAB,"JAMMU & KASHMIR",426
"MUNIR AHMAD KHAN","Jammu and Kashmir Nationalist Peoples Front",PATTAN,"JAMMU & KASHMIR",426
"HAQ NAWAZ","Jammu & Kashmir Peoples Democratic Party",NOWSHERA,"JAMMU & KASHMIR",425
"ASHOK KUMAR","Democratic Progressive Azad Party",MARH,"JAMMU & KASHMIR",422
"PANKAJ KUMAR","Bahujan Samaj Party",BASOHLI,"JAMMU & KASHMIR",421
NOTA,"None of the Above",REASI,"JAMMU & KASHMIR",414
"SWARN LAL",Independent,SUCHETGARH,"JAMMU & KASHMIR",411
NOTA,"None of the Above",MARH,"JAMMU & KASHMIR",411
NOTA,"None of the Above",KHANYAR,"JAMMU & KASHMIR",411
"BASHIR AHMAD MALIK","Bhim Sena",KUPWARA,"JAMMU & KASHMIR",410
"MOHD MAJID",Independent,BHADARWAH,"JAMMU & KASHMIR",409
NOTA,"None of the Above",SUCHETGARH,"JAMMU & KASHMIR",409
"MANZOOR AHMAD KALOO",Independent,SOPORE,"JAMMU & KASHMIR",406
"ASHOK KUMAR KACHROO","Jammu & Kashmir All Alliance Democratic Party",BHADARWAH,"JAMMU & KASHMIR",405
NOTA,"None of the Above",EIDGAH,"JAMMU & KASHMIR",404
"MOHAMMAD ASHRAF GOJRI","Bhim Sena",LANGATE,"JAMMU & KASHMIR",403
"ADIL ISLAM","Republican Party of India (Athawale)",BARAMULLA,"JAMMU & KASHMIR",403
"NASIR ALI KOCHAK","Jammu & Kashmir All Alliance Democratic Party",ANANTNAG,"JAMMU & KASHMIR",402
NOTA,"None of the Above",BISHNAH,"JAMMU & KASHMIR",401
"PAVNEET KOUR","Jammu and Kashmir Apni Party","R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",401
"ISHTIYAQ AHMAD SHEIKH","Nationalist Congress Party",PULWAMA,"JAMMU & KASHMIR",400
"SAHIL GANDOTRA","Shiv Sena (Uddhav Balasaheb Thackeray)","UDHAMPUR EAST","JAMMU & KASHMIR",397
"TAHIR SALMANI","Samajwadi Party",RAFIABAD,"JAMMU & KASHMIR",396
"SHABIR AHMAD PADDER","Jammu & Kashmir Awami National Conference",PAHALGAM,"JAMMU & KASHMIR",394
"SAJID AHMAD MIR","Bhim Sena",KARNAH,"JAMMU & KASHMIR",392
"BURHAN BASHEER BAZAZ",Independent,ZADIBAL,"JAMMU & KASHMIR",391
"ARSHAD WALI","Janata Dal  (United)",BARAMULLA,"JAMMU & KASHMIR",390
"MUSHTAQ AHMAD CHANGA",Independent,SOPORE,"JAMMU & KASHMIR",385
NOTA,"None of the Above",CHHAMB,"JAMMU & KASHMIR",384
"RAJAT GUPTA","Jammu & Kashmir Peoples Democratic Party","JAMMU WEST","JAMMU & KASHMIR",383
"MUSAIB HASSAN LONE",Independent,BARAMULLA,"JAMMU & KASHMIR",383
"ALI MOHMMAD WANI",Independent,PULWAMA,"JAMMU & KASHMIR",379
"WASEEM HAYAT",Independent,MENDHAR,"JAMMU & KASHMIR",379
NOTA,"None of the Above",SURANKOTE,"JAMMU & KASHMIR",378
"SYED TAJAMUL ALI","Rashtriya Lok Dal",SONAWARI,"JAMMU & KASHMIR",377
"SHABIR AHMAD NAJAR",Independent,GULMARG,"JAMMU & KASHMIR",376
"JAVAID AHMED","All India Forward Bloc",SURANKOTE,"JAMMU & KASHMIR",376
"PINKI DEVI","National Awami United Party",SAMBA,"JAMMU & KASHMIR",375
"ABDUL RASHID HAROON","Jammu & Kashmir Awami National Conference","LAL CHOWK","JAMMU & KASHMIR",374
"SANDESH KUMAR","Jammu & Kashmir Peoples Democratic Party",PADDER,"JAMMU & KASHMIR",372
"ABRAR AHMAD GOJJAR",Independent,KOKERNAG,"JAMMU & KASHMIR",369
"YOGINDER SINGH","Jammu & Kashmir Peoples Democratic Party",BASOHLI,"JAMMU & KASHMIR",368
"NISAR AHMAD DAR","Samajwadi Party",BEERWAH,"JAMMU & KASHMIR",367
"ABDUL GANI DAR","Samajwadi Party",WAGOORA,"JAMMU & KASHMIR",366
NOTA,"None of the Above",PADDER,"JAMMU & KASHMIR",362
"SOBAT ALI","Democratic Progressive Azad Party",BAHU,"JAMMU & KASHMIR",362
"RIAZ AHMED","All India Forward Bloc",GULABGARH,"JAMMU & KASHMIR",360
"FATIMA JAVID","Sampoorna Bharat Kranti Party",RAFIABAD,"JAMMU & KASHMIR",357
"SYED FIDA HUSSAIN MOOSVI",Independent,SONAWARI,"JAMMU & KASHMIR",357
"ADIL HUSSAIN DAR",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",357
NOTA,"None of the Above",CHANNAPORA,"JAMMU & KASHMIR",355
NOTA,"None of the Above","SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",355
"GULAM RUBANI TADWA","Anarakshit Samaj Party",KANGAN,"JAMMU & KASHMIR",354
"RAFAQAT AJAZ","Aazad Samaj Party (Kanshi Ram)",RAJOURI,"JAMMU & KASHMIR",353
"MUSHTAQ AHMAD LONE","Rashtriya Lok Dal",BARAMULLA,"JAMMU & KASHMIR",352
"INDOMEET SINGH",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",350
"MOHD SHAFI HURRAH","Jammu & Kashmir National Panthers Party (Bhim)","CHRAR-I- SHARIEF","JAMMU & KASHMIR",348
"DIKSHA KALURIA",Independent,REASI,"JAMMU & KASHMIR",346
"AFROOZA BANOO",Independent,KULGAM,"JAMMU & KASHMIR",344
"HILAL AHMAD MALLA","Samajwadi Party",GULMARG,"JAMMU & KASHMIR",342
"SHAHID HASSAN","Samajwadi Party",HAZRATBAL,"JAMMU & KASHMIR",342
NOTA,"None of the Above",SOPORE,"JAMMU & KASHMIR",341
"KEWAL KUMAR","Jammu & Kashmir Peoples Democratic Party","UDHAMPUR WEST","JAMMU & KASHMIR",341
"VISHAL KUMAR",Independent,BISHNAH,"JAMMU & KASHMIR",341
"RAJESH GUPTA","Bahujan Samaj Party","JAMMU EAST","JAMMU & KASHMIR",339
NOTA,"None of the Above",SAMBA,"JAMMU & KASHMIR",330
"NAZIR AHMAD SOFI",Independent,HABBAKADAL,"JAMMU & KASHMIR",330
"SHAFEEQA BEGUM",Independent,TREHGAM,"JAMMU & KASHMIR",329
"WASIM GULZAR","Samajwadi Party",PATTAN,"JAMMU & KASHMIR",326
"SHIV DEV SHARMA",Independent,NOWSHERA,"JAMMU & KASHMIR",326
NOTA,"None of the Above",HIRANAGAR,"JAMMU & KASHMIR",321
NOTA,"None of the Above",VIJAYPUR,"JAMMU & KASHMIR",320
NOTA,"None of the Above","JAMMU NORTH","JAMMU & KASHMIR",319
"RAJINDER SINGH","Jammu & Kashmir Peoples Democratic Party",SAMBA,"JAMMU & KASHMIR",318
"GANPATI SHARMA",Independent,"UDHAMPUR WEST","JAMMU & KASHMIR",314
"MALKEET KUMAR","Bahujan Samaj Party",CHHAMB,"JAMMU & KASHMIR",313
"TAHIR AHMAD RATHER","Jammu & Kashmir All Alliance Democratic Party",BANDIPORA,"JAMMU & KASHMIR",313
"BILAL AHMAD MIR","Jammu and Kashmir Apni Party",KHANYAR,"JAMMU & KASHMIR",312
"WARIS ABDULLAH DAR",Independent,SOPORE,"JAMMU & KASHMIR",310
"AKHTER ALI","Jammu & Kashmir Peoples Democratic Party",BILLAWAR,"JAMMU & KASHMIR",309
"ABDUL RASHID GANAIE","Jammu & Kashmir National Panthers Party (Bhim)",GANDERBAL,"JAMMU & KASHMIR",308
"TARIQ HUSSAIN",Independent,DODA,"JAMMU & KASHMIR",306
"JAVID AHMAD DAR",Independent,BARAMULLA,"JAMMU & KASHMIR",305
"ABDUL AHAD AAKHOON","Republican Party of India (Athawale)",GULMARG,"JAMMU & KASHMIR",302
"KRISHAN CHAND",Independent,CHENANI,"JAMMU & KASHMIR",302
"SWARN KUMAR",Independent,KALAKOTE,"JAMMU & KASHMIR",302
"IRFAN BASHIR MALIK","Rashtriya Lok Dal",LANGATE,"JAMMU & KASHMIR",300
"GHULAM MOHAMMAD DAR","Bhim Sena",SONAWARI,"JAMMU & KASHMIR",299
"ASHIQ HUSSAIN","Jammu and Kashmir Apni Party",INDERWAL,"JAMMU & KASHMIR",299
"FAIZ HUSSAIN",Independent,SURANKOTE,"JAMMU & KASHMIR",299
"ROUF AHMAD BHAT",Independent,EIDGAH,"JAMMU & KASHMIR",298
"VICKY KUMAR DOGRA","Jammu & Kashmir Peoples Democratic Party",BISHNAH,"JAMMU & KASHMIR",297
"BANSI LAL",Independent,"SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",296
"NISAR AHMAD WANI",Independent,"LAL CHOWK","JAMMU & KASHMIR",296
"RIYAZ AHMAD MIR","Jammu & Kashmir Awami National Conference","CENTRAL SHALTENG","JAMMU & KASHMIR",295
"SATISH MOHAN","Bahujan Samaj Party",REASI,"JAMMU & KASHMIR",294
"VIJAY KUMAR","Jammu & Kashmir National Panthers Party (Bhim)",CHHAMB,"JAMMU & KASHMIR",294
"SARFRAZ SAFDER",Independent,BANI,"JAMMU & KASHMIR",291
"ARSHID AHMAD","Jammu & Kashmir Awami National Conference",PAMPORE,"JAMMU & KASHMIR",289
"NAZIR HUSSAIN",Independent,MENDHAR,"JAMMU & KASHMIR",289
"SAHIL MANHAS","Samajwadi Party","UDHAMPUR WEST","JAMMU & KASHMIR",288
"FAROOQ AHMAD BHAT","Bhim Sena",LOLAB,"JAMMU & KASHMIR",287
"NOOR MOHD","Bahujan Samaj Party",MENDHAR,"JAMMU & KASHMIR",286
NOTA,"None of the Above",NAGROTA,"JAMMU & KASHMIR",285
"MOHD ASIF",Independent,MENDHAR,"JAMMU & KASHMIR",284
NOTA,"None of the Above",RAMGARH,"JAMMU & KASHMIR",283
"MOHAMMAD IQBAL SHAH","Rashtriya Lok Dal",GULMARG,"JAMMU & KASHMIR",276
"MUZZAFAR SHAH","Jammu & Kashmir Awami National Conference",HABBAKADAL,"JAMMU & KASHMIR",276
"MOHAMMAD ASLAM CHOPAN","Bharat Jodo Party",BANDIPORA,"JAMMU & KASHMIR",273
"RAQUIB-UL-RASHID BUDHA","Jammu & Kashmir All Alliance Democratic Party",SOPORE,"JAMMU & KASHMIR",270
"SANDEEP SINGH SAMBYAL",Independent,SAMBA,"JAMMU & KASHMIR",270
"ABDUL HAMEED TELI","Bharatiya Sampuran Krantikari Party",LANGATE,"JAMMU & KASHMIR",269
"SHAHID HUSSAIN MIR",Independent,HANDWARA,"JAMMU & KASHMIR",268
"SULAKSHNA KHAJURIA",Independent,"UDHAMPUR WEST","JAMMU & KASHMIR",267
"MOHD VASEEM","Jammu & Kashmir Peoples Democratic Party",CHENANI,"JAMMU & KASHMIR",267
"DARSHAN KUMAR MAGOTRA","Jammu & Kashmir Peoples Democratic Party","JAMMU NORTH","JAMMU & KASHMIR",266
"AASIF AHMAD KHAN",Independent,SONAWARI,"JAMMU & KASHMIR",266
"SANJAY SARAF","Rashtriya Lok Janshakti Party",HABBAKADAL,"JAMMU & KASHMIR",265
"IMTIYAZ BASHIR",Independent,INDERWAL,"JAMMU & KASHMIR",265
"SURINDER KUMAR",Independent,CHHAMB,"JAMMU & KASHMIR",261
"TAHIR MANSOOR ZARGAR",Independent,TRAL,"JAMMU & KASHMIR",258
"RIZWAN ILLAHI PARVAIZ",Independent,SOPORE,"JAMMU & KASHMIR",258
"GAZANFAR MAQBOOL SHAH","Samajwadi Party",BUDGAM,"JAMMU & KASHMIR",256
"DILIP KUMAR PANDITA",Independent,SHANGUS,"JAMMU & KASHMIR",249
"AJAY SINGH SAINI",Independent,"JAMMU NORTH","JAMMU & KASHMIR",248
"PARVEZ JAMAL",Independent,KHANYAR,"JAMMU & KASHMIR",247
NOTA,"None of the Above",BASOHLI,"JAMMU & KASHMIR",246
"KUSHAL SHARMA",Independent,"JAMMU NORTH","JAMMU & KASHMIR",246
"BASHIR UD DIN","J&K National Panthers Party (India)",REASI,"JAMMU & KASHMIR",245
"RAKESH KUMAR","Jammu & Kashmir National Panthers Party (Bhim)",RAMGARH,"JAMMU & KASHMIR",245
"SAMEER AHMAD PARRAY","Rashtriya Lok Janshakti Party",DOORU,"JAMMU & KASHMIR",244
"RAJ SINGH",Independent,VIJAYPUR,"JAMMU & KASHMIR",242
"ZAHID AHMAD SHAH","Anarakshit Samaj Party",LOLAB,"JAMMU & KASHMIR",242
"RAJ KUMAR","Hindustan Shakti Sena","JAMMU EAST","JAMMU & KASHMIR",239
"CHAUDHARY GARU RAM","Democratic Progressive Azad Party","R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",237
"JAVAID AHMAD RATHER",Independent,ANANTNAG,"JAMMU & KASHMIR",236
"DAISY RAINA","Republican Party of India (Athawale)",RAJPORA,"JAMMU & KASHMIR",235
"INAM UL RASHID","Nationalist Congress Party",WAGOORA,"JAMMU & KASHMIR",232
"ABDUL AHAD","Jammu & Kashmir National Panthers Party (Bhim)",PATTAN,"JAMMU & KASHMIR",232
"ASIF NABI DAR",Independent,PULWAMA,"JAMMU & KASHMIR",227
"TARSEM LAL KHULLAR","Samajwadi Party",BISHNAH,"JAMMU & KASHMIR",225
"BASIT BASHIR GAGROO","Jammu and Kashmir Nationalist Peoples Front",HAZRATBAL,"JAMMU & KASHMIR",225
"SHEEBAN ASHAI",Independent,CHANNAPORA,"JAMMU & KASHMIR",225
"GEETA MANHAS","Samajwadi Party",CHENANI,"JAMMU & KASHMIR",223
"SHAKEEL AHMAD DAR",Independent,PAMPORE,"JAMMU & KASHMIR",222
"RIYAZ AHMAD SOFI",Independent,DOORU,"JAMMU & KASHMIR",222
"KABIR AHMED",Independent,KALAKOTE,"JAMMU & KASHMIR",222
NOTA,"None of the Above",NOWSHERA,"JAMMU & KASHMIR",222
"SHASHI KANT KHAJURIA",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",220
"TEJINDER SINGH",Independent,GULMARG,"JAMMU & KASHMIR",220
SALEEMA,"Nationalist Congress Party",KUPWARA,"JAMMU & KASHMIR",218
"SAQUIB RAHMAN MAKHDOOMI",Independent,GANDERBAL,"JAMMU & KASHMIR",218
"SHAH MOHD",Independent,NAGROTA,"JAMMU & KASHMIR",218
"TANVEER FATIMA",Independent,SOPORE,"JAMMU & KASHMIR",215
"SHOWKAT AHMAD BHAT",Independent,CHANNAPORA,"JAMMU & KASHMIR",212
"HILAL AHMAD WAGAY","Republican Party of India (A)",SONAWARI,"JAMMU & KASHMIR",211
"PARTAP KRISHAN SHARMA","Jammu & Kashmir Peoples Democratic Party","SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",210
"BILAL AHMAD MIR",Independent,ANANTNAG,"JAMMU & KASHMIR",209
"RAKESH GOSWAMI",Independent,PADDER,"JAMMU & KASHMIR",209
"MANOJ KUMAR",Independent,RAMGARH,"JAMMU & KASHMIR",208
"SHABIR AHMAD WANI","Rashtriya Lok Janshakti Party",PULWAMA,"JAMMU & KASHMIR",207
"VISHAL SALGOTRA","Jammu & Kashmir Peoples Democratic Party",HIRANAGAR,"JAMMU & KASHMIR",207
"SURESH KUMAR",Independent,KALAKOTE,"JAMMU & KASHMIR",207
"SHAHNAZ HUSSAIN SHAH","Nationalist Congress Party",KHANSAHIB,"JAMMU & KASHMIR",206
"SHAIR ZAMAN DEEDAD",Independent,TREHGAM,"JAMMU & KASHMIR",205
"HARPREET SINGH","Janata Dal  (United)","R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",204
"MAHESHWAR SINGH MANHAS","Democratic Progressive Azad Party","JAMMU NORTH","JAMMU & KASHMIR",204
"MUDDASIR RASHID BAZAZ",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",203
"CHANDER MOHAN SHARMA",Independent,"JAMMU EAST","JAMMU & KASHMIR",202
INDERJEET,"Samajwadi Party",VIJAYPUR,"JAMMU & KASHMIR",200
"MUZAFFAR HUSSAIN DAR",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",200
"SUNITA TURKI","National Democratic Party (Indian)","JAMMU NORTH","JAMMU & KASHMIR",199
"PARVEEN KUMAR",Independent,CHHAMB,"JAMMU & KASHMIR",199
"CHAIN SINGH",Independent,RAMBAN,"JAMMU & KASHMIR",195
"MUDASSIR MANZOOR",Independent,BARAMULLA,"JAMMU & KASHMIR",195
"SUMIT SHARMA","Sainik Samaj Party","JAMMU WEST","JAMMU & KASHMIR",193
"AJAY KUMAR",Independent,"UDHAMPUR WEST","JAMMU & KASHMIR",192
MOHIT,"National Awami United Party","JAMMU NORTH","JAMMU & KASHMIR",191
"PARVEEN KUMAR",Independent,BANI,"JAMMU & KASHMIR",190
"ROMESH CHANDER VERMA","Jammu & Kashmir Peoples Democratic Party",BANI,"JAMMU & KASHMIR",189
"SURINDER SINGH",Independent,HIRANAGAR,"JAMMU & KASHMIR",189
"BAQEEL SINGH","Jammu & Kashmir Peoples Democratic Party","UDHAMPUR EAST","JAMMU & KASHMIR",186
"RAVI DUTT",Independent,"JAMMU NORTH","JAMMU & KASHMIR",186
