CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"TARAQ HUSSAIN KEEN","Bharatiya Janata Party",INDERWAL,"JAMMU & KASHMIR",9550
"ARUN K SHARMA","Jammu and Kashmir Apni Party",KALAKOTE,"JAMMU & KASHMIR",9380
"SYED BASHARAT AHMED BUKHARI","Jammu & Kashmir Peoples Democratic Party",WAGOORA,"JAMMU & KASHMIR",9251
"JUNAID JAWAID MIR",Independent,LANGATE,"JAMMU & KASHMIR",9125
"SHAH MOHD TANTRAY","Jammu and Kashmir Apni Party","POONCH HAVELI","JAMMU & KASHMIR",9090
"MASOOD AHMED",Independent,"POONCH HAVELI","JAMMU & KASHMIR",9017
"SHAMIM AHMED","Jammu & Kashmir Peoples Democratic Party","POONCH HAVELI","JAMMU & KASHMIR",8631
"ASIEA NAQASH","Jammu & Kashmir Peoples Democratic Party",HAZRATBAL,"JAMMU & KASHMIR",8595
"HARBAKSH SINGH SASSAN",Independent,TRAL,"JAMMU & KASHMIR",8557
"MUZAFAR AHMAD DAR",Independent,RAFIABAD,"JAMMU & KASHMIR",8473
"BALWAN SINGH","J&K National Panthers Party (India)","UDHAMPUR EAST","JAMMU & KASHMIR",8427
"NAZIR AHMAD KHAN","Jammu & Kashmir National Conference",GUREZ,"JAMMU & KASHMIR",8378
"AJAIB SINGH","Democratic Progressive Azad Party",SUCHETGARH,"JAMMU & KASHMIR",8265
"NAZIR AHMAD MIR",Independent,TREHGAM,"JAMMU & KASHMIR",8216
"PRINCE PARVEZ",Independent,BANDIPORA,"JAMMU & KASHMIR",8138
"GULZAR AHMAD KHATANA",Independent,KOKERNAG,"JAMMU & KASHMIR",8066
"SHABIR AHMAD SEDIQUI","Jammu & Kashmir Peoples Democratic Party",PAHALGAM,"JAMMU & KASHMIR",8051
"NASEER AHMAD AWAN","Jammu & Kashmir People Conference",KARNAH,"JAMMU & KASHMIR",8032
"SYED MOHAMMAD ALTAF BUKHARI","Jammu and Kashmir Apni Party",CHANNAPORA,"JAMMU & KASHMIR",8029
