STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
"JAMMU & KASHMIR",TREHGAM,"SAIFULLAH MIR","Jammu & Kashmir National Conference",18002,"BASHIR AHMAD DAR","Jammu & Kashmir People Conference",14376,3626
"JAMMU & KASHMIR",KANGAN,"MIAN MEHAR ALI","Jammu & Kashmir National Conference",28907,"SYED JAMAT ALI SHAH","Jammu & Kashmir Peoples Democratic Party",25088,3819
"JAMMU & KASHMIR",BEERWAH,"SHAFI AHMAD WANI","Jammu & Kashmir National Conference",20118,"NAZIR AHMAD KHAN",Independent,15957,4161
"JAMMU & KASHMIR",GULMARG,"PIRZADA FAROOQ AHMED SHAH","Jammu & Kashmir National Conference",26984,"GHULAM HASSAN MIR","Jammu and Kashmir Apni Party",22793,4191
"JAMMU & KASHMIR",DODA,"MEHRAJ MALIK","Aam Aadmi Party",23228,"GAJAY SINGH RANA","Bharatiya Janata Party",18690,4538
"JAMMU & KASHMIR",CHANNAPORA,"MUSHTAQ GUROO","Jammu & Kashmir National Conference",13717,"SYED MOHAMMAD ALTAF BUKHARI","Jammu and Kashmir Apni Party",8029,5688
"JAMMU & KASHMIR",BANIHAL,"SAJAD SHAHEEN","Jammu & Kashmir National Conference",33128,"IMTIAZ AHMED SHAN","Jammu & Kashmir Peoples Democratic Party",27018,6110
"JAMMU & KASHMIR",KOKERNAG,"ZAFAR ALI KHATANA","Jammu & Kashmir National Conference",17949,"HAROON RASHID KHATANA","Jammu & Kashmir Peoples Democratic Party",11787,6162
"JAMMU & KASHMIR",THANNAMANDI,"MUZAFFAR IQBAL KHAN",Independent,32645,"MOHD IQBAL MALIK","Bharatiya Janata Party",26466,6179
"JAMMU & KASHMIR",KARNAH,"JAVAID AHMAD MIRCHAL","Jammu & Kashmir National Conference",14294,"NASEER AHMAD AWAN","Jammu & Kashmir People Conference",8032,6262
"JAMMU & KASHMIR",GULABGARH,"KHURSHIED AHMED","Jammu & Kashmir National Conference",30591,"AIJAZ AHMAD KHAN",Independent,24064,6527
"JAMMU & KASHMIR",CHHAMB,"SATISH SHARMA",Independent,33985,"RAJEEV SHARMA","Bharatiya Janata Party",27056,6929
"JAMMU & KASHMIR",WAGOORA,"IRFAN HAFIZ LONE","Indian National Congress",17002,"SYED BASHARAT AHMED BUKHARI","Jammu & Kashmir Peoples Democratic Party",9251,7751
"JAMMU & KASHMIR",NOWSHERA,"SURINDER KUMAR CHOUDHARY","Jammu & Kashmir National Conference",35069,"RAVINDER RAINA","Bharatiya Janata Party",27250,7819
"JAMMU & KASHMIR",KULGAM,"MOHAMAD YOUSUF TARIGAMI","Communist Party of India  (Marxist)",33634,"SAYAR AHMAD RESHI",Independent,25796,7838
"JAMMU & KASHMIR",LOLAB,"QAYSAR JAMSHAID LONE","Jammu & Kashmir National Conference",19603,"DAWOOD BASHIR BHAT",Independent,11732,7871
"JAMMU & KASHMIR",PULWAMA,"WAHEED UR REHMAN PARA","Jammu & Kashmir Peoples Democratic Party",24716,"MOHAMMAD KHALIL BAND","Jammu & Kashmir National Conference",16568,8148
"JAMMU & KASHMIR",HIRANAGAR,"VIJAY KUMAR","Bharatiya Janata Party",36737,"RAKESH KUMAR","Indian National Congress",28127,8610
"JAMMU & KASHMIR",SURANKOTE,"CHOUDHARY MOHAMMED AKRAM",Independent,34201,"MOHD SHAHNAWAZ","Indian National Congress",25350,8851
"JAMMU & KASHMIR",RAMBAN,"ARJUN SINGH RAJU","Jammu & Kashmir National Conference",28425,"SURAJ SINGH PARIHAR",Independent,19412,9013
"JAMMU & KASHMIR",RAFIABAD,"JAVID AHMAD DAR","Jammu & Kashmir National Conference",28783,"YAWAR AHMAD MIR","Jammu and Kashmir Apni Party",19581,9202
"JAMMU & KASHMIR",RAMNAGAR,"SUNIL BHARDWAJ","Bharatiya Janata Party",34550,"ASHRI DEVI","J&K National Panthers Party (India)",25244,9306
"JAMMU & KASHMIR",HABBAKADAL,"SHAMIM FIRDOUS","Jammu & Kashmir National Conference",12437,"ASHOK KUMAR BHAT","Bharatiya Janata Party",2899,9538
"JAMMU & KASHMIR",SRIGUFWARA,"BASHIR AHMAD SHAH VEERI","Jammu & Kashmir National Conference",33299,"ILTIJA MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party",23529,9770
"JAMMU & KASHMIR",KUPWARA,"MIR MOHAMMAD FAYAZ","Jammu & Kashmir Peoples Democratic Party",27773,"NASIR ASLAM WANI","Jammu & Kashmir National Conference",17976,9797
"JAMMU & KASHMIR",KHANYAR,"ALI MOHAMMAD SAGAR","Jammu & Kashmir National Conference",14906,"SHEIKH IMRAN",Independent,4994,9912
"JAMMU & KASHMIR",BHADARWAH,"DALEEP SINGH","Bharatiya Janata Party",42128,"SHEIKH MEHBOOB IQBAL","Jammu & Kashmir National Conference",31998,10130
"JAMMU & KASHMIR",HAZRATBAL,"SALMAN SAGAR","Jammu & Kashmir National Conference",18890,"ASIEA NAQASH","Jammu & Kashmir Peoples Democratic Party",8595,10295
"JAMMU & KASHMIR","ANANTNAG WEST","ABDUL MAJEED BHAT","Jammu & Kashmir National Conference",25135,"ABDUL GAFFAR SOFI","Jammu & Kashmir Peoples Democratic Party",14700,10435
"JAMMU & KASHMIR",GANDERBAL,"OMAR ABDULLAH","Jammu & Kashmir National Conference",32727,"BASHIR AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",22153,10574
"JAMMU & KASHMIR",SUCHETGARH,"GHARU RAM","Bharatiya Janata Party",39302,"BHUSAN LAL","Indian National Congress",28161,11141
"JAMMU & KASHMIR",BAHU,"VIKRAM RANDHAWA","Bharatiya Janata Party",40385,"TARANJIT SINGH TONY","Indian National Congress",29134,11251
"JAMMU & KASHMIR","LAL CHOWK","SHEIKH AHSAN AHMED","Jammu & Kashmir National Conference",16731,"MOHAMMAD ASHRAF MIR","Jammu and Kashmir Apni Party",5388,11343
"JAMMU & KASHMIR","CHRAR-I- SHARIEF","ADVOCATE ABDUL RAHIM RATHER","Jammu & Kashmir National Conference",35957,"GHULAM NABI LONE","Jammu & Kashmir Peoples Democratic Party",24461,11496
"JAMMU & KASHMIR",KHANSAHIB,"SAIF UD DIN BHAT","Jammu & Kashmir National Conference",33225,"HAKEEM MOHAMMAD  YASEEN SHAH","Jammu And Kashmir Peoples Democratic Front (Secular)",21611,11614
"JAMMU & KASHMIR",BARAMULLA,"JAVID HASSAN BAIG","Jammu & Kashmir National Conference",22523,"SHOAIB NABI LONE",Independent,10750,11773
"JAMMU & KASHMIR",KATHUA,"DR. BHARAT BHUSHAN","Bharatiya Janata Party",45944,"SANDEEP MAJOTRA","Bahujan Samaj Party",33827,12117
"JAMMU & KASHMIR",JASROTA,"RAJIV JASROTIA","Bharatiya Janata Party",34157,"BRIJESHWAR SINGH",Independent,21737,12420
"JAMMU & KASHMIR",ZAINAPORA,"SHOWKAT HUSSAIN GANIE","Jammu & Kashmir National Conference",28251,"AIJAZ AHMAD MIR",Independent,15018,13233
"JAMMU & KASHMIR",SONAWARI,"HILAL AKBAR LONE","Jammu & Kashmir National Conference",31535,"YASIR RESHI",Independent,17791,13744
"JAMMU & KASHMIR",PAHALGAM,"ALTAF AHMAD WANI","Jammu & Kashmir National Conference",26210,"RAFI AHMED MIR","Jammu and Kashmir Apni Party",12454,13756
"JAMMU & KASHMIR",RAMGARH,"DR DEVINDER KUMAR MANYAL","Bharatiya Janata Party",35672,"YASH PAUL KUNDAL","Indian National Congress",21470,14202
"JAMMU & KASHMIR",RAJPORA,"GHULAM MOHI UDDIN MIR","Jammu & Kashmir National Conference",25627,"SYED BASHIR AHMAD","Jammu & Kashmir Peoples Democratic Party",11314,14313
"JAMMU & KASHMIR","CENTRAL SHALTENG","TARIQ HAMEED KARRA","Indian National Congress",18933,"MUHAMMAD IRFAN SHAH",Independent,4538,14395
"JAMMU & KASHMIR",KALAKOTE,"RANDHIR SINGH","Bharatiya Janata Party",35010,"YASHU VARDHAN SINGH","Jammu & Kashmir National Conference",20601,14409
"JAMMU & KASHMIR",URI,"SAJJAD SHAFI","Jammu & Kashmir National Conference",39713,"TAJ MOHI UD DIN",Independent,25244,14469
"JAMMU & KASHMIR",SHANGUS,"REYAZ AHMAD KHAN","Jammu & Kashmir National Conference",30345,"ABDUL REHMAN BHAT","Jammu & Kashmir Peoples Democratic Party",15813,14532
"JAMMU & KASHMIR",MENDHAR,"JAVED AHMED RANA","Jammu & Kashmir National Conference",32176,"MURTAZA AHMED KHAN","Bharatiya Janata Party",17270,14906
"JAMMU & KASHMIR",CHENANI,"BALWANT SINGH MANKOTIA","Bharatiya Janata Party",47990,"HARSH DEV SINGH","J&K National Panthers Party (India)",32379,15611
"JAMMU & KASHMIR",BISHNAH,"RAJEEV KUMAR","Bharatiya Janata Party",53435,"NEERAJ KUNDAN","Indian National Congress",37808,15627
"JAMMU & KASHMIR",BASOHLI,"DARSHAN KUMAR","Bharatiya Janata Party",31874,"CH. LAL SINGH","Indian National Congress",15840,16034
"JAMMU & KASHMIR",ZADIBAL,"TANVIR SADIQ","Jammu & Kashmir National Conference",22189,"ABID HUSSAIN ANSARI","Jammu & Kashmir People Conference",6016,16173
"JAMMU & KASHMIR",CHADOORA,"ALI MOHAMMAD DAR","Jammu & Kashmir National Conference",31991,"MOHMAD YASEEN BHAT","Jammu & Kashmir Peoples Democratic Party",14773,17218
"JAMMU & KASHMIR","D. H. PORA","SAKEENA MASOOD","Jammu & Kashmir National Conference",36623,"GULZAR AHMAD DAR","Jammu & Kashmir Peoples Democratic Party",19174,17449
"JAMMU & KASHMIR","JAMMU EAST","YUDHVIR SETHI","Bharatiya Janata Party",42589,"YOGESH SAWHNEY","Indian National Congress",24475,18114
"JAMMU & KASHMIR",BUDGAM,"OMAR ABDULLAH","Jammu & Kashmir National Conference",36010,"AGA SYED MUNTAZIR MEHDI","Jammu & Kashmir Peoples Democratic Party",17525,18485
"JAMMU & KASHMIR",REASI,"KULDEEP RAJ DUBEY","Bharatiya Janata Party",39647,"MUMTAZ AHMED","Indian National Congress",20832,18815
"JAMMU & KASHMIR",BUDHAL,"JAVAID IQBAL","Jammu & Kashmir National Conference",42043,"CHOWDHARY ZULFKAR ALI","Bharatiya Janata Party",23135,18908
"JAMMU & KASHMIR",VIJAYPUR,"CHANDER PARKASH","Bharatiya Janata Party",32859,"RAJESH KUMAR PARGOTRA","Jammu & Kashmir National Conference",13819,19040
"JAMMU & KASHMIR",SOPORE,"IRSHAD RASOOL KAR","Jammu & Kashmir National Conference",26975,"MURSALEEN AAJIR",Independent,6619,20356
"JAMMU & KASHMIR","UDHAMPUR WEST","PAWAN KUMAR GUPTA","Bharatiya Janata Party",47164,"SUMEET MAGOTRA","Indian National Congress",26412,20752
"JAMMU & KASHMIR","POONCH HAVELI","AJAZ AHMED JAN","Jammu & Kashmir National Conference",41807,"CHOUDHARY ABDUL GHANI","Bharatiya Janata Party",20928,20879
"JAMMU & KASHMIR",BILLAWAR,"SATISH KUMAR SHARMA","Bharatiya Janata Party",44629,"MANOHAR LAL SHARMA","Indian National Congress",23261,21368
"JAMMU & KASHMIR","JAMMU WEST","ARVIND GUPTA","Bharatiya Janata Party",41963,"MANMOHAN SINGH","Indian National Congress",19836,22127
"JAMMU & KASHMIR",MARH,"SURINDER KUMAR","Bharatiya Janata Party",42563,"MULA RAM","Indian National Congress",19477,23086
"JAMMU & KASHMIR",AKHNOOR,"MOHAN LAL","Bharatiya Janata Party",49927,"ASHOK KUMAR","Indian National Congress",25248,24679
"JAMMU & KASHMIR","JAMMU NORTH","SHAM LAL SHARMA","Bharatiya Janata Party",47219,"AJAY KUMAR SADHOTRA","Jammu & Kashmir National Conference",19856,27363
"JAMMU & KASHMIR",DOORU,"GULAM AHMAD MIR","Indian National Congress",44270,"MOHAMMAD ASHRAF MALIK","Jammu & Kashmir Peoples Democratic Party",14542,29728
"JAMMU & KASHMIR",SAMBA,"SURJEET SINGH SLATHIA","Bharatiya Janata Party",43182,"RAVINDER SINGH",Independent,12873,30309
"JAMMU & KASHMIR",NAGROTA,"DEVENDER SINGH RANA","Bharatiya Janata Party",48113,"JOGINDER SINGH","Jammu & Kashmir National Conference",17641,30472
