STATE,CANDIDATE,PARTY,CONSTITUENCY,VOTE_SHARE
"JAMMU & KASHMIR","AJAZ AHMED JAN","Jammu & Kashmir National Conference","POONCH HAVELI",42.7234
"JAMMU & KASHMIR","KHURSHIED AHMED","Jammu & Kashmir National Conference",GULABGARH,42.8229
"JAMMU & KASHMIR","DR RAMESHWAR SINGH",Independent,BANI,43.4313
"JAMMU & KASHMIR","OMAR ABDULLAH","Jammu & Kashmir National Conference",GANDERBAL,43.8019
"JAMMU & KASHMIR","MIR MOHAMMAD FAYAZ","Jammu & Kashmir Peoples Democratic Party",KUPWARA,44.7555
"JAMMU & KASHMIR","MOHAMAD YOUSUF TARIGAMI","Communist Party of India  (Marxist)",KULGAM,44.8585
"JAMMU & KASHMIR","IFTKAR AHMED","Indian National Congress",RAJOURI,45.0374
"JAMMU & KASHMIR","SHEIKH AHSAN AHMED","Jammu & Kashmir National Conference","LAL CHOWK",45.4511
"JAMMU & KASHMIR","GHARU RAM","Bharatiya Janata Party",SUCHETGARH,46.3210
"JAMMU & KASHMIR","SHOWKAT HUSSAIN GANIE","Jammu & Kashmir National Conference",ZAINAPORA,46.4166
"JAMMU & KASHMIR","NAZIR AHMAD KHAN","Jammu & Kashmir National Conference",GUREZ,46.6429
"JAMMU & KASHMIR","GHULAM MOHI UDDIN MIR","Jammu & Kashmir National Conference",RAJPORA,47.9305
"JAMMU & KASHMIR","SHAGUN PARIHAR","Bharatiya Janata Party",KISHTWAR,48.0024
"JAMMU & KASHMIR","ADVOCATE ABDUL RAHIM RATHER","Jammu & Kashmir National Conference","CHRAR-I- SHARIEF",48.4752
"JAMMU & KASHMIR","SUNIL BHARDWAJ","Bharatiya Janata Party",RAMNAGAR,48.5028
"JAMMU & KASHMIR","SAIF UD DIN BHAT","Jammu & Kashmir National Conference",KHANSAHIB,48.6243
"JAMMU & KASHMIR","WAHEED UR REHMAN PARA","Jammu & Kashmir Peoples Democratic Party",PULWAMA,48.9435
"JAMMU & KASHMIR","DALEEP SINGH","Bharatiya Janata Party",BHADARWAH,48.9769
"JAMMU & KASHMIR","DR. NARINDER SINGH RAINA","Bharatiya Janata Party","R. S. PURA- JAMMU SOUTH",49.2295
"JAMMU & KASHMIR","MIAN MEHAR ALI","Jammu & Kashmir National Conference",KANGAN,49.9715
"JAMMU & KASHMIR","SHAKTI RAJ PARIHAR","Bharatiya Janata Party","DODA WEST",49.9882
"JAMMU & KASHMIR","SUNIL KUMAR SHARMA","Bharatiya Janata Party",PADDER,50.4083
"JAMMU & KASHMIR","RANDHIR SINGH","Bharatiya Janata Party",KALAKOTE,50.8106
"JAMMU & KASHMIR","SALMAN SAGAR","Jammu & Kashmir National Conference",HAZRATBAL,51.5163
"JAMMU & KASHMIR","DR DEVINDER KUMAR MANYAL","Bharatiya Janata Party",RAMGARH,51.5313
"JAMMU & KASHMIR","RAJIV JASROTIA","Bharatiya Janata Party",JASROTA,51.9356
"JAMMU & KASHMIR","PAWAN KUMAR GUPTA","Bharatiya Janata Party","UDHAMPUR WEST",52.0557
"JAMMU & KASHMIR","ALTAF AHMAD WANI","Jammu & Kashmir National Conference",PAHALGAM,52.2497
"JAMMU & KASHMIR","REYAZ AHMAD KHAN","Jammu & Kashmir National Conference",SHANGUS,52.3244
"JAMMU & KASHMIR","IRSHAD RASOOL KAR","Jammu & Kashmir National Conference",SOPORE,52.3248
"JAMMU & KASHMIR","CHANDER PARKASH","Bharatiya Janata Party",VIJAYPUR,52.6039
"JAMMU & KASHMIR","SAKEENA MASOOD","Jammu & Kashmir National Conference","D. H. PORA",53.4486
"JAMMU & KASHMIR","BASHIR AHMAD SHAH VEERI","Jammu & Kashmir National Conference",SRIGUFWARA,53.6250
"JAMMU & KASHMIR","SAJJAD SHAFI","Jammu & Kashmir National Conference",URI,53.7330
"JAMMU & KASHMIR","MUSHTAQ GUROO","Jammu & Kashmir National Conference",CHANNAPORA,53.9381
"JAMMU & KASHMIR","SURINDER KUMAR CHOUDHARY","Jammu & Kashmir National Conference",NOWSHERA,54.1623
"JAMMU & KASHMIR","OMAR ABDULLAH","Jammu & Kashmir National Conference",BUDGAM,54.5177
"JAMMU & KASHMIR","VIJAY KUMAR","Bharatiya Janata Party",HIRANAGAR,54.7480
"JAMMU & KASHMIR","DR. BHARAT BHUSHAN","Bharatiya Janata Party",KATHUA,55.1940
"JAMMU & KASHMIR","SURINDER KUMAR","Bharatiya Janata Party",MARH,55.2486
"JAMMU & KASHMIR","VIKRAM RANDHAWA","Bharatiya Janata Party",BAHU,55.3409
"JAMMU & KASHMIR","TARIQ HAMEED KARRA","Indian National Congress","CENTRAL SHALTENG",55.8644
"JAMMU & KASHMIR","BALWANT SINGH MANKOTIA","Bharatiya Janata Party",CHENANI,56.4084
"JAMMU & KASHMIR","RAJEEV KUMAR","Bharatiya Janata Party",BISHNAH,56.4786
"JAMMU & KASHMIR","GULAM AHMAD MIR","Indian National Congress",DOORU,61.1489
"JAMMU & KASHMIR","YUDHVIR SETHI","Bharatiya Janata Party","JAMMU EAST",61.4578
"JAMMU & KASHMIR","JAVAID IQBAL","Jammu & Kashmir National Conference",BUDHAL,61.4897
"JAMMU & KASHMIR","SURJEET SINGH SLATHIA","Bharatiya Janata Party",SAMBA,61.7424
"JAMMU & KASHMIR","ALI MOHAMMAD SAGAR","Jammu & Kashmir National Conference",KHANYAR,62.4597
"JAMMU & KASHMIR","KULDEEP RAJ DUBEY","Bharatiya Janata Party",REASI,63.5063
"JAMMU & KASHMIR","ALI MOHAMMAD DAR","Jammu & Kashmir National Conference",CHADOORA,63.5739
"JAMMU & KASHMIR","TANVIR SADIQ","Jammu & Kashmir National Conference",ZADIBAL,63.5916
"JAMMU & KASHMIR","SHAM LAL SHARMA","Bharatiya Janata Party","JAMMU NORTH",63.6563
"JAMMU & KASHMIR","SATISH KUMAR SHARMA","Bharatiya Janata Party",BILLAWAR,64.3821
"JAMMU & KASHMIR","SHAMIM FIRDOUS","Jammu & Kashmir National Conference",HABBAKADAL,64.6784
"JAMMU & KASHMIR","ARVIND GUPTA","Bharatiya Janata Party","JAMMU WEST",64.7377
"JAMMU & KASHMIR","MOHAN LAL","Bharatiya Janata Party",AKHNOOR,64.8723
"JAMMU & KASHMIR","DEVENDER SINGH RANA","Bharatiya Janata Party",NAGROTA,64.9447
"JAMMU & KASHMIR","DARSHAN KUMAR","Bharatiya Janata Party",BASOHLI,65.3839
