STATE,PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"NEW DELHI","Aam Janshakti Party",4000000,70,57142.8571
"NEW DELHI","Voters Party  International",4000000,70,57142.8571
"NEW DELHI","Abhinav Bharat Party",8000000,137,58394.1606
"NEW DELHI","New India United Party",8000000,135,59259.2593
"NEW DELHI","Indian National Socialistic Action Forces",12000000,198,60606.0606
"NEW DELHI","Garib Ekta Party",4000000,63,63492.0635
"NEW DELHI","Aam Janmat Party",8000000,124,64516.1290
"NEW DELHI","Sanjhi Virasat Party",16000000,238,67226.8908
"NEW DELHI","Rashtravadi Janata Party",4000000,58,68965.5172
"NEW DELHI","Peoples Green Party",4000000,58,68965.5172
"NEW DELHI","Atulya Bharat Party",4000000,50,80000.0000
"NEW DELHI","Bharatiy Aam Janta Adhikar Party",4000000,49,81632.6531
"NEW DELHI","Bhartiya Krishak Dal",4000000,48,83333.3333
"NEW DELHI","Bhartiya Rashtriya Dal",4000000,48,83333.3333
"NEW DELHI","Buland Bharat Party",8000000,89,89887.6404
"NEW DELHI","Adarshwaadi Congress Party",4000000,43,93023.2558
"NEW DELHI","Rashtra Nirman Party",4000000,41,97560.9756
"NEW DELHI","Voice of Awam Party",4000000,32,125000.0000
"NEW DELHI","Bhartiya Mahasangh Party",4000000,25,160000.0000
"NEW DELHI","Rashtrawadi Janlok Party (Satya)",8000000,49,163265.3061
"NEW DELHI","Samarth Bharatvarsh Party",4000000,22,181818.1818
"NEW DELHI","All India National Raksha Sena",4000000,20,200000.0000
"NEW DELHI","Navarang Congress Party",4000000,18,222222.2222
"NEW DELHI","Bharatrashtra Democratic Party",4000000,4,1000000.0000
