STATE,CANDIDATE,CONSTITUENCY_COUNT
"NEW DELHI","GOPAL KUMAR SINHA",1
"NEW DELHI","GOPAL PRASAD",1
"NEW DELHI","GOPAL RAI",1
"NEW DELHI","GOURAV BOTHRA",1
"NEW DELHI","GULAB SINGHAL",1
"NEW DELHI",GULFAM,1
"NEW DELHI","GULSHAN BHARTI",1
"NEW DELHI","GURCHARAN SINGH (RAJU)",1
"NEW DELHI","GURMEET SINGH",1
"NEW DELHI","H.M. HASHIM MALIK",1
"NEW DELHI","HAIDER ALI",1
"NEW DELHI","HAMMAD KHAN",1
"NEW DELHI",HANSA,1
"NEW DELHI","HANUMAN SAHAY ALIAS HANUMAN CHAUHAN",1
"NEW DELHI","HARBANI KAUR",1
"NEW DELHI","HARI KISHAN MECHANIC",1
"NEW DELHI","HARI RAM",1
"NEW DELHI",HARISH,1
"NEW DELHI","HARISH KHURANA",1
"NEW DELHI","HAROON YUSUF",1
"NEW DELHI","HARSH CHOUDHARY",1
"NEW DELHI","HARSHAD CHADHA",1
"NEW DELHI","HEERA LAL",1
"NEW DELHI","HIRA LAL",1
"NEW DELHI","HIRA LAL SAH",1
"NEW DELHI","IMRAN HUSSAIN",1
"NEW DELHI","IMRAN SAIFI",1
"NEW DELHI","IQBAL AHMED SIDDIQUI",1
"NEW DELHI","ISHWAR CHAND",1
"NEW DELHI","ISHWAR SINGH",1
"NEW DELHI","ISLAM ALI",1
"NEW DELHI",ISLAUDDIN,1
"NEW DELHI",ISMAIL,1
"NEW DELHI","J. P. PANWAR",1
"NEW DELHI","JAGAT SINGH",1
"NEW DELHI","JAGDEESH PRASAD",1
"NEW DELHI",JAGDISH,1
"NEW DELHI","JAGDISH  OJHA",1
"NEW DELHI","JAGDISH CHAND",1
"NEW DELHI","JAGDISH KUMAR GARG",1
"NEW DELHI","JAGDISH KUMAR VERMA",1
"NEW DELHI","JAI BHAGWAN",1
"NEW DELHI","JAI BHAGWAN UPKAR",1
"NEW DELHI","JAI KISHAN",1
"NEW DELHI","JAI PAL",1
"NEW DELHI","JAI PRAKASH",1
"NEW DELHI","JALANDHAR PANDIT",1
"NEW DELHI",JAMALUDDIN,1
"NEW DELHI","JARNAIL SINGH",1
"NEW DELHI","JASBIR KARALA",1
"NEW DELHI","JAYA RAMAN",1
"NEW DELHI","JITANDER SINGH",1
"NEW DELHI",JITENDER,1
"NEW DELHI","JITENDER KUMAR",1
"NEW DELHI","JITENDER KUMAR KOCHAR",1
"NEW DELHI","JITENDER MAHAJAN",1
"NEW DELHI","JITENDER SINGH SHUNTY",1
"NEW DELHI","JITENDER SOLANKI",1
"NEW DELHI","JOGINDER SOLANKI",1
"NEW DELHI","JOURNALIST RAMESH KUMAR JAIN @ NIRBHIK",1
"NEW DELHI","JUGAL CHAWLA",1
"NEW DELHI","JUGBIR SINGH",1
