CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"CHAMAN LAL VERMA","Aam Janshakti Party",JANAKPURI,"NEW DELHI",70
SACHIN,"Bharatiya Sampuran Krantikari Party","DELHI CANTT","NEW DELHI",70
"VISHAL SAHNI","Voters Party  International","MOTI NAGAR","NEW DELHI",70
"WASIM AKRAM","Indian National Socialistic Action Forces",TIMARPUR,"NEW DELHI",69
"VIMAL KUMAR SAXENA",Independent,"LAXMI NAGAR","NEW DELHI",69
"RAJU RICHARIYA","Rashtriya Rashtrawadi Party",VIKASPURI,"NEW DELHI",69
"RAHUL TIWARI","Right to Recall Party","CHANDNI CHOWK","NEW DELHI",69
"RAVINDER SINGH","Republican Sena","SANGAM VIHAR","NEW DELHI",68
RAJENDER,"Aam Janmat Party",BADLI,"NEW DELHI",68
"RANDHIR KUMAR","Asankhya Samaj Party",MADIPUR,"NEW DELHI",66
"KAMLA DEVI","Aapki Apni Party (Peoples)","RAJOURI GARDEN","NEW DELHI",65
"PANKAJ JAGYA","Republican Party of India (Athawale)","RAJINDER NAGAR","NEW DELHI",65
"AYUSH GUPTA",Independent,"ADARSH NAGAR","NEW DELHI",64
"R. C. SHARMA","Sarvodaya Prabhat Party",BADLI,"NEW DELHI",64
JAGDISH,"Nationalist Congress Party",GOKALPUR,"NEW DELHI",64
"MAHESH BANSAL","Right to Recall Party",WAZIRPUR,"NEW DELHI",64
"NASEEM USMAN","Bharatiya Liberal Party","ROHTAS NAGAR","NEW DELHI",63
"SHEELA DEVI","Garib Ekta Party",WAZIRPUR,"NEW DELHI",63
"VIJAY KUMAR SHARMA","Rashtriya Manav Party","MOTI NAGAR","NEW DELHI",63
RAJBIR,Independent,ROHINI,"NEW DELHI",62
"SANJAYA KUMAR YADAV","Right to Recall Party",MUNDKA,"NEW DELHI",61
"DHARAM VEER","Suheldev Bharatiya Samaj Party",JANAKPURI,"NEW DELHI",61
SATPAL,Independent,"SANGAM VIHAR","NEW DELHI",61
"MOHAMMAD AHMED SAIFI",Independent,"MATIA MAHAL","NEW DELHI",60
SANAULLAH,"Nationalist Congress Party","MOTI NAGAR","NEW DELHI",60
"TARUN KUMAR SHARMA",Independent,JANAKPURI,"NEW DELHI",60
"CHARAN SINGH MALIYAN","Right to Recall Party",SEEMAPURI,"NEW DELHI",58
"PANKAJ KUMAR","Rashtravadi Janata Party","MODEL TOWN","NEW DELHI",58
"G. THULASEEDHARAN","Peoples Green Party",DWARKA,"NEW DELHI",58
"PARVEEN CHOUDHRY",Independent,KALKAJI,"NEW DELHI",58
"RAJENDRA KUMAR PAL","Nationalist Congress Party",SHAHDARA,"NEW DELHI",58
"DEEPA DEVI","Aihra National Party",PATPARGANJ,"NEW DELHI",57
"ASHISH SOOD",Independent,JANAKPURI,"NEW DELHI",57
"MOHD JAVED","Nationalist Congress Party","MATIA MAHAL","NEW DELHI",56
"JITANDER SINGH","Asankhya Samaj Party",RITHALA,"NEW DELHI",56
PRIYA,"Aam Janmat Party","ADARSH NAGAR","NEW DELHI",56
"ANIL SINGH","Sanjhi Virasat Party",GHONDA,"NEW DELHI",56
ANITA,Independent,"NEW DELHI","NEW DELHI",55
"KULDEEP SINGH AHLAWAT",Independent,"R. K. PURAM","NEW DELHI",55
"NARENDER SINGH PANWAR",Independent,ROHINI,"NEW DELHI",54
"PANKAJ GUPTA","Sarvodaya Prabhat Party","ROHTAS NAGAR","NEW DELHI",54
"SANTOSH RAI","Abhinav Bharat Party","NEW DELHI","NEW DELHI",53
"VIJAY KUMAR","Peoples Party of India (Democratic)","R. K. PURAM","NEW DELHI",52
"DILIP BANERJEE",Independent,SHAHDARA,"NEW DELHI",52
RAJESH,"Bharatiya Sarvodaya Kranti Party",SEEMAPURI,"NEW DELHI",51
"SUMAN SHARMA","Sanjhi Virasat Party","SEELAM PUR","NEW DELHI",50
"UMESH RATHOR","Atulya Bharat Party","SADAR BAZAR","NEW DELHI",50
"BIJENDER KUMAR","Jan Samuh Party",TIMARPUR,"NEW DELHI",50
"NEELAM SINGH","Peoples Party of India (Democratic)","VISHWAS NAGAR","NEW DELHI",49
"DEEPAK KUMAR","Bharatiy Aam Janta Adhikar Party","VISHWAS NAGAR","NEW DELHI",49
"KASHMIR CHAND","Buland Bharat Party",JANAKPURI,"NEW DELHI",48
"LALITA TRIVEDI","Bhartiya Krishak Dal",BIJWASAN,"NEW DELHI",48
"AKESHAN DUT","Bhartiya Rashtriya Dal","ROHTAS NAGAR","NEW DELHI",48
"ANURAG KUMAR",Independent,"LAXMI NAGAR","NEW DELHI",48
NAMAHA,"Nationalist Congress Party","LAXMI NAGAR","NEW DELHI",48
"ANIL KUMAR","National Youth Party","VISHWAS NAGAR","NEW DELHI",47
"ADVOCATE MEHAK DOGRA","Nationalist Congress Party",GHONDA,"NEW DELHI",46
"SYED MUNEEB",Independent,"SEELAM PUR","NEW DELHI",46
"KUSUM LATA","Peoples Party of India (Democratic)","LAXMI NAGAR","NEW DELHI",46
"ANIMA OJHA","Right to Recall Party","LAXMI NAGAR","NEW DELHI",45
"MOHAMMAD MURSALEEN","Indian National Socialistic Action Forces","CHANDNI CHOWK","NEW DELHI",45
"NITIN MITTAL",Independent,"ROHTAS NAGAR","NEW DELHI",45
"RAHISUDDIN AHMAD",Independent,"SEELAM PUR","NEW DELHI",44
"YOGESH SWAMI","Right to Recall Party",DWARKA,"NEW DELHI",44
"AMIT KUMAR SHARMA","Sanjhi Virasat Party","ROHTAS NAGAR","NEW DELHI",43
"NIZAMUDDIN KHAN","Adarshwaadi Congress Party",JANAKPURI,"NEW DELHI",43
JAMALUDDIN,"Buland Bharat Party",OKHLA,"NEW DELHI",41
"PREM CHAND","Rashtrawadi Janlok Party (Satya)","ADARSH NAGAR","NEW DELHI",41
"DANVEER VIDYALANKAR","Rashtra Nirman Party","LAXMI NAGAR","NEW DELHI",41
"DUGGIRALA NAGESWARA RAO","Jatiya Jana Sena Party","NEW DELHI","NEW DELHI",39
RAVI,Independent,KALKAJI,"NEW DELHI",39
"MD HAROON","Nationalist Congress Party",BALLIMARAN,"NEW DELHI",38
"NARESH KUMAR","Aapki Apni Party (Peoples)","NEW DELHI","NEW DELHI",37
"MAHESH DUBEY","Bharatiya Liberal Party","MOTI NAGAR","NEW DELHI",35
"SANJEEV KUMAR","Jan Samuh Party","ROHTAS NAGAR","NEW DELHI",35
SARAVANAN,"Rashtriya Manav Party","R. K. PURAM","NEW DELHI",35
"RANJEET VERMA","New India United Party","SHALIMAR BAGH","NEW DELHI",35
"SANJAY YADAV ADVOCATE","Peoples Party of India (Democratic)","ADARSH NAGAR","NEW DELHI",35
"BHAGWAN DASS",Independent,"MATIA MAHAL","NEW DELHI",35
"AWDHESH KUMAR JHA","Right to Recall Party","MODEL TOWN","NEW DELHI",33
"GULSHAN BHARTI","Right to Recall Party","AMBEDKAR NAGAR","NEW DELHI",32
ISMAIL,"Voice of Awam Party","LAXMI NAGAR","NEW DELHI",32
"DR. ABHILASHA",Independent,"NEW DELHI","NEW DELHI",31
"IQBAL AHMED SIDDIQUI",Independent,KALKAJI,"NEW DELHI",31
"FIRDOUS AHMAD",Independent,"MATIA MAHAL","NEW DELHI",31
"MOAZAM KHAN",Independent,"MATIA MAHAL","NEW DELHI",31
"SANTOSH KUMAR","Right to Recall Party","NEW DELHI","NEW DELHI",30
"SUBHASH CHAND GUPTA","Bhartiya Rashtrawadi Party","ROHTAS NAGAR","NEW DELHI",30
"ASHOK KUMAR",Independent,"HARI NAGAR","NEW DELHI",29
"MOHD ZUBAIR MALIK",Independent,"SEELAM PUR","NEW DELHI",29
"SANGH MITRA","Bhim Sena",KALKAJI,"NEW DELHI",28
"VISHAL SINGH","National Youth Party","ADARSH NAGAR","NEW DELHI",27
"ABHA JHA","Bhartiya Mahasangh Party","R. K. PURAM","NEW DELHI",25
"S. M. AQIF",Independent,"SEELAM PUR","NEW DELHI",24
"RAJESH KUMAR","Veer Janshakti Party",KALKAJI,"NEW DELHI",23
ISLAUDDIN,Independent,"SEELAM PUR","NEW DELHI",22
"JAGDEESH PRASAD","Samarth Bharatvarsh Party","NEW DELHI","NEW DELHI",22
"ARUN KUMAR SHARMA","Delhi Janta Party","NEW DELHI","NEW DELHI",21
"RAJ KUMAR","All India National Raksha Sena",JANAKPURI,"NEW DELHI",20
"MD: RAHMAT ALI","Navarang Congress Party","ADARSH NAGAR","NEW DELHI",18
"SANJAY RAWAT",Independent,"NEW DELHI","NEW DELHI",17
"RAVINDER SINGH RAWAT","Haryana Jansena Party","NEW DELHI","NEW DELHI",15
ZAINUDDIN,Independent,"MATIA MAHAL","NEW DELHI",11
BHAWANA,Independent,"NEW DELHI","NEW DELHI",11
"PANKAJ SHARMA",Independent,"NEW DELHI","NEW DELHI",9
"HAIDER ALI",Independent,"NEW DELHI","NEW DELHI",9
"NITYA NAND SINGH","Rashtriya Manav Party","NEW DELHI","NEW DELHI",8
"MUKESH JAIN","Rashtrawadi Janlok Party (Satya)","NEW DELHI","NEW DELHI",8
"SANGHA NAND BAUDDH","Bhim Sena","NEW DELHI","NEW DELHI",8
"ISHWAR CHAND","Bharatrashtra Democratic Party","NEW DELHI","NEW DELHI",4
