constituency_code,constituency,state,total_votes
S1110,AZHIKODE,KERALA,148412
S1186,MUVATTUPUZHA,KERALA,148131
S1173,KODUNGALLUR,KERALA,147912
S1158,CHITTUR,KERALA,147788
S11129,CHIRAYINKEEZHU,KERALA,147566
S1174,PERUMBAVOOR,KERALA,147529
S1116,PERAVOOR,KERALA,147244
S1156,PALAKKAD,KERALA,147192
S11136,ARUVIKKARA,KERALA,146878
S11138,KATTAKKADA,KERALA,146244
S1190,THODUPUZHA,KERALA,146166
S11107,HARIPAD,KERALA,144837
S11101,POONJAR,KERALA,144794
S1113,THALASSERY,KERALA,144287
S1120,VADAKARA,KERALA,143179
S1169,KAIPAMANGALAM,KERALA,142854
S11109,MAVELIKKARA,KERALA,142667
S11121,PUNALUR,KERALA,142556
S11117,CHAVARA,KERALA,142344
S1127,KOZHIKODE NORTH,KERALA,141535
S11105,AMBALAPPUZHA,KERALA,140781
S11111,THIRUVALLA,KERALA,140745
S1111,KANNUR,KERALA,140519
S1183,THRIKKAKARA,KERALA,140472
S11135,NEMOM,KERALA,140355
S1187,KOTHAMANGALAM,KERALA,139091
S11127,VARKALA,KERALA,138231
S1172,CHALAKUDY,KERALA,137931
S11120,PATHANAPURAM,KERALA,137623
S11110,CHENGANNUR,KERALA,137435
S11126,CHATHANNOOR,KERALA,136507
S11100,KANJIRAPPALLY,KERALA,135988
S1193,PALA,KERALA,135851
S11114,KONNI,KERALA,135405
S1180,KOCHI,KERALA,134349
S1160,ALATHUR,KERALA,134229
S11140,NEYYATTINKARA,KERALA,133616
S11125,ERAVIPURAM,KERALA,132384
S1157,TARUR,KERALA,132246
S1179,VYPEN,KERALA,131761
S11132,KAZHAKOOTTAM,KERALA,131587
S1175,ANGAMALY,KERALA,130848
S11133,VATTIYOORKAVU,KERALA,129765
S11124,KOLLAM,KERALA,129690
S1191,IDUKKI,KERALA,128447
S1198,PUTHUPPALLY,KERALA,128180
S1128,KOZHIKODE SOUTH,KERALA,127866
S1195,VAIKOM,KERALA,126238
S1194,KADUTHURUTHY,KERALA,124752
S1167,THRISSUR,KERALA,124182
S11112,RANNI,KERALA,123843
S1196,ETTUMANOOR,KERALA,122912
S1192,PEERUMADE,KERALA,122652
S1189,UDUMBANCHOLA,KERALA,121356
S1199,CHANGANASSERY,KERALA,121150
S11134,THIRUVANANTHAPURAM,KERALA,120488
S1197,KOTTAYAM,KERALA,113747
S11106,KUTTANAD,KERALA,112560
S1188,DEVIKULAM,KERALA,112135
S1182,ERANAKULAM,KERALA,107732
