candidate,party,constituency,runner_up_vote_percentage
ADV.K. ANILKUMAR,Communist Party of India (Marxist),KOTTAYAM,28.930
SIVADASAN (SIVAN VEETTIKUNNU),Independent,CHELAKKARA,28.620
P.K SASI P.K.S S/O PADMINI AMMA,Independent,OTTAPPALAM,28.560
CYRIAC CHAZHIKADAN,Kerala Congress (M),THODUPUZHA,27.710
AJITH KOLADI,Communist Party of India,TIRURANGADI,27.510
ADV. MUSTHAFA,Independent,VALLIKUNNU,27.310
ALANKODE LEELAKRISHNAN,Communist Party of India,THRISSUR,26.970
K. M. RADHAKRISHNAN,Communist Party of India (Marxist),PUTHUPPALLY,24.280
ADV. PUSHPA DAS,Communist Party of India (Marxist),THRIKKAKARA,23.610
K.T. MUJEEB RAHMAN,Nationalist Congress Party - Sharadchandra Pawar,MALAPPURAM,23.520
SABU GEORGE,Independent,ERANAKULAM,23.330
