constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S11123,KERALA,KUNDARA,P. C. VISHNUNADH,Indian National Congress,87862,S. L. SAJIKUMAR,Communist Party of India (Marxist),55298,32564
S11139,KERALA,KOVALAM,ADV. M.VINCENT,Indian National Congress,79661,BHAGATH RUFUS,Independent,46952,32709
S1197,KERALA,KOTTAYAM,THIRUVANCHOOR RADHAKRISHNAN,Indian National Congress,68893,ADV.K. ANILKUMAR,Communist Party of India (Marxist),32907,35986
S1182,KERALA,ERANAKULAM,T.J VINOD,Indian National Congress,61296,SABU GEORGE,Independent,25133,36163
S1131,KERALA,KODUVALLY,P K FIROS,Indian Union Muslim League,95164,SALEEM MADAVOOR,Independent,58482,36682
S1175,KERALA,ANGAMALY,ROJI M JOHN,Indian National Congress,78331,SAJU PAUL,Communist Party of India (Marxist),41323,37008
S1134,KERALA,ERNAD,P.K.BASHEER,Indian Union Muslim League,98547,ADV.SHAFEER KIZHISSERI,Communist Party of India,57258,41289
S119,KERALA,IRIKKUR,ADV. SAJEEV JOSEPH,Indian National Congress,90895,ADV. MATHEW KUNNAPPALLY,Kerala Congress (M),48469,42426
S1186,KERALA,MUVATTUPUZHA,DR. MATHEW KUZHALNADAN,Indian National Congress,89914,N ARUN,Communist Party of India,47085,42829
S1190,KERALA,THODUPUZHA,APU JOHN JOSEPH,Kerala Congress,84796,CYRIAC CHAZHIKADAN,Kerala Congress (M),40505,44291
S1185,KERALA,PIRAVOM,ANOOP JACOB,Kerala Congress (Jacob),89551,SABU K JACOB,Kerala Congress (M),44870,44681
S1119,KERALA,KALPETTA,ADV. T SIDDIQUE,Indian National Congress,97379,P K ANIL KUMAR,Rashtriya Janata Dal,52348,45031
S1139,KERALA,MANKADA,MANJALAMKUZHI ALI,Indian Union Muslim League,110692,KUNNATH MOHAMED S/O ALI HAJI,Independent,65083,45609
S1136,KERALA,WANDOOR,A.P ANILKUMAR,Indian National Congress,121074,DR.K.K DAMODARAN,Communist Party of India (Marxist),73135,47939
S1183,KERALA,THRIKKAKARA,UMA THOMAS,Indian National Congress,83375,ADV. PUSHPA DAS,Communist Party of India (Marxist),33164,50211
S1142,KERALA,VALLIKUNNU,T V IBRAHIM,Indian Union Muslim League,100718,ADV. MUSTHAFA,Independent,49429,51289
S1198,KERALA,PUTHUPPALLY,ADV. CHANDY OOMMEN,Indian National Congress,84031,K. M. RADHAKRISHNAN,Communist Party of India (Marxist),31124,52907
S1135,KERALA,NILAMBUR,ARYADAN SHOUKATH,Indian National Congress,113586,U SHARAFALI,Independent,58735,54851
S1133,KERALA,KONDOTTY,T.P. ASHRAFALI,Indian Union Muslim League,114997,DR. P. JIJI,Communist Party of India (Marxist),58980,56017
S1137,KERALA,MANJERI,ADV. M. RAHMATHULLA,Indian Union Muslim League,113622,V.M. MUSTHAFA,Independent,55735,57887
S1146,KERALA,KOTTAKKAL,PROF. ABID HUSSAIN THANGAL,Indian Union Muslim League,118111,PREETHI KONCHATH,Communist Party of India (Marxist),55473,62638
S1143,KERALA,TIRURANGADI,P M A SAMEER,Indian Union Muslim League,111869,AJITH KOLADI,Communist Party of India,48482,63387
S1140,KERALA,MALAPPURAM,P.K KUNHALIKUTTY,Indian Union Muslim League,131632,K.T. MUJEEB RAHMAN,Nationalist Congress Party - Sharadchandra Pawar,46305,85327
