candidate,party,constituency,vote_share
KARAYI RAJAN,Communist Party of India (Marxist),THALASSERY,48.33630195374496662900
RAJAN. J. PALLAN,Indian National Congress,THRISSUR,48.54970929764378090200
ADV. V S JOY,Indian National Congress,THAVANUR,48.60756867578682742900
SANDEEP VARIER,Indian National Congress,TRIKARIPUR,48.62905490801853672200
ADV.VISHNU MOHAN,Revolutionary Socialist Party,ERAVIPURAM,48.63352066715010877400
ADV. BINDHU KRISHNA,Indian National Congress,KOLLAM,48.89814172256920348500
K K REMA,Revolutionary Marxist Party of India,VADAKARA,48.97156705941513769500
V. KUNHIKRISHNAN,Independent,PAYYANNUR,49.13765467718150926500
C K KASIM,Indian Union Muslim League,THIRUVAMBADI,49.23410773551187133000
ADV.V.D.SATHEESAN,Indian National Congress,PARAVUR,49.29836106671680611700
ADV.M.LIJU,Indian National Congress,KAYAMKULAM,49.32528523349571104100
ADV. V E ABDUL GAFOOR,Indian Union Muslim League,KALAMASSERY,49.34708745293703511000
MUHAMMED SUDHEERSHA S,Indian National Congress,VAMANAPURAM,49.36209602768945949200
PARAKKAL ABDULLA,Indian Union Muslim League,KUTTIADI,49.51938733113988299100
V.T. SOORAJ,Indian National Congress,BALUSSERI,49.55387711366071661900
JYOTHI KUMAR CHAMAKKALA,Indian National Congress,PATHANAPURAM,49.61016690524112975300
ULLAS  KOVUR,Revolutionary Socialist Party,KUNNATHUR,49.65722329540953437200
K.P NOUSHAD ALI,Indian National Congress,PONNANI,49.80706660986707661200
PINARAYI VIJAYAN,Communist Party of India (Marxist),DHARMADAM,49.87446041279513454000
TONY CHAMMANY,Indian National Congress,VYPEN,50.17569690576118881900
ADV.T.O. MOHANAN,Indian National Congress,KANNUR,50.25654893644275863100
REJI CHERIYAN,Kerala Congress,KUTTANAD,50.27896233120113717100
C. AJAYAPRASAD,Communist Party of India,PUNALUR,50.46718482561239092000
MANOJ MOOTHEDAN,Indian National Congress,PERUMBAVOOR,50.89711175429915474200
M.VIJIN,Communist Party of India (Marxist),KALLIASSERI,50.93483958540536821200
ADV. M.VINCENT,Indian National Congress,KOVALAM,51.31573014165437363500
A.D THOMAS,Indian National Congress,ALAPPUZHA,51.41728138220612580200
SANEESHKUMAR JOSEPH,Indian National Congress,CHALAKUDY,51.62146290536572634100
A K M ASHRAF,Indian Union Muslim League,MANJESHWAR,51.62272831348075888800
ADV. SUNNY JOSEPH,Indian National Congress,PERAVOOR,51.71008665887913938800
NATTAKOM SURESH,Indian National Congress,ETTUMANOOR,52.13241994272324915400
SHIBU BABY JOHN,Revolutionary Socialist Party,CHAVARA,52.20311358399370539000
ANWAR SADATH,Indian National Congress,ALUVA,52.77928058278079037800
SHIBU THECKUMPURAM,Kerala Congress,KOTHAMANGALAM,52.82800468757863557000
K.M. ABHIJITH,Indian National Congress,NADAPURAM,52.86521259909279749000
P K NAVAS,Indian Union Muslim League,TANUR,53.38316195074394744800
G.SUDHAKARAN,Independent,AMBALAPPUZHA,53.40493390443312662900
P. C. VISHNUNADH,Indian National Congress,KUNDARA,53.43948812144951159900
KURUKKOLI MOIDEEN,Indian Union Muslim League,TIRUR,53.45248830027857679000
ADV. SENAPATHY VENU,Indian National Congress,UDUMBANCHOLA,53.49220475295823857100
ADV. N. SAMSUDHEEN,Indian Union Muslim League,MANNARKKAD,53.68258275516793951900
ROY K PAULOSE,Indian National Congress,IDUKKI,54.93472015695189455600
T V IBRAHIM,Indian Union Muslim League,VALLIKUNNU,55.63854117179127398900
ADV. T SIDDIQUE,Indian National Congress,KALPETTA,56.14531742782848346100
K.M. SHAJI,Indian Union Muslim League,VENGARA,56.29429969052610562000
NAJEEB KANTHAPURAM,Indian Union Muslim League,PERINTHALMANNA,56.36473066506169124300
ADV.MONS JOSEPH,Kerala Congress,KADUTHURUTHY,56.39428626394767218200
ADV.CYRIAC THOMAS,Indian National Congress,PEERUMADE,56.80461794344976029700
T.J VINOD,Indian National Congress,ERANAKULAM,56.89674377158133145200
P K FIROS,Indian Union Muslim League,KODUVALLY,57.33185531484203677400
APU JOHN JOSEPH,Kerala Congress,THODUPUZHA,58.01349150965340776900
P.K.BASHEER,Indian Union Muslim League,ERNAD,58.42211037401959912500
ANOOP JACOB,Kerala Congress (Jacob),PIRAVOM,58.76589712965758009300
MANJALAMKUZHI ALI,Indian Union Muslim League,MANKADA,58.97722792323348571600
UMA THOMAS,Indian National Congress,THRIKKAKARA,59.35346545930861666400
A.P ANILKUMAR,Indian National Congress,WANDOOR,59.59304614899984249500
ADV. M. RAHMATHULLA,Indian Union Muslim League,MANJERI,59.79507312426652071600
ROJI M JOHN,Indian National Congress,ANGAMALY,59.86411714355588163400
ARYADAN SHOUKATH,Indian National Congress,NILAMBUR,59.90980774809462274800
ADV. SAJEEV JOSEPH,Indian National Congress,IRIKKUR,59.93933199248244254700
T.P. ASHRAFALI,Indian Union Muslim League,KONDOTTY,60.01148075668623613800
THIRUVANCHOOR RADHAKRISHNAN,Indian National Congress,KOTTAYAM,60.56687209332993397600
DR. MATHEW KUZHALNADAN,Indian National Congress,MUVATTUPUZHA,60.69897590646117288100
PROF. ABID HUSSAIN THANGAL,Indian Union Muslim League,KOTTAKKAL,61.76998185250848539000
P M A SAMEER,Indian Union Muslim League,TIRURANGADI,63.48474014550489745400
ADV. CHANDY OOMMEN,Indian National Congress,PUTHUPPALLY,65.55702917771883289100
P.K KUNHALIKUTTY,Indian Union Muslim League,MALAPPURAM,66.85730248622292201000
