constituency_code,candidate,party,constituency,state,runner_votes
S11111,ANOOP ANTONY,Bharatiya Janata Party,THIRUVALLA,KERALA,43078
S11133,ADV. V.K PRASANTH,Communist Party of India (Marxist),VATTIYOORKAVU,KERALA,42913
S1192,K SALIMKUMAR,Communist Party of India,PEERUMADE,KERALA,42038
S1128,AHAMMAD DEVARKOVIL,Indian National League,KOZHIKODE SOUTH,KERALA,41885
S1175,SAJU PAUL,Communist Party of India (Marxist),ANGAMALY,KERALA,41323
S1190,CYRIAC CHAZHIKADAN,Kerala Congress (M),THODUPUZHA,KERALA,40505
S1194,NIRMALA JIMMY,Kerala Congress (M),KADUTHURUTHY,KERALA,39053
S11106,THOMAS K. THOMAS,Nationalist Congress Party - Sharadchandra Pawar,KUTTANAD,KERALA,35994
S11134,SUDHIR KARAMANA,Independent,THIRUVANANTHAPURAM,KERALA,35723
S1167,ALANKODE LEELAKRISHNAN,Communist Party of India,THRISSUR,KERALA,33487
S1183,ADV. PUSHPA DAS,Communist Party of India (Marxist),THRIKKAKARA,KERALA,33164
S1197,ADV.K. ANILKUMAR,Communist Party of India (Marxist),KOTTAYAM,KERALA,32907
S1198,K. M. RADHAKRISHNAN,Communist Party of India (Marxist),PUTHUPPALLY,KERALA,31124
S1182,SABU GEORGE,Independent,ERANAKULAM,KERALA,25133
