STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
HARYANA,MULANA,POOJA,"Indian National Congress",79089,"SANTOSH CHAUHAN SARWAN","Bharatiya Janata Party",66224,12865
HARYANA,RADAUR,"SHYAM SINGH RANA","Bharatiya Janata Party",73348,"DR. BISHAN LAL SAINI","Indian National Congress",60216,13132
HARYANA,KALAYAT,"VIKAS SAHARAN","Indian National Congress",48142,"KAMLESH DHANDA","Bharatiya Janata Party",34723,13419
HARYANA,JHAJJAR,"GEETA BHUKKAL","Indian National Congress",66345,"KAPTAN BIRDHANA","Bharatiya Janata Party",52790,13555
HARYANA,ISRANA,"KRISHAN LAL PANWAR","Bharatiya Janata Party",67538,"BALBIR SINGH BALMIKI","Indian National Congress",53643,13895
HARYANA,TOSHAM,"SHRUTI CHOUDHRY","Bharatiya Janata Party",76414,"ANIRUDH CHAUDHARY","Indian National Congress",62157,14257
HARYANA,ELLENABAD,"BHARAT SINGH BENIWAL","Indian National Congress",77865,"ABHAY SINGH CHAUTALA","Indian National Lok Dal",62865,15000
HARYANA,NARAINGARH,"SHALLEY CHAUDHARY","Indian National Congress",62180,"DR. PAWAN SAINI","Bharatiya Janata Party",47086,15094
HARYANA,INDRI,"RAM KUMAR KASHYAP","Bharatiya Janata Party",80465,"RAKESH KAMBOJ","Indian National Congress",65316,15149
HARYANA,JIND,"DR KRISHAN LAL MIDDHA","Bharatiya Janata Party",68920,"MAHAVIR GUPTA","Indian National Congress",53060,15860
HARYANA,LADWA,"NAYAB SINGH","Bharatiya Janata Party",70177,"MEWA SINGH","Indian National Congress",54123,16054
HARYANA,BADLI,"KULDEEP VATS","Indian National Congress",68160,"OMPRAKASH DHANKAR","Bharatiya Janata Party",51340,16820
HARYANA,NARNAUL,"OM PRAKASH YADAV","Bharatiya Janata Party",57635,"RAO NARENDER SINGH","Indian National Congress",40464,17171
HARYANA,KOSLI,"ANIL YADAV","Bharatiya Janata Party",92185,"JAGDISH YADAV","Indian National Congress",74976,17209
HARYANA,BALLABGARH,"MOOL CHAND SHARMA","Bharatiya Janata Party",61806,"SHARDA RATHORE",Independent,44076,17730
HARYANA,MEHAM,"BALRAM DANGI","Indian National Congress",56865,"BALRAJ KUNDU","Haryana Jan Sevak Party",38805,18060
HARYANA,NILOKHERI,"BHAGWAN DASS","Bharatiya Janata Party",77902,"DHARAM PAL","Indian National Congress",59057,18845
HARYANA,HISAR,"SAVITRI JINDAL",Independent,49231,"RAM NIWAS RARA","Indian National Congress",30290,18941
HARYANA,SAMALKHA,"MANMOHAN BHADANA","Bharatiya Janata Party",81293,"DHARAM SINGH CHHOKER","Indian National Congress",61978,19315
HARYANA,BAWAL,"DR. KRISHAN KUMAR","Bharatiya Janata Party",86858,"DR. M.L. RANGA","Indian National Congress",66847,20011
HARYANA,PRITHLA,"RAGHUBIR TEWATIA","Indian National Congress",70262,"TEK CHAND SHARMA","Bharatiya Janata Party",49721,20541
HARYANA,RATIA,"JARNAIL SINGH","Indian National Congress",86426,"SUNITA DUGGAL","Bharatiya Janata Party",64984,21442
HARYANA,HANSI,"VINOD BHAYANA","Bharatiya Janata Party",78686,"RAHUL MAKKAR","Indian National Congress",57226,21460
HARYANA,"BAWANI KHERA","KAPOOR SINGH","Bharatiya Janata Party",80077,"PRADEEP NARWAL","Indian National Congress",58298,21779
HARYANA,YAMUNANAGAR,"GHANSHYAM DASS","Bharatiya Janata Party",73185,"RAMAN TYAGI","Indian National Congress",50748,22437
HARYANA,GUHLA,"DEVENDER HANS","Indian National Congress",64611,"KULWANT RAM BAZIGAR","Bharatiya Janata Party",41731,22880
HARYANA,KALANWALI,"SHISHPAL KEHARWALA","Indian National Congress",66728,"RAJINDER SINGH DESUJODHA","Bharatiya Janata Party",43769,22959
HARYANA,BARWALA,"RANBIR GANGWA","Bharatiya Janata Party",66843,"RAMNIWAS GHORELA","Indian National Congress",39901,26942
HARYANA,UKLANA,"NARESH SELWAL","Indian National Congress",78448,"ANOOP DHANAK","Bharatiya Janata Party",50356,28092
HARYANA,REWARI,"LAXMAN SINGH YADAV","Bharatiya Janata Party",83747,"CHIRANJEEV RAO","Indian National Congress",54978,28769
HARYANA,SONIPAT,"NIKHIL MADAAN","Bharatiya Janata Party",84827,"SURENDER PANWAR","Indian National Congress",55200,29627
HARYANA,PUNAHANA,"MOHAMMAD ILYAS","Indian National Congress",85300,"RAHISH KHAN",Independent,53384,31916
HARYANA,HATHIN,"MOHD ISRAIL","Indian National Congress",79907,"MANOJ KUMAR","Bharatiya Janata Party",47511,32396
HARYANA,BHIWANI,"GHANSHYAM SARAF","Bharatiya Janata Party",67087,"OM PRAKASH","Communist Party of India  (Marxist)",34373,32714
HARYANA,"FARIDABAD NIT","SATISH KUMAR PHAGNA","Bharatiya Janata Party",91992,"NEERAJ SHARMA","Indian National Congress",58775,33217
HARYANA,PALWAL,"GAURAV GAUTAM","Bharatiya Janata Party",109118,"KARAN SINGH DALAL","Indian National Congress",75513,33605
HARYANA,KARNAL,"JAGMOHAN ANAND","Bharatiya Janata Party",90006,"SUMITA VIRK","Indian National Congress",56354,33652
HARYANA,GANAUR,"DEVENDER KADYAN",Independent,77248,"KULDIP SHARMA","Indian National Congress",42039,35209
HARYANA,BERI,"RAGHUVIR SINGH KADIAN","Indian National Congress",60630,"SANJAY KUMAR","Bharatiya Janata Party",25160,35470
HARYANA,"PANIPAT CITY","PARMOD KUMAR VIJ","Bharatiya Janata Party",81750,"VARINDER KUMAR SHAH","Indian National Congress",46078,35672
HARYANA,TIGAON,"RAJESH NAGAR","Bharatiya Janata Party",94229,"LALIT NAGAR S/O LATE BHARAT SINGH NAGAR",Independent,56828,37401
HARYANA,BAHADURGARH,"RAJESH JOON",Independent,73191,"DINESH KAUSHIK","Bharatiya Janata Party",31192,41999
HARYANA,PATAUDI,"BIMLA CHAUDHARY","Bharatiya Janata Party",98519,"PEARL CHOUDHARY","Indian National Congress",51989,46530
HARYANA,NUH,"AFTAB AHMED","Indian National Congress",91833,"TAHIR HUSSAIN","Indian National Lok Dal",44870,46963
HARYANA,FARIDABAD,"VIPUL GOEL","Bharatiya Janata Party",93651,"LAKHAN KUMAR SINGLA","Indian National Congress",45263,48388
HARYANA,"PANIPAT RURAL","MAHIPAL DHANDA","Bharatiya Janata Party",101079,"SACHIN KUNDU","Indian National Congress",50867,50212
HARYANA,BADSHAHPUR,"RAO NARBIR SINGH","Bharatiya Janata Party",145503,"VARDHAN YADAV","Indian National Congress",84798,60705
HARYANA,GURGAON,"MUKESH SHARMA","Bharatiya Janata Party",122615,"NAVEEN GOYAL",Independent,54570,68045
HARYANA,"GARHI SAMPLA","BHUPINDER SINGH HOODA","Indian National Congress",108539,MANJU,"Bharatiya Janata Party",37074,71465
HARYANA,"FEROZEPUR JHIRKA","MAMMAN KHAN","Indian National Congress",130497,"NASEEM AHMED","Bharatiya Janata Party",32056,98441
