CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"AAYUSHI ABHIMANYU RAO","Jannayak Janta Party",ATELI,HARYANA,1748
"DHARAM VIR","Bahujan Samaj Party",BARODA,HARYANA,1742
"DR. MANISH YADAV","Aam Aadmi Party",MAHENDRAGARH,HARYANA,1740
"SUNIL BINDAL","Aam Aadmi Party",KARNAL,HARYANA,1723
TANUJA,"Bahujan Samaj Party",THANESAR,HARYANA,1709
"BALWAN FAUJI",Independent,MAHENDRAGARH,HARYANA,1695
"SUKHVIR MALIK","Aam Aadmi Party","PANIPAT RURAL",HARYANA,1682
SONU,"Aam Aadmi Party",BERI,HARYANA,1682
"OM PRAKASH VERMA","Aam Aadmi Party",BADKHAL,HARYANA,1681
"LALIT KUMAR TYAGI","Aam Aadmi Party",YAMUNANAGAR,HARYANA,1655
"SATYAWAN SHERA",Independent,ISRANA,HARYANA,1652
"OM SINGH","Bahujan Samaj Party",TOSHAM,HARYANA,1645
"CHANDER BHAN CHAUHAN","Bahujan Samaj Party",SHAHBAD,HARYANA,1638
"SUKHVINDER SINGH S/O AVTAR SINGH","Aam Aadmi Party",TOHANA,HARYANA,1616
"RANBIR SINGH","Bahujan Samaj Party","PANIPAT RURAL",HARYANA,1615
"KRISHAN SINGH ALIAS MANNU KASHYAP","Indian National Lok Dal",GHARAUNDA,HARYANA,1611
"PRITAM KHOKAR","Indian National Lok Dal",KHARKHAUDA,HARYANA,1593
"ANJANI LADHA","Jannayak Janta Party",ELLENABAD,HARYANA,1593
BIRENDER,"Jannayak Janta Party",NUH,HARYANA,1570
"DR RAVINDER DHEEN","Jannayak Janta Party",MULANA,HARYANA,1566
"JOGINDER SINGH","Bahujan Samaj Party",BADSHAHPUR,HARYANA,1561
"SANTOSH DANODA","Jannayak Janta Party",NARWANA,HARYANA,1547
NOTA,"None of the Above",BADKHAL,HARYANA,1509
KRISHAN,"Indian National Lok Dal","GARHI SAMPLA",HARYANA,1496
"KETAN SHARMA","Aam Aadmi Party","AMBALA CITY",HARYANA,1492
"DR. BHUP SINGH YADAV",Independent,MAHENDRAGARH,HARYANA,1488
"HAWA SINGH","Aam Aadmi Party",INDRI,HARYANA,1483
"HAWA SINGH","Bahujan Samaj Party",MEHAM,HARYANA,1440
"SAMPAT RAM DAHANWAL","Indian National Lok Dal",BAWAL,HARYANA,1440
"RAVI DAGAR","Aam Aadmi Party","FARIDABAD NIT",HARYANA,1415
"GURJANT SINGH","Jannayak Janta Party",KALANWALI,HARYANA,1405
"POONAM NIGANA","Bahujan Samaj Party",KALANAUR,HARYANA,1394
"GAURAV BAKHSHI","Rashtrawadi Janlok Party (Satya)",NILOKHERI,HARYANA,1378
"DR KSHITIJ CHOUDHARY","Indian National Lok Dal",PANCHKULA,HARYANA,1375
"CHARAN SINGH","Bahujan Samaj Party",KALKA,HARYANA,1374
NOTA,"None of the Above","AMBALA CITY",HARYANA,1371
"DHAN RAJ SINGH","Aam Aadmi Party",DADRI,HARYANA,1339
"PAWAN FOUJI","Rashtriya Bhagidari Samaj Party",BHIWANI,HARYANA,1339
"KANTA AALLDIA","Mission Ekta Party",SHAHBAD,HARYANA,1333
YASHVIR,"Jannayak Janta Party",BADHRA,HARYANA,1321
"MALKIT SINGH BHANOKHERI","Bahujan Samaj Party","AMBALA CITY",HARYANA,1305
"KRISHAN GANGWA PARJAPATI","Jannayak Janta Party",ADAMPUR,HARYANA,1297
"SANDEEP MALIK","Aam Aadmi Party",BARODA,HARYANA,1286
"KAVITA RANI","Aam Aadmi Party",JULANA,HARYANA,1280
"DR. SUKHWINDER KAUR","Jannayak Janta Party",PEHOWA,HARYANA,1253
"RAKESH CHANDWAS","Aam Aadmi Party",BADHRA,HARYANA,1221
ROHTASH,"Jannayak Janta Party",UKLANA,HARYANA,1218
NOTA,"None of the Above","FARIDABAD NIT",HARYANA,1210
"DEVINDER GAUTAM","Aam Aadmi Party",SONIPAT,HARYANA,1200
"DALIP SINGH",Independent,MULANA,HARYANA,1193
"UMESH SHARMA","Aam Aadmi Party",NALWA,HARYANA,1193
"BHOOP SINGH SHEORAN","Indian National Lok Dal",LOHARU,HARYANA,1191
"MAHENDER SUNDANA","Jannayak Janta Party",KALANAUR,HARYANA,1191
"BIJENDER HOODA","Aam Aadmi Party",ROHTAK,HARYANA,1188
"KULDEEP SINGH MANDHAN","Jannayak Janta Party",INDRI,HARYANA,1187
"CA DARVESH SWAMI",Independent,SIRSA,HARYANA,1182
"GURNAM SINGH","Sanyukt Sangharsh Party",PEHOWA,HARYANA,1170
"SUSHIL GARG","Jannayak Janta Party",PANCHKULA,HARYANA,1153
NOTA,"None of the Above","PANIPAT RURAL",HARYANA,1153
"MUMTAJ AHMED",Independent,"FEROZEPUR JHIRKA",HARYANA,1142
"TARUN JAIN",Independent,HISAR,HARYANA,1135
"SANDEEP SINGH JANAGAL","Bahujan Samaj Party","BAWANI KHERA",HARYANA,1128
"NARENDER NATH SHARMA","Indian National Lok Dal",JIND,HARYANA,1127
"GOWARDHAN SINGH",Independent,BERI,HARYANA,1127
SUNIL,"Jannayak Janta Party",BERI,HARYANA,1119
"SHIV DUTT",Independent,PALWAL,HARYANA,1116
NOTA,"None of the Above",SIRSA,HARYANA,1115
RAJESH,"Indian National Lok Dal",SAMALKHA,HARYANA,1103
NOTA,"None of the Above",GURGAON,HARYANA,1075
"GURTEJ SINGH","Aam Aadmi Party",MULANA,HARYANA,1071
"NARESH BAGRI","Aam Aadmi Party",KALANAUR,HARYANA,1062
"JAIKANWAR ALIAS BITTU PAHALWAN","Aam Aadmi Party",SAMALKHA,HARYANA,1060
"RANBIR SINGH LOHAN","Aam Aadmi Party",NARNAUND,HARYANA,1057
"RAJENDRA SINGH RAWAT","Aam Aadmi Party",HATHIN,HARYANA,1055
"AMARJEET SINGH",Independent,GUHLA,HARYANA,1051
NOTA,"None of the Above",RATIA,HARYANA,1050
"KARAMBIR YADAV","Indian National Lok Dal",BHIWANI,HARYANA,1046
"ANAND SHEORAN","Bahujan Samaj Party",DADRI,HARYANA,1036
NOTA,"None of the Above",BALLABGARH,HARYANA,1034
"SARDHARAM SINGH","Indian National Lok Dal",SONIPAT,HARYANA,1026
NOTA,"None of the Above",FARIDABAD,HARYANA,1025
"SOMESHWAR SINGH","Samata Party",TIGAON,HARYANA,1022
"DHARAM PAL TANWAR","Jannayak Janta Party",JIND,HARYANA,1014
SURAJBHAN,"Indian National Lok Dal",ISRANA,HARYANA,1007
RAMESH,"Jannayak Janta Party",RATIA,HARYANA,1000
"GUDDI LANGYAN","Jannayak Janta Party","BAWANI KHERA",HARYANA,997
NOTA,"None of the Above",PANCHKULA,HARYANA,987
"LALIT NAGAR S/O VIJAY PAL",Independent,TIGAON,HARYANA,981
"KULDEEP SINGH CHHIKARA","Aam Aadmi Party",BAHADURGARH,HARYANA,966
"AMARNATH J. E.","Jannayak Janta Party",PATAUDI,HARYANA,963
"ABDUT NATH",Independent,PRITHLA,HARYANA,961
"SHIV KUMAR RANGEELA","Aam Aadmi Party",GOHANA,HARYANA,954
"SURJEET SINGH","Indian National Lok Dal",KARNAL,HARYANA,950
"JAIPAL SHARMA","Aam Aadmi Party",GHARAUNDA,HARYANA,947
"GAGAN DEEP JALANDHRA",Independent,RANIA,HARYANA,942
"RITA RANI","Aam Aadmi Party",SADHAURA,HARYANA,938
"ASHA RANI","Aam Aadmi Party",SHAHBAD,HARYANA,932
"PRAVESH MEHTA","Aam Aadmi Party",FARIDABAD,HARYANA,926
"DINESH KUMAR","Bahujan Samaj Party",GOHANA,HARYANA,925
PARVEEN,"Aam Aadmi Party","GARHI SAMPLA",HARYANA,895
"GEHAL SINGH SANDHU","Aam Aadmi Party",PEHOWA,HARYANA,890
"MANISH ARORA","Aam Aadmi Party",ELLENABAD,HARYANA,885
"NARENDER PAL SINGH BAGHEL","Indian National Lok Dal",FARIDABAD,HARYANA,859
"OM PARKASH GUJJAR","Aam Aadmi Party",KALKA,HARYANA,858
NOTA,"None of the Above",DABWALI,HARYANA,856
NOTA,"None of the Above",KARNAL,HARYANA,854
"NAYAB HUSSAIN","Aam Aadmi Party",PUNAHANA,HARYANA,854
"TIKA RAM","Jannayak Janta Party",TIGAON,HARYANA,854
"SHYAM SUNDER","Aam Aadmi Party",SIRSA,HARYANA,853
NOTA,"None of the Above",KALANWALI,HARYANA,852
"RAKESH SINGH","Rashtrawadi Janlok Party (Satya)",MAHENDRAGARH,HARYANA,850
"GANGARAM SWAMI","Jannayak Janta Party",SAMALKHA,HARYANA,848
"ALKA ARYA","Jannayak Janta Party",LOHARU,HARYANA,831
ATAULLAH,"Aazad Samaj Party (Kanshi Ram)",PUNAHANA,HARYANA,829
"AMIT KUMAR","Aam Aadmi Party",ISRANA,HARYANA,825
"PINKI KUNDU","Bahujan Samaj Party",SAFIDON,HARYANA,822
"DHARAMBIR SINGH","Bahujan Samaj Party",JHAJJAR,HARYANA,816
"SUSHIL BAIRAGI","Jannayak Janta Party",SAFIDON,HARYANA,814
"AVTAR SINGH","Jannayak Janta Party","AMBALA CANTT.",HARYANA,809
"GEETA BALA","Aam Aadmi Party",LOHARU,HARYANA,806
NOTA,"None of the Above",THANESAR,HARYANA,798
"VANDANA SINGH",Independent,BALLABGARH,HARYANA,784
"DHARMESH SOOD RINKU",Independent,"AMBALA CANTT.",HARYANA,764
"RAJIV VERMA","Communist Party of India",SONIPAT,HARYANA,763
"SOMANY VIJAY","Bahujan Samaj Party",REWARI,HARYANA,757
NOTA,"None of the Above",JAGADHRI,HARYANA,749
NOTA,"None of the Above",KALKA,HARYANA,740
"MAHINDER DAHIYA","Aam Aadmi Party",JHAJJAR,HARYANA,738
NOTA,"None of the Above",YAMUNANAGAR,HARYANA,735
"YOGESH GAUTAM","Jannayak Janta Party",NARNAUND,HARYANA,735
NOTA,"None of the Above",SONIPAT,HARYANA,729
"JAAN MOHAMMAD","Jannayak Janta Party","FEROZEPUR JHIRKA",HARYANA,720
NOTA,"None of the Above",FATEHABAD,HARYANA,718
NOTA,"None of the Above",KOSLI,HARYANA,715
"BIJENDER SINGH ADVOCATE",Independent,PRITHLA,HARYANA,709
"PARMOD DAHIYA","Indian National Lok Dal",RAI,HARYANA,707
"KAUSHAL TATARPUR","Aam Aadmi Party",PRITHLA,HARYANA,706
"RITU ARORA","Aam Aadmi Party","PANIPAT CITY",HARYANA,705
NOTA,"None of the Above",GUHLA,HARYANA,702
NOTA,"None of the Above","PANIPAT CITY",HARYANA,702
"AJAIB SINGH SODHI",Independent,MULANA,HARYANA,699
NOTA,"None of the Above",TOHANA,HARYANA,698
"SAROJ BALA GUR","Bahujan Samaj Party","PANIPAT CITY",HARYANA,696
"NAR SINGH","Bahujan Samaj Party",GANAUR,HARYANA,686
VICKY,"Jan Sewak Kranti Party",GHARAUNDA,HARYANA,671
NOTA,"None of the Above",PATAUDI,HARYANA,668
NOTA,"None of the Above",PRITHLA,HARYANA,666
NOTA,"None of the Above",REWARI,HARYANA,665
"PARVINDER SINGH","Jannayak Janta Party",BADKHAL,HARYANA,659
"PRITAM SINGH","Rashtrawadi Janlok Party (Satya)",MULANA,HARYANA,658
NOTA,"None of the Above",RANIA,HARYANA,657
"HARIOM YADAV KOSLIA",Independent,KOSLI,HARYANA,654
DHARAMBIR,"Aam Aadmi Party","BAWANI KHERA",HARYANA,646
NOTA,"None of the Above","AMBALA CANTT.",HARYANA,641
"DHARMENDER SINGH","Aam Aadmi Party",PALWAL,HARYANA,638
"RAHUL KIRORIWAL",Independent,RAI,HARYANA,635
"JOGA SINGH UMRI","Aam Aadmi Party",LADWA,HARYANA,632
"SATNAM SINGH",Independent,"AMBALA CITY",HARYANA,629
NOTA,"None of the Above",UKLANA,HARYANA,627
"COMRADE RAJ KUMAR","Socialist Unity Centre Of India (COMMUNIST)",BHIWANI,HARYANA,623
"KASHYAP RAM CHANDER",Independent,LADWA,HARYANA,611
TEJPAL,Independent,RATIA,HARYANA,610
REKHA,Independent,ASSANDH,HARYANA,609
"KULDEEP MALIK","Jannayak Janta Party",GOHANA,HARYANA,608
"DIWAN CHAND KAMBOJ","Bhartiya Shakti Chetna Party",RADAUR,HARYANA,606
NOTA,"None of the Above",SADHAURA,HARYANA,605
"DEEPAK MALIK","Jannayak Janta Party",BARODA,HARYANA,605
"HARPAL SINGH","Aam Aadmi Party",BADLI,HARYANA,601
NOTA,"None of the Above",SOHNA,HARYANA,600
RAHUL,Independent,PRITHLA,HARYANA,596
"HAWA SINGH KHOBRA","Jannayak Janta Party",TOHANA,HARYANA,591
"VINOD KUMAR",Independent,FATEHABAD,HARYANA,585
"AMIT SHARMA",Independent,KALKA,HARYANA,582
"JAWAHAR LAL","Aam Aadmi Party",BAWAL,HARYANA,581
MANIRAM,"Communist Party of India",NARWANA,HARYANA,579
"BHARAT KUMAR GIRDHAR @ SUNNY SINGH",Independent,SIRSA,HARYANA,577
"RAO OM PRAKASH ENGINEER","Jannayak Janta Party","NANGAL CHAUDHRY",HARYANA,576
RAJPAL,"Jannayak Janta Party",GHARAUNDA,HARYANA,572
NOTA,"None of the Above",ROHTAK,HARYANA,569
NOTA,"None of the Above",BAHADURGARH,HARYANA,564
"RAJ KUMAR","Bahujan Samaj Party",KOSLI,HARYANA,563
"SUNIL BANSAL",Independent,HISAR,HARYANA,558
"AMAR SINGH","Aam Aadmi Party",NILOKHERI,HARYANA,556
NOTA,"None of the Above",BADHRA,HARYANA,552
NOTA,"None of the Above",NARNAUND,HARYANA,550
NOTA,"None of the Above",JIND,HARYANA,547
"SUNITA SOROUT",Independent,HODAL,HARYANA,546
NOTA,"None of the Above",ELLENABAD,HARYANA,545
"SURJIT SINGH PARDHAN","Peoples Party of India (Democratic)",RATIA,HARYANA,540
NOTA,"None of the Above",RADAUR,HARYANA,538
"SHYAM LAL","Indian National Lok Dal",HISAR,HARYANA,536
NOTA,"None of the Above",NARNAUL,HARYANA,535
"SANDEEP MEHTA",Independent,TIGAON,HARYANA,534
"RAJ KAUR GILL","Aam Aadmi Party","AMBALA CANTT.",HARYANA,524
NOTA,"None of the Above","BAWANI KHERA",HARYANA,524
"DALJEET SINGH","Aam Aadmi Party",TOSHAM,HARYANA,519
"KRISHAN KUMAR","Jannayak Janta Party",BADLI,HARYANA,519
"ANKIT ALAGH JAN SEWAK","Jan Sewak Kranti Party",GURGAON,HARYANA,517
"SHAMSHER SINGH","Jannayak Janta Party",HANSI,HARYANA,516
NOTA,"None of the Above",KAITHAL,HARYANA,514
AJIT,Independent,BADHRA,HARYANA,512
"RAJESH KUMAR S/O CHATTAR SINGH",Independent,BAHADURGARH,HARYANA,512
"ATAULLAH KHAN","Loktanter Suraksha Party",SOHNA,HARYANA,508
NOTA,"None of the Above",NALWA,HARYANA,507
NOTA,"None of the Above",PALWAL,HARYANA,506
"HARIPAL PAHALWAN",Independent,PUNDRI,HARYANA,503
"INTZAR ALI","Jannayak Janta Party",YAMUNANAGAR,HARYANA,494
NOTA,"None of the Above",TOSHAM,HARYANA,490
"RAJESH KUMAR S/O RAMDIYA",Independent,BAHADURGARH,HARYANA,487
NOTA,"None of the Above",RAI,HARYANA,486
NOTA,"None of the Above",BAWAL,HARYANA,483
"ANANT RAM","Jannayak Janta Party",BARWALA,HARYANA,481
NOTA,"None of the Above",MULANA,HARYANA,480
"RAJESH KUMAR",Independent,DABWALI,HARYANA,480
"SUSHILA DEVI","Jannayak Janta Party","GARHI SAMPLA",HARYANA,480
"VIJAY KRISHAN",Independent,FARIDABAD,HARYANA,478
"SANJAY MALIK","Haryana Lokhit Party",RANIA,HARYANA,477
"FOUJI SURESH KUMAR",Independent,KAITHAL,HARYANA,467
GURMAIL,Independent,NARWANA,HARYANA,466
"HAVELI RAM",Independent,MULANA,HARYANA,465
NOTA,"None of the Above",BHIWANI,HARYANA,464
"SHASHI KUMAR","Aazad Samaj Party (Kanshi Ram)",MAHENDRAGARH,HARYANA,464
NOTA,"None of the Above",NARWANA,HARYANA,460
NOTA,"None of the Above",GHARAUNDA,HARYANA,456
"VIKRAM KHARIAN",Independent,RANIA,HARYANA,455
NOTA,"None of the Above",JHAJJAR,HARYANA,449
"MADAN LAL",Independent,SIRSA,HARYANA,448
"NAR SINGH","Indian National Lok Dal",NARNAUL,HARYANA,448
"ADVOCATE SONIYA BOHAT",Independent,ASSANDH,HARYANA,445
"VIKRAM INDORA",Independent,ELLENABAD,HARYANA,443
"SURENDER KUMAR","Jannayak Janta Party",BADSHAHPUR,HARYANA,441
"SURESH KUMAR SAINI","Jannayak Janta Party",NARNAUL,HARYANA,440
"RAVINDER RAVI AHUJA","Jannayak Janta Party",HISAR,HARYANA,439
NOTA,"None of the Above","FEROZEPUR JHIRKA",HARYANA,439
NOTA,"None of the Above",SHAHBAD,HARYANA,438
"DILBAG SINGH KRANTIKARI",Independent,"PANIPAT CITY",HARYANA,438
NOTA,"None of the Above",GOHANA,HARYANA,438
"BETA MAMCHAND RATTU",Independent,SADHAURA,HARYANA,437
"JOGINDER RAM",Independent,RANIA,HARYANA,436
NOTA,"None of the Above",DADRI,HARYANA,432
NOTA,"None of the Above",HATHIN,HARYANA,432
"RAJEETA SINGH","Jannayak Janta Party",SHAHBAD,HARYANA,431
NOTA,"None of the Above",BARWALA,HARYANA,430
NOTA,"None of the Above",KALANAUR,HARYANA,429
NOTA,"None of the Above",INDRI,HARYANA,428
"DILOUR MEHRA","Indian National Lok Dal",ROHTAK,HARYANA,428
NOTA,"None of the Above",HISAR,HARYANA,421
NOTA,"None of the Above",MAHENDRAGARH,HARYANA,421
VIPUL,Independent,SAFIDON,HARYANA,420
"SUNIL KUMAR","Jannayak Janta Party",ISRANA,HARYANA,419
NOTA,"None of the Above",SAMALKHA,HARYANA,419
"VED PARKASH",Independent,NILOKHERI,HARYANA,418
NOTA,"None of the Above",ATELI,HARYANA,418
"ASHOK SAINI HAMID PUR",Independent,LADWA,HARYANA,415
NOTA,"None of the Above",BADLI,HARYANA,411
NOTA,"None of the Above",NARAINGARH,HARYANA,410
"RAVINDER YADAV",Independent,BADSHAHPUR,HARYANA,403
SITENDER,Independent,RAI,HARYANA,400
"BHUPINDER SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",GUHLA,HARYANA,399
"YOGESH SETHI (YOGI)",Independent,JAGADHRI,HARYANA,398
"CA JAGDISH DHAMIJA",Independent,"PANIPAT CITY",HARYANA,398
"MANJEET FARMANA","Aam Aadmi Party",KHARKHAUDA,HARYANA,397
"NARESH KUMAR PHARAL",Independent,PUNDRI,HARYANA,396
"PARDEEP KASHYAP UPLI",Independent,GHARAUNDA,HARYANA,396
"RAJ KUMAR",Independent,RATIA,HARYANA,396
"GAURAV BHATI","Indian National Lok Dal",GURGAON,HARYANA,396
"ADARSH BALYAN",Independent,FARIDABAD,HARYANA,396
"RAJAT SHARMA ISMAILABAD",Independent,PEHOWA,HARYANA,395
"SUKHVINDER SINGH S/O BALDEV SINGH",Independent,TOHANA,HARYANA,394
NOTA,"None of the Above",KALAYAT,HARYANA,393
NOTA,"None of the Above",HODAL,HARYANA,393
NOTA,"None of the Above",ADAMPUR,HARYANA,390
"KARAM SINGH","Aazad Samaj Party (Kanshi Ram)",NILOKHERI,HARYANA,387
"AMIT MAURYA","Liberal Socialist Party","PANIPAT RURAL",HARYANA,386
NOTA,"None of the Above","NANGAL CHAUDHRY",HARYANA,386
"SURYA PARTAP SINGH RATHORE","Jannayak Janta Party",THANESAR,HARYANA,385
"RAGHUNATH TANWAR KASHYAP","Jannayak Janta Party","PANIPAT RURAL",HARYANA,381
"SANJAY KUMAR",Independent,FATEHABAD,HARYANA,381
GURDASS,Independent,PATAUDI,HARYANA,381
VISHAL,Independent,KALKA,HARYANA,377
SUDHIR,Independent,FATEHABAD,HARYANA,375
NOTA,"None of the Above",HANSI,HARYANA,374
"RITU RAJ BAMNIYA",Independent,JIND,HARYANA,373
"KAMAL BALI","Bhartiya Shakti Chetna Party",BADKHAL,HARYANA,371
NOTA,"None of the Above",NUH,HARYANA,369
"PAWAN KUMAR",Independent,SHAHBAD,HARYANA,358
"RAJIV KHATAK","Jan Sewak Kranti Party",BARWALA,HARYANA,355
SHISHUPAL,Independent,REWARI,HARYANA,354
NOTA,"None of the Above",MEHAM,HARYANA,353
"SAGAR CHAUHAN","Veer Lakshya Party","NANGAL CHAUDHRY",HARYANA,353
"COMRADE SATYAVIR SINGH",Independent,NARWANA,HARYANA,352
"PRADEEP KUMAR",Independent,HATHIN,HARYANA,352
"JAIPAL PUNIA",Independent,ASSANDH,HARYANA,350
"ADVOCATE RAKESH SHARMA",Independent,PUNDRI,HARYANA,349
NOTA,"None of the Above",NILOKHERI,HARYANA,345
NOTA,"None of the Above",PUNAHANA,HARYANA,345
"ANIL KUMAR TYAGI","Jannayak Janta Party",GANAUR,HARYANA,343
RAJENDER,Independent,HISAR,HARYANA,343
BIJENDER,Independent,"UCHANA KALAN",HARYANA,338
NOTA,"None of the Above",KHARKHAUDA,HARYANA,336
"JAI PAL","Bhartiya Panchyat Party",SADHAURA,HARYANA,335
"NAVEEN KUMAR","Yuga Thulasi Party","AMBALA CANTT.",HARYANA,334
"DEEPAK SINGH",Independent,KALANAUR,HARYANA,333
"RAKESH KAPIL DAGAR",Independent,FARIDABAD,HARYANA,331
"PREM CHAND","Buland Bharat Party",ASSANDH,HARYANA,328
"DHEERAJ KUMAR","Political Team India","FARIDABAD NIT",HARYANA,328
"SUNIL KUMAR",Independent,PALWAL,HARYANA,326
"ADVOCATE BRAHMA PRAKASH",Independent,BALLABGARH,HARYANA,326
"RAMESHWAR LAL",Independent,TOHANA,HARYANA,324
"RAJESH KUMAR",Independent,ADAMPUR,HARYANA,323
"VIKRAM JEET KARWASRA","Mission Ekta Party",FATEHABAD,HARYANA,322
"SANDEEP SANJAY BALHARA",Independent,LOHARU,HARYANA,322
"NAVEEN YOGI",Independent,DADRI,HARYANA,319
"VISHESH BAMEL","Bharatiya Asha Party",MEHAM,HARYANA,319
"PUSHPA DEVI",Independent,TOSHAM,HARYANA,318
"ANIL KUMAR S/O JAGDISH CHANDER SHARMA",Independent,HISAR,HARYANA,317
NEETU,Independent,NARAINGARH,HARYANA,316
"SATISH KUMAR",Independent,BHIWANI,HARYANA,314
NOTA,"None of the Above","GARHI SAMPLA",HARYANA,313
"RAM BAHADUR","Akhil Bhartiya Manavatavadi Party",TIGAON,HARYANA,313
"JAI PARKASH SHARMA",Independent,RADAUR,HARYANA,312
"SANDEEP KOTRA ADVOCATE",Independent,KALAYAT,HARYANA,312
"PARMOD CHUHARMAJRA",Independent,PUNDRI,HARYANA,311
"RAY SINGH",Independent,TOHANA,HARYANA,311
"DR. NITESH CHOPRA (HONEY)","Bhartiya Shakti Chetna Party",JAGADHRI,HARYANA,310
"LAVINDER SINGH","Jannayak Janta Party",KOSLI,HARYANA,310
"RAJESH KUMAR",Independent,KALAYAT,HARYANA,309
"HARJEET SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",ASSANDH,HARYANA,308
"AMARJEET SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)","UCHANA KALAN",HARYANA,308
"NANAK SINGH","Jan Sewak Kranti Party",ELLENABAD,HARYANA,307
NOTA,"None of the Above",PEHOWA,HARYANA,306
NOTA,"None of the Above",ASSANDH,HARYANA,306
BIJENDER,"Jannayak Janta Party",RAI,HARYANA,306
"M P SHARMA",Independent,PANCHKULA,HARYANA,305
TAKDEER,Independent,GANAUR,HARYANA,305
MUKESH,"Samata Party",PRITHLA,HARYANA,305
RAJBEER,Independent,SIRSA,HARYANA,302
VISHVAMITTR,Independent,FATEHABAD,HARYANA,301
"PATASHO DEVI",Independent,KAITHAL,HARYANA,300
"SEEMA DEVI","Bhartiya Shakti Chetna Party",NARAINGARH,HARYANA,299
"ADVOCATE RINKU MUANA","Republican Party of India (A)",SAFIDON,HARYANA,299
"AMAR SINGH",Independent,LOHARU,HARYANA,299
GURMEET,Independent,SAFIDON,HARYANA,298
"PUNDIT SUBHASH CHANDRA DUBEY GORAKHPURI",Independent,TIGAON,HARYANA,298
DHARAMPAL,Independent,NARAINGARH,HARYANA,297
"HARKESH KUMAR",Independent,MULANA,HARYANA,296
"ROHIT KUMAR",Independent,BAHADURGARH,HARYANA,294
"VED PRAKASH",Independent,MAHENDRAGARH,HARYANA,294
SANTOSH,Independent,KOSLI,HARYANA,293
MANOHAR,"Aam Aadmi Party",HODAL,HARYANA,292
"JASBIR SINGH","Bhartiya Shakti Chetna Party",SADHAURA,HARYANA,291
"ANIL BITHMARA","Haryana Jan Sevak Party",UKLANA,HARYANA,291
NOTA,"None of the Above",BERI,HARYANA,289
"DAYA WATI","Indian National Lok Dal",PUNAHANA,HARYANA,289
RAJKUMAR,Independent,"FARIDABAD NIT",HARYANA,288
NOTA,"None of the Above",ISRANA,HARYANA,287
"SATISH KUMAR",Independent,SAMALKHA,HARYANA,286
UMAKANT,Independent,NARNAUL,HARYANA,286
"SATYAVIR JANAULA",Independent,PATAUDI,HARYANA,285
"SAMEY SINGH",Independent,PRITHLA,HARYANA,285
"JAIVEER SINGH","Buland Bharat Party",SIRSA,HARYANA,284
"KHEM CHAND",Independent,DABWALI,HARYANA,282
"RAJESH SAROHA","Aam Aadmi Party",RAI,HARYANA,281
"RAM KUMAR",Independent,BHIWANI,HARYANA,281
SATVEER,"Jannayak Janta Party",HODAL,HARYANA,281
"JITENDER KUMAR",Independent,"FARIDABAD NIT",HARYANA,280
"DHARAMVIR SAROWA",Independent,NARNAUND,HARYANA,279
KAPIL,Independent,YAMUNANAGAR,HARYANA,278
"BIRBAL SINGH",Independent,UKLANA,HARYANA,278
"SANJAY SHARMA",Independent,REWARI,HARYANA,278
"YAJUVINDER SINGH",Independent,JAGADHRI,HARYANA,275
"COMRADE RAMKUMAR NIMOTH","Socialist Unity Centre Of India (COMMUNIST)",KOSLI,HARYANA,273
RAMPHAL,Independent,ASSANDH,HARYANA,272
NOTA,"None of the Above",BARODA,HARYANA,272
"SALINDER KUMAR",Independent,KALAYAT,HARYANA,271
"SATPAL VERMA",Independent,RANIA,HARYANA,271
"GURVINDER SINGH",Independent,DABWALI,HARYANA,270
"GIRIRAJ JATOLA","Aazad Samaj Party (Kanshi Ram)",PRITHLA,HARYANA,270
"SATISH KUMAR",Independent,KAITHAL,HARYANA,269
"JETENDER ROYAL","Jannayak Janta Party",KARNAL,HARYANA,269
"JITENDER BALHARA","Jannayak Janta Party",ROHTAK,HARYANA,268
"MUKESH KUMAR",Independent,MEHAM,HARYANA,267
"ISHWAR KHATKAR FOUJI",Independent,"UCHANA KALAN",HARYANA,266
"BHAJAN SINGH",Independent,LADWA,HARYANA,265
KARAMBIR,Independent,TOHANA,HARYANA,264
DAYANAND,"Ambedkar Samaj Vikas Party",RADAUR,HARYANA,261
"NARESH KUMAR BATRA",Independent,GURGAON,HARYANA,261
SUNIL,Independent,GURGAON,HARYANA,260
NOTA,"None of the Above",LOHARU,HARYANA,259
"SURJEET SINGH",Independent,ELLENABAD,HARYANA,257
"NARENDER KUMAR",Independent,"FEROZEPUR JHIRKA",HARYANA,257
DAYARAM,Independent,SOHNA,HARYANA,256
MAHENDER,Independent,BAHADURGARH,HARYANA,255
"RAM AVTAR SHARMA",Independent,BHIWANI,HARYANA,252
"SUBHASH CHAND",Independent,SOHNA,HARYANA,252
"SUNIL KUMAR",Independent,BAWAL,HARYANA,251
"DYAL SINGH",Independent,NILOKHERI,HARYANA,249
"GOTTAM SAHARAN",Independent,RANIA,HARYANA,248
"MANGA RAM","Peoples Party of India (Democratic)",YAMUNANAGAR,HARYANA,246
"RAM KUMAR",Independent,GANAUR,HARYANA,246
